ParlaMint-FR_2019-10-09-O1016.u1	The next item is the continuation of the discussion of the bioethics bill (No. 2187, 2243).
ParlaMint-FR_2019-10-09-O1016.u2	Last night, the Assembly continued its discussion of the articles of the bill, ending with section 23.
ParlaMint-FR_2019-10-09-O1016.u3	I have before me two identical amendments, Nos 1419 and 2048, to delete Article 23. Amendment No 1419 by Mrs Emmanuelle Ménard is being defended. I call Mr Dharréville to support Amendment No. 2048.
ParlaMint-FR_2019-10-09-O1016.u4	Article 23 is intended to entrust genetics advisers with new prerogatives, in particular by allowing them to carry out certain examinations without the need for a medical prescription. With this amendment, which is in no way an attack on genetics advisors, we invite you to reflect on the evolution of our genetics policy. If we want doctors to remain masters in the field of genetics, it is because we believe that genetics must remain in the medical field. We have also tabled an amendment which will be called for at a later stage and which aims to strengthen our legislation on the prohibition of genetic testing. In our view, genetics must remain in the giron of medicine, rather than become an object of commerce. Genetics advisors are not doctors. If, in the current context, they are exercising their profession consciously, there is a risk that an additional division of labour will open the door to the creation of new markets. Social realities inspire these reflections: at present, private companies are proposing to the whole world to answer a heterogeneous list of questions, which, over time, tends to grow longer. To have a test carried out, simply fill out an online questionnaire, send a sample of saliva to the United States and pay 60 to 100 euros, without anyone then knowing what fate will be reserved for these data by extremely sensitive nature. At a time when a genetic market is developing, we want to sanctify this sector and retain the use of genetics as a medical product. In order to do so, the requirement must remain in force.
ParlaMint-FR_2019-10-09-O1016.u5	Mr Jean-François Eliaou, rapporteur of the special committee responsible for examining the bioethics bill, has the floor to give the committee's opinion on these two deletion amendments.
ParlaMint-FR_2019-10-09-O1016.u6	I agree with the authors of Amendment No 1419 when they state in the summary statement that "the examination of genetic characteristics must not be trivialised". The authors of the two amendments, however, reassure themselves that the possibility opened up in Article 23 to genetics advisers to prescribe certain medical biology examinations will only be exercised under the very precise supervision and responsibility of a physician qualified in genetics, i.e. a geneticist. I would like to take this opportunity to clarify the situation and to clarify the scope of the statute of limitations that will be granted to genetics advisors if the article is adopted. In addition to the fact that the geneticist under whose authority the genetic advisor may prescribe will never be far away – both will belong to the same multidisciplinary team – the prescription will only concern examinations of genetic characteristics, prenatal diagnoses and pre-implantation diagnoses. Finally, the communication of the results of the examinations to the person who has undergone them – and to whom they have been prescribed – will remain the exclusive competence of the geneticist. I therefore express an unfavorable opinion on these deletion amendments.
ParlaMint-FR_2019-10-09-O1016.u7	The Secretary of State to the Minister for Solidarity and Health has the floor to give the Government's opinion.
ParlaMint-FR_2019-10-09-O1016.u8	The same arguments, thus the same unfavorable opinion.
ParlaMint-FR_2019-10-09-O1016.u9	Mr Bastien Lachaud has the floor.
ParlaMint-FR_2019-10-09-O1016.u10	I thank the rapporteur for these clarifications. We will vote in favour of Mr Dharréville's amendment if it is retained, because any risk of drift or commodification of genetic data must be avoided. We must be particularly vigilant: genetics must remain in the medical field, and should only be used when necessary. We have reported that these are sensitive data. In this context, strength must remain in medicine.
ParlaMint-FR_2019-10-09-O1016.u11	Mrs Sereine Mauborgne has the floor to support Amendment No. 2510.
