ParlaMint-FR_2019-09-26-E2014.u1	The next item is the continuation of the discussion of the bioethics bill (No. 2187, 2243).
ParlaMint-FR_2019-09-26-E2014.u2	This morning, the Assembly continued its consideration of the articles of the bill. It heard the opinion of the Commission and the Government on the amendments under joint discussion Nos. 2055-2408 to Article 1.
ParlaMint-FR_2019-09-26-E2014.u3	I will give the floor to those speakers who wish to speak on these amendments, beginning with Mrs Annie Genevard.
ParlaMint-FR_2019-09-26-E2014.u4	I will not go back to the judgments of the Council of State, which Mrs Custody of Seals has emphasized in its singularity. These are in concreto judgments, dealing with specific situations, which cannot be invoked to generalize post-mortem assisted procreation in this law. Mr Touraine, you said that the Council of State called for the approval of the post-mortem LDC, but in its July 2018 study the Council of State wrote: "On this issue, there is no legal argument for the legislator, who will have to rule in an opportune and consistent manner with all the rules applicable to the MPA. We cannot therefore say, unless we extrapolate from the comments of the Council of State, that it asks us to legislate to allow the post-mortem LDC. As part of the hearings conducted by the special commission, Dr. Lévy-Soussan said that the child's psychological requirement was more important in the context of reproductive medical assistance – AMP. In the context of a post-mortem LDC, this requirement is even greater. I therefore fully share the view of the Minister for Health and Solidarity: in this case the precautionary principle must be applied. Dr. Lévy-Soussan added that accepting the post-mortem LDC principle would abolish the difference between life and death. It is a psychic risk that we do not have the right to make the child run.
ParlaMint-FR_2019-09-26-E2014.u5	All right!
ParlaMint-FR_2019-09-26-E2014.u6	Mrs Aurore Bergé has the floor.
ParlaMint-FR_2019-09-26-E2014.u7	This subject has been of great concern to us in a special committee, giving rise to a sincere and powerful debate. I hear that for a woman who has just lost her husband or companion, it is an additional pain to learn that she will not be able to use the embryo from their love and parenting project. Nevertheless – and that is what leads me to oppose the post-mortem LDC – it seems to me that if we allowed this possibility, the disadvantages would outweigh the individual interest that she may have for a woman. These disadvantages are of several kinds. First of all, the child – whose best interests must be summoned here – would have to bear a particularly heavy story since he would continue the life of a deceased father as part of a parenting project that was driven by a drama of life. I do not believe that this House can take responsibility for accepting it. [[Applause on several benches of the LaREM group]] Secondly, the implementation and supervision of such a project may give rise to many difficulties. What time to mourn: one, two, three or six months? Who can define it? Who knows how long it takes a woman to mourn? Until when will the woman be able to use the embryo: one, two or three years after the death? Who can set this deadline again? I am not even talking about the consequences that such an authorization would have in matters of inheritance: the keeper of the seals has presented all the complexity of it. In such a configuration, the parental project completely changes in nature: initially leads to two, it is only by one person. In the best interests of the child and in view of the difficulty of applying this provision – which would concern less than one woman a year – our assembly must exercise all possible restraint and caution in this area. That is why I will vote against the post-mortem LDC.
ParlaMint-FR_2019-09-26-E2014.u8	Mr Guillaume Chiche has the floor.
ParlaMint-FR_2019-09-26-E2014.u9	Like many of the issues discussed in this bill, the proposal to allow a woman to pursue a parenting project after the loss of her spouse gives rise to positions that go beyond our partisan affiliations. In this area, no one can claim to have absolute truth – neither I nor the others. I would like to recall the current state of the law and the opportunities available to a woman on a journey from LDCs who has just lost her spouse. After the latter's death, he can donate his embryos to science, destroy them or donate them to a third party. This threefold choice is singular: telling a woman who has just lost her spouse that she cannot pursue the parenting project, but that her embryos can be used to build a third-party parenting project is somewhat cavalier. Moreover, with the opening of the LDC to single women, it would also - and it is legitimate - have the possibility of building a single parenting project. If this woman chose to donate her embryos to another woman, the provisions on access to the origins contained in article 3 would allow the child born of this gift to find the donor to thank her. In what situation would they find themselves, the donor and the child born of her gift, when she would tell her that it was not a sincere gift, but a result of the legal prohibition to perform pregnancy? We would put the donor like the child in a delicate situation. On the other hand, I believe that it is necessary to rely on the reason of women rather than systematically seeking to protect them on their own. A woman who has just lost her spouse – a terrible tragedy – may have the wisdom to pursue a parenting project or not. This decision must, of course, not be based solely on it, and it must be ensured that the deceased spouse has consented to it. For this reason, some amendments, including Amendments Nos 2218 and 2219 by the rapporteur Touraine, provide for the authorization of insemination or transfer of post-mortem embryos only if the deceased has given his prior consent to the continuation of reproductive medical assistance in the event of his death. These amendments also provide for advance notice periods: women must not be able to continue the parental project without a six-month period of reflection; Similarly, the period within which the project can be carried out must be limited so that the woman cannot use it about ten years later. The safeguards proposed in the amendments seem to me to be fully sufficient. [[Applause on several benches of the LaREM group]] Finally, we are all guided by the best interests of the child, but a child who would have to bear the weight of such a parenting project would at the same time be the object of the love and affection of the mother who would have pursued him. I do not know how to prioritize these two phenomena; That is why I rely on the judgment of the person concerned, in this case the woman, to decide whether to continue the project. On the other hand, a woman who would have been deprived of any opportunity to pursue her parenting project while giving her the option of using the LDC as a single woman would run the same risk in relation to the life course of a child born to an anonymous donor. Indeed, as the Minister of Health has pointed out, although we have all experienced deaths in our surroundings, we cannot anticipate the state in which we find ourselves after such an event. All of this is appreciated on an individual scale and each woman has the ability to make informed decisions. I will therefore support the proposal of rapporteur Touraine.
ParlaMint-FR_2019-09-26-E2014.u10	Mrs Caroline Janvier has the floor.
ParlaMint-FR_2019-09-26-E2014.u11	In my view, there are two aspects to this question. One, very practical, noted by many colleagues, touches on this rather ubiquitous situation where a woman would find herself obliged to give or destroy her embryo even though she could resort to the gametes of another donor and thus conceive a child with a genetic heritage that would not be the one corresponding to her parenting project. Secondly, beyond what I think is rather absurd here, there is a question of principle. I am struck by the way in many situations of uncertainty, difficult, painful, women tend to be considered a vulnerable subject, to be protected from pressures that they may eventually experience, to protect from desires that would not be sincere and healthy for their child. It would therefore be a real step forward to consider that the woman herself will be able to decide whether or not to continue her parenting project after a journey accident as serious as a death may be, that she will be able to make this decision in an informed manner, with a number of safeguards. To allow the post-mortem LDC would therefore, in my view, be to show progress, but also to adopt an adult vision of women.
