ParlaMint-FR_2019-10-09-O1017.u1	The next item is the continuation of the discussion of the bioethics bill (No. 2187, 2243).
ParlaMint-FR_2019-10-09-O1017.u2	This afternoon, the Assembly continued its discussion of the articles of the draft law, concluding with Amendment No. 399, which included an additional article after Article 32.
ParlaMint-FR_2019-10-09-O1017.u3	I have two identical amendments before me, Nos 399 and 709. I call Mr Patrick Hetzel to support Amendment No. 399.
ParlaMint-FR_2019-10-09-O1017.u4	Because of the time schedule, I simply say that it is defended, Madam President.
ParlaMint-FR_2019-10-09-O1017.u5	You have 16 seconds left...
ParlaMint-FR_2019-10-09-O1017.u6	I call Mr Vatin to support Amendment No. 709.
ParlaMint-FR_2019-10-09-O1017.u7	I'll do the same for the same reason.
ParlaMint-FR_2019-10-09-O1017.u8	I call Mrs Laëtitia Romeiro Dias, rapporteur of the special committee on the bioethics bill, to give the committee's opinion.
ParlaMint-FR_2019-10-09-O1017.u9	Unfavorable opinion.
ParlaMint-FR_2019-10-09-O1017.u10	The Secretary of State to the Minister for Solidarity and Health has the floor to give the Government's opinion.
ParlaMint-FR_2019-10-09-O1017.u11	Unfavorable opinion.
ParlaMint-FR_2019-10-09-O1017.u12	I call Mr Patrick Hetzel to support Amendment No. 2081.
ParlaMint-FR_2019-10-09-O1017.u13	Because of the time schedule, I simply say that it is defended, Madam President.
ParlaMint-FR_2019-10-09-O1017.u14	I have before me two amendments, Nos 2317 and 2051, which can be discussed jointly. Mrs Danièle Obono has the floor to support Amendment No. 2317.
ParlaMint-FR_2019-10-09-O1017.u15	The purpose of this amendment is for the Government to submit to Parliament a report on the effects of non-reimbursement of gamete self-conservation in non-pathological situations. In the current state of the bill, the coverage of the costs of acts and treatments related to the preservation of fertility does not include the reimbursement of the self-conservation of gametes in situations where no pathology is identified. This, in our view, poses two problems. On the one hand, the rates of self-conservation mean that not everyone will be able to use this option, leading to a form of selection by money, which seems to us, in a field such as procreation, rather unrespectable. On the other hand, the self-conservation of oocytes makes it possible to bypass a form of infertility due to social phenomena. People have children much later, especially because society forces them to do so. The launch of a major communication plan on infertility is currently under consideration. For the sake of consistency, we propose that the self-conservation of its own gametes be reimbursed, in order to allow all those who wish to have access to it.
ParlaMint-FR_2019-10-09-O1017.u16	I call Mr Dharréville to support Amendment No. 2051.
ParlaMint-FR_2019-10-09-O1017.u17	[[Smile. – Applause on the benches of the LR group]] Because of the time schedule, I'll take the time to defend him.
ParlaMint-FR_2019-10-09-O1017.u18	Flagorator!
ParlaMint-FR_2019-10-09-O1017.u19	I regret that the amendments relating to the production of a report were placed at the end of the text. In fact, this is regularly the case,...
ParlaMint-FR_2019-10-09-O1017.u20	Indeed, it becomes a habit!
ParlaMint-FR_2019-10-09-O1017.u21	...and this is a problem. Since I have a few minutes left, I will briefly explain why. When we ask for a report, it may be because it is really necessary; It may also be because of the provisions of article 40 of the Constitution, which render certain amendments inadmissible. To introduce such amendments allows us to shed light on an important debate in our eyes. Bringing them together at the end of the text simply prevents the debate from taking place. It would be better to respect the choice of location that we make, so that the amendments could fulfil their function. The purpose of this bill is to ensure that, within 12 months of the enactment of this bill, the Government submits to Parliament a report on the appropriateness of allowing the reimbursement of the costs of self-conservation of gametes. We have made the decision to open access to gamete self-conservation, but the cost of this procedure may deter some from using it. This expenditure could therefore be borne by social security. At the very least, the issue should be considered and we therefore propose that a report be devoted to it.
ParlaMint-FR_2019-10-09-O1017.u22	What is the opinion of the committee?
ParlaMint-FR_2019-10-09-O1017.u23	Unfavorable opinion. While the bill allows for the self-conservation of oocytes, which is a real step forward for women, we do not wish to encourage the use of this procedure. Your request for a report on the appropriateness of its reimbursement has already received a response in the discussions we have had on Article 2.
ParlaMint-FR_2019-10-09-O1017.u24	What is the Government's opinion?
ParlaMint-FR_2019-10-09-O1017.u25	Unfavorable opinion, for the same reasons. If the Government leaves a few euros per month to the person concerned, it is to indicate its willingness not to encourage the use of this procedure. On the other hand, Ms.Obono, a report that would be prepared three months after the enactment of the Act would not provide the necessary step back to make a useful assessment.
ParlaMint-FR_2019-10-09-O1017.u26	We can extend this period to six months, if you like. Even twelve!
ParlaMint-FR_2019-10-09-O1017.u27	Mr Guillaume Chiche has the floor.
ParlaMint-FR_2019-10-09-O1017.u28	Mrs Obono, the summary statement of your amendment states that the self-conservation of gametes is not reimbursed. In fact, social security takes over the act of collection, which, in the case of oocytes, is the most expensive part of self-conservation. Thus, this text opens up a real right and not just a formal one. All at stake is to allow women to have full control over their reproductive abilities and thus to be able to anticipate the delay in the time of a possible pregnancy. Indeed, there is one remaining charge, estimated at 40 euros per year and corresponding to the cost of preserving the oocytes. It is a means of calling anyone who uses this medical method to question, year after year, the need to continue self-conservation. We thought – and it was explained to us during the hearings and the work of the special committee – that without such a burden, some self-conservation, though without a goal, could be continued. I will simply give the example of a woman who would no longer need the oocytes she would have kept, because she would no longer have a parenting project, or that she would have completed her project without using them. We therefore felt that it was necessary to provide for this remainder, which is linked to the conservation costs, which are again estimated at 40 euros per year. [[Applause on the benches of the LaREM group]] I recall that during the course of our consideration of this bill, we passed an amendment defended by Aurore Bergé that was intended to impede the financing of the self-conservation of an employee's oocytes by his employer, because we did not want such a method to turn into an enslavement of women in the labour market in the event that the employers offered to finance the remainder; This would be counterproductive in the light of the proposed measure. That is why I will not vote in favour of this amendment aimed at presenting a report on a subject which has not been adequately addressed in the presentation made to us.
ParlaMint-FR_2019-10-09-O1017.u29	Mrs Caroline Fiat has the floor.
ParlaMint-FR_2019-10-09-O1017.u30	I am astonished to hear on these benches that this expenditure " only" represents 40 euros a year. For some people, however, it is a real fortune that forbids minimizing its importance. Again, some people can't afford to get that money out! Let's take care of what we're saying. Then, Minister, you question the relevance of the three-month deadline, but Mr Dharréville has clearly explained to you that all these requests for reports – which, moreover, come at the end of the examination of the text, which makes the debate somewhat incomprehensible – are linked to the fact that Article 40 of the Constitution prohibits us from committing the expenditure of the least euro. We are therefore obliged to request reports. If this amendment could have been presented at the right time, during the discussion of the article concerned, the discussion would have been different.
ParlaMint-FR_2019-10-09-O1017.u31	We have already had this debate.
ParlaMint-FR_2019-10-09-O1017.u32	We asked for three months, which could be as long as six months, minister; Let us not play on the deadline for the submission of the report.
ParlaMint-FR_2019-10-09-O1017.u33	Be more precise!
ParlaMint-FR_2019-10-09-O1017.u34	Again, all of these requests for reports after section 32 should have been submitted elsewhere. Let's be careful: all this must make sense. It is regrettable that all these requests for reports are accumulating at this point in the debate: placed in the right place, these amendments would have profoundly altered the debates over the last three weeks. At the end of the text, it is true that it has neither tail nor head. Let us hope that, in the future, requests for reports, which are only the last legislative tool available to us because Article 40 prohibits us from making any expenditure, will be placed in the right place to allow the debate in the Chamber to be calm.
ParlaMint-FR_2019-10-09-O1017.u35	Mr Pierre Dharréville has the floor.
ParlaMint-FR_2019-10-09-O1017.u36	I am pleased that we can have a discussion on this subject, even though I maintain the comments I made earlier, and thank you for the answers that have been given. I will highlight two points. First of all, there are people for whom 40 euros do a lot in a year. This amount can therefore be an obstacle to the conservation of gametes. Secondly, this issue deserves a real debate and the exchange that we have shows. You made an argument, Mr Secretary of State, and I asked myself before I tabled this amendment on the appropriateness of the repayment formula. A few days ago we had a whole debate about this measure because it raises a series of questions that cross society as a whole. The purpose of this request for a report is to investigate this issue and to determine whether there is not a lead to be explored – that is precisely the purpose of a report. We have just opened a new right: he probably deserves further consideration.
ParlaMint-FR_2019-10-09-O1017.u37	Mrs Danièle Obono has the floor.
