ParlaMint-FR_2019-05-07-O1221.u1	The next item is the question to the Government.
ParlaMint-FR_2019-05-07-O1221.u2	Mr Fabien Di Filippo has the floor.
ParlaMint-FR_2019-05-07-O1221.u3	[["Yes! » on the benches of the LR group]] Prime Minister, two years to the day after Emmanuel Macron arrived with responsibility, hope and renewal left room for disappointment, anger, ras-le-bol.
ParlaMint-FR_2019-05-07-O1221.u4	He's right!
ParlaMint-FR_2019-05-07-O1221.u5	[[Applause on the benches of the LR group. – Exclaims on the banks of the LaREM Group]] A birthday far from being happy for the French! If not all the fractures of our country have appeared with you, your decisions and your collective arrogance have contributed to making them all worse. Three out of four Frenchmen already reject your policy. Increase in CSG and fuel taxes, limit to 80 kilometres per hour: these are your decisions! Two thirds of pensioners have suffered heavy loss of purchasing power, companies are now dreading the billions of euros of additional taxes announced and farmers have not seen their incomes increase or their constraints decrease. [[Applause on the benches of the LR group]] The French are not fooled, Prime Minister! Your emergency measures only give them a small part of what you took in 2018 and the concrete figures give them much better account of the mediocrity of your assessment than your grandiose speeches. With you, France has not only become a champion of the world of football: it is above all a champion of the world of taxes and taxes that stifle companies and households. [[Applause on a few benches of the LR group]] For the first time in its history, France will present this year the worst budget deficit in the euro area, with an amount of public expenditure never seen. In terms of immigration, your obsession with distributing migrants rather than preventing the arrival of those we can no longer receive leads to a record level of residence permits and an 11 per cent increase in immigration. These deplorable results and your additional expenses without savings are the guarantee of a new tax baton for companies and employees. The Benalla affair and the yellow vests, finally, showed your cynicism, your concealments and your lack of lucidity and listening. [[Mr. Marc Le Fur applauds]] [[Applause on the benches of the LR group]] Prime Minister, after saying everything and his opposite for two years, do you intend to continue to make your mandate the pitiful twin of that of François Hollande? It is always the workers and the middle classes who, in the end, pay the note of your lack of courage and your lies!
ParlaMint-FR_2019-05-07-O1221.u6	The Secretary of State to the Prime Minister, the spokesman for the Government, has the floor.
ParlaMint-FR_2019-05-07-O1221.u7	Thank you, honourable Member, for your question, which gives me the opportunity to take a step-by-step step on the Government's work for the past two years. I think it is useful to recall where we were going.
ParlaMint-FR_2019-05-07-O1221.u8	Let's go!
ParlaMint-FR_2019-05-07-O1221.u9	[[Exclaims on the benches of the LR group]] What situation did we find when we came to the responsibilities? First of all, a very high unemployment rate.
ParlaMint-FR_2019-05-07-O1221.u10	Where were you before?
ParlaMint-FR_2019-05-07-O1221.u11	[[Same movements]] Our country, for decades, has been suffering from mass unemployment, which, I would remind you, amounted to 9.6% in 2017.
ParlaMint-FR_2019-05-07-O1221.u12	And who was in Bercy?
ParlaMint-FR_2019-05-07-O1221.u13	Please!
ParlaMint-FR_2019-05-07-O1221.u14	[[Applause on several benches of the LaREM group]] It was 8.8% in 2018. In our country, the very idea of the social elevator was only a concept, not a reality. Finally, this country was hit by deficits: in 2016, the government deficit stood at 3.5% of GDP. We managed to reduce it to 2.8% in 2017 and 2.5% in 2018.
ParlaMint-FR_2019-05-07-O1221.u15	What about the price of oil?
ParlaMint-FR_2019-05-07-O1221.u16	What about the Benalla case?
ParlaMint-FR_2019-05-07-O1221.u17	In order to measure the progress made over the past two years, it is useful to recall the objectives of the Government. Our first objective was to reinvigorate the economic engine: that is why, through an ambitious fiscal policy, we have reinvigorated investment. I would also remind you of the reform of the ISF that we have carried out, the expected reduction in corporate tax and finally the introduction of the single flat-rate levy.
ParlaMint-FR_2019-05-07-O1221.u18	Your language elements are out of date!
ParlaMint-FR_2019-05-07-O1221.u19	[[Exclaims on the benches of the LR group]] In the same way, we have had the ambition of fluidizing the labour market. The result is that we have created 500,000 jobs in two years and that the unemployment rate has fallen by more than one percentage point since we came to the responsibilities. Our ambition is also to tackle the inequalities at the root, both the inequalities of destiny, with the school of trust, and the inequalities of everyday life.
ParlaMint-FR_2019-05-07-O1221.u20	You're not answering the question! You're reading records!
ParlaMint-FR_2019-05-07-O1221.u21	It's not the right page!
ParlaMint-FR_2019-05-07-O1221.u22	[[Applause on several benches of the LaREM group]] That is why we have invested heavily, so that the work pays better in France. I strongly believe that we have reduced these inequalities. [[Applause on the benches of the LaREM group and a few benches of the MODEM group]] Our last priority at last is ecology. I won't go any further, but I'm proud of that record!
ParlaMint-FR_2019-05-07-O1221.u23	Mrs Aurore Bergé has the floor.
ParlaMint-FR_2019-05-07-O1221.u24	Mr Minister of the Interior, on 1 May men and women with sincere convictions, driven by their union commitment, demonstrated in the streets of France. By the action of your ministry, by the law enforcement agencies, by the strengthening of our legislation by the so-called "anti-casseurs" law, the freedom of those who demonstrate could be guaranteed.
ParlaMint-FR_2019-05-07-O1221.u25	That's not true!
ParlaMint-FR_2019-05-07-O1221.u26	[[Applause on the benches of the LaREM group]] On several occasions, ultra-violent individuals have sought to form in black bloc. These individuals were there to break, to brutalize. They have been systematically thwarted by the action of the law enforcement agencies, which must be thanked once again for their composure and unwavering commitment. Those who use the terms of police violence, the same people who would like France to be inspired by Venezuela or Russia, perhaps also for the maintenance of law and order...
ParlaMint-FR_2019-05-07-O1221.u27	They're shoving the protesters over there?
ParlaMint-FR_2019-05-07-O1221.u28	... should focus on the consequences of the widespread discredit they cast on our law enforcement forces.
ParlaMint-FR_2019-05-07-O1221.u29	When it comes to discrediting, you're an expert!
ParlaMint-FR_2019-05-07-O1221.u30	On 1 May in Paris, a policeman was seriously injured in his face. He was operated and it was to him, Minister of the Interior, and to the police that you visited at the Pitié-Salpêtrière. With regard to La Pitié-Salpêtrière, I cannot, minister, not mention the facts, just the facts. Individuals forcibly entered a public hospital on May 1st. They then sought to enter a resuscitation service. The composure of caregivers has been remarkable, the action of the law enforcement agencies has been effective. The investigation alone will reveal the reasons for the intrusion and their intentions.
ParlaMint-FR_2019-05-07-O1221.u31	Were you there?
ParlaMint-FR_2019-05-07-O1221.u32	[[Applause on the benches of the LaREM group]] But I am struck by the fact that some here have so internalized and legitimized the violence of our society, when they have not encouraged it, preferring to exegese your remarks rather than condemn the violence of facts and acts.
ParlaMint-FR_2019-05-07-O1221.u33	Violence is you!
ParlaMint-FR_2019-05-07-O1221.u34	So, Minister, with the support and confidence of our majority, can you assure us that you will not deviate from your line that guarantees the public freedoms and security of our fellow citizens?
ParlaMint-FR_2019-05-07-O1221.u35	The next speaker is the Minister for the Interior.
ParlaMint-FR_2019-05-07-O1221.u36	And fake news!
ParlaMint-FR_2019-05-07-O1221.u37	Big kisses!
ParlaMint-FR_2019-05-07-O1221.u38	Let us place ourselves for a moment in the context of the eve of May 1. Everyone remembers the repeated violence of the last Saturdays, but also those of May 1, 2017 and 2018. Extremely serious threats were being made on this day of demonstrations. Between 1000 and 2000 activists were announced in the capital and, I tell you, the breakers were there. But on 1 May their attempts were systematically rejected. We avoided the worst spills...
ParlaMint-FR_2019-05-07-O1221.u39	Tell us about Pity-Salpêtrière!
ParlaMint-FR_2019-05-07-O1221.u40	... in particular by carrying out 19785 preventive checks, by ensuring that 361 persons were arrested and 328 held in police custody under controls where they were carrying weapons by destination.
ParlaMint-FR_2019-05-07-O1221.u41	And you plan to do it again every Saturday?
ParlaMint-FR_2019-05-07-O1221.u42	Of course, honourable Member, there have been some damage, but on 1 May our police officers and gendarmes prevented major violence from happening. They managed to do so, despite the attempts to overflow around the square of Italy that you mentioned. I am thinking in particular of the violence against the 13th district police station targeted at 3:47 p.m. I'm thinking of those who tried to get into a primary school at 4:01. I think of this CRS fallen and evacuated by his comrades under the cries of "finish him! At 4:47 p.m.
ParlaMint-FR_2019-05-07-O1221.u43	What about the violence against the CGT?
ParlaMint-FR_2019-05-07-O1221.u44	In Paris, thanks to an effective law enforcement mechanism and strategy, our law enforcement agencies have contained the breakers. [[Applause on the benches of the LaREM group]] Be aware that, on the basis of the elements that were provided to me when I went to the hospital, I pronounced the word of attack. Be aware, Madam Member of Parliament, ladies and gentlemen, that on the basis of the elements provided to me the next day, I made the choice to refer, like the director of the institution, to a "violent intrusion." In all cases, our public services have been threatened and have been protected and preserved by the security forces.
ParlaMint-FR_2019-05-07-O1221.u45	Mr Jérôme Lambert has the floor.
ParlaMint-FR_2019-05-07-O1221.u46	Prime Minister, you have just spent two days in Charente to see on the ground the results of the policies you are conducting. In order to ask you about this, I shall keep two minutes of exchanges which I have attended. Dairy producers and cattle farmers have told you their disappointments about the consequences of the Agriculture and Food Act, adopted last October: no significant increase in milk prices, and even a 4% drop in meat prices to producers.
ParlaMint-FR_2019-05-07-O1221.u47	We told you that!
