ParlaMint-FR_2019-02-14-O1149.u1	The next item is the continuation of the debate on the bill for a school of trust (No. 1481, 1629).
ParlaMint-FR_2019-02-14-O1149.u2	Last night, the Assembly continued its consideration of the articles of the bill, concluding with Amendment No. 1137 to Article 4.
ParlaMint-FR_2019-02-14-O1149.u3	On Amendment No 1137, I am seized by the UDI Group, acting independently, of a request for a public vote. The vote is announced in the National Assembly. Mrs Beatrice Descamps has the floor to support the amendment.
ParlaMint-FR_2019-02-14-O1149.u4	The amendment is intended to reassure the communes, who fear that they will not be able to enforce the law, for lack of financial resources, or rather lack the ability to advance the funds. You have already answered many questions and reassured us about the payment of compensation by the State, stating that it would take into account, for example, the investment needed to expand the dormitories. However, the amendment seeks to remove an ambiguity about the temporality of this funding, by proposing a sort of safeguard clause. We propose that the lowering of the age of compulsory education should be subject to the granting by the State of permanent compensation. On the other hand, my colleagues in the overseas countries and territories are wondering whether the Inter-Communal Equalization Fund will be reassessed every year.
ParlaMint-FR_2019-02-14-O1149.u5	Mrs Anne-Christine Lang, rapporteur of the Committee on Cultural Affairs and Education, has the floor to give the Committee's opinion.
ParlaMint-FR_2019-02-14-O1149.u6	Unfavorable opinion. Article L. 131-1 of the Education Code provides for the obligation of education for each child between 3 and 16 years of age. This education can be done in the family and, far from being limited to kindergarten children, it applies to all children between the ages of 3 and 16. There is no reason to make the application of this article conditional on funding that only concerns those under the age of 6 who are educated at school.
ParlaMint-FR_2019-02-14-O1149.u7	The Minister for National Education and Youth has the floor to give the Government's opinion.
ParlaMint-FR_2019-02-14-O1149.u8	Same opinion.
ParlaMint-FR_2019-02-14-O1149.u9	Mr François Pupponi has the floor.
ParlaMint-FR_2019-02-14-O1149.u10	Minister, I heard the commitment you made yesterday: an endowment will compensate for operating expenses. You have also announced that we will take over the investment costs. In view of the impact assessment, this would be done from the DSIL – local investment support. But last year, you made the same promise to double the CP classes to twelve students. However, when the cities of Sarcelles and Villiers-le-Bel, both in priority districts of the city, submitted a request for funding to the prefect of Val-d'Oise, the latter refused. Nothing! Zero! It was necessary to shout and intervene with the regional prefect, who paid 120,000 euros to the city of Sarcelles and 25,000 euros to the city of Villiers-le-Bel, while they spent several hundred thousand euros. If the State states that the DSIL will have to be given priority to these investments, we will be reassured. But if the prefects are told that, on this endowment, it is necessary to finance the CPs to twelve pupils, the application of the reform in the kindergartens and the program "Action Coeur de ville", they will play the cup to try to satisfy everyone. Finally, if there are not enough resources, it must first be given to poor cities. In Val-d'Oise, some cities, which are not necessarily poor, received DSIL to split the CPs. The priority must be to finance the municipalities eligible for the urban solidarity grant.
ParlaMint-FR_2019-02-14-O1149.u11	Mr Jean-Christophe Lagarde has the floor.
