ParlaMint-FR_2019-10-02-O1005.u1	The next item is the continuation of the discussion of the bioethics bill (No. 2187, 2243).
ParlaMint-FR_2019-10-02-O1005.u2	This afternoon, the Assembly continued its discussion of the articles of the bill, concluding with section 4.
ParlaMint-FR_2019-10-02-O1005.u3	Mrs Nicole Sanquer has the floor.
ParlaMint-FR_2019-10-02-O1005.u4	I would like to draw your attention to the particular situation in French Polynesia. You know that we have a certain degree of autonomy enshrined in the Organic Law of 27 February 2004. However, this bill could affect the cultural identity of the Polynesian population, a population for which paternal filiation is paramount in ensuring genealogy and quasi-sacred connection with the family land of origin. Polynesian culture irrigates local law: attests to this the law of 26 July 2019 establishing the French Polynesian court, setting up the Polynesian land individual and authorizing the distribution by family strain – a subject that is dear to you, Madam Keeper of the Seals, and which you have perfect control of. It would appear that the amendment made by this text in relation to filiation prejudices our cultural identity, in particular with regard to the recognition of the land titles called "tomite", which are the concrete mark of the ancestors, the tupuna, from which we derive our identity. That is why I ask you, Madam Keeper of the Seals, to reassure us by showing particular attention to the situation of the communities in the Pacific, particularly French Polynesia.
ParlaMint-FR_2019-10-02-O1005.u5	All right!
ParlaMint-FR_2019-10-02-O1005.u6	Mrs Laurence Vanceunebrock-Mialon has the floor.
ParlaMint-FR_2019-10-02-O1005.u7	With Article 4, we will give all children who will be conceived through medically assisted procreation – LDCs – the same protection, regardless of the sexual orientation of their parents, through a filiation guaranteeing them the same rights, which we can welcome. However, children born to a couple of women prior to the promulgation of this text will be left in a precarious situation. If the law does not have retroactive effect, it is up to the legislator to determine what seems to him to be the most correct, especially since transitional arrangements can be put in place to correct a particular flaw. If we simply recognize a sonage only to future families, we will create inequality with regard to children already born: they will not be protected and will keep their filiation incomplete, with the possibility of seeing a mother and sometimes a sibling disappear from their lives, as already happens in families composed and defeated before the promulgation of the law opening marriage to couples of same sex. The precarious situation of children born to a couple of women had so far been justified only by the fact that in France the LDC was not accessible to their parents. How can we justify this situation from now on? More importantly, how can this inequality be justified in comparison to other children who will also be conceived by LDCs? Understand that this difficulty comes directly from the present text, because it is indeed from the opening of access to the LDC that the establishment of a new system of filiation results, and it is because this system concerns only a part of the children that this discrimination will be created at the expense of those who are born too early. I will defend several amendments proposing solutions to give these children the safety they deserve. This will allow you to choose between extending an existing legal regime, possession of a state, and setting up a transitional system. These options for late recognition of filiation do not represent any burden on the State, they do not remove rights to anyone and certainly will not upset our country. On the other hand, they could greatly relieve the families concerned. [[Applause on several benches of the LaREM group and on the benches of the GDR group]] Simone Veil said that social reforms are still taking place in pain. Well, let us allow ourselves to contradict it and try to reach out to these families; Let us show wisdom but also political courage.
ParlaMint-FR_2019-10-02-O1005.u8	Mrs Nathalie Elimas has the floor.
ParlaMint-FR_2019-10-02-O1005.u9	Article 4 is particularly important in that it deals with a subject as sensitive and structuring for our society as filiation. The system of early declaration of will, the DAV, as envisaged by the original draft law, with the creation of a new Title VII bis of the Civil Code, was not sufficient and raised many questions, many concerns. I would therefore like to commend the quality of listening shown by the Government, which has led to a rewriting of the article taking into account the various remarks made during the hearings. Changes in the law of filiation are necessary – all agree – in order to draw the consequences of expanding access to the LDC for women's couples and single women. However, these developments must take place in a calm manner and ultimately ensure legal certainty for all parents and for all children. Article 4, in its new wording, with the creation of a new chapter in Title VII of Book I of the Civil Code on filiation, seems to us to be more balanced. However, it remains imperfect in our eyes and we will have to look again at this complex subject – I am thinking of the legal regime which, in my view, remains derogatory for women's couples who will have to make joint and early recognition, where the current regime, provided for in article 311-20 of the Civil Code for couples composed of a man and a woman, already bases the filiation of children born of reproductive medical assistance – AMP – on the consent expressed by their two parents. The aim will therefore be to achieve a more secure and stable system for all families. Moreover, let us close the door in a clear and definitive way to the gestation for others – GPA – a red line that must never be crossed.
ParlaMint-FR_2019-10-02-O1005.u10	Mr Yannick Favennec Becot has the floor.
ParlaMint-FR_2019-10-02-O1005.u11	Madam Keeper of the Seals, I would like to tell you the story of a couple in my constituency, in the north-east of Mayenne, and to have your opinion on a situation which, unfortunately, is not unique. They're married. The wife can no longer bear a child, since her uterus was taken from her as a result of the birth of their first child. Both gave their gametes in order to design an embryo that was carried by a woman in the United States where GPA is legal. Nine months later, they became the biological parents of a beautiful child who looks a lot like his mother. That child, they wanted it, they wanted it. They followed the pregnancy; They got involved. Today, they raise him with all their love. But a veil darkens this happiness because, in France, only the biological father is recognized by the civil status as the father. For the moment, this woman, who has carried this parental project with her husband and has given her gametes, is not recognized as the mother of the child – she is only the wife of the father. You're going to talk to me about childbirth, biological likelihood... but do you think that the one who gave birth can really be considered the mother when she didn't feed any parenting projects? I would remind you that we have adopted an amendment to include this concept of parenting in the legislation. In addition, this woman who gave birth has no biological connection to this child. What is the weight of biological likelihood in terms of biological reality, parenting reality, societal reality? Perhaps, Madam Keeper of the Seals, you will answer me that this mother – and I say "mom" because she is the mother of this child – can establish a mode of filiation with her child by adopting her. Maybe you'll tell me about other ways of establishing filiation. But do you think this is an acceptable answer for this family and all those in the same situation? Do you find that it is an answer to the height of our country that prides itself on being the country of human rights? [[Mr. Raphaël Gérard applauds]] Madam Keeper of the Seals, agree to recognize that the one who must be the mother of this child in civil status is this woman who conceived with her husband a parental project and gave her gametes so that their son could see the day. We cannot continue to ignore these inhuman situations on the grounds that GPA is not legal in France. In this case, it is not a matter of legalizing the GPA, but of advancing the law in a spirit of justice, fairness, in order to ensure the protection of the best interests of the child.
