ParlaMint-FR_2019-09-24-E2010.u1	The next item is the continuation of the discussion of the bioethics bill (No. 2243, 2187).
ParlaMint-FR_2019-09-24-E2010.u2	This afternoon, the Assembly began to hear the speakers in the general discussion. Mr Pierre Dharréville has the floor.
ParlaMint-FR_2019-09-24-E2010.u3	More than others, perhaps, the bioethics issue brings together the best of our human consciences. In fact, it is almost a bit unfortunate: are our consciences sufficiently alert, cautious enough, faced with the more daily challenges of climate, health, work, unemployment, inequality or democracy, which each raises serious ethical questions? Nevertheless, the power acquired by humanity over life itself, through knowledge and technology – the human condition thus becoming, in certain respects, reformable – questions in a particular way our common destiny. What can we do with this power, with this superpower and for what purposes? What do we become when we practice it? Here we are faced with dizzying questions, sometimes doubts, in the face of issues of civilization that can engage the future of the human race. These questions, if they affect the intimate, are nevertheless eminently political. They lead us to a single question that underlies them all: how can we respect the dignity of the human person? Contrary to appearances, asking the question is not enough to answer it. And it would be crazy to approach this discussion without saying a word of this fundamental requirement. We know how much it can be undermined by the logics of commodification, instrumentalisation, profit or profitability that seek to insinuate themselves wherever they can. We know how much this requirement can also be called into question by totalitarian, dehumanizing or discriminating approaches. We must make the effort to look at things on the right scale, to take the necessary step backwards and heights, to face issues without bias, to care about all the consequences, having the courage to collectively map the boundaries of ethics. This requires a deep debate, a work of elucidation of meaning. This implies not sticking to a liberal, market-oriented approach, balancing supply and demand. In other words, there can be no bioethics without borders, conditions or prohibitions. Individual desire cannot be sufficient to overcome a rule if it goes against the fundamentals essential to the human community. This reflection must be carried out with consideration for the first concerned, because the subjects are sensitive and, behind the decisions we have to make, there are expectations, desires, and possibilities. The answers are not necessarily in black and white, nor are the contours always easy to trace. Often it is a question of knowing under what conditions the power given to us by scientific advances can be exercised. Neither liberalism nor conservatism are possible options – it would be wrong to pose the problem. The subjects must be resolutely examined with the concern to respect both every human being and all human being, the person as a member of past, present and future humanity. Thus, the scope of the questions before us is broad and the law does not cover it entirely. We probably fall short of the challenges related to the progress of artificial intelligence – AI – applications of big data, transhumanist approaches or the new star war. These are emancipatory potentials, but also what to distort the human, what to undermine our freedoms, what to alter our free development. Powerful engines, driven by private interests in particular, are manoeuvring in all these technological fields. But the human person is the result of a civilizing process of which he is also the subject. So, what humanity do we want to be? Let us not rule out this question, let us not allow the answer to be dictated out of any democratic deliberation. I mean here the need to base the choices that we have to make on coherent and consistent arguments, which take into account the real contradictions. Reproductive medical assistance – AMP – has been developed in recent years for couples who experience difficulties in procreation. It is proposed here to extend the possibility of using it to women's couples and single women who feed a parenting project. We are in favour of that. According to some, it would be a matter of opening up a right to the child. That would be unacceptable if it were, because the child is a person who cannot be chosified. In this case, however, it is a matter of opening not an enforceable right but the possibility of access to possible assistance in his family project. The text does not invent the different forms of parenting that already exist in society. In the name of what to refuse an accompaniment, medical and social, in procedures that we know can be difficult and sometimes fruitless? They do not in themselves violate human dignity or the rights of the child, since parental love is at the root of it. On the other hand, this development is part of a renewed approach to donor-based reproductive health assistance. She calls for a rethink by extracting herself from the expectations of likelihood and assuming the strength of the gift. It must be recognized that parenthood is born of desire and project, is built in the educational and human relationship, is full and complete. These are the origins, not exclusive in fact, far from any biologizing conception of the human being: its development and emancipation are so richer, so less predetermined. This is one of the reasons why we express reservations about the removal of the donor's anonymity, fearing, moreover, that it will turn into a social incentive to ask for it. Anonymity is an indispensable condition of donation. The fact of undermining the philosophy of gift as we know it is not without consequences. In addition to all the possibilities available, in order to preserve the meaning given to the birth, it is necessary to retain two formulas: assistance without a donor when possible, and, where this is not the case, assistance with an anonymous donor. Wouldn't openness to other combinations lead to other ethically risky approaches? As for GPA – gestation for others – which involves the instrumentalization, whether commercial or not, of the bodies of others, it seems to us to seriously challenge our ethical principles. It is therefore not a question of denying the enditude of the human beings that we are, with their individual faculties, and of pretending, but of assuming the fact that society accompanies, in the respectful rules of the human person that it gives itself, the fulfilment of family projects. The provisions relating to filiation must have no other purpose than to establish the equality of the children to be born at the beginning of the law in the civil register. That is why we were defending the establishment of an identical procedure, and you have taken a significant step in that direction. For us, the management of all activities related to reproductive assistance deserves special attention. No market should be able to develop in this area, no profit should be made from it, whatever it may be – and I am not talking here about the fair wage for the work done. It therefore seems necessary to develop the public service in an appropriate manner, including to manage new approaches and data files. That is why we are standing up against the offensive in committee to allow the conservation of gametes by private for-profit institutions. This provision should be removed and the means given to CECOS – centres for the study and conservation of human semen eggs – to do their work in the best possible conditions. The issues we have just mentioned call for ways on which, for the time being, we do not have any tangible assurance. Ethics has a cost, and we must assume it without which we philosophize, which is not useless but is insufficient. Let me say a word about the French Laboratoire de fragmentation et des biotechnologies – LFB – which I am concerned about, as it seems to be planned to bring in private investors. In the meantime, public capacity should be developed in this area. My amendment on this point has been rejected. It will not be discussed, although it is a subject of bioethics which the Assembly should have to know about. I come back for a moment to genetic data, which are now the subject of an international trade that should be worrying. These data are both individual and collective, they are the matrix of the human race. The greatest care must be given to their future and their use. The logics of data ownership, storage requirements and other contingencies pose vast problems, at which time we are not really. As far as research is concerned, which is essential to know, understand and care for, it is of course appropriate to extend its scope only within the limits that we determine, and without giving in to any pressure whatsoever from international competition in this field, if ethics seems to us to be compromised.
ParlaMint-FR_2019-09-24-E2010.u4	He's right.
ParlaMint-FR_2019-09-24-E2010.u5	In many areas, we have now reached the borders of the questioning of the human species, of the possible modification, by the hand of man himself, of the homo sapiens. Do we really want to create increased humans to replace us? Without going so far, there is the possibility of a more and more general sorting, in which we would arrogate the right to decide who has the right to be born and who must be prevented from doing so. Everything that would bring us closer to this perspective must be ruled out. We know that we are imperfect, fragile, unevenly fragile, and rich in our diversity. It is to this humanity that I want to belong.
ParlaMint-FR_2019-09-24-E2010.u6	He's right.
ParlaMint-FR_2019-09-24-E2010.u7	I mean, I want to tell you about a doubt. With every bioethical law, the emergence of the possible, which is not always driven by humanism, is shaking us. Some view bioethics law as the western border. We must take the best of these possibilities while being able to resist the accelerations which seem inevitable and whose dangers we measure. The stakes are not thin. We must rise to the right level, remain masters of our future as much as we can, masters of the future of the human race. I have said what I believe today, I have said it with humility and sincerity, as I always have at heart to do, perhaps with more care still today. From birth, from life, from sickness, from death, that it be furiously forbidden to trade. And that the human is always at the highest level respected. To do this, with the experience of collective appropriation to which bioethics and the experience in which we are called, I call to broaden its scope – that will not surprise you. Humanization of humanity is a great purpose. Do we look sufficiently in the face of the anthropological crisis that is holding us, this crisis of meaning, of the imagination and of the common? This crisis has to do not with freedom and love, but with the little care that we take, knowingly, of each and every one and the links that unite us, in the development and human creativity prevented. "Man is the world of man," Marx wrote. For Lucien Sève, who was the first philosopher, a member of the National Ethics Advisory Committee – CCNE –, "respecting man is not to cling to any natural or social status quo, it is to act with vigilance and boldness for his greatest human becoming." [[Applause on the benches of the GDR, FI and SOC groups. – MM. Dominique Potier and Thibault Bazin also applaud]] We can – this conviction makes my veils beat – get out of the ruts where capitalism maintains us, where we block patriarchy and where we lock up racism, to create conditions conducive to the free development of each and every one.
ParlaMint-FR_2019-09-24-E2010.u8	Mrs Marie-Pierre Rixain has the floor.
ParlaMint-FR_2019-09-24-E2010.u9	Ethics and politics: these are two terms which, associated, seem contradictory, because the first seems to mean private, and the second, public; because the first seems to refer to the individual, and the second to the community. However, we are all together, ladies and gentlemen, because the intimate is also political. Few laws force us to look at the definition of our society and the contours of humanity. I welcome, ladies and gentlemen, the bill that we are about to consider, including section 1, with new rights for women. Finally, it takes into account the plight of thousands of women who are forced to resort to harmful practices for themselves and their children because of unjustifiable discrimination. I am proud to belong to the majority who finally recognizes the existence and rights of all families in their diversity. Yes, women's couples and single women will be able to safely carry a parenting project. In this way, we intend to reaffirm the right of women to control their bodies, motherhood and lives. The LDC – medically assisted procreation – for all is not annoid or anecdotal because it would concern only a small number of women. On the contrary, it is a strong gesture, a new right for women, an additional step in their emancipation. Because I chair the delegation to women's rights and equal opportunities for men and women in the National Assembly, it was with a feminist prism that I studied this text and held a speech of encouragement, not devoid, sometimes, of vigilance over certain articles. My vigilance relates in particular to Article 21, to which several members of the delegation have chosen to submit an amendment aimed at restoring, for the articles of the Public Health Code on the IMG – medical interruption of pregnancy – the reference to the conscience clause specific to the IVG – voluntary termination of pregnancy. Indeed, we do not understand why, by completely rewriting section L. 2213-2 of the Public Health Code, the bill removes current references to the fact that the rules applicable to the GVI with respect to the conscience clause also apply to the GMI. Why want to introduce a new awareness clause specific to the IMG that would create a parallel and potentially less protective regime for women's rights, even though the delegation wondered about the relevance of this double clause and that it was again pointed out at the hearings of the Special Committee? The fruitful body of women is firmly at the heart of bioethics issues, but it did not take them to be a political object. Reproductive rights or maternity injunction: too long women have not had control of their bodies, social control and medical supervision. That is why I am very committed to the fact that this text and our debates do not contribute to conveying an archaic and caricatureal vision of women, by virtue of which they would not be able to make free and enlightened choices, nor to exercise their free will. If women fight for the control of their own bodies, it is to become actresses of their own lives and thus prevent certain behaviors from being lent to them and decided in their place. In Françoise Giroud's words, "femininity is not an incompetence. Nor is it a competence." So let us not spread a suspicion of vulnerability to women, especially when it comes to dictating the conditions of their motherhood, the one they have chosen. Let us ask ourselves the right questions: why should a single woman have access to GPA techniques with third-party donors and prevent a woman who has lost her husband in the middle of a path of LDCs from completing it? Of course, this is a complex decision, which must question the consent and revocation of the death penalty, but not the free will of women. Finally, I would like to welcome the possibility that has been opened up, for both women and men, to keep their gametes for themselves outside of any medical grounds. It must be seen as a step forward for more and more women to observe a growing gap between the time of fertility and that of the parental project. The self-conservation of gametes will give women a new mastery of their motherhood: choose rather than undergo. [[Applause on several benches of the LaREM group]] Therefore, ladies and gentlemen, it is with this feminist gaze that I invite you to study this text, with this will that it is more than progress for women, freedom.
ParlaMint-FR_2019-09-24-E2010.u10	Mr Maxime Minot has the floor.
ParlaMint-FR_2019-09-24-E2010.u11	Defending a cause that is believed to be right, having convictions and assuming them: that's why I decided to run for local elections a few years ago in my small village of Étouy.
