ParlaMint-FR_2019-02-14-O1150.u1	The meeting was suspended.
ParlaMint-FR_2019-02-14-O1150.u2	The meeting was resumed.
ParlaMint-FR_2019-02-14-O1150.u3	The next item is the continuation of the debate on the bill for a school of trust (No. 1481, 1629).
ParlaMint-FR_2019-02-14-O1150.u4	This afternoon, the Assembly continued its discussion of the articles of the draft law, concluding with amendment No. 705, which included an additional article after article 5 quater.
ParlaMint-FR_2019-02-14-O1150.u5	I have before me two amendments, Nos 705 and 1000, which can be discussed jointly. Mr Christophe Bouillon has the floor to support Amendment No. 705.
ParlaMint-FR_2019-02-14-O1150.u6	According to the formula of André Siegfried, famous sociologist of Le Havre – which should awaken the attention of the Government – "the Normans are violently moderate". In other words, they're stubborn. This amendment therefore incorporates section 1 of the bill that I had the opportunity to defend on 31 January, which is itself a provision of a text that you tabled last October. It is simply a matter of ensuring that children with disabilities and their families get back to school. Thus, at least 45 days before the start of the school year, he assures those who have submitted a file five months before to the departmental house of disabled people – CDMH – that the human accompaniment or material that has been requested will be present on the day of the school year. During the drafting of this bill, we were able to hear from many interlocutors, including representatives of the National Association of Directors of CDMH and the National Solidarity Fund for Self-Government. In this connection, I am very pleased to note that, on 11 February last, when you recalled the interest of the large-scale consultation, the working group on the simplification of the school enrolment process considered this provision to be applicable. As the measure is within reach, I ask you again to send a strong signal to the families. It is possible that the State may guarantee them the right to a regular return to school.
ParlaMint-FR_2019-02-14-O1150.u7	Mrs Emmanuelle Ménard has the floor to support Amendment No. 1000.
ParlaMint-FR_2019-02-14-O1150.u8	A school of trust is a school where each student can be accommodated as he or she is, disabled or healthy. Behind the good intentions, parents of children with disabilities expect concrete action in favour of their children's schooling. I come back to a measure of common sense, which costs nothing, but which will actually facilitate the lives of these families. The return to school is always a difficult time for the parents of a disabled child. It is therefore important that children should be able to be informed widely before they return home that their child will be well-accompanied. That is why they must be assured that their child will have an accompanying student, at least 45 days before the start of school. This will allow them to approach the latter in a serene manner, and to meet with the companion upstream. It is truly regrettable that this pragmatic measure, which was included in the bill for a truly inclusive school, has not been adopted. I hope you can do something about it tonight.
ParlaMint-FR_2019-02-14-O1150.u9	Mrs Anne-Christine Lang, rapporteur of the Committee on Cultural Affairs and Education, has the floor to give the Committee's opinion.
ParlaMint-FR_2019-02-14-O1150.u10	Unfavorable opinion. The Government's amendment will make significant progress in providing support and anticipating needs.
ParlaMint-FR_2019-02-14-O1150.u11	The Minister for National Education and Youth has the floor to give the Government's opinion.
ParlaMint-FR_2019-02-14-O1150.u12	Unfavorable opinion. My presentation at the end of the previous sitting illustrates the considerable progress that will be made in the area covered by these amendments. So far, it was extremely difficult to consider the provision you are proposing, as recruitment was done late, in a logic of the stream. My proposal is to move towards a system where it will be much easier to recruit upstream. In reality, as you know, the notifications of the CDMH do not all arrive at the same time, nor all before the beginning of the year. If we included this provision in the legislation, we would necessarily face exceptions. However, I can make a commitment to national representation, the goal will be the one you set. The progress that will be made in 2019 will be considerable compared to those made in 2018 and previous years. It is this government that will have made them possible first. Sometimes I find myself in the paradoxical situation of announcing progress and being accused of not going beyond it. Nevertheless, we must compare this progress with the level we are going on these issues. As you point out, it is necessary to recruit as early as possible from the beginning of the school year and organize meetings between the family, accompanying students with disabilities – AESH – and the educational team. We will do so as much as possible, but to include it in the code of education, as you know, would expose us to some exceptions, related to the way the system still works today. Although I do not think this is necessary, as the regulatory route can be used, the provision may one day be included in the code. In any case, let us not hide the exceptional progress that will take place. It would help to ensure that things do not progress as well as they can. Today, it is important that information on this progress be shared with families so that they understand that interaction with national education is greatly facilitated. I will therefore give an unfavorable opinion to these amendments, even if we are going in the direction you wish, in an unprecedented way.
ParlaMint-FR_2019-02-14-O1150.u13	I call Mrs Jacqueline Dubois to support Amendment No. 946.
ParlaMint-FR_2019-02-14-O1150.u14	This amendment, tabled by the La République en marche group, should have been tabled by Daniel Adam, who could not be present. The rules of procedure of a school are an essential document, which recalls its rules of life. Among other things, it details respect for the principles of living together, guarantees the protection of the pupil and his dignity, and organizes dialogue between the families and the teaching team. By integrating elements of an inclusive environment, the school's rules of procedure can help to improve the reception of students with disabilities and better take into account their needs.
ParlaMint-FR_2019-02-14-O1150.u15	What is the opinion of the committee?
ParlaMint-FR_2019-02-14-O1150.u16	Favourable opinion. The wording of this amendment is more appropriate to us than the one which was proposed in committee and which we had to reject.
