ParlaMint-FR_2019-11-28-O1087.u1	As the Government was not represented, the meeting was suspended.
ParlaMint-FR_2019-11-28-O1087.u2	The meeting was resumed. Before we begin our discussions, I would like to remind the Government that respect for Parliament implies being present at the opening of the National Assembly, a fortiori when it comes to a sitting reserved for the agenda set by parliamentarians, in this case the MODEM Group.
ParlaMint-FR_2019-11-28-O1087.u3	The next item is the discussion, under the simplified procedure, pursuant to Rule 103 of the Rules of Procedure, of Mr Jean-Noël Barrot's proposal for a law and several of his colleagues to combat the pitting of forest spaces in Île-de-France (No. 2152, 2435).
ParlaMint-FR_2019-11-28-O1087.u4	As no amendments have been made to this text, I shall put it to the vote under Rule 106 of the Rules of Procedure.
ParlaMint-FR_2019-11-28-O1087.u5	The next item is the discussion, under the simplified procedure, under Rule 103 of the Rules of Procedure, of the bill adopted by the Senate to improve the legibility of the law by repealing obsolete laws (No. 1765, 2431).
ParlaMint-FR_2019-11-28-O1087.u6	As the amendments tabled have not been defended, I shall put to the vote the whole bill under Rule 106 of the Rules of Procedure.
ParlaMint-FR_2019-11-28-O1087.u7	The next item is the discussion, at second reading, under the simplified procedure, pursuant to Rule 103 of the Rules of Procedure, of the bill, as amended by the Senate, to improve the cash flow of associations (No. 2432, 2127).
ParlaMint-FR_2019-11-28-O1087.u8	Mr Dominique Potier has the floor for a point of order.
ParlaMint-FR_2019-11-28-O1087.u9	Colleagues, take this point of order, based on Rule 103 et seq., as a request for clarification of the spirit of our deliberations today. Under the simplified review procedure, the parliamentary groups seemed to have agreed on the principle that, after the discussion of the bill in committee, they did not submit amendments to the committee. Of course, the practice to which I refer is not included in the Rules of Procedure, but the Members seemed to have agreed on this method of allowing minority and opposition groups to see their consensual bills passed, to save time – o so precious – during the sitting reserved for them and to work in complete serenity. I am therefore surprised – but only a question – that the rapporteur has tabled, in disregard of this principle, an amendment on a text which was the subject of broad consensus during her examination in committee last week. Article 4a, which the amendment proposes to delete, is intended to exclude from the scope of the right of preemption gifts of real property for the benefit of associations and foundations. This provision had been introduced by identical amendments from the Socialist and Related Groups and the Democratic and Related Movement. While the article had been deleted by the Senate, the committee, on a proposal from my group, re-established it in a consensual manner, as the rapporteur had issued an opinion of wisdom. Let me therefore be surprised at the tabling of this amendment against which we will vote.
ParlaMint-FR_2019-11-28-O1087.u10	In accordance with Rule 107 of the Rules of Procedure, I shall call only the amendments and the article to which these amendments relate.
ParlaMint-FR_2019-11-28-O1087.u11	Mrs Sarah El Haïry, rapporteur of the Committee on Constitutional Laws, Legislation and General Administration of the Republic, has the floor to support Amendment No. 7.
ParlaMint-FR_2019-11-28-O1087.u12	This allows me to give Mr. Potier the precision he asks. The amendment is intended to ensure that the text is voted in conformity in the Senate and, therefore, its immediate entry into force to meet the needs of associations. In committee, I issued an opinion of wisdom after warning of the risk that this provision would delay the final passage of the bill. What brings us together today and gives rise to such unanimity is the situation of the associations and their cash flow. The text contains many advances in favour of the latter. As Article 4a could be an element of blockage, its deletion was intended to save the text the limbs of the procedure.
ParlaMint-FR_2019-11-28-O1087.u13	The Secretary of State to the Minister for National Education and Youth gave the Government's opinion.
ParlaMint-FR_2019-11-28-O1087.u14	The Government had supported, during the discussion at first reading, the amendments that had introduced a ban on mayors exercising the right of preemption on donations of real property for the benefit of foundations, congregations and associations. But I have heard the arguments of honourable senators and members of the House of Commons, and it must be noted that this provision has not been widely accepted. It seems reasonable to me, therefore, to rely on collective intelligence in the territories. I am one of the government members who are elected local – I sit on a municipal council. I give full confidence to the elected representatives to show the intelligence that characterizes them. Since the measure did not convince us, I suggest that we stick to the existing law. My opinion is therefore in favour of the amendment.
ParlaMint-FR_2019-11-28-O1087.u15	Mr Dominique Potier has the floor.
ParlaMint-FR_2019-11-28-O1087.u16	I thank the rapporteur who had the courtesy to reply to me when she was not obliged to do so. His arguments convinced us.
ParlaMint-FR_2019-11-28-O1087.u17	I put the whole bill to the vote.
ParlaMint-FR_2019-11-28-O1087.u18	The next item is the debate on the bill by Messrs. Jean-Luc Lagleize, Patrick Mignola and several of their colleagues aimed at reducing the cost of land and increasing the supply of housing accessible to the French (No. 2336, 2434).
ParlaMint-FR_2019-11-28-O1087.u19	Mr Jean-Luc Lagleize, rapporteur of the Committee on Economic Affairs, has the floor.
ParlaMint-FR_2019-11-28-O1087.u20	Over forty years ago, Edgar Pisani published his book Utopia Land. As soon as it was published, this essay was considered revolutionary, as it demonstrated that in France, property as described in the Civil Code is the result of a historical accident. Minister of Agriculture and then Minister of Equipment and Housing under the chairmanship of General de Gaulle, its author has shown that many societies live and flourish with another legal and economic definition of land appropriation. The fruit of our history from Napoleonic code, the property was thus, for the first time, called into question in favour of a more collective and universal relationship to the ground. With hindsight, this essay is still timely, as it addresses the major challenge of controlling rural and urban land and, through it, the future of humanity and the fragility of ecosystems. Forty-two years later, we gathered in the Assembly to discuss a bill to reduce the cost of land and increase the supply of housing accessible to the French. Forty-two years have passed, but the problems remain and undermine both the daily lives of our citizens and the viability of our cities and territories. Forty-two years have passed, our cities have snacked on the ground, but our citizens are more than ever facing a painful situation with regard to the cost of land and housing. The price of land has increased by 71 per cent in ten years, which makes it difficult for many French people to live with dignity and freedom, especially in the tense areas of our country. However, we observed this during the movement of yellow vests, the cost of land ultimately strikes the purchasing power of the French and hinders their quality of life. According to INSEE, the National Institute of Statistics and Economic Studies, the share of expenditure on household income increased from 12% in 1960 to almost 30% in 2017, and it is housing and associated expenditures that ultimately lead to their purchasing power.
ParlaMint-FR_2019-11-28-O1087.u21	That's right!
ParlaMint-FR_2019-11-28-O1087.u22	Despite the continuous increase in these expenditures, the French are not necessarily better housed. On the contrary, they are often relegated away from tense areas, which de facto results in a significant increase in their transport costs. In this critical context, this bill, supported by the Group of the Democratic and Related Movement, aims to reduce the cost of land in order to breathe new life into the French budget. It also aims to place local elected representatives at the heart of the act of building the city, giving them real tools to implement their land intervention strategy. This text is the result of the mission entrusted to me by the Prime Minister, whom I solemnly thank for his confidence. My thanks also go to you, Minister responsible for City and Housing. I have submitted my report to you, which contains fifty proposals. Before I present you in detail the work of the Committee on Economic Affairs on the articles of the draft law, I would like to express my sincere thanks to the spokespersons of all the political groups in the House for their involvement in this text. I have approached him with humility, and I am proud to have been able to carry out with you a real work of co-construction, on a subject of major importance for our fellow citizens and how much trans-peer. Article 1 is intended to limit the use of tendering for the transfer of land and immovable property in the domain of the State and territorial authorities. This is simply an exemplary measure: public actors will have to encourage the use of amicable sales in the disposal of their land, in order to limit the harmful impact of auctions on the formation of new reference prices. The auction is only a modality in the range of possibilities for the sale of land. The alternative solution is the amicable sale, which is carried out either on a voluntary basis or with publicity and competition, by invitation to tender for major projects or in the context of an interactive notarial sale. This method of disposal also makes it possible to value qualitative criteria and limits the risks of excessive increase in land prices in the under stress neighbourhoods. Article 2 provides for the establishment of free tenure bodies, which will promote housing acquisition projects based on the dissociation between land ownership and the ownership of the building. It thus aims to develop in an innovative way a third right of ownership, complementary to the first two, which are the full classic property and the dismemberment of the right of ownership which divides it between the usufructuary and the nu-proprietary. While the average weight of land in the balance sheet of a development operation is regularly between 30 and 40 per cent, or even 50 per cent, in tense areas, dissociation will make it possible to produce housing at a more accessible cost for our citizens. Following the model of solidarity land tenure bodies, free land tenure bodies will be able to massify the dissociation in favour of intermediate housing, free housing or housing for commercial or service use. In order to prevent any speculative risk over the long term, the Committee on Economic Affairs has called for this activity to be carried out only by public or mainly public companies. Article 3 establishes housing and land observatories in order to increase transparency for the benefit of local elected officials and citizens and to objectiveize changes in land prices. Local and regional authorities will thus have the analytical capacity to manage their land policy. In fact, the establishment of strategies to control land prices by local and regional authorities requires that they have reliable, up-to-date and consolidated data on land prices at the life-cycle level. The mission of the housing and land observatories, which will be attached to the local housing programme – PLH – will be to study developments in land tenure in their territory and to identify wasteland areas as well as areas potentially achievable by raising existing buildings. The urban planning agencies and the various public land establishments will, of course, be able to coordinate their expertise for the benefit of these observatories. Article 4 aims to create a national fund for the clean-up of wasteland. The rehabilitation of wastelands – whether industrial, commercial, administrative, urban or military – is a fundamental fight, particularly to combat the artificialisation of soils. In fact, optimising wasteland means reusing land that is already artificialized rather than using new land; It is to create housing and economic activity without using new spaces. We need to devise new tools to optimize the available land and to identify, requalify, clean up and value wasteland in tense areas. On these issues, we look forward to firm and resolute action by the Government. Article 5 seeks to allow local and regional authorities to use private expertise for the evaluation of certain real estate projects. Today, the real estate projects of the local authorities are subject, before any amicable agreement, to a request for prior advice from the government's real estate management. While we note the Government's reluctance to put a definitive end to the domain monopoly, we draw its attention, however, to the need to support and secure local authorities in their real estate projects. To date, methods of evaluating State services are regularly challenged by local elected officials, who wish to have such a right of option. Beyond this mechanism, on which we will have to decide, we therefore expect strong actions on the part of the Government to improve the functioning of the State's real estate management, so that local elected officials can truly benefit from its expertise. The Committee on Economic Affairs has deleted Article 6 in favour of an Article 6a which aims to strengthen the declaration of public utility reserve land. This device remains so far complicated, so little used, and only dedicated to urgent acquisitions. Article 6 bis will make it easier for local elected officials to set up land reserves, provided that the Government adapts the body of regulations accordingly. Finally, Article 7 aims to strengthen transparency measures in housing construction within the framework of the HLPs. All too often, the number of dwellings built in the community is much lower than the objectives set by the HLP. In the interests of transparency, both for the local elected representatives themselves and for our citizens, the article aims to establish an annual report in the municipal council and in the community council presenting the differences between the objectives of the PLH and the number of dwellings actually delivered during the previous year. This annual discussion will highlight the changing social and demographic situation as well as the analyses of housing and land observatories. This will make it easier for elected officials to manage the implementation of their construction and development projects. [[Applause on the benches of the MODEM and LaREM groups. – Mr Dominique Potier also applauds]] As you will have understood, ladies and gentlemen, this bill has been designed to equip local elected representatives with the necessary tools, in favour of the purchasing power of our fellow citizens. Our ambition is that the French will be able to emancipate themselves and regain freedom in their residential journey. So that this ambition does not remain a utopia, I invite you to pass the bill.
ParlaMint-FR_2019-11-28-O1087.u23	Excellent!
ParlaMint-FR_2019-11-28-O1087.u24	The next speaker is the Minister for City and Housing.
