ParlaMint-FR_2019-02-11-O1143.u1	The next item is the continuation of the debate on the bill for a school of trust (No. 1481, 1629).
ParlaMint-FR_2019-02-11-O1143.u2	This afternoon, the Assembly finished hearing the speakers in the general discussion. The Minister for National Education and Youth has the floor.
ParlaMint-FR_2019-02-11-O1143.u3	Madam President, Mr President, ladies and gentlemen, the rapporteurs of the Committee on Cultural Affairs and Education, ladies and gentlemen, my speech will not be very long, because the discussion of the articles will allow me to give a detailed answer to the various points raised during the general discussion. I will only repeat in a systemic way what has been said about the project as such and will specify two or three points, which, in my initial speech, may not be sufficiently clear. Let us recall the two objectives of the bill: raising the general level and social justice. We must come back to this on an ongoing basis, because it is good, in a society of trust, that we trust each other in defining the objectives we pursue. Of course, we can discuss the path to be taken, but just as I have no doubt that everyone is aiming for the success of the students, so I ask you to believe that my objective is the one I have just stated. Don't feed me what a fantasy vision about the end of the public service of education. If that were my objective, I think that would be the case.
ParlaMint-FR_2019-02-11-O1143.u4	It can be seen!
ParlaMint-FR_2019-02-11-O1143.u5	The measures I have taken over the past 18 months clearly show that I am not looking for an end to the public education service, let alone a two-speed school – except when we move to higher speed in priority education areas. For the quality of our discussions, to move the debate forward, it is important to postulate our good faith in the pursuit of our objectives,...
ParlaMint-FR_2019-02-11-O1143.u6	The basic premise is that he's right.
ParlaMint-FR_2019-02-11-O1143.u7	...even if we may have some differences – after all, some may not be in favour of raising the general level or social justice... We can then discuss the best way to reach them. I will insist on two essential vectors in this bill. To answer certain objections, I make it clear from the outset that I have never claimed to solve, through this text, all the problems of the school. Even if we amend it, many subjects will remain out of the way, because, as I said in taking up my duties, there is no law that can solve all the problems in education. That is why we have objectives that, if important, remain circumscribed. It is not easy to summarize them. However, two of them seem essential to me. They are identified everywhere as the first, the most important to change the quality of the education system. The first is teacher training, on which we will obviously come back in the next few days. That is an essential point. Let us not underestimate what is happening in this area. I was surprised that some of you are seriously attacking the pre-recruitment scenarios that we have envisaged, when this is one of the most social dimensions and the most capable of improving the quality of our education system in the coming years. On this and other points, each one will take on his or her responsibilities. If you want to remain, in history, like those who have spoken out against an effective pre-recruitment, against a social measure that will allow students to live on their income from the first years of their faculty, do so, but do not underestimate the importance of such a measure both in terms of the quality of the education system and in terms of society. Do not claim that this is an improvised measure either. I would remind you that we have been discussing this for months with the trade union organisations and that it has been welcomed by the actors. I bet, moreover, that she will be praised by those to whom she addresses. If I was a second-year college student, I'd really like to apply for a pre-recruitment. The second key factor in any education system is the relationship between parents and school. If the word trust matters, it's good in this relationship. In this area, however, we have progress to make. Article 1, which we will examine in a moment, sends an important signal. Unfortunately, on this article as on others, attention has curiously turned away from the essential to focus on the accessory. The focus was on the first sentence of the article, while the second had almost no comment. However, it is the latter – I would point it out to the speakers who will speak in a moment – that gives its full meaning to the article, since it relates to the mutual respect of the actors, in particular to the respect that the parents must testify to the teachers – which, in the news of last week, is an illustration a contrario. On these two key issues in education, the bill, far from being silent, opens the way for much-needed progress. In response to various speakers, I would like to stress that it focuses on primary school. Many of you have recalled this priority that I have been posting for eighteen months. Fundamental knowledge – reading, writing, counting, respecting others – is at the centre of our action, of the educational measures we have taken and of those we will take for the training of teachers. The same priority was given to the duplication of CPs and EC1, as well as to the creation of positions in the first degree. That is why, at the risk of causing in you the feeling of fatigue that I sometimes experience myself by answering questions on this subject,...
ParlaMint-FR_2019-02-11-O1143.u8	Change your profession!
ParlaMint-FR_2019-02-11-O1143.u9	...I repeat that there is no abolition of posts in primary school, and that the rates of supervision will improve after returning to each department. Mr Larive, I have checked the figures: the rate of supervision of Ariège is very similar to that of the Meuse.
ParlaMint-FR_2019-02-11-O1143.u10	So what?
ParlaMint-FR_2019-02-11-O1143.u11	The deputy for the Meuse, who quoted it, was kind enough to stress the benevolence of national education in his department. In Ariège, you will pass, as in many departments, the symbolic heading of a P/E – the number of full-time equivalent positions per 100 students in the first degree – above 6, since you will increase from 5.97 to 6.3, which places you very much above the national average. Of course, our goal is benevolence to rural schools. I insist on that because I agree with the first part of the speech you delivered earlier, to which I would not have cut off a comma. What you said about rural school and multi-level classes is strictly correct. I don't get tired of repeating it. Yes, in France, rural schools succeed better than the average of primary schools. Yes, multi-level classes, sometimes criticized, can be – as you said very well – synonymous with pedagogical quality, when they are well done, which is often the case. There is no reason to wish for the end of this school in our country. I ask you to believe me: we are pursuing a policy of support for this school, which can take various forms, maintaining a school with a multi-level class or educational grouping when the mayors wish, but in any case we must all want to maintain a strong rural primary school. The real problem – I say so in a somewhat solemn way – is demographic. Yet, if we all know, we finally talk about it very little: 40000 to 50000 children are missing each year. Indeed, it is born a little less than 750,000 out of the 800,000 that should come to the world in our country. However, this birth deficit mainly affects rural areas. The real answer to the real problem that you mentioned is a strong strategy of the State, which we want to pursue with local authorities, to re-attract the population in rural areas, in particular through an attractive primary school. This strategy takes time. It must also be affirmed. We also need to make the right diagnosis of the situation.
