ParlaMint-FR_2019-05-28-O1250.u1	The next item is the oral questions without debate.
ParlaMint-FR_2019-05-28-O1250.u2	Mr Loïc Prud'homme has the floor to put his question, No. 729, on the teaching of French sign language.
ParlaMint-FR_2019-05-28-O1250.u3	[[Mr Loïc Prud-homme began his speech by speaking in sign language]] I apologize to our 400,000 citizens who "sign" for the imperfection of my mastery of the LSF, the French sign language. However, within a few days, I have made more efforts than the Government has done in two years to ensure that the deaf and the hard of hearing do not remain excluded, despite the law of 11 February 2005, which is still not implemented. Beyond the recognition of the LSF in the Constitution, I would like to talk to you about what prevents hundreds of thousands of people from being citizens in their own right every day. Of course, generally speaking, the accessibility of persons with disabilities has increased, but for the deaf and hard of hearing, with an invisible disability, responses and accommodations are also invisible, and for reasons: they do not exist, or almost exist. These citizens are excluded from public services: in town halls or hospitals, no agents are bilingual French-LSF. In these places, it is easier to be an anglophone tourist than a deaf French citizen! They are also excluded from education since their earliest age: lack of real choice of teaching in LSF, lack of alternatives presented to parents, except implants for young children. Most of us do not know, but access to writing is a real problem for these citizens. It is therefore essential to develop the practice of the LSF by public officials, as well as the translation of public services online. [[Mr Loïc Prud-homme concluded his speech by speaking again in sign language]] In national education, the few teachers who train at the LSF do so voluntarily, on their rest time.
ParlaMint-FR_2019-05-28-O1250.u4	The Secretary of State for Disabled Persons has the floor.
ParlaMint-FR_2019-05-28-O1250.u5	Mr President, thank you for your question, which will allow me to share with you the concrete progress we have made towards the full participation of deaf and hard of hearing people in our society. Since October 8, 2018, five million people who are deaf or hard of hearing have had one hour of free communication per month via translators of the conversation in the language of their choice. This accessibility obligation also applies to reception services for public services and businesses with a turnover of more than EUR 250 million. This is a historic step towards the full citizenship of the persons concerned. Deployment into public services is ongoing. Aide handicap école, the standard of the Ministry of Education and Youth, the Ministry of Culture, its schools, ten museums, the Bibliothèque nationale de France, the Ministry of Foreign Affairs have already been made accessible. All ministries are mobilized; They have also been involved in interdepartmental disability committees. On February 22, 2019, access to emergency service 114 in full conversation was opened – I went to Grenoble for the occasion. 114 is a public service that allows people who are deaf or hard of hearing to access all French emergency call centres – on 15, 17, 18 – in metropolitan France and overseas. This service is unique in Europe. It opens up unprecedented opportunities for accessibility to the public service. This is, again, a major step forward, which will facilitate people's access to care. At school, the situation is changing. The Aide handicap école number is now accessible for deaf parents. The adaptation of French sign language programs is scheduled for October 2019. The decree on the optional teaching of the LSF in second and final cycle has been published. It provides for a three-hour weekly course, with an evaluation subject to continuous monitoring. The teaching centres for deaf young people, which are in the process of being deployed, allow two types of complete courses, from kindergarten to high school. With regard to inclusive schools, associations of parents of deaf children and professionals participated in the consultation. I got them all. Specific meetings have already been held, others are coming. At universities, access is facilitated by experimenting with tools adapted to these students. All the projects we undertake take into account the expectations of the people concerned, whether for employment, mobility or life rights. Mr President, we are acting to simplify the daily lives of everyone. We are all mobilized to improve the current conditions and ensure the full participation of all our fellow citizens in everything.
ParlaMint-FR_2019-05-28-O1250.u6	Mr Loïc Prud'homme has the floor.
ParlaMint-FR_2019-05-28-O1250.u7	Thank you for your answer, Madam Secretary of State. Nevertheless, a 2019 UN report points to the lack of interpretation, as well as the fact that if we take a lot of care of the disability of people with disabilities, we are working less to make our society more inclusive. I hear your arguments, but let me consider those of the United Nations to be more objective – I think if our seats were reversed, you would do the same, and that would be legitimate. I repeat, this United Nations report highlights the existence of many shortcomings. After a first demonstration, in the spring, in front of the National Assembly, the associations of deaf and hard of hearing will again mobilize on 20 June. I suggest that you meet with a delegation of their members; I am even prepared to accompany him so that we can make progress in this matter. In fact, I have asked you a written question about the recognition of the LSF in the Constitution.
ParlaMint-FR_2019-05-28-O1250.u8	This is indeed a very important subject, which we discussed last night. We have shared the actions of our institution, in the continuity of the work of the working group that you have led.
ParlaMint-FR_2019-05-28-O1250.u9	Mrs Fadila Khattabi, speaking on behalf of the Committee on the Environment, Public Health and Consumer Protection, raised her question No 737 concerning aid for the driving licence of apprentices.
ParlaMint-FR_2019-05-28-O1250.u10	My question is for the Minister of Labour. With the adoption of the law on the freedom to choose one's professional future, any apprentice aged 18 or over can now benefit from state aid, up to 500 euros, to pass his driving licence. This is a strong measure, reflecting the Government's commitment to mobility, which is essential for the occupational integration of young people. Through the reform of learning and this assistance in obtaining a driver's licence, the Government is helping to reduce inequalities significantly. This also contributes to the improvement of the purchasing power of families and that of our young citizens. Every effort must therefore be made to facilitate access to this driving licence, which is crucial for access to employment. In fact, similar aid exists in some territories. This is particularly the case in Burgundy-Franche-Comté, where the region provides assistance of 500 euros for young apprentices or high school students who are undergoing vocational training and wish to pass their driving licence. As a Member of Parliament for the Côte d'Or, I am pleased that the President of the region has chosen to maintain this aid for the financing of the permit, thus facilitating the mobility of young people. It seems to me important to encourage all the communities that propose this type of measure to continue their financial support, in addition to the aid proposed by the State. My question is, therefore, whether, in view of the financial assistance provided by the State and the existing arrangements, it can be considered that these aids can be combined, for example through a one-stop shop? How can government and community funding commitments be articulated to make public policies even more effective?
ParlaMint-FR_2019-05-28-O1250.u11	The Secretary of State for Disabled Persons has the floor.
