ParlaMint-FR_2019-01-29-O1128.u1	The next item is the oral questions without debate.
ParlaMint-FR_2019-01-29-O1128.u2	Mrs Huguette Bello has the floor to put her question, No. 532, on the rest of the income from active solidarity in La Réunion.
ParlaMint-FR_2019-01-29-O1128.u3	With Article 261 of the Finance Act for 2019, the Government wanted to take into account the consequences of the increasing distortion between the expenditure incurred by departments in respect of individual solidarity allowances, first of all the RSA, and the compensation paid by the State. In 2017, the remaining charge was $9 billion. However, in addition to the fact that the Stabilisation Fund will be financed to a large extent - 135 million out of 250 million - from resources allocated to the Poverty Fund, the objectives of which are quite other, it is a provisional solution which leaves the problem of the rest to be borne and hence the application of the principle of national solidarity. It also falls short of horizontal solidarity between departments, which is reflected in the new interdepartmental support fund. For La Réunion, where the cumulative debt of the State is estimated at 1.2 billion, there is little chance that these new allocations will lead to a reversal or even stabilization of the remainder, the amount per capita of which is three times higher than the national average. Year after year, the department is forced to supplement its own funds with the shortcomings of the state, to the detriment of its preventive, integration and accompaniment activities with our most fragile fellow citizens. The drastic decline in aided contracts in 2018 has resulted in a sharp rise in unemployment – more than 2.2% compared with 1.4% at national level – and has an impact on RSA's demands. To overcome the paradox where the departments with the most poor are the most penalized, two scenarios are possible: full compensation, which represents half of the two funds created, or the recentralization of the RSA to the State, as permitted by the Constitution. In December, La Réunion's departmental councillors unanimously advocated the second formula. Madam Minister for Overseas Affairs, is the Government going to study the process of recentralisation of the RSA to the State, as in Guyana and Mayotte? How do you intend to react to the rise in unemployment in Réunion, which is not found anywhere else in France?
ParlaMint-FR_2019-01-29-O1128.u4	The next speaker is the Minister for Overseas Affairs.
ParlaMint-FR_2019-01-29-O1128.u5	Mrs Bello, the President of the Republic announced the recentralization of the RSA for Guyana during her visit to this department in October 2017; the same measure was then also taken for Mayotte. This decision responds to the unique situation of the two territories. As you point out, other overseas departments have applied to benefit from it, including La Réunion – I have addressed the issue during my last trip to the island. In Guyana and Mayotte, after recentralizing the RSA, the State wishes to entrust the management of the RSA to the family allowance funds, instead of the communities concerned. As you know, the President of the Republic had mentioned the idea of recentralizing the RSA in all departments, but the metropolitan departments opposed it. I have fought for reflection for the Overseas Territories and I am pleased that the decision has been taken for Guyana and Mayotte, the two poorest French overseas territories. I also know the difficulties of La Réunion. As you know, the President of the Republic has committed himself to discussing a reform of the system of benefits paid to modest households, and the process is under way. Fabrice Lenglart, who was appointed rapporteur-general for the reform of the universal working income on 24 January, must provide us with answers to reorganise benefits by 2020. It is in this context that I would like to raise the issue of the recentralisation of the RSA for La Réunion.
ParlaMint-FR_2019-01-29-O1128.u6	Mrs Huguette Bello has the floor.
ParlaMint-FR_2019-01-29-O1128.u7	Madam Minister, thank you for your answer. You know that the situation in La Réunion is specific, out of standard. The RSA table by department shows that in relative terms, this is where the RSA beneficiaries are most numerous: 110344 per 840000 inhabitants. The most populous department of France, the North, for 2.6 million inhabitants, has only 127000. Since our situation is special, I hope that the work to recentralize the RSA for La Réunion will be carried out as soon as possible.
ParlaMint-FR_2019-01-29-O1128.u8	The next speaker is Mr Jean-Luc Poudroux, who will put his question, No 550, on shark risk in La Réunion.
ParlaMint-FR_2019-01-29-O1128.u9	Madam Minister for Overseas Affairs, I would like to draw your attention to the dramatic consequences of the shark crisis in Reunion. It could be considered that everything has been said, all have been listened to, everything has been considered. Yet it is clear that nothing has changed, or so little. It will soon be eight years since an island is deprived of its coastline: it has been exactly 2013 days since Réunionnais and Réunionnais suffered the consequences of the calamitous management of the crisis. Yes, since July 26, 2013, the state has been protecting its ILI citizens by simply banning access to the vast majority, not to say almost all, of the coastline. This prohibition, we are told, is provisional – a temporary extension, it seems, ad vitam æternam. Would you be able to restrict access to the sea, 2013 days, to holidaymakers, tourists and residents of seaside resorts such as Hossegor, Lacanau or Biarritz? I'm asking you. Admittedly, commitments have been made to reduce the risk associated with this problem, which severely hinders and penalizes all economic, social, cultural and sporting activities associated with the La Réunion coastline. But the current situation shows us that these measures are more than inadequate: they are ineffective and dangerous. Our historic beaches have become a real shark park. The Marine Reserve protects these predators: Bulldog sharks and Tiger Sharks, who have, 25 times since 2011, attacked, killed or maimed. These new predators are, in the opinion of many specialists, professionals and users of the sea, at the origin of the drastic decrease, in this space, of other species reduced to impotence. However, no major reform of the marine reserve has been planned so far, whether it is a revision of its regulations or its relocation outside the seaside area. None of the relevant and sustainable solutions proposed, in particular, by associative actors has been studied or discussed. The lack of listening to local actors, despite repeated warnings, and the ignorance of their proposals give rise to an acute sense of injustice in the population, fuelling resentment and fuelling extremes. What solutions have been available for eight years? Dressings. You were not there in 2013, Madam Minister, but I dare to ask you today: what do you intend to do to enhance and promote our maritime asset? It's time to act. The Meeting, the Réunionnais and the Réunionnais deserve a genuine and ambitious programme of re-appropriation of the coastline.
ParlaMint-FR_2019-01-29-O1128.u10	The next speaker is the Minister for Overseas Affairs.
ParlaMint-FR_2019-01-29-O1128.u11	Mr Poudroux, I know this dramatic subject for having met on several occasions with the Réunions who have mobilized against the risk of sharks, as well as those who have unfortunately been attacked by sharks or tiger sharks. But we must remain extremely vigilant. You do not say that no wounded or killed have been deplored for twenty-one months, after the many tragedies that occurred between 2011 and 2017. Why has the level of risk decreased? Because the Government and the communities have acted, adopting an action plan 2018-2021 for nautical activities in La Réunion. As I announced on a trip to the island, the state doubled its funding to €2 million in 2018. We are also implementing a strategy combining preventive fishing – seventy-six sharks were taken in 2018 and, since last November, a post-observation fishing experiment has been carried out in the areas not allowed to fish in the marine reserve – and a mechanism for monitoring new areas and alerts, co-financed with the communities concerned, since it was normal to return the sea to Réunionnais, especially to young people who wish to participate in nautical activities. I do not neglect economic development through tourism in Réunion; On the contrary, it must be supported, over and over again. I also do not neglect, as you know, the whole of what I call "blue growth". However, it is our duty to remind and hammer, wherever possible, that irresponsible behaviour must be condemned and that prohibited areas must be respected. Nautical activities cannot be carried out in Réunion without minimum safety precautions. Indeed, although it has decreased, the risk of sharks is still real: a 3,6-metre tiger shark was captured a week ago, on 22 January, in front of the famous left of Saint-Leu. It is therefore necessary to remind the inhabitants regularly to caution. This is why the prefectural decree regulating nautical activities and swimming will be renewed next February.
