ParlaMint-FR_2019-10-04-O1011.u1	The next item is the continuation of the discussion of the bioethics bill (No. 2187, 2243).
ParlaMint-FR_2019-10-04-O1011.u2	This afternoon, the Assembly continued its discussion of the articles of the bill, concluding with clause 16. [[Applause on the benches of the LR group]] As we resume our work, and because I was recently appointed Vice-President, I would first like to have a thought for my friends Maurice Leroy and Francis Vercamer, who have assumed these responsibilities.
ParlaMint-FR_2019-10-04-O1011.u3	It's all to your honor.
ParlaMint-FR_2019-10-04-O1011.u4	I have before me several identical amendments, Nos 6, 10 and 1852, to delete Article 16. Amendment No 6 by Mr Xavier Breton is not being defended. I call Mr Patrick Hetzel to support Amendment No. 10.
ParlaMint-FR_2019-10-04-O1011.u5	This amendment is being defended because of the time schedule.
ParlaMint-FR_2019-10-04-O1011.u6	I call Mr Thibault Bazin to support Amendment No. 1852.
ParlaMint-FR_2019-10-04-O1011.u7	Welcome to your new duties, Mr. President. I wish you every success. If Article 16 puts an end to an unworthy situation of conserving supernumerary embryos, it helps to reveal the reification of the human embryo. This raises a real ethical question.
ParlaMint-FR_2019-10-04-O1011.u8	Mr Philippe Berta, rapporteur of the special committee responsible for examining the bioethics bill, has the floor to give the committee's opinion on these identical amendments.
ParlaMint-FR_2019-10-04-O1011.u9	These are two deletion amendments, to which the committee gives an unfavorable opinion.
ParlaMint-FR_2019-10-04-O1011.u10	The Minister for Solidarity and Health has the floor to give the Government's opinion.
ParlaMint-FR_2019-10-04-O1011.u11	I would point out that the supernumerary embryos proposed for research are those for which the couples concerned have renounced any parenting project and consented to its destruction. Research on these supernumerary embryos has prohibited any re-implantation since its inception, and the persons responsible for the donation are informed of this. Furthermore, the Public Health Code provides that the consent of the persons concerned must be confirmed after three months of reflection. The donor couple may also revoke their consent until the search has begun. The five-year shelf life is consistent with that already retained in other situations, for example when the embryos given by the couple at the origin of the design to another couple have not been received, and when the latter couple does not provide information on the continuation of their parenting project. This provision is therefore strictly regulated and offers sufficient guarantees to the donor couple of embryos. That is what the Council of State recalled in its opinion on the bill: it confirmed the absence of legal and ethical obstacles to this provision. I am therefore against these amendments.
ParlaMint-FR_2019-10-04-O1011.u12	Mrs Elsa Faucillon has the floor to support Amendment No. 2054.
