ParlaMint-FR_2019-12-10-O1095.u1	The next item is the oral questions without debate.
ParlaMint-FR_2019-12-10-O1095.u2	Mr Emmanuel Maquet, speaking on behalf of the Group of the European People's Party, raised his question, No. 842, concerning bank charges.
ParlaMint-FR_2019-12-10-O1095.u3	A year ago, banks committed to freezing bank charges in 2019 and capping incident charges for the most financially fragile customers at 25 euros per month. While the validity of this commitment is coming to an end, a joint investigation by the magazine 60 million consumers and the National Union of Family Associations – UNAF – revealed that many clients in difficulty have never benefited from it. Already, the tariff grids of the main banks foresee a general recovery of the increase in fees. The Government believes that their regulatory cap is not the most effective solution, as banks could offset its effects by increasing other costs. It is precisely in such cases that the French expect political decisions. Bank charges are highly diverse, and some are more unfair than others. While everyone is housed in the same brand for account keeping and credit card charges, other fees, such as agios and cheque rejection fees, are an additional penalty imposed on those who are already in difficulty. In many cases, these particularly punitive costs are charged without clients being aware of them. The challenge is therefore to improve prevention. It would be normal for banks to notify their customers before meeting a request that could trigger penalties, even if the transaction was put on hold. Mr Secretary of State, my question is this: in the context of a sustained decline in interest rates, is the Government planning a no less sustainable increase in bank charges? If so, how does the Government intend to make them simpler, more understandable and, above all, more equitable?
ParlaMint-FR_2019-12-10-O1095.u4	The Secretary of State for Digital Affairs has the floor.
ParlaMint-FR_2019-12-10-O1095.u5	Mr Maquet, thank you for your question, which allows me to give some clarifications about bank charges, including the balance sheet of the ceiling on incident charges – announced last December by the banks – for the 3.4 million French people considered fragile. In the first half of this year, the Supervisory and Resolution Authority (ACPR) and the Banking Inclusion Observatory (IBO) led to the main institutions in the place of controls, which showed that the ceiling on incident charges had been applied by the banks. For financially fragile people who pay for them, the average monthly figure was 17 euros. At the same time, 58000 additional customers – or 435000 in total at the end of June 2019 – benefited from the specific offer and its protective effect, with incident costs averaging 8 euros per month, which is significantly below the ceiling of 20 euros per month. In the end, more than one million people have seen a cap on their bank charges since the commitments made in December 2018. It seems to me that we should welcome this assessment, even if it remains insufficient. It should not hide the fact that the technical implementation of the commitments undertaken by banks has sometimes led to transitional friction, in particular with regard to the automatic application of the ceiling on incident charges to certain customers and the reimbursement of costs exceeding the ceiling levied when banks were working on the implementation of their commitments. These difficulties should be quickly addressed. We also expect banking institutions to continue their efforts to strengthen the detection of clients in situations of financial fragility. In this regard, the work carried out within the OIB seems to us to be particularly important. Information on bank charges has been significantly enhanced in recent years. For this reason, the Government has preferred to focus on effectively reducing the cost of incidents and strengthening the detection of financial fragility by banks. The combination of these actions will help alleviate our most troubled citizens. Finally, I would like to recall that the banks have fulfilled the other commitment they made to the President of the Republic a year ago regarding the freezing of bank rates for 2019. In any case, we must pay particular attention to the overall situation of the banking sector, in the context of low or even negative rates that we know. For the time being, we believe that there is nothing to suggest a general increase in bank charges, which have been relatively contained in recent years, in contrast to the costs of other services.
ParlaMint-FR_2019-12-10-O1095.u6	Mr Emmanuel Maquet has the floor.
ParlaMint-FR_2019-12-10-O1095.u7	Secretary of State, the investigation conducted by the magazine 60 million consumers and UNAF does not encourage you to share your optimism. It is reported that 78% of prohibited bank and over-indebted clients did not benefit from a cap on incident charges. As for other low-income clients, accustomed to bank incidents, 91% of them had their related costs in excess of EUR 25 per month. The period of validity of last year's commitment is now coming to an end. What are we doing? When will we put banking charges in order in the jungle, which their diversity makes incomprehensible?
ParlaMint-FR_2019-12-10-O1095.u8	The floor is open to Mr. Thomas Rudigoz, to put his question, No. 832, concerning the establishment of a motorway bar in the metropolis of Lyon.
ParlaMint-FR_2019-12-10-O1095.u9	My question is particularly topical, on this day of strike and monstrous car stoppages. It focuses on car traffic in the heart of the Lyon agglomeration. Every day, 113,000 vehicles take the roads through the heart of our city of Lyon, passing through the famous Fourvière tunnel. There are also tens of thousands of others who use the other roads and motorways in the heart of the Lyon agglomeration. This situation results in an increase in the number of pollution peaks, as is the case in many large French cities. This is a real public health problem for riparian populations. Moreover, the State is aware of this. Three years ago, exactly, in December 2016, the previous government declassified a section of the A6-A7 motorway into an urban road in order to encourage the bypass of our agglomeration by national and international traffic. Now, what do we do? To date, no operational decisions have been taken. It seems to me that two projects must be carried out. [[Smile]] The first is to introduce a tariff for transit traffic. I have defended this principle in the House, in the consideration of the mobility policy bill, and in the Finance Committee, in the context of the consideration of the finance bill for 2020. Unfortunately, to date, the Government has not acted in favour of my proposal – but I do not despair that it will be accepted by the end of the legislature! The other major project – the object of my question – is to carry out work on the motorway infrastructure, in particular on the Manissieux motorway node, in the area of Saint-Priest, and on the southern section of the A46 connecting the A43 to the A7, which needs to be extended from 2x2 to 2x3 lanes, in order to put an end to the complete thrombosis of the traffic that we see there every day. To do this, the State and the company ASF – Autoroutes du Sud de la France – will have to carry out a large motorway project. I know that this project is being monitored by the state services. In addition, care will have to be taken to allocate the third route to public transport and carpooling, as David Kimelfeld, president of Lyon's metropolis, wishes. Mr Secretary of State, my question is simple: what is the state of play in the reflection of the state services on the major construction site of the southern A46?
ParlaMint-FR_2019-12-10-O1095.u10	The Secretary of State for Digital Affairs has the floor.
ParlaMint-FR_2019-12-10-O1095.u11	Mr Rudigoz, you are calling the Government's attention to the 2x3-lane development project in the south A46. This motorway route, granted to the company ASF, is a very busy toll-free section – the average traffic is 65,000 vehicles per day. For several years now, the infrastructure has been regularly congested and has an increasing accidentology, which is a matter of concern to the public authorities. Aware of local expectations, the State has asked the concessionaire, as part of the motorway re-launch plan, to produce a synoptic file relating to the 2x3-lane development of the south A46 and the Manissieux motorway node. The overall cost of the operation, which still needs to be specified, is estimated at around EUR 200 million excluding tax, in value 2017. Before starting work, consultation is necessary, in accordance with the law. In this context, the Government has asked the concessionaire to refer the matter to the National Public Debate Commission (CNDP), with a view to defining the modalities for consultation with the inhabitants and associations concerned. This phase of consultation will take place as early as 2020 and will be an important step in the implementation of the project, which I confirm the Government's wish to carry it out. Jean-Baptiste Djebari, Secretary of State for Transport, will soon meet with the Prefect of the Region and will not fail to discuss this matter, which is important for your constituency.
ParlaMint-FR_2019-12-10-O1095.u12	Mr. Thomas Rudigoz has the floor.
