ParlaMint-FR_2019-07-23-E1019.u1	The next item is the question to the Government.
ParlaMint-FR_2019-07-23-E1019.u2	Mrs Sophie Auconia has the floor.
ParlaMint-FR_2019-07-23-E1019.u3	My question is for the Minister of Labour, and it is about the funding of training through learning, which we all wish for, as it is a way of excellence. Minister, during your visit to Touraine, you recognized the work of our apprentice training centre – CFA. I know how much you care about this subject. Vocational training, both initial and continuing, is essential to cope with the ever-changing world of work, and to provide the jobs of tomorrow with trained people. Vocational training is particularly important in some areas of our country, which have suffered from various crises and have seen the disappearance of entire sections of our industry. They call for its development of their wishes. In this context, a sector of vocational training is in great danger: training through apprenticeship. Indeed, the transitional period induced by the application of the law for the freedom to choose one's professional future puts in difficulty the financing of the CFA,...
ParlaMint-FR_2019-07-23-E1019.u4	She's right!
ParlaMint-FR_2019-07-23-E1019.u5	[[Gilles Lurton applauds]] ... even though the method of financing chosen is a virtuous mechanism, which we all want to implement. At present, between the uncertainties of funding by regions, the limits of funding by skill operators – OPCO – and the reform of the tax collection planned for 2020, the financing of CFAs lacks legibility, which poses a serious risk to training through learning.
ParlaMint-FR_2019-07-23-E1019.u6	That's right!
ParlaMint-FR_2019-07-23-E1019.u7	She's right!
ParlaMint-FR_2019-07-23-E1019.u8	CFAs are a key tool for the development of learning. Their new method of financing may weaken existing ones, compared to those that will be created after its implementation.
ParlaMint-FR_2019-07-23-E1019.u9	Yes!
ParlaMint-FR_2019-07-23-E1019.u10	It's the broken Republic!
ParlaMint-FR_2019-07-23-E1019.u11	Give back the CFA money!
ParlaMint-FR_2019-07-23-E1019.u12	Minister, while many local actors – including the Chambers of Crafts and Crafts – are committed to the success of the learning reform, can you provide clarification in response to these questions, and reassure...
ParlaMint-FR_2019-07-23-E1019.u13	Thank you, dear colleague. The Minister for Labour has the floor.
ParlaMint-FR_2019-07-23-E1019.u14	And CFAs!
ParlaMint-FR_2019-07-23-E1019.u15	Madam Member, we share one point: the importance of learning. This is why the law for the freedom to choose one's professional future has recognized this path of excellence, passion and business creation, all over the territory, from CAP to the engineer. The results of the reform are already being felt, with a very strong trend towards an increase in the number of apprenticeship contracts, which amounted to 7.7% last year, and this year is in line with a dynamic which should increase it to more than 10%. With regard to the financing of learning, in 2019 it remains fully insured by the regions, both in operating expenditure and in investment expenditure.
ParlaMint-FR_2019-07-23-E1019.u16	Give the regions the means!
