ParlaMint-FR_2019-06-04-O1256.u1	The next item is the question to the Government.
ParlaMint-FR_2019-06-04-O1256.u2	Mrs Justine Benin has the floor.
ParlaMint-FR_2019-06-04-O1256.u3	Madam Minister for Solidarity and Health, two years ago the fire of the university hospital in Guadeloupe occurred. A few weeks ago, an expert mission sounded the alarm about the working conditions, health and safety of CHU's health care workers, but also about the inability of doctors to carry out their duties properly, for lack of means. This daily situation is invivable, and it has serious consequences for the care of the populations – many even make the choice to go elsewhere. Ladies and gentlemen, the people of Guadeloupe are afraid. The Guatemalans are known for their resilience, we endure often difficult living conditions, but we cannot resign ourselves to the current situation. There is an urgent need to act as quickly as possible to restore confidence in our health system, which is now seriously weakened. Of course, action plans have followed, with the support of the Government, the communities and the unwavering commitment of the CHU Director, Gérard Cotellon. But where are we in practice today? Despite the efforts made, the relocation, the lack of human and material resources and serious organisational dysfunctions have plunged Guadeloupe into a state of health emergency. I am aware of the commitment of the Minister of Health to the service of patients and caregivers. The plan "my health 2022" and the law of transformation of the health system are two examples of its voluntarism and its total mobilization. [[Applause on the banks of the MODEM group and on several benches of the LaREM group. – Mrs Ericka Bareigts also applauds]] But how can we help the CHU to clear the debt suppliers, which has become a real virus, and which is likely to affect the new hospital under construction? What levers will the Government use to improve the daily lives of staff and patients? Finally, what additional human and financial resources will be used to put an end to the state of health emergency in Guadeloupe?
ParlaMint-FR_2019-06-04-O1256.u4	The Secretary of State to the Minister for Solidarity and Health has the floor.
ParlaMint-FR_2019-06-04-O1256.u5	Madam Member, the financial situation of the CHU of Guadeloupe has been closely monitored for many years. The institution has always received strong support from the State; It received very high national and regional aid. Since 2012, CHU has received €332 million in exceptional aid to ensure its current functioning, including supplies from its suppliers. It also has the financial support of the regional health agency. In addition, the reconstruction of the CHU, whose cost is estimated at €590 million, is to receive 100% State funding from the Interministerial Committee on the Performance and Modernization of the Supply of Hospital Care, COPERMO. Despite these aids, the institution's deficit is one of the highest in France and major malfunctions have been revealed several years ago. The fire on 28 November 2017 further weakened the situation. To ensure that the event did not make matters worse, the State fully covered the specific costs it had incurred. Recovery is a long process, because it is the whole process and organization that needs to be recast. The aim is not to rebuild the CHU in the same way, but to benefit from the crisis by improving the management of tomorrow for all the Guatemalans. However, Guadeloupe's health care system is very hospitalo-centric: the CHU de Pointe-à-Pitre represents 60% of the health care supply. In addition, the sectors are inadequately structured. But the fire-induced crisis has led public and private institutions formerly competing to work more together to create management channels. Guadeloupe's unique territory hospital group – GHT – has been set up since January 2019 and is expected to bring together public health institutions to provide more relevant care. [[Applause on several benches of the LaREM and MODEM groups]] Finally, I confirm to you that the recovery of the financial trajectory of the CHU is a priority in the eyes of the Ministry of Health but also of Annick Girardin, Minister for Overseas Affairs, and of the ARS of Guadeloupe, as evidenced by the very exceptional means deployed so far.
ParlaMint-FR_2019-06-04-O1256.u6	Mr Daniel Fasquelle has the floor.
ParlaMint-FR_2019-06-04-O1256.u7	Prime Minister, industrial engineering has long been the hallmark of France with great champions of which the French were proud: Schneider, Alcatel, Pechiney, Alstom, Thomson, Framatome... Unfortunately, today we are victims of a real industrial stall,...
ParlaMint-FR_2019-06-04-O1256.u8	Not just industrial...
ParlaMint-FR_2019-06-04-O1256.u9	... industry's share of national wealth has fallen to a historically low level: 11%. In the face of this situation, the Government's feeling is that it has failed to appreciate this tragedy. How, for example, could you have supported the acquisition of Ascoval by British Steel without having inquired about the financial health of the buyer? How did you accept the absorption of Alstom by General Electric, a company that is unable to meet its job commitments today? How can we resolve to see the former Whirlpool factory in Amiens disappear despite the presidential promises? How do you understand, Prime Minister, that you will soon increase corporate taxes to finance the measures announced following the movement of yellow vests, while they already bear 100 billion euros of levies of all kinds more than their competitors in the euro area?
ParlaMint-FR_2019-06-04-O1256.u10	Give back the money!
ParlaMint-FR_2019-06-04-O1256.u11	[[Applause on the benches of the LR group]] As General de Gaulle said, the most costly and ruinous policy is to be small. Prime Minister, where are the measures that the French are waiting for to finally promote the investment and modernization of French industry, essential elements of our sovereignty? And when are you finally going to see France in big and pursue an ambitious industrial policy to give the French back their pride?
ParlaMint-FR_2019-06-04-O1256.u12	The Secretary of State to the Minister for Economic Affairs and Finance has the floor.
ParlaMint-FR_2019-06-04-O1256.u13	You are right, we need industries in France, because industry is a way of responding to the territorial divide – it is in the territories and not in the agglomerations that industrial jobs are created. It is also a way to promote careers that pay better – 20% more than in other sectors on average – and to promote internal promotions through continuing training. [[Applause on several benches of the LaREM group]] [[Applause on many benches of the LaREM group]] However, while this was no longer the case in twenty years, our industry is recruiting: 4900 more jobs in the first quarter according to INSEE figures. Employment increased in industry in 2017, in 2018. And all this is no coincidence because, as you pointed out, we are transcribing, after twenty years of massive industrial destruction, which probably explains the current situation in the territories and to which we must find a solution. Yes, we are pursuing an ambitious industrial policy. Yes, on a European scale, we are defending the electric battery industry, the first project to succeed nanoelectronics. I don't think I've seen such a big project in the last ten years.
ParlaMint-FR_2019-06-04-O1256.u14	You're kidding!
