ParlaMint-FR_2019-02-11-O1142.u1	The next item is the debate on the bill for a school of trust (No. 1481, 1629).
ParlaMint-FR_2019-02-11-O1142.u2	The Minister for National Education and Youth has the floor.
ParlaMint-FR_2019-02-11-O1142.u3	Madam President, Mr President, ladies and gentlemen, the rapporteurs of the Committee on Cultural Affairs and Education, ladies and gentlemen, the school is the foundation of society. As such, it is our most precious good and it imposes on us, for this very reason, to be up to the project that carries it, the republican project, deeply rooted in the French soul. The school of the Republic is our common good because it is a promise addressed to every child born in our country: the promise that we form a community of destiny bound by the same values, that of freedom, equality, fraternity and secularism; the promise that birth will never be more important than virtues; the promise of courage, work, respect and collective sense. The French school, with its 51000 schools, 7000 colleges and 5000 lycées, covers all our territories, this spirit of Enlightenment which has made human progress and social progress the same aspiration. In our countryside, in the heart of our neighborhoods, in our small, medium or large cities, on their edges, on the periphery, there is a school, old or modern, which says the same thing every time: "Daughters and sons of France, your country believes in you". As we prepare to debate the school, I want to pay tribute to those who, day after day, carry this spirit of progress: the national education staff, the teachers and the elected representatives of the nation, especially the mayors. We are demanding about our school, and that is quite normal. As a result, we often stress its weaknesses. They exist, of course.
ParlaMint-FR_2019-02-11-O1142.u4	That's for sure!
ParlaMint-FR_2019-02-11-O1142.u5	I don't deny it. But this law must help to overcome them.
ParlaMint-FR_2019-02-11-O1142.u6	All right!
ParlaMint-FR_2019-02-11-O1142.u7	Ladies and gentlemen, let us imagine for a moment this collective masterpiece which we sometimes tend to forget, and which sees 800,000 teachers welcome in the same momentum 13 million students every day. We owe it to the dedication of the elected representatives for their territory, to the commitment of all the administrative staff of national education and, of course, to the passion and conviction of our teachers. In each of us, there is a teacher who continues to watch, because one day he was able to find the words, because he had this intelligence of looking at us, simply because he transmitted to us the essential: the desire to be grown up by the language. And the words of this woman or this man are still in us. They make us up. I mean here, before you, representatives of the nation, everything that France owes to these women and men who, yesterday and today, put their existence at the service of the education and education of the children of our country. We French are heirs to an ancient and glorious school tradition. On all the benches of this assembly, all along the five republics, but also the regimes that they spanned, officials with different political sensitivities brought their stone to this building. All shared the same fight for the progress of the human spirit and fought the same enemy, ignorance. Everyone had the same feeling at heart, drawn from the source of humanistic culture, that one was born man, but that one really became man by knowledge and values. Each one proudly carried the 18th-century humanist ideal that extended, if not affirmed, so well in the 19th and 20th centuries. Everyone shared Victor Hugo's idea of poverty, "an evil that must be healed by light". With this bill, I do not propose that you drop the moorings and break with this tradition. I'm not proposing to recast or rebuild. I propose a new step in this glorious epic, as a tree can revive a powerful branch of its venerable and robust trunk.
ParlaMint-FR_2019-02-11-O1142.u8	It's poetic!
ParlaMint-FR_2019-02-11-O1142.u9	For while the Republic has succeeded in massifying primary school, then secondary education, and then higher education, it remains to ensure the full success of all its pupils. As I speak, that's not the case. Today, 20 per cent of students leave primary school without mastering basic knowledge. These – reading, writing, counting and respecting others – are not acquired by all. In the past, in the context of a highly industrialized economy, our school could almost accommodate this failure. Today, the technological world and the knowledge society in which we are living place the risk of social exclusion, which can be total, on the child who is experiencing school difficulties. This reality is all the less acceptable because many students who struggle to find the way to success come from economically and culturally fragile families. Since the President of the Republic and the Prime Minister entrusted me with the Ministry of National Education and Youth, you have heard me say on several occasions that a law would not be enough to change this situation. That is why, without delay, we have committed ourselves to a double effort of general raising of the level and social justice. Raising the general level to guarantee social justice, ensuring social justice to allow the rise of the general level: it is this dual logic that we are trying to push through the various public policies. Today, we have almost completed the duplication of classes of preparatory courses – CP – and elementary first-year courses – CE1 – in the priority education network – REP and REP + – which, at the next school year, will allow 300,000 students, among the most fragile, to learn to read in privileged conditions. This ambitious and unprecedented policy, which affects almost 20% of a generation, is an innovation not only in France, but in the world. It is at the forefront of an indispensable voluntarism for all primary school students to master, by entering college, the basic knowledge. As a follow-up to this measure, we have enriched the offer of teaching at the college by valuing the foundation of our culture, the classical humanities, which allows students to project themselves into the world – I am talking about the study of languages, whether they are old or foreign. In keeping with the diversity of the talents and desires of the students, we have especially initiated a profound transformation of the general high school, the technological high school and the vocational high school, in order to give more accompaniment, more freedom and more success. Today, nearly 60 per cent of students, who have become students, fail to obtain a three-year degree, and 23 per cent of our youth are unemployed. This is the contemporary scandal, the evil that must be taken to root. These figures, we must fight them collectively and with a constancy of brass, which should bring us all together. Beyond their coldness, they say the frustration, the doubt about the future and, quite simply, the feeling of relegation that some of our compatriots may experience. If today I stand before you to defend a new school law, it is that after this first work, which did not require a law, the time has come to deliberate on what the nation intends to do with the magnificent heritage that I have mentioned. Either we give in to fear and timidity, and we will mistakenly believe to preserve the inheritance; either we show boldness, courage and we will enrich this legacy for the benefit of all, through innovation, through new ways. What we are discussing is the new links that we are building between our school and our society. By the same token, we are asking the question of the society we want to build and the democracy we want. We do so at a time when unprecedented upheavals are taking place in our world. We postulate that school is the most fundamental response to all the challenges facing humanity: ecological transition, social justice, gender equality, health for all, better care for children with disabilities, respect for others, and the struggle for a new demographic dynamism in our territories. To all these questions asked to man to master his destiny, the first of the answers is, each time, the school. And to the great question of our time, which is how this ever more technological world can be ever more human, the answer is, again, school. Our modernity is rich in opportunities, especially as a result of the digital revolution, from which we will fully benefit the students. Unfortunately, it is also fertile in peril – disinformation, false news, the exacerbation of sad passions – against which students must be protected by the development of logical meaning and by the general culture. In this world, France has more than ever an essential role to play in building an educational model that is balanced between knowledge, values and emancipation for all. So our nation will remain a country of innovation that will continue to attract the best minds. Thus the French will regain confidence in their school, trust in their future and, quite simply, trust in themselves. The title of this bill for a school of trust makes this last term the foundation of our project. There is social prosperity only in the trust given to the freedom of everyone and to the freedom of each territory, in a spirit of responsibility. The legislative work that we have to carry out embodies this spirit of trust and I am pleased that the text has already greatly enriched itself with your contributions. Trust is the subject of Article 1. It is in school that the future citizen must learn to trust others and to trust himself. Such trust is not decreed; It must be a living evidence. We know that today, French society is not enough a society of trust. That is why we need a school of trust, which triggers the virtuous circle of society's trust in itself. To do this, the child needs the adults who are in charge of raising him or her, the family, the educational team, to agree on the essentials: benevolence to each child and respect for the values in which he or she will grow up. The virtuous circle of trust between school and family requires respect for the authority and the word of the master. It also involves the close association of families with the school institution. This united adult community will collectively advance the school and allow our society to be more serene and happier. All international studies show that the first two success factors in a school system are teacher training, which I will talk about in a moment, and the relationship between parents and the school. Article 1 emphasises this link, as well as the trust that we all owe each other. What defines man is first of all his language and what defines man in society is his ability to use this language to interact with others and grow up in this way. There is therefore no real social policy without language policy. Recent surveys show that the French language and the school appear precisely as the first two cements that the French recognize to make nation. That is why the truly founding act of our republican school – and, one might say, of the Republic itself – is to raise education to a fundamental obligation. In March 1882 the Republicans, barely out of the electoral fray, imposed the obligation of instruction from 6 to 13 years. In 1936, Jean Zay, supported by progressive forces, raised this obligation to 14 years. In 1959, General de Gaulle, the founder of a new social and political pact, rose to 16 years of age. Since the end of the 19th century, no government has considered it fair to raise the age of compulsory schooling, as kindergarten, sometimes in an irregular manner and without follow-up, has not always been seen as a real school. However, the admirable work done by teachers, the specialized territorial agents of nursery schools – ATSEM – and all the educational staff shows the opposite. In addition, research highlights year after year that this moment in kindergarten is decisive for the future mastery of basic knowledge. I am convinced that France's choice of compulsory education from the age of three, that is, from the first years of life, will be imitated by other countries. As a result, all countries will focus on the so-called "pre-school" and "pre-school" schools in France. It is for this reason that the President of the Republic wished to move towards the requirement of investigation from the age of three. It is for me, therefore, to propose to the national representative that the nursery school be made a full school. By this act, we proclaim its decisive importance in reducing inequalities from an early age, and in particular the first of them, inequality against language. I sometimes object to the fact that many of the children are already enrolled in nursery school – in this regard, 97 per cent of the children in this situation are mentioned. But it is forgotten that the 3% who did not attend school corresponds to 25,000 pupils per year. Should we consider these 25,000 pupils as negligible or, on the contrary, look at them as closely as possible, as the most disadvantaged children in France? Through compulsory education at 3 years of age, is expressed not only an emblematic message, but also a concrete message at the service of the children who need it most. Learning vocabulary, the gradual emergence of a grammatical consciousness, the awakening of sensitivity by the arts, psychomotor and emotional development, socialization through respect for rules and by play, clear awareness of good and evil and concern for well-made work are essential foundations for stimulating school fun, as well as trust and happiness in our children. It is sometimes said that the French school does not pay sufficient attention to this dimension of happiness, or even to this dimension of trust. It is precisely the nursery school that does the best, and if we insist on this dimension, it is for it to be contagious for the other ages of life, because it is from the first years that cognitive and social skills are determined. We can thus change the destiny of our children, but also of our country, by paying greater attention to this nursery school which we, the French, invented in 1848 and which must take a new impetus at the beginning of the twenty-first century. As such, we owe to the well-educated children in their families a particularly careful monitoring of the quality of the teachings they receive. We all know that this is not the case everywhere. Freedom of education is a fundamental right that we respect, but the just and proper education received by children is a requirement that the Republic must formulate vis-à-vis all. We cannot compromise on this point. As I said during the examination of another piece of legislation, it is clear that the school institution must have the organizational means to ensure that home education is real and effective, and that it enables all children to reach preparatory courses with the necessary skills. Nothing is more decisive for the emancipation of a child than all these years of compulsory schooling. They require constant attention and careful monitoring of students' progress. That is why, through this bill, we propose, on an experimental basis and following the proposals of the majority and opposition parliamentarians, the creation of a school of basic knowledge. From kindergarten to the last year of the college, in perfect continuity of administration, she will follow the students and protect them from these ruptures, sometimes painful, between kindergarten and elementary, or between elementary and secondary school. The work done by our teachers must be supported. That is why it is so important to give them homogenous, national benchmarks and tools to carry out their essential work. The confidence that the nation places in its school is also reflected, in this bill, in the creation of an assessment council. Any human community that sets a specific goal for its action has one day the need to take stock of its successes, to value them, or its failures, in order to overcome them. This very simple idea finds its foundation in the Declaration of Human and Citizen's Rights of 26 August 1789. To do this, we need to forge a new vision of evaluation, totally dedramatized. Evaluation is not punitive – it is true for both students and institutions. On the contrary, it is a lever of success. The dedramatization of failure, of evaluation, of what is imperfect, this is what leads us to perfection! With the evaluation board, we will have, for the first time, an evaluation system for our schools and institutions, based on self-assessment. This will be followed by a team effort to formulate an educational project for each school and school, which will both provide regular institutional support and ensure progress every five years through evaluation. We do not want stagnation in failure. All too often, we accommodate difficulties related to particular territories and which are as fixed on the ground. We want, with the evaluation, to develop real educational projects that have the ambition to get out of schools – and, through them, territories – of the difficulty. Evaluation is, in a way, the fight against fatality. The spirit of trust that drives this piece of legislation must also lead to greater freedom for actors. It is the meaning of the right to experiment, which is strongly extended. This right is a sign of confidence in the women and men who work closest to realities and territories. Freeing, empowering, uniting: these words are the keystone of this text. The institution's primary responsibility for its teachers is therefore, as I have begun to say, to train them well. I repeat: teacher training is the first success factor in a school system. The Ministry of National Education cannot therefore be disinterested in what is going on ahead of its work: as an employer, it is legitimate for it to exert a substantial influence on the initial training of teachers. What is easily transmitted is what is perfectly controlled. We must therefore take a new step in the training of teachers in schools, colleges and high schools. That is why I propose that you create new institutes: the national higher institutes of faculty and education – INSPE – that will succeed the higher schools of faculty and education – ESPE – in order to take into account the limitations of our initial training system, highlighted by many observers, and first of all by the students themselves. We design these institutes as real vocational schools, positioned within the university. We will thus articulate the best of science and the best of practice. In fact, this new institution that succeeds the old one must take what is best in the university – scientific excellence, excellence in research, excellence in the various fields of knowledge – but it must also take what is best in what comes from the field, that is, teachers who are still in front of the students and that we can partially discharge from their classes to enable them to teach in front of future teachers. This pragmatism which we want to adopt in the initial training of teachers by ensuring that at least one third of the speakers – and if possible more – come from the field and speak of concrete experiences lived in the present in front of the students, must, in addition to scientific excellence, advance the quality of the training of our future teachers. These institutes will also accompany a very important innovation: the pre-recruitment of professors. The greatness of the French school is to have always managed to pass on to the students the values of meritocracy by those who were the most beautiful fruits of it: the teachers. Indeed, in many ways, the Republic has always been able to distract from the most vivid material contingencies: it was the normal school and the institutes of preparation for the second degree teachings. We must return to this tradition, of course, by bringing it a new touch, adapted to the twenty-first century. This must give access to education to those whose families cannot afford the cost of education or who, before entering the career, want to gauge their appetite for this profession. Pre-recruitment will give thousands of students every year, by enabling them to gain experience in schools and institutions from their first year of study, the means to live and test their vocation, while national education will be able to expand, from both a social and intellectual point of view, the pool of people who will practice the beautiful profession of teacher. This evolution of pre-recruitment, the result of the social dialogue led by the Ministry of National Education over the last few months, stems from a vision of the renewal of our ability to train, both in initial and continuing training, the professors of the Republic. This pre-recruitment is therefore a key to the evolution of initial teacher training in France. In the end, if the French school is so consubstantial to the Republic, it is because it was and remains its face: the face of the future.
ParlaMint-FR_2019-02-11-O1142.u10	That's for sure!
ParlaMint-FR_2019-02-11-O1142.u11	What was the Republic for the French at the end of the 19th century, if not this school that brought with it not only some material comfort, but also, and above all, moral and intellectual progress? Today, our horizons extend to the world and everyone feels the need for our students to master foreign languages in order to benefit from the immense cultural and professional opportunities offered by the increasing number of exchanges in Europe and in the world. This applies to the training of our teachers, because we will ensure that as many of them as possible can make stays abroad during their training, but it also applies to our students and will contribute to the influence of France in the concert des nations and to its ability to attract the best talents. From the perspective outlined by the President of the Republic in his speech to the Sorbonne on 26 September 2017, we want to show unwavering voluntarism to develop the teaching of foreign languages and, from an early age, to raise students' awareness of their first foreign language. Today, international education is often reserved for favored families, who enrol their children in private and expensive schools. With the creation of local public schools for international education, I propose to give the public education service a stronger international dimension and to create locomotives for the entire school system, because it is all our schools and institutions that will thus make progress in the teaching of foreign languages. These poles will enable students from all backgrounds and backgrounds to benefit from this dynamic and to become even more open to Europe and the world. We will have assembled two virtues: international openness and social mix. The school of the Republic can thus remain faithful to its mission to give the best and most up-to-date to each of its children. I know that we will all pay particular attention to this. The school of the Republic is the common home of all young people in France. As such, it must bring to all students, wherever they are on the territory, in the hexagon as well as overseas, the same chance to succeed and the same desire to seize this opportunity. In this regard, the text we are looking at is resolutely a text of trust in the territories – in their ability to innovate, experiment and organize themselves according to constraints that can vary from place to place while respecting the national framework. These small homelands that make the big one, it is the history of the French school. It is therefore up to the State to ensure fairness between territories by giving more to those in need. We are doing this now for priority education and rural school, but also for ultramarine territories. I would like to point out that this bill creates a full-fledged rectorate in Mayotte, which needs the support of the national community so much. This equity policy is aimed particularly at the most fragile territories. But what applies to the territories also applies to the students. As you know, we are reflecting on the evolution of priority education, so that it does not leave any difficulty or fragility. We are also leading it about students between the ages of 16 and 18 who have – perhaps the word is not the best – "hungry" in the system. That is why, through parliamentary discussions and in accordance with our plan to combat poverty, the requirement to train between 16 and 18 years of age will also be discussed in this bill. I will conclude by evoking the customization of the routes and one of his strongest illustrations. We must indeed offer all our students a more personalized course, in order to take account of each other's talents and difficulties. This is what we do when we implement the "work done" program at the college, the personalized courses designed to integrate the desires and particularities of each individual or the inclusive school that aims to take into account the specificities of students with disabilities. I wanted to conclude by referring to this point – which, as you know, appears in today's news with the conclusion of the wide-ranging consultation on inclusive school in recent months – in order to mark the essential character it holds for me. Much has been done, but the challenge remains immense, because we need to change our perspective on the difference and succeed in transforming our organizations. Our ambition is clear: to ensure that all children whose disability is diagnosed – today there are 340,000 in our school system – are cared for as quickly and, above all, as efficiently as possible. The proposed lever is new: to make a major public service of disability emerge at school, with the creation of 80000 posts of public officials distributed within different poles throughout the territory and who, in all circumstances, on school and out-of-school time, accompany children with disabilities. As we said this morning with Sophie Cluzel, it is a matter of offering children, whenever necessary, support and real follow-up, but also of ensuring greater stability of the staff concerned and better training of teachers and assistants, as well as better anticipation, thanks to the new career that we open to these 80000 agents. It is therefore a new stage in the inclusive school that will open from the start of the 2019 school year. Here too, parliamentary debates, as a follow-up to our recent discussions, must enable us to incorporate the necessary provisions into the law. I stress that I have come to you with this bill, not with something definitely established, but with provisions that are ready to be enriched with different contributions.
