ParlaMint-FR_2019-10-14-O1022.u1	The next item is the continuation of the discussion of the finance bill (No. 2272, 2301).
ParlaMint-FR_2019-10-14-O1022.u2	This afternoon, the Assembly concluded its hearing with the speakers in the general discussion. I now call the clauses of the Finance Bill for 2020.
ParlaMint-FR_2019-10-14-O1022.u3	Mr Daniel Labaronne has the floor.
ParlaMint-FR_2019-10-14-O1022.u4	The opening article will give us an opportunity to have an interesting debate on the structural deficit. I would remind you that the identification of the cyclical and structural components of the government deficit is based essentially on the estimation of potential GDP. However, the estimation of this aggregate raises many difficulties of several kinds: methodological, theoretical, academic, econometric and statistical. This estimate results in the production gap between potential and actual GDP. In the opinion of the High Council for Public Finance, it is stated that this difference is -0.3% of GDP according to the OECD - the Organisation for Economic Co-operation and Development - and +0.4% according to the European Commission. The difference is 15 billion euros, excuse me for a little! In 2006, the production gap was estimated at -0.8%; In fact, it was 2.3%. Suppose the potential growth rate exceeds 1.25%. This is the Government's estimate, but it seems to me low; If it were higher, the structural deficit would be much lower and tonight's discussion would probably be different. I would like to remind our opposition colleagues, who will not fail to question us about the structural deficit, that our colleague Valérie Rabault, during the examination of the PLF – finance bill – for 2017, said that the structural balance was a questionable notion. I would also like to recall that our colleague Gilles Carrez, during the examination of the PLF for 2016, tabled an amendment denouncing the artificial and arbitrary nature of the notions of potential growth and structural balance. However, this balance is a reference standard. We will therefore have to be vigilant in order to fulfil our European commitments. For this to happen, tax exemptions and other tax niches of all kinds will have to be avoided, because on the one hand, we cannot criticise the level of structural deficit and, on the other hand, we cannot propose any amendments which could make it worse.
ParlaMint-FR_2019-10-14-O1022.u5	Thank you very much, my dear colleague.
ParlaMint-FR_2019-10-14-O1022.u6	[[Applause on the benches of the LaREM, MODEM and SOC groups]] One last word to congratulate our compatriot Esther Duflo, who has just received the Nobel Prize in Economics, with two American researchers. She is the second woman to win this award, and I think we should welcome this event.
ParlaMint-FR_2019-10-14-O1022.u7	That justified giving you a few more seconds of speaking time. Mrs Valérie Rabault has the floor.
ParlaMint-FR_2019-10-14-O1022.u8	I agree, Mr Labaronne: the concept of structural deficit is based on an indicator that is not observable, namely potential growth. We can therefore tell the infinite, indeed, of the value to be given to it. On this point, I would like to join you. In 2016, the Members of the Finance Committee, together with a number of their counterparts in the national parliaments of Italy, Spain and Belgium, wrote to the European Commissioner explaining that the calculation of the structural deficit, as designed, was problematic and that they wished to see the European Union adopt the methodology applied to the IMF – the International Monetary Fund – by Olivier Blanchard since 2013. I will support you if you take the same approach with the new European Commissioner. In any case, the structural deficit is calculated by the European Commission using an equivalent method for the 28 countries included in the TSCG – the European Treaty on Stability, Coordination and Governance. We can therefore propose to change the thermometer – I am not necessarily against it, far from it – but the value chosen in our amendments is that which has been recalculated by the European Commission, and it is it that will serve as the basis for whether or not France fulfils its commitments under the treaties it has signed. It's the only thing that matters.
ParlaMint-FR_2019-10-14-O1022.u9	Exactly!
ParlaMint-FR_2019-10-14-O1022.u10	You may disagree with this rule – we could also agree on this. Nevertheless, the structural deficit has continued to fall from 2012 to 2017 – this has been validated by the European Commission – but since 2017, it has been increasing again. This means that, if the deficit falls, it is due to its cyclical component, which, despite uncertainties on the international scene, is rather favourable; If an economic crisis were to occur, this economic advantage would disappear and the nominal deficit would explode.
ParlaMint-FR_2019-10-14-O1022.u11	Mr Charles de Courson has the floor.
ParlaMint-FR_2019-10-14-O1022.u12	When we read the preliminary article and complete it with the opinion of the High Council, what do we see? What I have said in the general discussion, minister: there is no reduction in the structural deficit in the draft budget for 2020, nor is there any reduction in the 2018 and 2019 budgets, since the reduction in the structural balance is limited to 0.1 or 0.2%, depending on the method of calculation. However, I would like to congratulate you for coming back for more reason by retaining a potential growth rate of 1.25% in the explanatory annexes. This is quite new, since I remind you that, in the discussion we had at the end of 2017, you thought that your measures would lead to a gradual increase in the potential growth rate. This is not the case since the European Commission estimated our potential growth at around 1.1 or 1.2% at the most. So you are gradually returning to a reasonable estimate. Minister of Economy and Finance, what about Article 23 of the Organic Law of 2012? According to paragraph 49 of the High Council's opinion, the average difference over the last two years between our structural balance and the trajectory set by the Public Finance Programming Act "would thus be slightly below 0.25 points per year, just below the threshold for triggering the correction mechanism provided for in Article 23 of the Organic Law of 2012. However, the assumption of triggering the correction mechanism during the review of the regulatory bill for 2019 cannot be ruled out, given the uncertainties affecting both macroeconomic forecasts and public finances." Is that to say, minister, that you are considering – it has been said, in particular by Mr Darmanin – introducing a new programming law to run after the financial laws, since we clearly do not respect the first one or the second one?
ParlaMint-FR_2019-10-14-O1022.u13	I have before me a number of amendments, Nos 753, 794, 62, 607, 1288, 63, 752, 883, 1309 and 530, which can be discussed jointly. Amendments Nos 753 and 794 are identical, as are Amendments Nos 62, 607, 1288 and 63, 752 and 883. Mrs Marie-Christine Dalloz has the floor to support Amendment No. 753.
ParlaMint-FR_2019-10-14-O1022.u14	As the rapporteur-general pointed out in his report, France has made two commitments. The first, very clearly enshrined in domestic law in article 34 of the Constitution, is the public pay path set out in the Public Finance Programming Act; In 2018, there was a law on public finance programming for the period from 2018 to 2022. The second commitment is contained in another document, which falls under European law: the stability programme, reviewed and corrected each year, the last of which was also forwarded to the European Commission in April 2019. Failure to comply with these two commitments leads the High Council for Public Finance to state in its opinion that there is a problem of consistency between the Finance Bill for 2020 and the Public Finance Programming Act. In April 2018, the Government had announced a deficit of 0.9 points for 2020. With the perspective you are presenting, it is 2.5 times higher, as we only increase from - 2.3 points in 2018 to - 2.2 points in 2020, i.e. the smallest deficit decrease since 2010: 0.1 points! That is what we must say, rather than repeat that, since 2001, the deficit has never been so low. Let's see where we're from! You have a favourable situation and you can only achieve a decrease of 0,1 points! France's public deficit is twice as high as that of the euro area, which is your sad record.
ParlaMint-FR_2019-10-14-O1022.u15	Thank you, my dear colleague.
ParlaMint-FR_2019-10-14-O1022.u16	In 2020, our deficit of 2.2 percentage points of GDP will double the euro area average of 0.9 percentage points. We propose that you return to reason and respect the word of France.
ParlaMint-FR_2019-10-14-O1022.u17	Amendment No 794 by Mrs Véronique Louwagie is being defended. Mrs Valérie Bazin-Malgras has the floor to support Amendment No. 62.
ParlaMint-FR_2019-10-14-O1022.u18	The Government does not respect the already unambitious level of structural balance in the Public Finance Programming Act. As a result, the least we can do would be to meet the structural deficit target set out in the law on public finance programming. This is the subject of this amendment.
ParlaMint-FR_2019-10-14-O1022.u19	Mrs Emilie Bonnivard has the floor to support Amendment No. 607.
