ParlaMint-FR_2019-10-07-O1013.u1	The next item is the continuation of the discussion of the bioethics bill (No. 2187, 2243).
ParlaMint-FR_2019-10-07-O1013.u2	On Friday, 4 October, the Assembly continued its discussion of the articles of the draft law, ending with amendment No. 191, which added article after article 19.
ParlaMint-FR_2019-10-07-O1013.u3	Amendment No 191 is being defended.
ParlaMint-FR_2019-10-07-O1013.u4	Because of the time programmed!
ParlaMint-FR_2019-10-07-O1013.u5	Mr Jean-François Eliaou, rapporteur of the special committee on the bioethics bill, has the floor to give the committee's opinion.
ParlaMint-FR_2019-10-07-O1013.u6	This amendment refers to the pre-implantation diagnosis with HLA typing – the DPI-HLA. He proposed to repeal article L.2131-4-1 of the Public Health Code, which was devoted to him, and to draw up an inventory of the placental blood bank. The DPI-HLA was introduced on an experimental basis in 2004, and confirmed in 2011. Over the past nine years, twenty-five couples have been involved and nine children have been born, five of whom were HLA-compatible; Three transplants were performed. This does not, therefore, concern a large number of couples. Since 2014, this practice has ended in France. The last centre to practice it is the Antoine-Béclère Hospital in Clamart. I had initially considered that this article should indeed be repealed, but having considered the arguments put forward by the Minister for Solidarity and Health in a special committee, I am now convinced that it must be maintained. Indeed, it concerns a number of pathologies: not only Fanconi anemia, but also sickle cell disease, which is relatively frequent, or thalassemia. In some cases, there is no brother or sister HLA-compatible, thus a compatible tissue group, which is the only way to treat these patients. Moreover, the removal of this article would automatically lead to difficulties in caring for families through social security – some go abroad, especially in Belgium, to follow this type of treatment. This shows that there are still cases to be dealt with. Finally, the last reason why I am not in favour of deleting this article – and I will come back to it later in an amendment that I propose – is that it would allow women's and men's-women's couples to obtain, by IVFs not too numerous, but repeated, embryos that meet the two criteria: to be without genetic mutation on the one hand, and to be HLA-compatible on the other. However, I am convinced that this type of treatment could again be carried out in France, and I am sure that the medical teams, at least those who are specialised in this field, will be able to resume this activity. All these reasons lead me to give an unfavorable opinion on this amendment and then to propose an amendment that will remove certain measures or precautions that prevent the proper application of this procedure.
ParlaMint-FR_2019-10-07-O1013.u7	The Minister for Solidarity and Health has the floor to give the Government's opinion.
ParlaMint-FR_2019-10-07-O1013.u8	I had spoken during the debates in the special committee on this technique. I would like to deliver an opinion of wisdom, a little different from the position I had taken in committee. This technique concerns very rare diseases for which only the bone marrow transplant offers a chance of healing. These bone marrow transplants, when performed with compatible voluntary donors, are less effective than transplants made from compatible siblings. The technique of DPI-HLA is therefore aimed at a few children a year, for whom it is known that the bone marrow transplant is an absolute indication, but also that no transplant technique will be as good as a transplant from a related donor of siblings. The reason I give a wisdom opinion is that it has been at the heart of my professional activity for years. I therefore feel that I do not have the necessary hindrance to be able to give a clear free and independent opinion on this issue. I prefer to rely on the wisdom of Parliament.
ParlaMint-FR_2019-10-07-O1013.u9	Mr Xavier Breton has the floor.
ParlaMint-FR_2019-10-07-O1013.u10	This setback that you do not have, minister, we will have it even less than you, because we do not have your professional practice. It is therefore with great caution that we approach this issue of IPR-HLA, also known as double IPR or "baby medicine". The argument of highlighting the small number of cases is not admissible. In the field of bioethics and ethics, we are sometimes led to legislate on particular situations, as was the case on the subject of transfers of post-mortem embryos. We sometimes spend a lot of time on these situations, while other times, on the contrary, we spend much faster on more important subjects, which concern tens or hundreds of thousands of people. But it is also the purpose of ethics to devote time to such subjects. I would then add that the argument that if this is not done in France, it will be done abroad, is not an argument. We condemn the so-called ethical dumping. The French ethical exception must be maintained. The real question is related to the potential effectiveness of this method, which is found, but that it is necessary to compare the use of an embryo – thus, in the long term, of a person – as a means and not as an end. This technique will place the weight of the healing opportunity of another child on this individual. That's why she's reticent. The subject, as you point out, minister, refers to the wisdom of everyone. There is no good answer to this solution which seems desirable, but which uses a means which is less so.
ParlaMint-FR_2019-10-07-O1013.u11	The rapporteur has the floor.
ParlaMint-FR_2019-10-07-O1013.u12	I would like to go back to one of the points you mentioned, Mr Breton. I did not say that because it is done abroad, it should be done in France. I have indicated that this technique is being practiced in some centres, particularly in Belgium, but this does not mean that this should be done automatically in our country. I am simply saying that this could be done in France, provided that there is no inconsistency by supplementing Article L.2141-3 of the Public Health Code – which I am proposing in the amendment I tabled.
ParlaMint-FR_2019-10-07-O1013.u13	You're going backwards!
ParlaMint-FR_2019-10-07-O1013.u14	I would add that this amendment, of which Mrs Genevard is the first signatory, raises another important point, which needs to be discussed. It recommends that the banks of placental blood units be developed very significantly, in order to maximize the chances of having units compatible with these children who are born with diseases and do not have a compatible brother or sister in their families. This idea makes sense. Unfortunately, given the very large variety of these tissue groups, the chance of finding two unrelated but compatible individuals in the population varies, depending on the specificities, from one in one million to one in ten million. The increase in the number of placental blood units would therefore not necessarily make it possible to find those units that are compatible with the children concerned.
ParlaMint-FR_2019-10-07-O1013.u15	Mrs Blandine Brocard has the floor.
ParlaMint-FR_2019-10-07-O1013.u16	I have arrived too late to support my amendment: please excuse me. I take advantage of the wisdom expressed by the minister to speak in the debate, although I do not have the same scientific knowledge as the rapporteur. It is a question of designing a brother or sister donor, free of disease and as compatible with the child as possible. So we're talking about baby medicine. The term is already strange in itself. It is a matter of planning the arrival of a child for the sole purpose of treating his ill elder. Mr. Breton pointed out that this principle could be challenged from a legal point of view, because it raises the question of the status accorded to the child: it is no longer considered as a subject of law in its own right, but as an object of law, since it is designed for the purpose of caring for another child. Beyond this legal challenge, a scientific challenge is emerging. According to a report published by the Senate in 2008-2009, the cord blood bank network and the diversity of units stored today are such that "all patients undergoing cord blood transplants find a graft compatible." I therefore believe that we have an opportunity to put an end to this scientifically and legally questionable practice.
ParlaMint-FR_2019-10-07-O1013.u17	Mr Thibault Bazin has the floor.
ParlaMint-FR_2019-10-07-O1013.u18	The baby medicine is calling. It is true that, in front of a sick child, one is always deeply helpless and one measures the suffering of the parents who would like to find a solution at all costs. Nevertheless, there is also a real ethical dilemma between several interests: that of the child to be cared for and that of the child to be born. In this case, the principle of the dignity of each person must prevail, which must exist for himself, without being a means for another. The child must be welcomed for himself, not for the other. It is our role as legislator to fix this ethical barrier.
ParlaMint-FR_2019-10-07-O1013.u19	All right!
ParlaMint-FR_2019-10-07-O1013.u20	The minister has the floor.
ParlaMint-FR_2019-10-07-O1013.u21	I would like to shed some light on this debate. We're talking about baby medicine. However, I believe it is necessary to re-establish the reality of these families. They are couples whose child is sick; Sometimes the first, sometimes the second. Some of these diseases are developing very slowly, such as Fanconi's disease, which evolves over ten or fifteen years and which the child declares late. These couples may have other children. They then enter a pre-implantation diagnostic procedure – IPR – to have a second or third child. They do not conceive a baby drug: they are families that have a sick child and, as part of their parenting project, have other children, with selection of the genetic anomaly by IPR. Because transplants work much better – I insist – within the same family than with any other transplant performed with a voluntary donor or placental blood, they are offered at the same time, with the selection of an uninfected embryo, to check for HLA compatibility. Out of four embryos, there will be one sick and three healthy; On these three other healthy ones, there is one in four chances that one of them will be compatible. In fact, this represents three out of sixteen chances, although statistically, the probability of having an unmet and compatible embryo is considered to be between 10% and 15%. We're talking about baby drugs, but these families are mostly part of a parenting project to design another child. In the context of this parenting project, during which the IPR is carried out, they are proposed to further seek compatibility so that this child can possibly save his brother or sister. It seems to me important to bear in mind that these are not children specially designed to save the other baby. On the other hand, Mrs Brocard, a placental blood transplant is only partially compatible in most cases. This does not give the same results as an intrafamilial transplant, which is fully compatible regardless of the tissue group, whether it is a placental blood transplant or a donor. I wanted to clarify this point before your vote.
ParlaMint-FR_2019-10-07-O1013.u22	That's a very wise way to go!
ParlaMint-FR_2019-10-07-O1013.u23	On Amendment No 1596, I have a request from the Group of the European People's Party for a public vote. The vote is announced in the National Assembly. Mr Jean-Louis Touraine has the floor to support this amendment.
ParlaMint-FR_2019-10-07-O1013.u24	It seems to me that it has fallen, Madam Chair: it is a modality of the DPI-HLA, which we have just deleted.
ParlaMint-FR_2019-10-07-O1013.u25	Could the committee confirm that, rapporteur?
ParlaMint-FR_2019-10-07-O1013.u26	These two amendments – that of Mr Touraine and my amendment No 2177, which was identical – fall in fact, since they referred to Article L.2131-4-1 of the Public Health Code, which we have just repealed.
ParlaMint-FR_2019-10-07-O1013.u27	As these are fairly technical subjects, it is good to have the opinion of the specialists.
ParlaMint-FR_2019-10-07-O1013.u28	I have before me three identical amendments, Nos 323, 553 and 1890. Mr Xavier Breton has the floor to support Amendment No. 323.
ParlaMint-FR_2019-10-07-O1013.u29	This amendment aims to ensure that prenatal screening and pre-implantation diagnostic policies are evaluated, as these screenings, if they reflect the desire to programme everything, to avoid all the inherent frailties of the human species, may lead to a logic of making babies zero defect. It is essential that we prohibit any eugenic practice, especially since very strong temptations exist in the majority and among its supporters. It is important to reject it categorically.
ParlaMint-FR_2019-10-07-O1013.u30	All right!
ParlaMint-FR_2019-10-07-O1013.u31	I call Mr Patrick Hetzel to support Amendment No. 553.
ParlaMint-FR_2019-10-07-O1013.u32	These amendments are intended to ensure that the National Ethics Advisory Committee – CCNE – is consulted every three years on these issues so that they can be the subject of a genuine parliamentary debate. If, as we are told, science progresses very quickly, it is all the more important for Parliament to be able to deal with it. The legislator cannot simply let things go without saying: this too is a matter of ethics. We have repeatedly pointed to the so-called "less ethic" of this bill. It is because we reject this drift that we defend these amendments.
ParlaMint-FR_2019-10-07-O1013.u33	I call Mr Thibault Bazin to support Amendment No. 1890.
ParlaMint-FR_2019-10-07-O1013.u34	Defended, Madam President.
ParlaMint-FR_2019-10-07-O1013.u35	What is the opinion of the committee?
ParlaMint-FR_2019-10-07-O1013.u36	I understand the meaning of your amendments, but this subject falls within the competence of the Biomedicine Agency, which devotes an annual report to these issues and has already carried out an in-depth study on prenatal diagnosis in 2007. We will consider an amendment to devote another study to pre-implantation diagnosis and prenatal diagnosis when the law is enacted. While I recognize the importance of such follow-up, the NCCE does not seem to me to be the most appropriate agency to allow us, as parliamentarians, to regularly monitor this type of practice. I therefore ask you to withdraw your amendments, otherwise I will give an unfavorable opinion.
ParlaMint-FR_2019-10-07-O1013.u37	What is the Government's opinion?
