ParlaMint-FR_2019-04-02-O1202.u1	The next item is the question to the Government.
ParlaMint-FR_2019-04-02-O1202.u2	Mr Philippe Berta has the floor.
ParlaMint-FR_2019-04-02-O1202.u3	Madam Secretary of State to the Prime Minister responsible for persons with disabilities, on this world day of autism, it is worth recalling that this disorder of central nervous system development is a real pandemic that now affects more than one in a hundred French people, and that we do not have treatment. For the 600,000 adults and 100,000 children who suffer from communication and behaviour difficulties throughout their lives, improving the state of knowledge in order to obtain effective treatment is therefore simply an emergency. Various research avenues need to be evaluated for this polyfactorial pathology generated during life in utero: genetic mutations, viral or bacterial inflammations, allergen, prematurity or caesarean. I am thinking in particular of the work carried out by Professor Ben-Ari, which highlights the importance of perinatal and prenatal life. These results in a Phase III clinical trial involving thirty-four European centres. Indeed, when it comes to research, the right scale to lead the fight and promote the completion of laboratory work and the development of new therapies, the scale on which we need to focus our efforts is, once again, the European scale. The 700000 French people with autism or our 3 million children with rare diseases know this well. On 14 March, in Paris, you convened the European ministers responsible for disability issues and adopted a joint declaration to deepen cooperation. Science is advancing rapidly and, in many areas, health research is at a turning point. Techniques become more precise, discoveries accelerate. It has never been so important to give impetus to innovation in our European laboratories. [[Applause on the banks of the MODEM group and on several benches of the LaREM and GDR groups]] Madam Secretary of State, what is your strategy for Europe to meet this challenge? How can we enable our European researchers to carry out their work under the most favourable conditions so that tomorrow autism is no longer an orphan treatment disease?
ParlaMint-FR_2019-04-02-O1202.u4	The Secretary of State for Disabled Persons has the floor.
ParlaMint-FR_2019-04-02-O1202.u5	Mr. Philippe Berta, you're right: science is moving forward very quickly. Together with Frédérique Vidal, Minister of Higher Education, Research and Innovation, we wanted to put science at the heart of public policy on autism, and of the strategy unveiled almost a year ago by the Prime Minister, wishing to make France a leader in research for autism and neurodevelopment disorders. I am pleased to attest to you that our research is progressing and that it is structured, in accordance with our ambitions. Our research community is growing. Together with Mr Adrien Taquet, Secretary of State to the Minister of Solidarity and Health, we met this morning at the hospital in Versailles with the ten young heads of clinics that we support, as part of our strategy. Their projects range from research into the causes of autism, to research into biomarkers that enable diagnosis to be objected to, to understanding important disorders, such as sleep or pain. We support them with financial resources: EUR 16 million is spent on this strategy. We also support them with organizational means: three centres of excellence have been set up. Good research is done at the European level. That is why we are structuring a dedicated group that will be established by June. It will facilitate the networking of the large research teams labeled by the National Institute of Health and Medical Research – INSERM –, the Office of the Commissioner for Atomic Energy and Alternative Energy – CEA –, the National Institute for Agronomic Research – INRA – or the National Centre for Scientific Research – CNRS – to support its positioning at European level. Europe has a leadership stake in the global science competition. There is a question of solidarity of destiny, as I was able to verify by bringing together in an unprecedented way, on 14 March, together with Nathalie Loiseau, then Minister for European Affairs, all the European ministers responsible for disability issues. We have signed a joint declaration that marks our commitment to intensifying our exchanges and cooperation in research. [[Applause on the benches of the MODEM and LaREM groups]] We intend to make good progress as part of the strategy to be adopted by the new European Parliament and the new Commission. We owe it to the 80 million Europeans with disabilities to whom we want to strengthen the social and inclusive character of the European Union and to mark this European renaissance to which the President of the Republic has called all citizens of Europe as a whole.
ParlaMint-FR_2019-04-02-O1202.u6	Mr Thierry Benoit has the floor.
ParlaMint-FR_2019-04-02-O1202.u7	[[Applause on the benches of the UDI-Agir group and on several benches of the LR group]] Mr Minister for the Green and Energy Transition, I would like to ask you about the automotive industry. France has the chance to have some of the world-renowned European and even car manufacturers, of course I am thinking of Peugeot-Citroën and the Renault Group. Every year, more than seven million French vehicles are built around the world. Moreover, if we celebrate this year's 100th anniversary of the Citroën brand, this proves that French car manufacturing is a centuries-old tradition. However, your predecessor Nicolas Hulot had announced that the Government was committed to halting the commercialization of thermal motor vehicles by 2040. I have examined, with my colleagues in the UDI-Agir group and independents and with our collaborators, the Mobilitys bill: we can see that in 2019 we continue to talk about fossil fuels – diesel, gasoline – and then also a little bit of electricity, scooter and bike, but no ecological transition. The text does not propose credible alternatives to what the French have today, namely oil, when we are all trapped because there is no alternative to the thermal engine today! [[Applause on the benches of the UDI-Agir group. – Ms Sylvie Charière also applauds]] You obviously have a responsibility to engage in a strategy with the manufacturers to get us out of the oil industry. What is the real will of the Government and manufacturers to drive? What is the Government's strategy to end its dependence on oil?
ParlaMint-FR_2019-04-02-O1202.u8	The next speaker is the Minister of State, Minister for the Ecological and Solidarity Transition.
ParlaMint-FR_2019-04-02-O1202.u9	Yes, honourable Member, there is a need for a transformation of the automotive industry and, at the same time, a transformation of the transport sector as a whole. The habits of our fellow citizens have already changed, and the automobile industry is beginning to change. French manufacturers, now internationalized, are among the leaders of this transformation. The Renault-Nissan alliance is thus a leader for the electric car,...
ParlaMint-FR_2019-04-02-O1202.u10	At what cost?
ParlaMint-FR_2019-04-02-O1202.u11	... and the Peugeot-Citroën Group – PSA – will develop a range of plug-in hybrid electric vehicles in addition to fully electric vehicles and thermal vehicles. I would like to point out that the thermal vehicles manufactured by our manufacturers are among the soberest in this category today, and that the first area of research is to reduce the consumption of petrol engines. The French and European authorities are accompanying this policy of profound transformation. Thus, in France, we develop a network of electric charging stations: there are already 25,000 deployed on public spaces, in addition to home charging, and there will be 100,000 by the end of the quinquennium. We have provided a bonus of 6000 euros to support the purchase of an electric vehicle and, this year's novelty, a bonus of 2500 euros for plug-in hybrid electric vehicles because it is a compromise between conventional gasoline vehicles and electric vehicles.
