ParlaMint-FR_2019-05-21-O1242.u1	The next item is the oral questions without debate.
ParlaMint-FR_2019-05-21-O1242.u2	The next speaker is Mr Michel Zumkeller, to put his question, No. 727, on the charging of homeopathy.
ParlaMint-FR_2019-05-21-O1242.u3	My question, which is addressed to the Minister of Solidarity and Health, concerns homeopathy. The French are very attached to this mode of care: more than half of our compatriots use it to treat themselves. I would remind you that it is practiced and prescribed by doctors, trained in France as part of a supplementary course. This is a very important subject. As far as health is concerned, it seems to me that we must allow everyone to choose their own way of care. Moreover, it is a French specialty, with many innovations. For some time now, however, some opinions have been heard, sometimes very oriented, in favour of its disbursing. For my part, I am very opposed to it, you will understand it; We should try to understand why. Homeopathy is a cheap medicine: it accounts for only 0.29% of prescriptions for medicines, which is a cost for social security. In addition, this practice avoids the use of medicines: for example, a patient treated with homeopathy consumes three times less anti-inflammatory drugs and antibiotics. In a country where over-consumption of drugs has almost become a national sport, it is therefore a means of preventing doctors from prescribing drugs as much as they currently do. Everyone knows, in their entourage, people to whom homeopathy has helped to treat small bobos, sometimes much more. My question, therefore, is quite simple: is the Government considering the introduction of homeopathy, and if so, why? We're having a little trouble understanding it. The medical field is very special. Everyone must be able to treat himself as he pleases. Moreover, France is not the only country where homeopathy is practised on a large scale. Thus, in India, it is the third recognized form of medicine.
ParlaMint-FR_2019-05-21-O1242.u4	The Secretary of State to the Minister for Solidarity and Health has the floor.
ParlaMint-FR_2019-05-21-O1242.u5	Since the 1960s, homeopathy products have enjoyed a derogatory status and regime. Thus, the debate on their repayment and dementing has been going on for a long time. Re-evaluation of reimbursable therapeutic strategies ensures appropriate care for patients. It is normal for homeopathic medicines, like any other specialty, to be subject to this process. It is not a question of banning homeopathy but of questioning its reimbursement through national solidarity. In France, we follow a strong principle in the reimbursement of medicines: taking care of therapies with a scientifically proven effect. On this basis, Agnès Buzyn seized the High Health Authority on 1 August. The Committee on Transparency, which is a specialised training body – a scientific and independent collegiate body bringing together clinicians and members of patient and user associations – has issued a scientific and independent opinion; It will probably be the subject of an adversarial debate with the industrialists concerned. The Government is not intended to comment on the content of the report. Without prejudice to the final opinion, the main thing is to dissipate the debate. Patients should be provided with clear and appropriate information on these medicines, in order to choose whether or not to use them, regardless of whether or not their reimbursement is maintained. Homeopathy will therefore not cease to exist, whether or not the health insurance decides to maintain its reimbursement. Finally, I would like to reassure you, Mr Zumkeller, that the Government is sensitive to employment, which has a reality. We hear the concerns in the territories about the potential risks to employment posed by the de-burdening. Pharmaceutical laboratories will be able to adapt to this development. We do not prohibit homeopathy. Moreover, industrialists do not only produce for the French market.
ParlaMint-FR_2019-05-21-O1242.u6	Mr Michel Zumkeller has the floor.
ParlaMint-FR_2019-05-21-O1242.u7	If I understand correctly, the Government is about to decide to defuse homeopathy. It's very clear: you have to say it.
ParlaMint-FR_2019-05-21-O1242.u8	That's not what I said!
ParlaMint-FR_2019-05-21-O1242.u9	If I understand your reasoning correctly, it is based on the need – on which everyone agrees, the actors of homeopathy in the first place – to analyse the situation. I'll do it. However, when a conventional laboratory knowingly sells a placebo that is reimbursed by social security, what does the Government do? Nothing! Nothing, ever! When one holds a reasoning, one must do it to the end. If you follow your reasoning to the end, then you must prohibit the sale of placebos. However, as far as health is concerned, we know very well that there are psychological effects. Go ahead, Madam Secretary of State! Do you think you'll save money? You will do anything else, because people who no longer take homeopathy will turn to traditional medicines, which will cost social security much more. In the end, we'll sell drugs, but we won't treat people. Scientific studies are very good. But why do you think people use homeopathy? Because she's doing them good. I don't know if you have children; I do. I will take the example of arnica: if we give it to a child who has fallen, it is effective, while a particular study concludes that there is no scientific evidence.
ParlaMint-FR_2019-05-21-O1242.u10	But we don't forbid it!
ParlaMint-FR_2019-05-21-O1242.u11	Of course, but if you disburse it, people will turn to other products, it's obvious. In any case, you make a choice, and you have the right. However, know that many French people are opposed to it because it is important to be able to choose. You won't make us believe that the pharmaceutical industry is not lobbying. If you were fighting against and also against excessive drug prescriptions, maybe we could get along. The Government is taking a very bad path there. The French will not accept this measure because they are very attached to the possibility of treating themselves by gentle medicine while being reimbursed. Social security is a matter of national solidarity.
ParlaMint-FR_2019-05-21-O1242.u12	Absolutely! He's right!
ParlaMint-FR_2019-05-21-O1242.u13	Mr Belkhir Belhaddad, speaking on behalf of the Group of the European People's Party, raised his question, No. 701, on the transport costs of persons with disabilities.
ParlaMint-FR_2019-05-21-O1242.u14	Victor's 25 years old. He resides in Sainte-Marie-aux-Chênes, a commune in my constituency. In a situation of disability, he attended the medical-educational institute of Pierrevillers. Very largely reached by the age limit, he should have left him for more than five years, but he remains there under the Creton amendment. Only here: Victor should go to a specialized foster home. Some organizations in the metropolis of Metz would be in a position to welcome it, but none of them organizes a transport system for its users. Moreover, the intercommunality in which he resides does not exercise transport competence. From then on, everything becomes very complicated. Victor's life plan excludes any use of boarding school. His parents, both working, have already pushed many doors, contacted many authorities. There's nothing to do with it. Either one of them manages to reconcile his working hours with those of Victor's journeys, which is impossible, or a taxi has to pick up Victor every day. The CDMH – the departmental home for disabled people – could cover the cost of the disability compensation benefit of EUR 200 per month, leaving more than EUR 2000 for the family, more than a salary. Solutions exist. This could be regulatory: the inclusion of transportation expenses in the operating expenses of living homes or accommodation homes. This could be agile: the identification of all children and young people in the living pool facing a situation close to Victor's, to activate a tailor-made offer. This could be financial: the deflation of transport aid granted by the CDMH for such situations. Finally, this could be legislative: within the framework of the mobility guidance law, by strengthening the obligation of EPCI – public institutions for inter-municipal cooperation – to replace the region in the event of a lack of service. Whatever solution is chosen, it is up to us to find one, Madam Secretary of State, because there are many Victors in our territories and their caregivers are exhausted by the difficulties they face. I'll ask a few questions. Is there a regulatory change in the coverage of transportation costs? Can the State consider contributing financially to the emergence of innovative solutions for the needs little or poorly covered in peri-urban or rural areas? Is the deplorable provision of transport aid for disability compensation envisaged, particularly where no transport organizing authority is in a position to meet the needs? Finally, will the relevant competences be included in the obligations to which future mobility organising authorities will be subject?
ParlaMint-FR_2019-05-21-O1242.u15	The Secretary of State to the Minister for Solidarity and Health has the floor.
ParlaMint-FR_2019-05-21-O1242.u16	Mr Belhaddad, thank you for your question, which has the merit of drawing our attention to the situation of some children with disabilities who have become adults, such as Victor. Situations like the one you describe are numerous. We must collectively find a solution, in terms of a field of competence which is widely shared between the State and local and regional authorities. The massive and accelerated transformation of the provision of support for children and adults with disabilities, in order to develop inclusive responses and facilitate life paths, must be part of a more integrated territorial organisation. This is both a societal requirement and a major political objective. We know how transportation problems, including their financing, can affect the completion of the life project and the development of people with disabilities. Beyond that, your question raises the question of the rest of the burden borne by persons with disabilities. This is a concern of the Government, which I know is shared by parliamentarians. Furthermore, the various projects under way in the field of disability will have to contribute to addressing the problem of transport, reaffirming, if necessary, the principles in force, which are sometimes unknown. In cases such as Victor's, it is a question of proposing new accompaniment solutions, allowing to reconcile the daily lives of family caregivers with the life project of the person with a disability. Finally, I would point out that the subjects of transport organisation and care are discussed in particular in the context of the work to simplify the provision of compensation for disability, which itself constitutes one of the areas of reflection of the national conference on disability. In this context, we will not fail to answer your question, honourable Member.
ParlaMint-FR_2019-05-21-O1242.u17	Mr Dino Cinieri, speaking on behalf of the Group of the European People's Party, raised his question No 714 on the cost of extra-curricular services for the municipalities.
ParlaMint-FR_2019-05-21-O1242.u18	My question is for the Minister of Solidarity and Health, but it also concerns the Minister for Territorial Cohesion and Relations with Local and Regional Authorities. Several mayors of my riding of the Loire, which covers Ondaine, Pilat and Forez, have reported a significant increase in the cost of extracurricular services for the municipalities. For several years, indeed, it appears that the funds allocated by the family allowance fund – the CAF – have been declining. In the context of a drastic reduction in aided contracts and a reduction in State allocations to local authorities, mayors and municipal elected officials are finding it increasingly difficult to organize extracurricular time, whether it be the morning day-care centre, before the beginning of the courses, or the evening school, or the meridian break or the reception of Wednesdays. However, the out-of-school recreation service is essential for families, especially when both parents work, in the cities but also and especially in rural areas. Without real state support, the municipalities will be forced to significantly increase the rates applicable to families, which would be a catastrophic signal, I stress the word, because they are already facing a high tax burden. In addition, increasing the cost of child care tends to discourage mothers from resuming or retaining paid employment, as is well known. I would therefore like to make three requests: that the State and the CAF restore all the financial aid paid before the reform of school rhythms; new aided contracts are granted to municipalities; extra-curricular leisure services are compensated against the euro.
ParlaMint-FR_2019-05-21-O1242.u19	The Secretary of State to the Minister for Solidarity and Health has the floor.
ParlaMint-FR_2019-05-21-O1242.u20	Mr Cinieri, you are talking about a reduction in the financing of the family branch, which I am very surprised to hear. The objective and management agreement – COGE – in force, signed in 2018 by the State and CAF for five years, provides for €608 million per year to be spent by 2022 on establishments offering leisure opportunities for school children, especially during extracurricular time, which is 21 million more than in 2017. The family branch of social security is fully engaged with the communes and intercommunals, in order to accompany their return to a four-day school-time organisation a week and to help them re-establish a quality leisure offer on Wednesday. It has thus set itself the objective of creating 500,000 reception places on Wednesday by 2022, thanks to the increase in funding for leisure centres, to which a total of almost 50 million euros will be allocated. This subsidy, paid in addition to the traditional CAF grant, will be granted to the co-signatory communes – with the prefect, the national education services and the director of the CAF – a plan on Wednesday, guaranteeing the quality of the activities proposed. However, the specific educational rhythm aid, known as ASRE, which had been set up by the CNAF – the National Fund for Family Allowances – in 2013, when the communes moved to the four-and-a-half-day week, has not been abolished. It will continue to be paid to the municipalities which have chosen to maintain this method of organisation and the structures offering new extra-curricular activities or extra-curricular activities introduced during the previous reform of school rhythms. These municipalities will therefore always benefit from funding from the family branch. In addition, they will always receive support from the support fund for the development of extracurricular activities. The Ministry of National Education and Youth has decided to maintain this fund, which makes it possible to pay flat-rate aid of EUR 50 per pupil per year, which may be increased by EUR 40 under certain conditions. The State and the family branch have therefore decided to maintain the level of funding available to municipalities and managers of reception facilities before 2018, or even to make progress on Wednesdays, in order to meet a double objective of maintaining the existing offer and developing the activities proposed on Wednesday.
ParlaMint-FR_2019-05-21-O1242.u21	Mr Dino Cinieri has the floor.
ParlaMint-FR_2019-05-21-O1242.u22	You must know that I am not satisfied with your answer at all. Seen from Paris, everything's fine. But when you are in an electoral district deep in the province, especially in a rural municipality, the situation is not at all the one you described. Local authorities need assisted contracts because they do not have the means to replace them with anything else. After a good reading of your answer to my question, I expect strong actions, for the benefit of the municipalities, whether they are rural or urban.
ParlaMint-FR_2019-05-21-O1242.u23	Mrs Isabelle Florennes, speaking on behalf of the Committee on the Environment, Public Health and Consumer Protection, raised her question, No. 719, concerning the financing of private health institutions of collective interest.
