ParlaMint-FR_2019-10-28-O1044.u1	The next item is the debate on the second part of the finance bill for 2020 (No. 2272, 2301).
ParlaMint-FR_2019-10-28-O1044.u2	We are dealing with the examination of appropriations for research and higher education (No 2301, Annexes 33 and 34 ; No 2302, Volumes IV and V; No 2298, Volume XIII; No 2292, Volume X). Mr Chouat, Special Rapporteur of the Committee on Finance, the General Economy and Budgetary Control, has the floor.
ParlaMint-FR_2019-10-28-O1044.u3	We are at a turning point in our research policy. In the face of the new climate, energy and societal challenges, we need to define an ambitious national research policy, which enables us to make France one of the major powers in the fields of research and innovation. The future law for the programming of research, which we will have to examine next spring in Parliament, will have to respond to this urgency. Let me quote Mr. Prime Minister's just words in his policy statement last June: "Fighting fears... is looking to the future with confidence, investing in intelligence, reconnecting with the spirit of conquest. It is by investing sustainably in research and science that we will effectively combat the feeling of distrust among our fellow citizens and that we will be able to promote a society of progress for all. This budget for 2020 is a new step. It has been part of a constant effort since the beginning of the legislature. Indeed, the research budget, outside universities, has seen a sharp increase since 2017 – 1.2 billion euros in commitment authorisations and 723 million euros in payment appropriations – and a further increase between 2019 and 2020. This trend will be confirmed and amplified in the next programming law. The first priority of this budget, in financial volumes, is our space policy. The means increase by €214 million, both to clear the French debt to the European Space Agency, which will make French involvement in European space programmes more credible, and to face competition with Ariane 6's first launch in 2020. Project-based research, carried out by the National Research Agency, the ANR, is also supported. After a low point in 2015, when the Agency received EUR 527 million, the increase in the means of commitment was continued and continues in 2020. The Agency will benefit from additional commitment authorisations of €32 million next year, thanks to a reduction in the reserve rate, bringing the total amount of appropriations to €740 million. The NRA will therefore have more resources. This will increase the project selection rate to 25%, allowing it to select some 800 additional projects worth around €281 million. However, the so-called "recurring" funding of laboratories is not forgotten. In particular, the National Centre for Scientific Research – CNRS – will benefit from an additional €25 million in order to restore budgetary room for manoeuvre to its laboratories. I also stress the strategic choices made in nuclear energy and renewable energy research. The Government has chosen to complete the Jules Horowitz reactor project, which will strengthen the safety of our power plants and the competitiveness of our nuclear industry. This implies additional funds, amounting to some EUR 30 million in 2020, for the Office of the Commissioner for Atomic Energy and Alternative Energy, the CEA. The Commission has a consolidated allocation of EUR 51 million. Innovation support policy also has a decisive impetus. To understand it better, we need to get out of the framework of the state budget alone. The Industry Innovation Fund is now operational: it makes it possible to mobilise EUR 250 million per year for strategic innovation areas in order to bring about the emergence of the industry of tomorrow. Financing our start-ups is a central topic. I know the concerns expressed about the decline in the allocation of Bpifrance's innovation aid; We will come back to that when we consider the amendments, but I would like to make it clear now that this budget will allow Bpifrance to increase its contributions by EUR 85 million in 2020. Medical research is strengthened. Between 2019 and 2023, an envelope of EUR 25 million is to be devoted to research on paediatric cancers. We will also come back to that. Agricultural and agri-food research is also strengthened. We will devote an additional €2.5 million to the creation of the National Research Institute for Agriculture, Food and the Environment (INRAE), a consortium of the National Institute for Agricultural Research (INRA) and the National Research Institute for Science and Technology for the Environment and Agriculture (IRSTEA), capable of forming a global centre on the subject. As you can measure, the research budget does not only look at itself at the national level. I do not have time to mention the important issues relating to the European Union, in particular the next European framework for research and development, called Horizon Europe, which will have EUR 100 billion between 2021 and 2027. Nor do I have time to address the territorial articulation of our research policy, which involves regions, businesses and universities. [[Applause on the benches of the LaREM group]] In any case, the effort made over the past three years clearly illustrates the Government's commitment to research. I therefore invite you to adopt the proposed budget for 2020 for the seven programmes covered by our special report.
ParlaMint-FR_2019-10-28-O1044.u4	Mr Fabrice Le Vigoureux, Special Rapporteur of the Committee on Finance, the General Economy and Budgetary Control, has the floor.
ParlaMint-FR_2019-10-28-O1044.u5	For the "Research and Higher Education" mission, this third five-year budget is in line with the two previous ones: with an increase of 534 million euros for 2020, the appropriations increase in three years by 1.7 billion euros, or more than half of the total budget for culture. This effort is considerable and indispensable. It will soon be combined in 2020 with the multi-annual law on research, which we hope will be as ambitious as possible. As Benjamin Franklin rightly and wisely pointed out, "investment in knowledge always has the best interests." This quotation is more relevant than ever, because knowledge and research, their production and dissemination, are the condition of a country's influence and influence; It is also the fermenting of innovation and the development of enterprises, as well as a source of human development and their ability to take down a destiny too well written in advance. The Higher Education and University Research programme is allocated an additional EUR 176 million compared to 2019. In general, these additional appropriations will help to accompany the demographic dynamics of enrolment in higher education, in which universities take their full part. They will make it possible to finance the student plan, i.e. additional places in the fields of tension as well as the accompanying mechanisms towards success, which are beginning to yield extremely encouraging results. They will also allow the transformation of the paths of health studies. In addition, they will enable private institutions which contribute to the tasks of the public service of higher education, which have seen an increase of 20% of their student population in just three years. Finally, they will make it possible to generalise a small revolution in the allocation of resources to universities by means of strategic and management dialogue as close to the field as possible, with all the stakeholders in higher education and research in a territory; This dialogue will allow much finer and more qualitative appraisals of the wealth of projects and the emergence of a logic of mechanical allocation of sometimes discouraging means. Moreover, at this stage, it should be remembered that the State's efforts in favour of higher education cannot be measured by the 150 programme alone.
ParlaMint-FR_2019-10-28-O1044.u6	Indeed!
ParlaMint-FR_2019-10-28-O1044.u7	The resources dedicated to higher education are complemented by extra-budgetary funding linked to future investments and new revenue from the student and campus life contribution, the CVEC. Contrary to the ideas received, the aggregation of these new resources shows an ongoing effort by the Government in terms of expenditure per student over the past three years. I come to the "Student Life" programme, with an additional €66 million compared to 2019. These credits will increase direct and indirect aid to our students. The amount spent on grants on social criteria will increase by 46 million euros compared to 2019, i.e. a gain of 11 to 61 euros per student, depending on the scale. The mobility aid Courseup, set up as part of the student plan, is also increasing in power, with 9000 applications registered in this year's year. However, I would like to draw your attention, Madam Minister for Higher Education, Research and Innovation, to the guarantee of student loans by Bpifrance. The €2 million envelope of this guarantee fund is insufficient – it is completely consumed within a few weeks. It is a functioning mechanism, and the Court of Auditors has pointed out the important leverage effect. It is essential to increase staffing. On behalf of the Committee on Finance, I will present an amendment to that effect. Finally, at the mission level, it seems to me essential that the Ministry of Higher Education, Research and Innovation, the State Real Estate Directorate and the Directorate of the Budget carry out an extensive reflection, in the continuation, in particular, of the work of our colleague Jean-Paul Mattei, on the energy renovation of the university building. Today, it is quite paradoxical to see that researchers who think tomorrow's energy solutions work daily in thermal colanders. The university's housing stock accounts for nearly 20 million square metres. The campus plan was a real effort, but it could only involve about fifteen institutions and it is coming to an end. Investing in this area means reducing the carbon footprint, saving on heating bills and promoting the attractiveness of our campuses. Investing in universities attended by nearly 2.5 million students, users and staff may seem at least as urgent as investing in administrative cities, for example. Unlocking access to bank credit to change a boiler can be climate and fiscally virtuous, while participating, Madam Minister, in your very proactive orientations to enhance the value of academic heritage. The solutions exist and must strike the right balance between the autonomy and responsibility of universities. I therefore solemnly invite the Ministry of Action and Public Accounts and the Ministry of Higher Education, Research and Innovation to begin a profound reflection on this subject with national representation. [[Applause on the benches of the LaREM group]] To these points, and while welcoming the remarkable commitment of the Government and the Minister, I invite you, ladies and gentlemen, to vote on the appropriations for programmes 150 and 231.
ParlaMint-FR_2019-10-28-O1044.u8	Mrs Danièle Hérin, draftsman of the opinion of the Committee on Cultural Affairs and Education, has the floor.
ParlaMint-FR_2019-10-28-O1044.u9	2020 can be analysed as a transitional exercise for the research budget, while a multi-year research programming law, known as the PPR Act, is being prepared. This law is intended to apply from 2021, after its examination in Parliament in the first half of 2020 – I will come back to that earlier. Pending the guidelines laid down in this text, this budget is in line with the two previous financial years. He continues the important effort made since 2017 to redress the funding of MIRES, the mission "Research and Higher Education". Within the scope of research alone, appropriations increased by EUR 310 million, an increase of 2.05 %, to almost EUR 15.5 billion. I will focus on Program 172, which brings the funds from most research organizations, from CNRS to INSERM – the National Institute of Health and Medical Research – to INRIA – the National Institute for Research in Computer Science and Automation – and the future INRAE. The programme's payment appropriations amount to EUR 6.94 billion and commitment authorisations increase by EUR 118 million. For research organisations, public service subsidies are up by €75 million. The ANR's commitment capacity is increasing by EUR 30 million as a result of the decrease in the reserve rate. In particular, programme 172 provides for additional resources for the development of the national plan for artificial intelligence, to which an additional €21 million will be allocated, as well as for PPCR wage measures – career paths, careers and remuneration. The 2020 budget is also marked by a sharp increase in the resources devoted to space research. The European Space Agency, ESA, will thus benefit from an additional €226 million, which will enable France to clear its debt and thereby retain its position as a European leader. These appropriations will contribute to the financing of ongoing programmes and those to be launched at the next ESA Ministerial Council, to be held in Seville next November. The year 2020 is expected to prove significant for French and European space policy with the completion of the Ariane 6 programme, the first flight of which is scheduled for July, and the arrival in full operational capacity of the Galileo system.
ParlaMint-FR_2019-10-28-O1044.u10	I would like to shed some light on the financing of research and technology transfer by local and regional authorities, mainly the regions as leaders in these areas: this expenditure amounts to around EUR 1 billion. They cover technology transfer and support operations for innovative enterprises, real estate operations and support for researchers. It is important to better coordinate these territorial financings with those made by the State and its operators.
ParlaMint-FR_2019-10-28-O1044.u11	I will conclude by referring to the future law of research programming. The definition of a multi-annual framework will allow for the long duration of the research to be taken into account and for the laboratories to be made more visible. This text raises strong expectations within the scientific community. A report submitted to the Government at the end of September proposes measures that are important to be implemented, including the strengthening of career attractiveness, the development of basic laboratory support, the increase in the rate of selection of calls for projects and the rate of the NRA precipitate. More broadly, we must maintain the objective of increasing research spending to 3% of our GDP – this share was still 2.2% in 2018 despite the progress made since 2017. [[Applause on the benches of the LaREM group]] The Committee on Cultural Affairs and Education, which met last Wednesday, delivered an opinion in favour of the adoption of these appropriations and I invite you, ladies and gentlemen, to do the same.
