ParlaMint-FR_2019-09-27-E2016.u1	The next item is the continuation of the discussion of the bioethics bill (No. 2187, 2243).
ParlaMint-FR_2019-09-27-E2016.u2	Last night, the Assembly continued its discussion of the articles of the bill, stopping with Amendment No. 1047 to Article 1.
ParlaMint-FR_2019-09-27-E2016.u3	I have before me two amendments, Nos 1047 and 2554, which can be discussed jointly. Mrs Anne-France Brunet has the floor to support Amendment No. 1047.
ParlaMint-FR_2019-09-27-E2016.u4	The purpose of this amendment is to maintain the current organisation of MPA centres. This may vary depending on the number or availability of sites. The requirement that a physician be present at each interview may complicate the organization of AMP procedures. I therefore propose to trust the teams, on the understanding that the AMP procedure will continue to be supervised by a physician at the centre.
ParlaMint-FR_2019-09-27-E2016.u5	All right!
ParlaMint-FR_2019-09-27-E2016.u6	Mrs Tamarelle-Verhaeghe has the floor to support Amendment No. 2554.
ParlaMint-FR_2019-09-27-E2016.u7	The drafting of the text has already been enriched to take account of the psychological context of these interviews, but at the risk of a slightly less easy reading, I believe there are still elements to be clarified. These preparatory interviews are also carried out by other health professionals, as highlighted by the federation of CECOS – centres for the study and conservation of human eggs and semen: pharmacists, midwives, psychologists, genetics advisors. However, this does not appear in the text, whereas this plurality guarantees the quality of the assessment of all the factors involved in an MPA application. This amendment is therefore intended to remedy this.
ParlaMint-FR_2019-09-27-E2016.u8	Mr Jean-Louis Touraine, rapporteur of the special committee responsible for examining the bioethics bill, has the floor to give the committee's opinion.
ParlaMint-FR_2019-09-27-E2016.u9	Mrs Tamarelle-Verhaeghe's amendment will be satisfied by Mrs Wonner's amendment No 2327, which we will consider in a few minutes' time and which expands the multidisciplinary team. As for Mrs Brunet's amendment, it has the disadvantage of excluding doctors, whereas it is a medical act and gynaecologists are at the centre of these acts even if they are not alone, far from it – I am the first to recognize the importance of the plurality of the team. The committee's opinion is therefore unfavourable.
ParlaMint-FR_2019-09-27-E2016.u10	The Secretary of State to the Minister for Solidarity and Health has the floor to give the Government's opinion.
ParlaMint-FR_2019-09-27-E2016.u11	Same opinion as the rapporteur on your amendment, Mrs Tamarelle-Verhaeghe. We all come together to affirm the need for the reception, care and support of couples and women who engage in a long and complex AMP journey to be carried out by professionals from a number of disciplines, including medical professionals. We also agree with the need for transparency, and that is why I would like to express as the draftsman a favourable opinion on Amendment No 2327 by Mrs Wonner, which provides for the composition of this team to be defined by a decree in the Council of State. This will make it possible to harmonize the organisation of the AMP centres which are in our national territory and ensure that all women who use these practices are treated in a uniform manner.
ParlaMint-FR_2019-09-27-E2016.u12	Mrs Anne-France Brunet has the floor.
ParlaMint-FR_2019-09-27-E2016.u13	My amendment may have been misinterpreted. His objective was to remove the requirement that a doctor be present at all interviews, but I do not dispute the fact that it is up to a doctor to supervise this procedure.
ParlaMint-FR_2019-09-27-E2016.u14	Mrs Marie Tamarelle-Verhaeghe has the floor.
ParlaMint-FR_2019-09-27-E2016.u15	The wording of my amendment is a little different. Clarifying the composition of a multidisciplinary team is not the same as predicting that pre-interviews are carried out by the entire team – which does not appear in the text.
ParlaMint-FR_2019-09-27-E2016.u16	She's right!
ParlaMint-FR_2019-09-27-E2016.u17	The text simply refers to medical interviews. The difference may be subtle, but it seems important to me.
ParlaMint-FR_2019-09-27-E2016.u18	I have before me two amendments, Nos 1518 and 2327, which can be discussed jointly. I call Mrs Emmanuelle Ménard to support Amendment No. 1518.
ParlaMint-FR_2019-09-27-E2016.u19	Defendant.
ParlaMint-FR_2019-09-27-E2016.u20	Mrs Martine Wonner has the floor to support Amendment No. 2327.
ParlaMint-FR_2019-09-27-E2016.u21	It is necessary to recall here the emotional and psychological shock that may lead to a refusal by the multidisciplinary team to proceed with the AMP. For this reason, we must create the conditions for the most fair understanding possible by applicants of the decision-making process, giving them the assurance that they will be received everywhere in the same way. This assumes that the composition of the clinical-biological team is known to them. Of course, it is not a question of making the names of its members known, but simply of their function. To this end, the amendment entrusts the regulatory authority with the task of detailing – by a decree issued by the Council of State – the composition of the multi-professional team; It seems obvious that a common denominator must be guaranteed throughout the territory.
ParlaMint-FR_2019-09-27-E2016.u22	What is the opinion of the committee?
ParlaMint-FR_2019-09-27-E2016.u23	He supported Amendment No 2327 and opposed Amendment No 1518.
ParlaMint-FR_2019-09-27-E2016.u24	What is the Government's opinion?
ParlaMint-FR_2019-09-27-E2016.u25	Same opinion, Mr. President.
ParlaMint-FR_2019-09-27-E2016.u26	Amendment No 2222 of the committee is drafting.
ParlaMint-FR_2019-09-27-E2016.u27	I call Mr Thibault Bazin to support Amendment No. 91.
ParlaMint-FR_2019-09-27-E2016.u28	The purpose of this amendment is to ensure that the conditions under which the child will be allowed are verified when the application is made by a single woman. We can see the vulnerabilities that may exist in this case – they have been mentioned for several days already.
ParlaMint-FR_2019-09-27-E2016.u29	What is the opinion of the committee?
ParlaMint-FR_2019-09-27-E2016.u30	Disadvantaged: this amendment unnecessarily stigmatizes single mothers.
ParlaMint-FR_2019-09-27-E2016.u31	What is the Government's opinion?
ParlaMint-FR_2019-09-27-E2016.u32	I would remind you that the interview with the multidisciplinary team must allow the social situation of the applicants to be understood. It is therefore unnecessary to incorporate into the law an element the rapporteur has just stressed the stigmatizing nature of these single mothers. Unfavorable opinion.
ParlaMint-FR_2019-09-27-E2016.u33	It is not a question of stigmatizing, but of identifying possible vulnerabilities!
ParlaMint-FR_2019-09-27-E2016.u34	Mr Didier Martin has the floor to support Amendment No. 1608.
ParlaMint-FR_2019-09-27-E2016.u35	With this amendment, Mrs Bérangère Couillard proposes that the professionals of the multidisciplinary teams be informed and made aware of the reception of a new category of applicants. Ms. Couillard said that the teams should be made aware that the reception and support of such women should not give rise to any difference in treatment depending on their marital status or orientation.
ParlaMint-FR_2019-09-27-E2016.u36	What is the opinion of the committee?
ParlaMint-FR_2019-09-27-E2016.u37	Although I share the objective just mentioned, I would ask you to withdraw this amendment. He was already satisfied with the text, which referred to this lack of discrimination on several occasions, in particular in Article 1a. An amendment will also be defended to recall the good practices of MPA centres, excluding any risk of discrimination.
ParlaMint-FR_2019-09-27-E2016.u38	What is the Government's opinion?
ParlaMint-FR_2019-09-27-E2016.u39	Same opinion.
ParlaMint-FR_2019-09-27-E2016.u40	I have before me two identical amendments, Nos 363 and 874. I call Mr Patrick Hetzel to support Amendment No. 363.
ParlaMint-FR_2019-09-27-E2016.u41	The issue is the best interests of the child. The answer given to Mr. Bazin shows that this issue is not always central, and that is why we propose that the legislation clearly state that the interests of the child will be systematically taken into account.
ParlaMint-FR_2019-09-27-E2016.u42	Amendment No 874 is being defended. What is the opinion of the committee?
ParlaMint-FR_2019-09-27-E2016.u43	I also share the objective of your amendment. The whole text, from the first to the last line, is, of course, imbued with this desire to always put the interests of the child first. I would even add that it is our role as parliamentarians to protect the weakest.
ParlaMint-FR_2019-09-27-E2016.u44	Words are nothing without deeds!
ParlaMint-FR_2019-09-27-E2016.u45	The strongest do not need the law, the weak need it. Indeed, it is all this text that makes the best interests of the child a priority.
ParlaMint-FR_2019-09-27-E2016.u46	What is the Government's opinion?
