ParlaMint-FR_2019-02-13-O1147.u1	The next item is the continuation of the debate on the bill for a school of trust (No. 1481, 1629).
ParlaMint-FR_2019-02-13-O1147.u2	This afternoon, the Assembly continued its discussion of the articles of the bill, concluding with amendment No. 27 to article 2.
ParlaMint-FR_2019-02-13-O1147.u3	I have before me three amendments, Nos 27, 141 and 140, which can be discussed jointly. Amendments Nos 27 and 141 are identical. I call Mr Patrick Hetzel to support Amendment No. 27.
ParlaMint-FR_2019-02-13-O1147.u4	With regard to the amendment tabled this afternoon by one of our colleagues, he considers that if we want to lower the age at which education is compulsory at all costs, it must only be at the age of five, under no circumstances at three. This is what the Republican presidential programme proposed.
ParlaMint-FR_2019-02-13-O1147.u5	It was an excellent program.
ParlaMint-FR_2019-02-13-O1147.u6	I take this opportunity to ask you again, Minister, because you did not answer one of our questions earlier. If we understand that the figure of 26000 you are advancing would come from the PISA study, the International Programme for the Monitoring of Pupils' Accomplishments, how can you today state with certainty that there are 26,000 children aged 3 to 6 in our country who would not be attending school? On what statistical basis do you rely on?
ParlaMint-FR_2019-02-13-O1147.u7	On the press?
ParlaMint-FR_2019-02-13-O1147.u8	We consulted various documents published by your department and did not find any evidence to confirm this figure. In addition, you argue fairly regularly that they are children from disadvantaged backgrounds. My question is therefore twofold: where does this figure of 26000 as such come from, and how do you achieve the sociological precision you mention when communicating with the press?
ParlaMint-FR_2019-02-13-O1147.u9	Very good question!
ParlaMint-FR_2019-02-13-O1147.u10	Mr Xavier Breton has the floor to support Amendment No. 141.
ParlaMint-FR_2019-02-13-O1147.u11	This amendment, identical to that of our colleague Patrick Hetzel, is indeed intended to propose that the age at which education is compulsory, and not from which school is compulsory – because sometimes, in the words of the Minister, there is some confusion as he says: one must go to school, or educate, whereas it is the only education that is compulsory – be lowered to five years. I do not go back to the principle of obligation: we are for freedom, and you are for coercion. Of which act. But from there, what choice? In practice, 5 years is an age that corresponds in children to an awakening, to a curiosity. At this age, there is a desire to learn, which allows us to enter into a logic of instruction and teaching, and thus to rely on programs and then controls. In fact, which says compulsory instruction means programmes to be defined and then controls to be carried out. We know that these years, where openness to the world begins, where the desire to discover, learn and know manifests itself, are important. Again, the question of the age at which compulsory education is to be established is not ideological: it is a matter of being pragmatic. Opting for 5 years instead of 6 years or 3 years is based not only on data from the education sciences but also on practical observations. This is the subject of this amendment.
ParlaMint-FR_2019-02-13-O1147.u12	Mr President, you have the floor to support Amendment No 140.
ParlaMint-FR_2019-02-13-O1147.u13	This is a fallback amendment aimed, so to speak, at limiting the breakage by setting the age of compulsory education at 4 years, not 3 years. Indeed, who says three years says as well two and a half years as three and a half years, with great differences between the children: at this age, a month more or less, it is not nothing, it counts proportionally to the lifetime! There are very important differences in behaviour and hygiene between children at that age. There is also the question of nap and rest. We are no longer in the debate that can oppose the very conceptions of school: we are dealing here with really practical questions. Four years is an age at which the child is slightly more mature: this would facilitate the task both in terms of the layout of the premises and the management of the premises, and would thus limit the costs that will ensue. I note that no response has been given to the budgetary implications of this compulsory three-year education, and therefore of the schooling of the children concerned. Who will bear the corresponding expenses? The municipalities or the state? The municipalities and the state? It is for this reason that we propose in this amendment that education should only be compulsory from the age of four. I would also like to associate myself, and I shall end by that, with the question put by Mr Hetzel: where does the figure of 26000 or 27000 children come from? How can we be sure of their sociological profile? Do they all come from underprivileged neighbourhoods? It would be important to have elements of response in order to avoid the spread of false information – fake news, as they say in English.
ParlaMint-FR_2019-02-13-O1147.u14	Mrs Anne-Christine Lang, rapporteur of the Committee on Cultural Affairs and Education, has the floor to give the Committee's opinion.
ParlaMint-FR_2019-02-13-O1147.u15	It is unfavourable on all of these amendments. Education is compulsory for each child from the age of 3.
ParlaMint-FR_2019-02-13-O1147.u16	It's not voted yet!
ParlaMint-FR_2019-02-13-O1147.u17	The Minister for National Education and Youth has the floor to give the Government's opinion.
ParlaMint-FR_2019-02-13-O1147.u18	I will try to be concise, as I promised at this afternoon's session. First of all, Mr Breton, I am pleased that your comments have shown a development since yesterday, and I welcome it. You have just said that choosing between 3 years or 5 years was a matter of pragmatism. But I thought I had been dedicated to gemonies to pour in ideology by opting for 3 years. If this is only a practical question, we will be able to compare our expertise on how important it is for a child to go to school from 3 years of age.
ParlaMint-FR_2019-02-13-O1147.u19	No European country has done so!
ParlaMint-FR_2019-02-13-O1147.u20	[[Claims on several benches in the LR group]] I approach this debate with great serenity because many elements demonstrate this. Would that mean that 98% of people are not pragmatic since they send their children to school from the age of 3?
ParlaMint-FR_2019-02-13-O1147.u21	Let them do it or not!
ParlaMint-FR_2019-02-13-O1147.u22	But they are! You said it yourself at the moment: it is education that is compulsory, and it will be possible to continue to give instruction with the family. There will simply be a check of the progress of the level.
ParlaMint-FR_2019-02-13-O1147.u23	Anyway, the decision is already made!
ParlaMint-FR_2019-02-13-O1147.u24	I'm afraid your argument will lead you into a dead end. But after all, I'm not meant to accompany you. The fact is that I am glad that you see a practical dimension of this, so that we refer to the simple analysis of the interest of the child that attention should be paid as soon as possible to what is passed on to the child. For me, it is precisely an approach that justifies compulsory education from the age of three. With regard to Mr. Hetzel's questions, which you have taken up, Mr. Breton, on the calculation of the number of children between the ages of 3 and 6 who are out of school, the data come from the Evaluation, Prospective and Performance Directorate, DEPP, of the Department of National Education. The number of children in school is subtracted from the total number of children reported by INSEE, so the calculation is relatively simple. However, I am pleased to say that this figure cannot be taken for sure to the nearest unity. Indeed, it is often difficult to identify the children concerned. We have talked a lot about Mayotte and Guyana: everyone knows that in these two cases, especially in Guyana, we do not know exactly how many children escape education. The new law will have the very virtue of making it possible to better account for them, since today only children aged 6 and over are subject to a systematic approach. So yes, this figure has a margin of error. However, it is a benchmark resulting from the subtraction between INSEE figures and the number of children in school. As to whether they are children from disadvantaged backgrounds, we know the number of children from 3 to 6 years of age who are out of school on a territory-by-territory basis. In the case of the two territories I have just mentioned, it is well known that they are disadvantaged populations. And as you know, I can say from experience. We know that some of the neighbourhoods concerned are disadvantaged neighbourhoods, although of course there are favored families that do not send their children to school before the age of 6 – but these families are still part of the process of compulsory education and accept controls. It is therefore not difficult to say with certainty that the vast majority of children affected by the measure are from disadvantaged backgrounds. In any event, I say without difficulty that while the subject is essentially social, it is also societal, especially in view of sectarian phenomena and religious fundamentalism. Some families, regardless of social background, may, for example, consider it inappropriate for a girl to go to kindergarten. This afternoon I cited the example of families falsely declaring that their children are being educated with their families and actually sent to an underground school. These are concrete realities of our country. Therefore, yes, if the subject is very social, it is also societal. Opinion unfavourable to all the amendments under discussion.
ParlaMint-FR_2019-02-13-O1147.u25	Mr Patrick Hetzel has the floor.
ParlaMint-FR_2019-02-13-O1147.u26	It is quite surprising, Madam rapporteur, to see how persistent you are: you simply repeat that education will now be compulsory from the age of three, but without opposing any arguments against ours. However, you know that if we assume compulsory education from only five years of age, it is that a number of pedagogical elements justify it. Indeed, there can be a pedagogical continuity between the major kindergarten section and the preparatory course. On the other hand, I would like to know how we are actually going to ensure the education of children in small kindergartens, i.e. at 3 and 4 years of age. The subject is particularly sensitive. Early childhood professionals are the first to say that this is not appropriate. Consider the contribution of a number of alternative pedagogies, such as the entire Montessori stream, which has shown that the introduction of over-coercive pedagogical devices before the age of 5, or even at a later age, could be counterproductive. We have pointed out this on several occasions: in a number of countries which are very successful, education is only compulsory from the age of seven. Contrary to what you say, your measure is indeed ideological.
ParlaMint-FR_2019-02-13-O1147.u27	Ah! She's back!
ParlaMint-FR_2019-02-13-O1147.u28	She is, and she is!
ParlaMint-FR_2019-02-13-O1147.u29	Mr Fabien Di Filippo has the floor.
ParlaMint-FR_2019-02-13-O1147.u30	You say that you want to address this issue of the age of schooling from the point of view of pragmatism and not ideology. Therefore, my question will not surprise you: have the necessary funding for the implementation of this measure been foreseen? Will they be placed in full on the municipalities? [[Exclaims on the banks of the LaREM Group]] I go further: today, for a 3-year-old to be accepted into school, he must be clean. In other words, he must be able to go to the bathroom. If we make schooling compulsory from 3 years old, not all children in school will be clean. As a result, additional staff will be required, and possibly more ATSEMs – specialized territorial officers in kindergartens. Have these additional staff been planned? Will they be entirely responsible for the municipalities, which are already exsanguous, or will they be fully assumed and guaranteed by the State? It is the very concrete questions that all mayors legitimately raise that will have to implement the reform.
ParlaMint-FR_2019-02-13-O1147.u31	Mrs Mathilde Panot has the floor to support Amendment No. 331.
ParlaMint-FR_2019-02-13-O1147.u32	The obligation to attend school is not limited to parents, as is often said, but also to public institutions, including local and regional authorities, which must make every effort to ensure that children present in their territory receive the compulsory education prescribed by law. However, some municipalities argue that there is no permanent residence for children to refuse to enrol in schools. For example, the Mayor of Chilly-Mazarin refused to enroll several children in his municipality, including Roma children, on the grounds that they resided in a hotel run by the Social UAS. In my constituency, the municipality of Ivry-sur-Seine schooled these children without difficulty, which is not the case in neighbouring cities. As a result, Ivry has to accommodate a larger number. There are 9,000 Roma children in the national territory. It would not be difficult for our 36,000 communes to attend school. Currently, in slums, more than 50% of 6-18 year olds – and more than 90% of adolescents – do not go to school. It does not seem superfluous to us, when it comes to the school of trust, to forcefully recall the obligations of all parties, including the communes, with regard to education and to include them in the law.
ParlaMint-FR_2019-02-13-O1147.u33	What is the opinion of the committee?
