ParlaMint-FR_2019-09-25-E2012.u1	The next item is the continuation of the discussion of the bioethics bill (No. 2187, 2243).
ParlaMint-FR_2019-09-25-E2012.u2	This afternoon, the Assembly began discussion of the articles of the bill, ending with amendment No. 1506 to article 1.
ParlaMint-FR_2019-09-25-E2012.u3	I have before me three amendments, Nos 1506, 2300 and 1530, which can be discussed jointly. Amendment No 1506 is not defended. I call Mrs Emmanuelle Ménard to support Amendment No. 2300.
ParlaMint-FR_2019-09-25-E2012.u4	The purpose of this amendment is to remind this distinguished House that it is regrettable not to insist on sterility research. It would probably be sufficient to specify that prior to referring couples to medically assisted reproduction – LDCs – more in-depth research on the causes of infertility must be carried out. It is important to stress this because, as you have often pointed out in committee discussions, the use of the LDC is often a real physical and moral test for couples. Sterility, whether explained or not, is a real subject of society. Cases continue to increase: every year, on average, 500,000 couples consult before being helped to conceive a child, i.e. one in seven couples, which seems enormous to me. According to a study of 100 couples, the cause of infertility is purely female in 34% of cases, purely male in 20% of cases and shared in 38% of cases. What solutions do we bring to these couples, apart from the use of the LDC? Unfortunately, I fear that there are too few of them, and since you seem very sensitive to the fact that all those who wish to have a child can have a child, it is also necessary to allow couples wishing to have a child without resorting to the LDC to see this wish fulfilled.
ParlaMint-FR_2019-09-25-E2012.u5	Mr Xavier Breton has the floor to support Amendment No. 1530.
ParlaMint-FR_2019-09-25-E2012.u6	This amendment proposes the deletion of the subparagraphs which extend medical assistance to procreation – AMP – to couples of women and single women, but also remove the criterion of infertility found for male-female couples. This raises questions as no real impact study has been carried out on the use that can be made by heterosexual couples of MPA in the absence of evidence of infertility. Of course, we don't use the AMP for pleasure. It's a long and difficult process. But as Mr Bazin said this afternoon, there is still a risk that the possibility of selecting gametes or embryos will lead male-female couples to use the AMP – especially if it is reimbursed, we will have an opportunity to discuss it earlier – without any objective need. During the fact-finding mission, the Chair of the National Ethics Advisory Committee – CCNE – had expressed his opposition to the removal of the criterion of pathological infertility for male-female couples. There are no opinions or impact studies to quantify the number of heterosexual couples who will use this technique or to consider the subsequent developments that may result from this removal of the objective criterion of infertility. That is why we propose, through this amendment, the abolition of the extension of the MPA to women's couples and single women, but also the abolition of the removal of the criterion of pathological infertility for women's and men's couples, because we do not know how far such a measure could lead us.
ParlaMint-FR_2019-09-25-E2012.u7	Mr Jean-Louis Touraine, rapporteur of the special committee responsible for examining the bioethics bill, has the floor to give the committee's opinion.
ParlaMint-FR_2019-09-25-E2012.u8	The opinion is unfavourable on these various amendments, which would render the text meaningless, since they want to remain in a LDC reserved for men and women.
ParlaMint-FR_2019-09-25-E2012.u9	The Minister for Solidarity and Health has the floor to give the Government's opinion.
ParlaMint-FR_2019-09-25-E2012.u10	Unfavorable.
ParlaMint-FR_2019-09-25-E2012.u11	I have before me four amendments, Nos 2271, 2336, 674 and 1950, which can be discussed jointly. Amendments Nos 2271 and 2336 are identical. Mr Xavier Breton has the floor to support Amendment No. 2271.
ParlaMint-FR_2019-09-25-E2012.u12	This amendment concerns the production and conservation of embryos during MPA procedures. We all agree on the objective of limiting the number of embryos retained, which is enshrined in the 2011 law. Indeed, the creation of embryos that are then frozen raises widely shared ethical questions. At the time, the ovocal vitrification technique was only in its early stages. Its development now offers us another solution for the production of embryos, with the possibility of self-conservation of oocytes. For this reason, we propose inserting in Article 1e r a paragraph as follows: "The cryoconservation of oocytes is prohibited and the number of embryos fertilized by attempts to provide medical assistance in procreation is limited to the number of embryos directly implanted either one or two. This takes into account the alternative of self-conservation of oocytes.
ParlaMint-FR_2019-09-25-E2012.u13	I call Mr Patrick Hetzel to support Amendment No. 2336.
ParlaMint-FR_2019-09-25-E2012.u14	My remarks will go in the same direction. The discussions revealed that there are now more than 200,000 embryos in cryoconservation. This is a real challenge. Today, however, we can do otherwise. As long as the cryonconservation of gametes exists, it is necessary to pull this thread. We are talking a lot about ethics, so let's take care of this issue of the embryo with serenity while ensuring that the number of supernumerary embryos is limited. I often hear our rapporteur, Professor Touraine, insist on advances in science. We have a real one: let us draw the consequences and make sure that, for the sake of ethics, we decide not to keep embryos but gametes. It would be a fully ethical vision – unless one prefers the so-called least ethical, which I dare not imagine.
ParlaMint-FR_2019-09-25-E2012.u15	I call Mrs Genevard to support Amendment No. 674.
