ParlaMint-FR_2019-04-02-O1201.u1	The next item is the oral questions without debate.
ParlaMint-FR_2019-04-02-O1201.u2	Mrs Brigitte Kuster has the floor to put her question, No 680, on aid to Parisian traders.
ParlaMint-FR_2019-04-02-O1201.u3	Over the past five months, Parisian traders have experienced large black Saturdays during the "yellow vests" protests. More than 453 shops were looted and ransacked, 216 of them on 16 March alone. For the Parisian trade, the balance sheet – 30% less turnover, cash flow difficulties for almost one in two brands and an image in dungeon abroad – is all the more catastrophic since no exit from the crisis is on the horizon. More than twenty weeks after Act I of the yellow vests, while the most complete uncertainty hovers over the subsequent mobilization, we fear the failure of many small businesses, which struggle to get back on track, and deplore the technical or partial unemployment measures suffered by many employees. The State, the Île-de-France region and the City of Paris have taken useful support measures, which may, however, prove insufficient to cover losses and boost economic activity. The Paris Chamber of Commerce and Industry asks the public authorities to provide the traders concerned with more support, in particular by setting up a compensation fund or extending to the victims of urban riots the benefit of the provisions of the Act of 13 July 1982 on the compensation of victims of natural disasters. In particular, the challenge is to improve insurance coverage of damage caused by breakers. How does the Government intend to respond to these demands? More generally, how does it intend to help Parisian traders overcome the disastrous consequences of this movement of unprecedented scale and violence?
ParlaMint-FR_2019-04-02-O1201.u4	The next speaker is the Minister for City and Housing.
ParlaMint-FR_2019-04-02-O1201.u5	Madam Member, I know your involvement in this matter. You regularly question the Government about the accompanying measures that we – I use this term deliberately – must take vis-à-vis traders suffering the consequences of unacceptable damage, which occurred as part of the so-called "yellow vests" movement. Unacceptable on the form, they are also because of the cost of the damage caused. It has already been estimated at over EUR 200 million. In fact, it is certainly higher, because of the related turnover losses, which add to the material damage. Of course, the Government did not wait until the twentieth Saturday to mobilize for solutions. My colleagues from Bercy, notably Bruno Le Maire and Agnès Pannier-Runacher, have activated the business continuity unit, which brings together the economic actors concerned, in order to provide solutions. These include, first of all, the spread of social and tax charges, which have benefited more than 5000 companies – that is to say, the extent to which the consequences of the deterioration affect a large number of companies! In addition, partial unemployment measures, supported by the Ministry of Labour for an amount of approximately €38 million, have benefited more than 5000 companies and 75,000 employees. In addition, facilities are available for opening permits on Sundays. In addition, we are working with insurers to determine the extent to which insurers can kindly read the insurance contracts of the companies concerned. Similarly, we are working with banks to provide them with liquidity facilities. Thus, all stakeholders are mobilized, within the framework of the business continuity unit. These arrangements were strengthened last January and February, even granting tax exemptions on a case-by-case basis for the most affected businesses. Indeed, it would be illegitimate for a single trade to be forced to close down because of the deterioration suffered as a result of these movements which have given rise to unspeakable acts. Finally, a trade recovery system, with a €3 million fund, is being made available to the Government in order to reinvigorate economic activity. It is essential to ensure that our citizens continue to attend these businesses, in order to limit the loss of turnover which they have suffered, the amount of which, at this time, is already high. In any case, please be sure, Mrs Kuster, of the determination of the State, alongside parliamentarians, on this subject.
ParlaMint-FR_2019-04-02-O1201.u6	Mrs Brigitte Kuster has the floor.
ParlaMint-FR_2019-04-02-O1201.u7	Minister, thank you for your answer. I am already aware of the measures you have just mentioned. I would like to repeat the requests made by the Paris Chamber of Commerce and Industry, in particular with regard to the need to open a specific compensation fund and the possibility for the traders concerned to benefit from the provisions of the law on compensation for victims of natural disasters. On the other hand, without doubt of your interest, I would like to draw your attention to the image of France abroad. I would like to recall the efforts made by Atout France, at a time when its budget is, unfortunately, in decline.
ParlaMint-FR_2019-04-02-O1201.u8	Mr Hugues Renson has the floor to put his question, No. 676, on the Charles-de-Gaulle Express project.
ParlaMint-FR_2019-04-02-O1201.u9	I would like to draw the Government's attention to the proposed direct link between Terminal 2 at Roissy-Charles-de-Gaulle Airport and the Eastern Railway Station, more commonly known as the CDG Express. On 16 February, the decree approving the concession contract with the concession manager was published in the Official Journal. It confirms the date of January 1, 2024 for its commissioning, in accordance with the schedule of the upcoming Olympic and Paralympic Games in Paris. However, this rail connection, which is supposed to provide a service seven days a week, from 5 a.m. to midnight, with a train every quarter of an hour, raises as many questions as concerns. This infrastructure, incorporated into the Grand Paris Express, is intended to meet the growth of the largest Paris airport and to improve its service, offering a service adapted to Parisians and visitors, while removing the RER B and reducing road traffic between Paris and the airport. However, questions remain as to the viability of the economic model and its margin of adjustment in the event of an operating deficit, if passenger traffic forecasts are too optimistic. As the Minister of Transport herself recently pointed out, the project initially suffered from insufficient transparency and consultation. This is why the prefect of the Île-de-France region has been entrusted with a task of consultation with the elected representatives of the territories concerned. The Committee issued its report on 4 February. The recommendations are intended to address the concerns raised by the project, including details of the funding arrangements for infrastructure modernization and improvements to the BSR. However, concerns about the impact of the "CDG Express"'s work on the RER B are increasing, due to the very large number of construction sites caused by the construction of the Grand Paris Express. Minister, can you specify the timetable for the implementation of the measures proposed by the Regional Prefect, which the Government has indicated will take all of them? Can you also inform us about the conclusions of the task of coordinating and piloting the interfaces of the work programmed on the Paris-Nord rail axis entrusted to the regional prefect by the Prime Minister? Finally, can you give us more general information on the future conditions of transport for users of this axis?
ParlaMint-FR_2019-04-02-O1201.u10	The next speaker is the Minister for City and Housing.
ParlaMint-FR_2019-04-02-O1201.u11	The CDG Express project is part of a whole: the improvement of transport on the territory of France. It will improve the direct link between the centre of Paris and its main airport and thereby free the roads and the RER B from part of the passenger traffic. The CDG Express project, which is therefore part of a whole, does not in any way call into question other regional development projects, particularly the Grand Paris Express project. With regard to the economic model of the project, I would like to reassure you: this model is based on conservative traffic assumptions, so that we give ourselves every chance to achieve economic equilibrium. In order to do so, it may be necessary to adapt the offer and rates of the service, within the framework established by law. As you know, the amount of the air travel tax has been fixed by law and has a ceiling of €1.40 per passenger. In addition, the commitment to finance the project without public funding will be maintained, no matter what. We're committed to it. This is already the case. With regard to the consultation mission carried out by the regional prefect Michel Cadot, he made fifteen proposals a few weeks ago, which I can confirm to you are all in the process of implementation or will soon be implemented, under the auspices of my colleague Elizabeth Borne. Finally, with regard to the timing of the project and the technical questions relating to the implementation of the project, what is certain is that a very large number of construction sites are planned in the rail sector of Paris-Nord in the coming years, in particular to modernise the daily transport. These include the RER B and D rolling stock master plan, the national railway station accessibility master plan, the Grand Paris Express interconnection projects, the new NExTEO operating system and the renewal of certain tracks and catenaries. We have entrusted the Prefect of the Region with a mission regarding the timing of this work, in order to have the most precise visibility possible in this respect. It will deliver its conclusions next April, always with the utmost transparency, and will have to specify in particular under what conditions SNCF Network is able to keep the schedule originally planned for the "CDG Express". We will therefore have the framework and opportunity to discuss it again.
