ParlaMint-FR_2019-10-01-O1003.u1	The next item is the continuation of the discussion of the bioethics bill (No. 2187, 2243).
ParlaMint-FR_2019-10-01-O1003.u2	On Friday evening, the Assembly continued its discussion of the articles of the bill, stopping with identical amendments Nos. 1924 and 2038 to Article 3.
ParlaMint-FR_2019-10-01-O1003.u3	As Amendment No 1924 is not defended, Mr Pierre Dharréville has the floor in support of Amendment No 2038.
ParlaMint-FR_2019-10-01-O1003.u4	We are again addressing a sensitive issue. I can understand the issues of children born from medically assisted procreation – LDCs – with donor; I can understand a quest that is, no doubt, that of each of us, a quest in which no one gets all the answers he expects and which can be a powerful engine of personal stories, a quest that can be satisfied in so many ways. But this raises many questions for us. I would like to reiterate my attachment to the anonymity of the gift as one of the guarantees of the gratuity of the act, its disinterestedness, its entire character – including, perhaps even fortiori, for gametes. Do you think this gift should derogate from the rules? We fear that your choice will lead to too many shortcuts and may weaken the entire gift building. Free of charge, anonymity, volunteerism, finally, preserve us all. You tell us that anonymity would be preserved since the identity of the donor would not be revealed to the child's parents. But it would still be revealed... And legal demonstrations won't change anything. By the way, parents will soon claim the possibility of knowing the donor a priori, because there is nothing more intimate, because the donor can be in contact with the child by his or her majority. The child's right is invoked as a justification, even though the right in question will apply to his or her majority. We wonder about the effects of this possibility on children in their development, about the expectation that it will make them grow in them and about the illusions that they will be able to feed. Where, in the end, is the best interests of the child? We do not know well, in the end, how far this argument of the right of access to origins, which receives many acceptances, leads us. It seems to us to have more consequences than it seems, and it is perhaps the great inconsistency of the text. It seems to us that this measure will profoundly alter the spirit of the LDC and, in a way, will accentuate the difference between couples, or between children, whether or not they are born from a donor LDC. And one can only question the fact that this provision is adopted at the same time as the LDC is extended to women's couples and single women. It may also be feared that it will alter family relations, at the risk of confusion, as demonstrated by the demands made during the debate, to allow the encounter between children from the same donor, or even between the children born of the donor and the children of the donor, without any other connection between them. This will create relationships that may be beautiful, but that may also become problematic because of this particular bond, which comes from a gift, can create a feeling of debt and guilt. Thus, in the shadow of the law, we can insinuate ourselves forms of recognition, or even compensation, if only symbolic. We're talking about the child's waiting, but what will the donor's waiting for, knowing he can be found? How can we believe that this possible donor eruption won't change anything for a couple, for a woman alone? In fact, one could discuss, from an ethical point of view, the universalizable nature of this provision and wonder, for example, whether it is right to create an obligation for the donor to accept the lifting of his anonymity without consideration – counterparties that, moreover, we do not wish. Finally, this leads us to wonder about the notion of origin, thus paradoxically reduced to their biological or, more precisely, genetic dimension – on the blood side – but also about the notion of identity which, thus understood, refers to much broader debates. In my view, we are shaped by our family history, our encounters, our readings, our work, our biographical effort, our mooring or detachment efforts. We are also shaped by what we know about our history – for example, being born of the generosity of a gift. But who really knows everything about its design? The origins, in this case, are the parents, their desire, their project, their own parents, their grandparents, and probably far beyond. We integrate, unconsciously and consciously, the baggage of humanity. The human essence is indeed the world of the human person, and this world of relations is the whole of social relations. It is our individual ability to register, our collective ability to allow it to shape and humanize us. So what we're going to find in the genes is worth the risks we're going to take? We wonder what the real answers to genetics are, apart from those contained in the non-identifiable data. What is, in the end, the meaning of the gift? If it is done well by a person, it has a social dimension, because the person who gives, if he has his own motivations, the fact in the name of what we have decided to make possible as a right, through technique, in the name of society. [[Applause on the benches of the GDR and FI groups]] That is why our reflection does not lead us to return to the cult of likelihood, on the contrary: we discuss the establishment of this new bond in the order of the family. Our reservations are therefore great about this provision, which we believe deserves much more thought. And it seems to us that it may ultimately weaken the right to reproductive medical assistance – AMP – and its extension to women's couples and single women. Did we really go to the end of ethical questioning?
ParlaMint-FR_2019-10-01-O1003.u5	I call Mrs Coralie Dubost, rapporteur of the special committee on bioethics, to give the committee's opinion.
ParlaMint-FR_2019-10-01-O1003.u6	I have heard your lengthy presentation, Mr Dharréville, which answers the questions with which we have finished the sitting last Friday night. I've been thinking a lot this weekend about our exchanges. I thought that, if there was still so much confusion on the issue of origin, anonymity, access to identifying or non-identifying data, filiation, perhaps it was because we had failed to recall, in advance, an indispensable word – the idea of which is found in your remarks – even if it is not necessary for us to include it in the law to think about it: "thank you." Thank you to all the donors who have given in France for decades. They deserve our gratitude, our consideration and our respect. This respect has, in particular, for a period of time been to protect their identity vis-à-vis all. That being said, precisely because the gift is altruistic, generous – as you have mentioned – we must be able, as legislators, to hear the questions, the demands for consideration and respect of the children of a gift, who have grown up, who are today major people; I refer here to children born of artificial insemination with sperm donation – IAD – not homoparental but well heteroparental. We can assume that in the decades to come, other questions will arise. In the meantime, it has been said and I hear it repeated with great serenity, the question is not that of the search for a father – the law already confirms it: filiation with the donor is forbidden, and it will remain so. The question is more about genetic history: why do I run faster than the rest of my family? Why am I so good at mathematics? Why do I have red hair while the others have brown and blond hair? Thus, I insist, the questions that arise are genetic in nature and are not related to the parenting relationship. And the need to know the story of his origins is not the need to change the story of his family history. It really seems to me important that we make the difference, and that we make it stand out to all past and future donors, with great tranquility. Let us not therefore make this confusion; Children from an ADI don't do it. Because we respect former donors, none of them will be forced to disclose non-identifiable data or identifying data. The Minister for Solidarity and Health recalled this, and the text is very clear: there will be no obligation for previous donors. On the other hand, future donors will have to consent to the disclosure of their non-identifying or identifying data. This will, therefore, necessarily result from a choice. As far as the previous donors are concerned, the text has already evolved somewhat in committee, and I will submit an amendment to you. On the one hand, donors under the previous regime will be able to demonstrate that they allow children from their donation to access non-identifiable or identifiable data. On the other hand, one can imagine that when a child from a gift, once of age, wishes it, one asks the donor. We already know how to deal with this situation in France. [[Applause on several benches of the LaREM group]] You were right to recall, Mr. Dharréville, that the gift is altruistic. The Assembly not only respects donors, but thanks them, as does France as a whole. And, because we respect the gift and what the LDC is, because we do not confuse with biological likelihood, because we do not want to create illusions, we are not afraid to assume that some children have access to part of their genetic narrative, not their family narrative. I have an unfavorable opinion on the amendment.
ParlaMint-FR_2019-10-01-O1003.u7	The Minister for Solidarity and Health has the floor to give the Government's opinion.
ParlaMint-FR_2019-10-01-O1003.u8	I respect Mr Dharréville's questions, which are obviously well-founded: we cannot assure, in a very certain way, that the evolution will be the one we expect. However, it seems to us that, for the majority of children, it will be a real benefit to have access to non-identifiable data or even to identifying data. I recall that donors who have granted this consent from the outset will never be obliged to meet the children born of the gift. The fact that access to identifying data is given will not force them to encounter physically, and the commission to access non-identifiable data and the identity of the third-party donor will remind the child. In addition, the law is not retroactive. On the other hand, let us make sure that access to the origins is not described as "lifting anonymity", for the one who gave the gametes will remain unknown to the one who receives them, and vice versa. The data will be disclosed to a third party from the donation, but this does not change the rules governing the anonymity of the donation, which apply between donors and recipients, as well as in the case of blood transfusions and organ, tissue or cell transplants. The anonymity of the donation therefore remains guaranteed by the current public health code. The Government's opinion was therefore unfavourable.
ParlaMint-FR_2019-10-01-O1003.u9	Mr Jean-Luc Mélenchon has the floor.
ParlaMint-FR_2019-10-01-O1003.u10	This precise point has been the subject of a rather long reflection between the Insoumis; It's been debated. The conclusion is contradictory, since we do not see all things in the same way; We will see what each of us has chosen from the debate at the time of the vote. However, a majority of us have expressed the point of view that I will present to you and which joins Pierre Dharréville's position. You have understood the principle which we demand and which I summarized at the beginning of the discussion of the text: we believe that filiation is of a "declarative" nature, a great word to say that in our eyes it has no biological truth, it has no truth but social and cultural. If we approve the bill, as we understand it – after all, everyone understands it as he wishes – it is because it contains nothing that contradicts this vision of things. We objected to those who said that there is a biological truth from which filiation proceeds – they said it with a conviction equal to ours and, perhaps, with as much or as little prejudice, if we admit that our exchanges are a matter of free deliberation and that all points of view have their value. We see a close connection between this idea and that which human societies also derive from biological truth. I said before you last week that there is a connection between this conception and the law of blood, when we consider, for our part, that filiation is only social and cultural. I know that this is a shocking idea, because we live in a different context: in this room, each one has, little or no prou, a mother and a father, and it is difficult to hear that it can be otherwise. Having said that, we plead that we should not circumvent the truth of what we are doing: we establish a new type of filiation. It will be a minority in society, because, in fact, it will not be the case most frequently, but we are putting forward a new filiation, which we fully and totally recognize, not half, partly or in small pieces! I am of course thinking of homosexual couples – I will mention later heterosexual couples, who are also committed, colleagues, by the decision you will have to make. Let's not turn around the pot: we recognize the filiation of a child who has two parents of the same sex! A first concern was expressed by some associations of children from LDCs, who referred to the suffering of children who were unaware of their origins. It is not in my intentions or those of my friends to discuss this suffering, to weigh it up or compare it with other things. However, it is not, for us, a grounding argument of rights. The suffering of human identity is innumerable. They sometimes cause dramatic situations. I remember these terrible situations, in Argentina, of children abducted from their parents murdered and raised by other families. When their grandmothers ended up finding them, some, upset by the situation, revised the history of their lives; Others refused it absolutely, not wanting to know anything about it and claiming that their parents were the ones who raised them. The latter's decision caused terrible suffering for themselves, but also almost as violent suffering for their grandmothers, since it nullified a life course, namely all the efforts they had devoted to seeking their grandchildren. I give this example only to show how life can bring about incredible and yet very real situations, as is the real violence of human relations thus taken from certain blind angles. With all due respect, I mean that, if I understand the suffering associated with the ignorance of the origins, I think it rests on an illusion, that parents would be something other than those who love and raise us. It is an illusion that biological truth; She doesn't have a reality. However, it can have a concrete impact, and that is why I am joining my comrade Dharréville. Knowledge of non-identifiable data can indeed be a considerable scientific asset in the event of transplantation or in order to know the diseases that may affect the child. On this point, I think that Pierre Dharréville is right, like my comrades who have spoken in the same direction in committee. Its amendment, which deserves our support, aims to remove the possibility for persons from LDCs to have access to donor identification data, while allowing the transmission of non-identifiable data, those that contribute to the well-being of the data subject. In other words, we are in favour of the transmission of non-identifiable data, and against those of the identifying data, for the philosophical reasons I have just presented. Allow me to point out that, if we admit the transmission of the identifying data, we would insert an additional parent – and this applies to both heterosexual and homosexual couples; I don't want to hide behind the heterosexual couple to highlight something that wouldn't be good for homosexual couples. In the case of the homosexual couple, it would be to reduce the new filiation that we have just created to an arrangement of circumstance: life would have made things so, but there would be a truth, and a parent would suddenly emerge. Pierre Dharréville referred to the crazy situations that the measure could cause. If we base our reasoning on the request of those who seek to know, then all requests can be considered legitimate. Last week, some colleagues opposed me with a purely formal reasoning of deduction; I confess that mine, at this moment, comes from the same spirit. However, if one agrees to respond to certain requests, why not answer others, such as a child from a LDC who would like to know his brothers and sisters? We may find ourselves in increasingly implausible situations. I am speaking first of all to those who wanted to go through with this bill. The votes showed that they were the most numerous in the Chamber. First, let us not invent something that circumvents the new filiation that we have just created! Secondly, let us not open the door to an endless process and crazy situations! If we recognize that suffering is the foundation of a right, then it can be extended to dozens of situations, and we can no longer control anything. Then I want to talk to the Conservatives, try to convince them. I understand that, from their point of view, the right to origin is a way of restoring a truth that they have not demolished until now.
ParlaMint-FR_2019-10-01-O1003.u11	We're consistent!
