ParlaMint-FR_2019-07-16-E1013.u1	The next item is the question to the Government.
ParlaMint-FR_2019-07-16-E1013.u2	Mr Christian Jacob has the floor.
ParlaMint-FR_2019-07-16-E1013.u3	Prime Minister, Thursday in Paris, after Algeria's victory in a game of the African Cup of Nations, showcases were smashed and stores looted. In Marseilles, Saint-Chamond, Roubaix and Saint-Étienne, police officers were assaulted and pebbled. In Tours, the tricolor flag was replaced by an Algerian flag. The worst was in Montpellier, where an individual caused the death of a mother and seriously injured her child. Of course, on behalf of the Republican Group, and certainly the whole House, I wish to join in the pain of this family. [[Claims on several benches in the LR group]] The next day, Friday, several hundred undocumented people – the "black vests," we were told – occupied the Pantheon, a place of memory where Simone Veil, Jean Moulin, André Malraux and Victor Hugo rested.
ParlaMint-FR_2019-07-16-E1013.u4	Scandalous!
ParlaMint-FR_2019-07-16-E1013.u5	Marine Le Pen, get out of this body!
ParlaMint-FR_2019-07-16-E1013.u6	[[Applause on the benches of the LR group]] How many border crossing procedures have been initiated after these unworthy desecrations? And it continues: Sunday, in Paris, Lyon, Marseille and many other cities, cars were again burned and police officers attacked. In Saint-Denis, a police station was attacked with mortar. [[Applause on the benches of the LR, UDI-I and LT group]] In the face of this situation, do not tell us that the police officers have been remarkable: we know that, we support them and we regularly pay them a strong tribute. [["Yes! » on several benches of the LR group]] Prime Minister, all these events could be anticipated. Yet nothing has been done. The authority of the State has been flouted. Your Minister of the Interior is totally out of date.
ParlaMint-FR_2019-07-16-E1013.u7	Once again!
ParlaMint-FR_2019-07-16-E1013.u8	You yourself, Prime Minister, have been particularly silent in the face of the seriousness of this situation. [[Applause on the benches of the LR group]] So my question is simple: until when will you be complacent in this inability to re-establish republican order?
ParlaMint-FR_2019-07-16-E1013.u9	[[Vif applause on the benches of the LaREM group]] The Prime Minister has the floor.
ParlaMint-FR_2019-07-16-E1013.u10	[[Applause on the benches of the LaREM group. – Protests on the benches of the LR group]] Mr Jacob, thank you for your question. I always appreciate with some delusion the sense of the measure that you are demonstrating.
ParlaMint-FR_2019-07-16-E1013.u11	Lobster delection!
ParlaMint-FR_2019-07-16-E1013.u12	I share, in many respects, the indignation that you have just expressed,...
ParlaMint-FR_2019-07-16-E1013.u13	Luckily! We hope so!
ParlaMint-FR_2019-07-16-E1013.u14	[[Applause on the benches of the LaREM group. – Exclaims on the benches of the LR group]] ... when I see that on Sunday, the day of the national holiday, a number of incidents occurred at the beginning or end of the day have tarnished the brilliance that we want to give to this festival of the nation. I deeply regret that several hundred demonstrators have chosen to come on Sunday morning to try to disrupt the parade organized on the Champs Elysées on this national holiday, even though those who march are the ones who protect the nation and that this day of July 14 is the very moment when we come to tell them our gratitude.
ParlaMint-FR_2019-07-16-E1013.u15	Answer the question!
ParlaMint-FR_2019-07-16-E1013.u16	At the beginning of the day, nearly 200 demonstrators tried to disrupt the parade. After this one, a few hundred breakers came to try to "re-appropriate" the place. The law enforcement agencies intervened and quickly managed to restore order, after certain disorders had, it is true, been found. That very evening, as you said, there were unacceptable spillovers. Recognise with me that it is unfortunately not new – even if it does not excuse them in any way – that overflows take place on the occasion of a victory in a football competition. This has led to acts that are not acceptable and, again, have been repressed by law enforcement. More than 500 arrests took place on Sunday night...
ParlaMint-FR_2019-07-16-E1013.u17	So what?
ParlaMint-FR_2019-07-16-E1013.u18	...because the police were mobilized to prevent, as far as possible, such events, which are, as you know, difficult to predict – more precisely, it is difficult to prevent such demonstrations from taking place here and there. Mr Jacob, you also mentioned the intrusion into the Pantheon. It's unacceptable! I know you too well not to know that you know how these things work: you say that this intrusion was predictable and preventable; I note, for my part, that, again, the forces of law and order have evacuated the Pantheon in the following hours, and that a number of proceedings have been initiated at the end of this expulsion and the release of the place – I am very keen to give you the exact number in writing and I apologize for not being able to answer your question. These procedures are real, they have been initiated and will, of course, result in sanctions and expulsions. [[Exclaims on the benches of the LR group]] It is not a question of questioning law enforcement officials. We are living in a time when some of our fellow citizens, and sometimes some of those responsible, do not respect the place or the constituent moments of our Republic. I say this to all those who might be tempted by disorder, by brilliance, by the spectacular, to make certain theses prevail: whenever we question the places or moments of the Republic, we weaken our country.
ParlaMint-FR_2019-07-16-E1013.u19	You're instrumentalizing the mess!
ParlaMint-FR_2019-07-16-E1013.u20	[[Applause on the benches of the LaREM group]] President Jacob, believe that the Government, the forces of law and order and, I hope, the nation as a whole are gathered together to avoid these overflows.
ParlaMint-FR_2019-07-16-E1013.u21	Mr Pierre Dharréville has the floor.
ParlaMint-FR_2019-07-16-E1013.u22	Prime Minister, the Republic is in crisis, this is not from last week.
ParlaMint-FR_2019-07-16-E1013.u23	It's been two years!
