ParlaMint-FR_2019-01-16-O1119.u1	The next item is the question to the Government.
ParlaMint-FR_2019-01-16-O1119.u2	Mr Sebastien Jumel has the floor.
ParlaMint-FR_2019-01-16-O1119.u3	[[Exclaims on the banks of the LaREM Group. – Applause on a few benches of the LR group]] Prime Minister, you missed the catch-up session of the Congress of Mayors that the President of the Republic offered himself yesterday with Norman mayors sorted out on the track: the first twenty suggested questions, the first ranks that applaud the presidential responses in cadence, an atmosphere "salmon of mayors" that occupies the chains continuously, a president La Palice who will repeat: "I love proximity. Tomorrow it will be beautiful, if it does not rain, perhaps" and, let us be fair, some real questions about the situation of abandonment of the communes. No one is fooled by the "com' plan" of this launch of the big debate on the "school of management" mode: we promise to say everything, except that the referee bears the color of the government team and that it plays at home. But the real subject is that yesterday we had to leave his yellow jersey in the locker room, put in the trunks the vests of anger under penalty of a fine of 135 euros – the price of a golden vest. The real subject of this debate is that there was no microphone for France that wants to live from its work, that calls for wage increases, that wants to be able to live from its retirement pension without being considered a golden generation, that waits for care to be taken of its hospitals, its courts, and that is fed up with a democracy where the President decides everything and nothing. On this subject, you don't "fuck" and it's getting weird on the street. You will not answer this by trying to turn mayors into shields of your politics. Mayors are here to protect the population, not the President. You will not answer it if there is no taboo question, but answers that are on the purchasing power or on the "crazy money" to take where it is. You will not answer this by proclaiming "it is us or chaos." We warn you against the temptation to make this debate a springboard to speed up your bad liberal policy, to hit harder by leaving aside the causes of chaos: fiscal injustice, social injustice, territorial injustice. [[Applause on the benches of the GDR Group and on a few benches of the LR Group, as well as among non-attached Members]] Prime Minister, we don't take a roundabout backwards, even at 80 kilometres an hour. Do you really want to appease the Republic? If so, what are your concrete answers?
ParlaMint-FR_2019-01-16-O1119.u4	The Prime Minister has the floor.
ParlaMint-FR_2019-01-16-O1119.u5	Mr. Member of Parliament, you mention your disappointment...
ParlaMint-FR_2019-01-16-O1119.u6	He's right!
ParlaMint-FR_2019-01-16-O1119.u7	[[Laughs and applause on the benches of the LaREM and MODEM groups]] ...that the meeting that was held yesterday took place in the conditions that we all noticed: six and a half hours of debate...
ParlaMint-FR_2019-01-16-O1119.u8	Castro did better!
ParlaMint-FR_2019-01-16-O1119.u9	... with mayors of all political families, who were able to ask all the questions, expressing their desire to discuss, debate and show a very great sense of responsibility.
ParlaMint-FR_2019-01-16-O1119.u10	It's no longer "squeeze your mayor," apparently!
ParlaMint-FR_2019-01-16-O1119.u11	I imagine, honourable Member, that you do not criticise these mayors, nor their comments, nor their attitude towards the President of the Republic. They had the will to exchange, to say what they felt about the situation in their commune, in our country. They were waiting for answers from the President. I do not have the memory, Mr. MP – but perhaps my memory is failing – of such an exercise, as long, as direct, and "on-line".
