ParlaMint-FR_2019-09-26-E2013.u1	The next item is the continuation of the discussion of the bioethics bill (No. 2187, 2243).
ParlaMint-FR_2019-09-26-E2013.u2	Last night, the Assembly continued its discussion of the articles of the bill, stopping with Amendment No. 730 to Article 1.
ParlaMint-FR_2019-09-26-E2013.u3	Mr Cyrille Isaac-Sibille has the floor to support Amendment No. 730.
ParlaMint-FR_2019-09-26-E2013.u4	It aims to condition the extension of medically assisted procreation – LDCs – to couples, whether homosexual or heterosexual, married, pacsified or proving a common life of at least two years. Indeed, in the current wording of the bill, the word "couple" is imprecise and can refer to many situations, as we have seen in committee. Through this amendment, marital status, marriage or civil pact of solidarity, is used as a qualifier, as is the common living condition of two years, which had been abolished by the law of 7 July 2011 on bioethics. The amendment aims to ensure that couples eligible for the LDC can attest to a real community of life. Indeed, it is important to embark on the long and difficult journey of the LDC.
ParlaMint-FR_2019-09-26-E2013.u5	I call Mrs Laëtitia Romeiro Dias, rapporteur of the special committee on the bioethics bill, to give the committee's opinion.
ParlaMint-FR_2019-09-26-E2013.u6	Unfavorable opinion.
ParlaMint-FR_2019-09-26-E2013.u7	The Secretary of State to the Minister for Solidarity and Health has the floor to give the Government's opinion.
ParlaMint-FR_2019-09-26-E2013.u8	The condition you want to reinstate was removed in 2011; No one, fortunately, requires couples who do not use reproductive medical assistance – AMP – to wait two years of common life to have a child: why would couples who use AMP be required to do so? Unfavorable opinion.
ParlaMint-FR_2019-09-26-E2013.u9	I call Mr Poulliat to support Amendment No. 2114.
ParlaMint-FR_2019-09-26-E2013.u10	We are many here to think that the desire of a child is sincere, hairy to the body and difficult to extinguish. However, there are also many of us, at least some of us, as we were able to see last night, to think that the approach of wanting a child together was different from that of wanting one alone. Our debate last night shows that there is no unanimity on this issue. This amendment is therefore intended to allow, as a first step, access to the LDC for couples of any kind, since love has no sex, and then to extend it to unmarried women. This would respect the spirit of the text: the amendment does not remove any rights, but offers the legal opportunity to change the two approaches, in particular that of unmarried women, since the absence of social discrimination is not certain today and the need for complementary social support may arise.
ParlaMint-FR_2019-09-26-E2013.u11	What is the opinion of the committee?
ParlaMint-FR_2019-09-26-E2013.u12	Unfavorable opinion.
ParlaMint-FR_2019-09-26-E2013.u13	What is the Government's opinion?
