ParlaMint-FR_2019-03-26-O1196.u1	The next item is the question to the Government.
ParlaMint-FR_2019-03-26-O1196.u2	Mr Guy Teissier has the floor.
ParlaMint-FR_2019-03-26-O1196.u3	Madam Keeper of the Seals, last Sunday, you acknowledged that there were already 200 returning jihadists in our territory. This information is very worrying for the safety of our fellow citizens, especially as the Government shows in many respects amateurism with regard to the monitoring of radicalized individuals. I want proof of the situation in Marseilles. In October 2018, the prison administration opened in catimi a secret mechanism for the open reception of convicted persons and accused of terrorism. The "individualized reception and social reaffiliation programme" in reality conceals, under a rather sober technocratic name, monitoring centres without detention of defendants and convicted persons for terrorism. In Marseilles, this small team has to take care, a few hours a week, of young people between 22 and 35 years of age, including two jihad returnees, one out of prison, three young ordinary prisoners suspected of radicalisation and six other labeled "Islamist terrorists". And all this in the heart of town! It is surprising, not to say scandalous, that you prefer, Madam Keeper of Seals, to speak to journalists rather than to elected officials. How is it that the mayor of Marseille and the president of the departmental council, major players in the security and social sector in our city, have not been warned of the potential threat posed by the installation of such a service? Having been aware of these facts, and seeking further information, they have been given an end to non-receiving from the representatives of the State. [[Applause on the benches of the LR Group and among non-attached Members]] After the barbaric assassinations of Mauranne and Laura, the closure of the As Sounna mosque and, more recently, the stabbing of passers-by on the Canebière, it is clear that our city is directly affected by radicalization and terrorism. In the face of such an opaque experimental device, can we hope on your part to explain the monitoring of dangerous individuals released in the middle of nature? Amateurism in this matter has no place! On such a sensitive issue, the closest cooperation is expected of all. Ma'am, I'm waiting for your answer!
ParlaMint-FR_2019-03-26-O1196.u4	The next speaker is Ms. Custody of Seals, Minister of Justice.
ParlaMint-FR_2019-03-26-O1196.u5	Mr President, my answer is as follows: these centres are obviously not opaque or confidential!
ParlaMint-FR_2019-03-26-O1196.u6	Really?
ParlaMint-FR_2019-03-26-O1196.u7	The proof is that they were included in the plan to prevent and combat radicalisation announced by the Prime Minister last February. At the time, we made it clear how we intended to take care of people suspected of radicalisation. When they are in detention, which is the case for most of them, they are subject – I have already had the opportunity to say so here – to an assessment and individualised care, particularly in tight quarters, isolation or as part of a specific treatment. When these persons are placed under the control of the judiciary and are therefore outside the penal institutions, they are, for the most part, subject to judicial supervision and, in addition, are monitored by the integration and probation staff in specific centres such as those mentioned above. Last year, in Paris, we experimented with such a monitoring centre for radicalised people under the control of justice. The establishment of arrangements for educational, psychological, psychiatric and housing care, etc.
ParlaMint-FR_2019-03-26-O1196.u8	Could you give us any information about Marseille?
ParlaMint-FR_2019-03-26-O1196.u9	You're asking me for an explanation, I'll give it to you!
ParlaMint-FR_2019-03-26-O1196.u10	That's not an answer!
ParlaMint-FR_2019-03-26-O1196.u11	Let me finish my explanations. Last year's care showed some success in disengaging these people from violent radicalization.
ParlaMint-FR_2019-03-26-O1196.u12	What about Marseille?
