ParlaMint-FR_2019-09-27-E2017.u1	The next item is the continuation of the discussion of the bioethics bill (No. 2187, 2243).
ParlaMint-FR_2019-09-27-E2017.u2	This morning, the Assembly continued the discussion of the articles of the draft law, stopping with amendment No. 190, which included additional article after article 1.
ParlaMint-FR_2019-09-27-E2017.u3	I call Mrs Genevard to support Amendment No. 190.
ParlaMint-FR_2019-09-27-E2017.u4	It is intended to add a paragraph to article 16-4 of the Civil Code, which would be supplemented by the following: "Any intervention aimed at or resulting in the design of a child that is not derived from gametes from a man and a woman shall be prohibited. » We have, on several occasions, repeated in the text the principles that already existed, for example in the Penal Code. You explained to us that these were important principles against discrimination, and that it was really essential to reaffirm them. The aim of this amendment is to ensure respect for an equally fundamental principle, which must be unambiguously recalled, namely the prohibition on the design of a child that is not derived from gametes from a man and a woman. This will strengthen the precautionary principle with regard to the integrity of the human species and preserve the sexual nature of its reproduction.
ParlaMint-FR_2019-09-27-E2017.u5	It's really essential!
ParlaMint-FR_2019-09-27-E2017.u6	Mr Jean-Louis Touraine, rapporteur of the special committee responsible for examining the bioethics bill, has the floor to give the committee's opinion.
ParlaMint-FR_2019-09-27-E2017.u7	As you know, we fully share your concern: it would be frightening to imagine such a consequence. You will grant me that, in order to achieve this, we should first go through the implantation of an embryo that would have been produced in a research laboratory, a prohibited operation: we do not have the right to create human embryos for research purposes. The perspective you are referring to is therefore, for the moment, prohibited by law, since the initial phase, that which precedes the implantation of the embryo in the maternal uterus, is prohibited. Your amendment is therefore satisfactory. However, since I am particularly anxious to prohibit these future developments which, probably, will not start in Europe, but on other continents, I express a wisdom opinion: your amendment is, of course, satisfied but, as some have said this morning, repeating things contributes to a good pedagogy.
ParlaMint-FR_2019-09-27-E2017.u8	The Secretary of State to the Minister for Solidarity and Health has the floor to give the Government's opinion.
ParlaMint-FR_2019-09-27-E2017.u9	Let me begin by apologizing to the Minister of Solidarity and Health, who was supposed to be with us this afternoon: she had to go to Rouen because of the fire that struck the city yesterday. You are right, Mrs Genevard, to say that research into the production of in vitro gametes is progressing. This is a good thing as it allows for progress in understanding gamete differentiation mechanisms, which could help to understand and deal with infertility, a subject that is dear to you. Research is therefore a source of hope, especially when infertilities result from chemotherapy, for example, to treat pediatric cancers. However, I would like to reiterate strongly, after the rapporteur, that the text does not refer to lifting the ban on embryo production in the context of research. As the rapporteur pointed out, this prohibition is included in the section of the Public Health Code on embryo research.
ParlaMint-FR_2019-09-27-E2017.u10	It could be changed!
ParlaMint-FR_2019-09-27-E2017.u11	The tests that would be necessary to lead to the use of gametes produced in vitro under the MPA could therefore not be initiated. Since your amendment is satisfied, we propose that you withdraw it. Otherwise, we will issue an unfavorable opinion.
ParlaMint-FR_2019-09-27-E2017.u12	Mrs Annie Genevard has the floor.
