ParlaMint-FR_2019-10-02-O1004.u1	The next item is the continuation of the discussion of the bioethics bill (No. 2187, 2243).
ParlaMint-FR_2019-10-02-O1004.u2	Last night, the House continued its discussion of the articles, concluding with Amendment No 414 to Article 3.
ParlaMint-FR_2019-10-02-O1004.u3	Mr Patrick Hetzel has the floor for a point of order.
ParlaMint-FR_2019-10-02-O1004.u4	I am basing myself on Rule 58 of the Rules of Procedure, which refers to Rule 49 concerning the organization of our work. At the beginning of the afternoon, I would like to solemnly recall several things. First of all, the rapporteur said last night that the Republican Group had accepted the scheduled time procedure. It is not true that this decision was taken at the Conference of Presidents, but without the agreement of our group. We were there from the beginning opposite, for a simple reason: there are no group positions on this text – and we are not the only ones to point out it. If we want to allow free expression in the debate of all Members, it is paradoxical to give speaking time to the groups alone. In addition to this, there is another problem: even against the principle of scheduled time, we have, from the beginning of the discussion of the text in the House, sparingly spent our speaking time; However, we realize that it is becoming more and more difficult to properly defend our different points of view. We solemnly appeal to the wisdom of the presidency of the Assembly to ensure that the scheduled time is changed, because we cannot continue to legislate under these conditions. The subjects we are discussing require detailed explanations: we are not talking about VAT figures or rates, but about ethical issues that deserve consideration and arguments. We must work in serenity, and the conditions for this are not in place. [[Applause on the benches of the LR group. – Mrs Agnes Thill also applauds]] Finally, the way in which a vote was counted last week does not contribute to the serenity of the debates either. All of this suggests to some of our fellow citizens that the majority is advancing by forced march, without leaving room for debate and seeking to muzzle the opposition.
ParlaMint-FR_2019-10-02-O1004.u5	I have two identical amendments before me, Nos 414 and 960. I call Mr Patrick Hetzel to support Amendment No. 414.
ParlaMint-FR_2019-10-02-O1004.u6	Because of the time schedule, I am merely saying that the amendment is being defended!
ParlaMint-FR_2019-10-02-O1004.u7	Amendment No 960 is also being defended. I call Mrs Coralie Dubost, rapporteur of the special committee on bioethics, to give the committee's opinion.
ParlaMint-FR_2019-10-02-O1004.u8	The proposed amendments are intended to clarify that the information collected is intended only for the child, but the text already provides for this. Since the clarification is unnecessary, I call for the amendments to be withdrawn; Failing that, adverse notice.
ParlaMint-FR_2019-10-02-O1004.u9	The Minister for Solidarity and Health has the floor to give the Government's opinion.
ParlaMint-FR_2019-10-02-O1004.u10	Same opinion.
ParlaMint-FR_2019-10-02-O1004.u11	Mr Jean François Mbaye has the floor to support Amendment No. 2505.
ParlaMint-FR_2019-10-02-O1004.u12	He's forbidden.
ParlaMint-FR_2019-10-02-O1004.u13	What is the opinion of the committee?
ParlaMint-FR_2019-10-02-O1004.u14	As we noted yesterday, with regard to medical data, the advances introduced by Mr. Berta and the proposals for section 9 of the bill seem sufficient; request for withdrawal or unfavorable notice.
ParlaMint-FR_2019-10-02-O1004.u15	What is the Government's opinion?
ParlaMint-FR_2019-10-02-O1004.u16	Same opinion.
ParlaMint-FR_2019-10-02-O1004.u17	Mrs Tamarelle-Verhaeghe has the floor to support Amendment No. 2551.
