ParlaMint-FR_2019-10-03-O1008.u1	The next item is the continuation of the discussion of the bioethics bill (No. 2187, 2243).
ParlaMint-FR_2019-10-03-O1008.u2	This afternoon, the Assembly continued its discussion of the articles of the draft law, concluding with amendment No. 1797, as amended, which included an additional article after article 4.
ParlaMint-FR_2019-10-03-O1008.u3	I call Mr Hervé Saulignac to support Amendment No. 1797, as corrected.
ParlaMint-FR_2019-10-03-O1008.u4	This rather particular amendment should have been defended by my colleague Laurence Dumont, Member of Parliament for Calvados. I gladly support her in her place, because I know how much she is attached to it. It deals with the identification of persons by their genetic fingerprints. The Civil Code provides that it may be sought only in very specific circumstances, in particular in the context of measures of investigation or investigation carried out during judicial proceedings or for medical or scientific research purposes. Nevertheless, the use of genetic fingerprints could advance the search for truth about certain events. In this case, I am referring to a historic and tragic episode that took place in the riding of Ms. Laurence Dumont, in Saint-Pierre-du-Jonquet. Twenty-eight bodies were found there in September 1944 and November 1946, those of victims martyred, hanged and murdered by the Gestapo. Seventeen of the twenty-eight cases were identified by careful reconstitution. The other eleven were buried together; the identity of seven of them can be considered probable. DNA analysis is used regularly; the genetic testing technique could be used to identify these eleven bodies and allow families to bury them. Thanks to scientific progress, we could finally restore their identity to those who have remained anonymous for more than seventy years. The purpose of this amendment is therefore to allow this research on genetic fingerprints in exceptional cases laid down by decree in the Council of State. Unless I am mistaken, this amendment was adopted unanimously in 2011 by this House. The process could not be completed as a result of an administrative problem in the Senate. My colleague Laurence Dumont is very attached to it, although it may seem a little strange to the heart of the subject we are interested in.
ParlaMint-FR_2019-10-03-O1008.u5	I call Mrs Coralie Dubost, rapporteur of the special committee to examine the bioethics bill to give the committee's opinion.
ParlaMint-FR_2019-10-03-O1008.u6	I believe that Mrs Genevard's amendment No 194, as corrected, deals with the same subject. Perhaps it would be easier to give a common opinion?
ParlaMint-FR_2019-10-03-O1008.u7	It's not exactly the same subject.
ParlaMint-FR_2019-10-03-O1008.u8	I hear Mrs. Dumont's solicitation. Unfortunately the opinion will be unfavourable. Indeed, your amendment is already satisfied by Article 16-11, paragraph 3, of the Civil Code, which provides that the identification of a person by his genetic fingerprints may be sought "for the purpose of establishing, when unknown, the identity of deceased persons".
ParlaMint-FR_2019-10-03-O1008.u9	The Minister of Justice, the guardian of the seals, has the floor to give the opinion of the Government.
ParlaMint-FR_2019-10-03-O1008.u10	Same answer.
ParlaMint-FR_2019-10-03-O1008.u11	Mrs Annie Genevard has the floor to support Amendment No. 194, as corrected.
