ParlaMint-FR_2019-02-15-O1153.u1	The next item is the continuation of the debate on the bill for a school of trust (No. 1481, 1629).
ParlaMint-FR_2019-02-15-O1153.u2	This afternoon, the Assembly continued its discussion of the articles of the bill, concluding with amendment No. 107 to article 14.
ParlaMint-FR_2019-02-15-O1153.u3	Mr Stéphane Testé has the floor to support Amendment No. 107.
ParlaMint-FR_2019-02-15-O1153.u4	He's forbidden.
ParlaMint-FR_2019-02-15-O1153.u5	Mrs Fannette Charvier, rapporteur of the Committee on Cultural Affairs and Education, has the floor to give the Committee's opinion.
ParlaMint-FR_2019-02-15-O1153.u6	Unfavorable.
ParlaMint-FR_2019-02-15-O1153.u7	The Minister for National Education and Youth has the floor to give the Government's opinion.
ParlaMint-FR_2019-02-15-O1153.u8	Unfavorable.
ParlaMint-FR_2019-02-15-O1153.u9	Mr Stéphane Testé has the floor.
ParlaMint-FR_2019-02-15-O1153.u10	I'll take it off.
ParlaMint-FR_2019-02-15-O1153.u11	Mr Vatin's amendment No 213 is being defended.
ParlaMint-FR_2019-02-15-O1153.u12	I call Mr Maxime Minot to support Amendment No. 346.
ParlaMint-FR_2019-02-15-O1153.u13	We propose that education assistants be trained in the inclusion of students with disabilities. This training is all the more important as they are likely to be given pedagogical, educational or educational functions.
ParlaMint-FR_2019-02-15-O1153.u14	Amendment No 917 by Mrs Fannette Charvier is editorial.
ParlaMint-FR_2019-02-15-O1153.u15	Mr Xavier Breton has the floor to support Amendment No. 507.
ParlaMint-FR_2019-02-15-O1153.u16	It was tabled by our colleague Fabien Di Filippo, and I co-signed it, because it seems to me very interesting. In order to overcome the shortage of staff in the territories concerned, teachers in schools that start up in the profession are often assigned to priority education, which is based on priority education networks – REP – or reinforced priority education networks – REP+. They may then be confronted with students with very great academic difficulties, or whose behaviour is extremely disrespectful or even violent. Most of them do not have adequate training or educational and psychological tools to teach such students. Some people are discouraged, put in sick stops, or claim to be "disgusted by their profession," even though they have only just begun their careers. The positions in REP and REP+ should be assigned to professors who have already received, at a minimum, a first assignment in a non-priority area and thus have first experience. This is why it is essential to include in the law that no teacher should be placed in REP or REP+ on his or her first assignment – unless, of course, he or she requests it explicitly. I think this is a common sense amendment.
ParlaMint-FR_2019-02-15-O1153.u17	All right!
ParlaMint-FR_2019-02-15-O1153.u18	What is the opinion of the committee?
ParlaMint-FR_2019-02-15-O1153.u19	I understand, of course, the substantive reasons behind your amendment, Mr President. However, the condition that you impose seems to me to be difficult to reconcile with the mobility wishes of teachers who have more seniority. However, the Government is endeavouring to improve the working conditions in PER, as well as the preparation of young teachers, particularly through the educational assistants, which we have just mentioned: they will be able to experience the reality of the profession before taking the competition. My opinion is therefore unfavorable.
ParlaMint-FR_2019-02-15-O1153.u20	I call Mr Bastien Lachaud to support Amendment No. 875.
ParlaMint-FR_2019-02-15-O1153.u21	Unlike the Government, we want this amendment to introduce a genuine pre-recruitment of teachers. After the baccalaureate, on social criteria, students who are destined for the teaching career could be funded, in return for their commitment to join national education. The longer duration of studies, as well as the impoverishment of the middle and working classes, lead to the diversion of students from the teaching profession. This selection by money is unacceptable. Inacceptable, because it is unfair, it is even more so because it is one of the causes of the growing number of unfilled positions, each year, in recruitment competitions. Many valuable students, who would like to become teachers, simply cannot apply. It is absurd to deprive ourselves of so many quality teachers. In addition, the eviction of children from the popular classes contributes to the gradual separation of the teaching staff from the people themselves. The school of the Republic must aim at emancipation, giving the opportunity for future citizens to opine on their own. This implies that teachers do not form a separate group, which would have its authority other than knowledge and success in national education competitions.
ParlaMint-FR_2019-02-15-O1153.u22	I have before me three identical amendments, Nos 537, 736 and 969. Identical amendments No 537 by Mr Michel Larive and No 736 by Mrs Michèle Victory are being defended. I call Mrs Emmanuelle Ménard to support Amendment No. 969.
ParlaMint-FR_2019-02-15-O1153.u23	I'll take it off.
ParlaMint-FR_2019-02-15-O1153.u24	Mrs Elsa Faucillon has the floor to support Amendment No. 549.
ParlaMint-FR_2019-02-15-O1153.u25	We are of course in favour of this article, which extends to all the bodies of national education the derogations from the general status of the civil service so far applicable to teaching staff. To reinforce this progress, we propose to include this measure in the law governing the State civil service, and not only in the education code.
ParlaMint-FR_2019-02-15-O1153.u26	What is the opinion of the committee?
ParlaMint-FR_2019-02-15-O1153.u27	It seems to me that the wording adopted after the passage to committee is satisfactory. However, you are proposing drafting in accordance with the recommendation of the Council of State. So I give a wisdom opinion.
ParlaMint-FR_2019-02-15-O1153.u28	Amendment No 214 by Mrs Marie-Pierre Rixain is being defended.
ParlaMint-FR_2019-02-15-O1153.u29	Mrs Elsa Faucillon has the floor to support Amendment No. 550.
ParlaMint-FR_2019-02-15-O1153.u30	Since the precedent has given rise to hesitation, perhaps it will give rise to complete support. It is between two waters: it is no longer a question of including the extension of the statutory derogation in the Civil Service Code, but of adding, in the Education Code, that this derogation from the general statute of the civil service concerns both the management of the body and its public service tasks. We therefore propose that paragraph 4 should be supplemented by the words "or the missions that their members are intended to carry out".
ParlaMint-FR_2019-02-15-O1153.u31	Amendment No 889 by Mr Bruno Studer is being defended. What is the opinion of the committee?
ParlaMint-FR_2019-02-15-O1153.u32	Unfavorable.
ParlaMint-FR_2019-02-15-O1153.u33	What is the Government's opinion?
ParlaMint-FR_2019-02-15-O1153.u34	Unfavorable.
ParlaMint-FR_2019-02-15-O1153.u35	Mr Frédéric Reiss has the floor.
ParlaMint-FR_2019-02-15-O1153.u36	When I hear the rapporteur's and the minister's unfavorable opinions, I am a little comforted. But I thought that this amendment, which introduces into the discussion the question of the role of psychologists in national education, still deserved explanations. We know the counselling counsellors – PSCSY – we know the specialized support networks for students in difficulty – RASED – and various other things, but I would have liked to know a little more. Now, if your views are unfavorable, I guess we'll come back to that at a later date.
ParlaMint-FR_2019-02-15-O1153.u37	Mrs Michèle Victory has the floor to support Amendment No. 737.
ParlaMint-FR_2019-02-15-O1153.u38	The article detricates part of the Fioraso law of 2013, which created an academic council within universities. It brings together the members of the Committee on Research and the Committee on Training and University Life. When he sits in restricted training, he includes only teachers, researchers and similar staff. The article goes back to what we had adopted, allowing the president of a public higher education institution to preside over the academic council in restricted training. This measure seems completely incongruous to us in a text that does not deal with higher education. We believe that he is a legislative rider.
ParlaMint-FR_2019-02-15-O1153.u39	What is the opinion of the committee?
ParlaMint-FR_2019-02-15-O1153.u40	The fact that the president of the university presides over the academic council in restricted training is a common practice, which the Council of State, in its opinion on the bill, did not consider to be contrary to the independence of teachers-researchers, on the basis of the decision-making practice of the Constitutional Council. It is therefore only a matter of securing it. I refer you to the opinion of the Council of State and to the report. Unfavorable opinion.
ParlaMint-FR_2019-02-15-O1153.u41	What is the Government's opinion?
ParlaMint-FR_2019-02-15-O1153.u42	Same opinion.
ParlaMint-FR_2019-02-15-O1153.u43	Mr Patrick Hetzel has the floor.
ParlaMint-FR_2019-02-15-O1153.u44	Although the substance of the proposal is to bring the law into line with practice, it is surprising to see such a provision arrive in the middle of this text, since it concerns higher education. However, as the rapporteur has pointed out, this provision makes it possible to secure an existing practice, and our group will not oppose it.
ParlaMint-FR_2019-02-15-O1153.u45	I have before me a number of amendments to the additional article after Article 16. I call Mrs Mette to support Amendment No. 810.
ParlaMint-FR_2019-02-15-O1153.u46	This amendment by Mr Cyrille Isaac-Sibille, complementary to the amendment to link school doctors together with the Ministry of Health and the Ministry of Education, aims to ensure that the mission of health promotion at school is drawn up in the territories by the regional health agencies and the academic authorities, in conjunction with the local authorities and the health insurance bodies concerned.
ParlaMint-FR_2019-02-15-O1153.u47	I have before me a number of amendments, Nos 808, 1034, 809 and 1035, which can be discussed jointly. Amendments Nos 808 and 1034 and Nos 809 and 1035 are identical. I call Mrs Mette to support Amendment No. 808.
ParlaMint-FR_2019-02-15-O1153.u48	It aims to promote the coordinated exercise of the actors involved in the promotion of health at school, around a student health service under the responsibility of a school doctor. While this service was originally comprehensive in 1945 and included doctors, nurses and social workers, it gradually broke into a social service, a medical service and a nursing service, under the responsibility of a doctor and a nurse, respectively. Thus, there are two types of situations from one territory to another: that where nurses and doctors cooperate with other actors in the educational community and work as a team; the one where doctors and nurses don't work together. However, cooperation between all the actors involved in the promotion of health at school is essential, both in order to carry out the many tasks assigned to them and in order to ensure a coherent care of the pupil. At a time when medical practice tends to emancipate itself from an exercise in silos, a comprehensive student health service appears to be the guarantor of the efficient implementation of the health promotion policy in schools. Placed under the authority of the school doctor, this specialized service would contribute to the implementation of the health promotion policy at school.
ParlaMint-FR_2019-02-15-O1153.u49	Mrs Tamarelle-Verhaeghe has the floor to support Amendment No. 1034.
ParlaMint-FR_2019-02-15-O1153.u50	This request for a service dedicated to school medicine originates from the very special status of these health professionals within the national education system. In all medical services, professionals work together, while in national education, the absence of such a service leads the different professionals to work in silos. Amendment No 810, which was rejected, was based on the need to establish a true service project, which was undertaken jointly by actors working in a coordinated manner, under the authority of a person in charge, such as in the hospital or in a medical and social service, where a health team works under the responsibility of a referring professional. It is a pity that the promotion of health at school does not follow this model: it loses, therefore, in quality and consistency, to the detriment of children.
ParlaMint-FR_2019-02-15-O1153.u51	I call Mrs Mette to support Amendment No. 809.
ParlaMint-FR_2019-02-15-O1153.u52	He's forbidden.
ParlaMint-FR_2019-02-15-O1153.u53	Mrs Tamarelle-Verhaeghe has the floor to support Amendment No. 1035.
ParlaMint-FR_2019-02-15-O1153.u54	The aim of this withdrawal amendment is to mention in the law the work of a multi-professional team, in connection with the educational community. It also aims to emancipate itself from a practice in silos, in which the specific missions of doctors, nurses and social workers are not coordinated. It is necessary to break with this separate culture. The aim of this amendment is therefore to promote a body of professionals, carrying out jointly and coherently the tasks of promoting the health of children in schools. It should be noted that the statutes of these professionals are different: the nurse is attached to the institution, the doctor and the social worker at DASEN – academic director of national education – and the psychologist to another department.
ParlaMint-FR_2019-02-15-O1153.u55	What is the committee's opinion on all these amendments?
ParlaMint-FR_2019-02-15-O1153.u56	I would like to thank all the Members who have worked on this important issue, with a view to establishing better cooperation between the various actors in the medical and social field at school. I am in favour of identical amendments Nos 809 and 1035 and against Amendments Nos 808 and 1034.
ParlaMint-FR_2019-02-15-O1153.u57	What is the Government's opinion?
ParlaMint-FR_2019-02-15-O1153.u58	Same opinion.
ParlaMint-FR_2019-02-15-O1153.u59	Mrs Nadia Essayan has the floor.
ParlaMint-FR_2019-02-15-O1153.u60	[[Exclaims on the benches of the LR group]] I would like to thank the rapporteur and the Minister for having understood the value of harmonising practices, by promoting better cooperation between the various actors. I invite all of you to vote on these amendments.
ParlaMint-FR_2019-02-15-O1153.u61	Mr Patrick Hetzel has the floor.
