ParlaMint-FR_2019-02-12-O1145.u1	The next item is the continuation of the debate on the bill for a school of trust (No. 1481, 1629).
ParlaMint-FR_2019-02-12-O1145.u2	This afternoon, the Assembly continued its discussion of the articles of the draft law, with an end to amendment No. 387, which added article after article 1.
ParlaMint-FR_2019-02-12-O1145.u3	I have before me two amendments, Nos 387 and 465, which can be discussed jointly. I call Mrs Bessot Ballot to support Amendment No. 387.
ParlaMint-FR_2019-02-12-O1145.u4	Raising awareness of environmental and ecological issues is a key element in achieving a fair, effective and inclusive ecological transition across all territories. It therefore seems essential that all citizens, from an early age, feel involved in this transition, through awareness-raising and education, but also through practice – for example, through the introduction of a nutrition education module, with practical application in the canteen. In this context, Amendment No 387 aims to empower all actors in the education system – teachers, students, students – to address these essential issues for the future of our society. In other words, it is a question of promoting education by "doing it".
ParlaMint-FR_2019-02-12-O1145.u5	I call Mrs De Temmerman to support Amendment No. 465.
ParlaMint-FR_2019-02-12-O1145.u6	I am a little surprised that my Amendment No 465 is in common with the one which Mrs Bessot Ballot has just presented – and that, moreover, I support – because my Amendment No 465 has a narrower scope, which makes it almost a lot of consolation: since education for sustainable development is already mentioned, even if it is only in three sentences, in the Education Code, and we are lowering the age of compulsory schooling, the editorial amendment No 465 aims to ensure that this education is provided at an early age, i.e. from kindergarten.
ParlaMint-FR_2019-02-12-O1145.u7	Mrs Anne-Christine Lang, rapporteur of the Committee on Cultural Affairs and Education, has the floor to give the Committee's opinion.
ParlaMint-FR_2019-02-12-O1145.u8	I am against Amendment No 387 for the reasons I have previously outlined. As for Amendment No 465, I am against it because, since nursery school is part of primary school, it is satisfied.
ParlaMint-FR_2019-02-12-O1145.u9	The Minister for National Education and Youth has the floor to give the Government's opinion.
ParlaMint-FR_2019-02-12-O1145.u10	Same opinion.
ParlaMint-FR_2019-02-12-O1145.u11	Mrs Muriel Ressiguier has the floor to support Amendment No. 574.
ParlaMint-FR_2019-02-12-O1145.u12	The public education service must ensure equal access to free and secular education for all. These fundamental provisions of our republican school are the subject of constitutional protection, since the preamble of the Constitution of 27 October 1946 states that "the nation guarantees equal access for children and adults to education, vocational training and culture. The organization of free and secular public education at all levels is a duty of the State. " This protection must now extend to the commercial neutrality of the public education service and to the guarantee of its independence from any economic enterprise. Indeed, the public education service is far from escaping any interference of lucrative interests. In 2015, the Ministry of National Education entered into a partnership agreement with Microsoft, through which it entrusted it with missions to accompany and train the players of the Digital Plan at school, launched by François Hollande: in other words, the State offered the digital giant the opportunity to train teachers and promote its products. The education of young people requires a neutrality of the school in relation to economic interests. Article L. 141-6 of the Education Code states that "the public service of higher education shall be secular and independent of any political, economic (...)". We believe that it is imperative to strengthen these provisions and extend them to school education, as well as to the services of the Ministry of National Education, in order to prohibit any entry into schools and catering services.
