ParlaMint-FR_2019-11-13-O1066.u1	The next item is the discussion of the draft amending finance law for 2019 (No. 2400, 2404).
ParlaMint-FR_2019-11-13-O1066.u2	The next speaker is the Minister for Action and Public Accounts.
ParlaMint-FR_2019-11-13-O1066.u3	It is my pleasure to meet you in the autumn of this year for the consideration of the amending finance bill, which I tabled last Thursday in the Finance Committee. With Bruno Le Maire, Minister of Economy and Finance – who asks you to excuse his absence – we present you with a text of commitments, commitments made and fulfilled. This is a text of commitments, because this amending finance bill, as there are every year, concludes a year marked by a very important social movement, called yellow vests, and by the great national debate at the end of which the announcements of the President of the Republic have been able to change the fiscal and fiscal trajectory of the country – even though most of the measures in question are included in the draft finance law for 2020. Since we are talking about commitments, I am also pleased to note, Mr Chairman of the Finance Committee, that the Government has kept its promise to respect the parliamentary authorization expressed by the vote on the proposed appropriations or savings: for the second year in a row, there are no decrees in advance. This had not happened in 30 years, and the LOLF – an organic law of 1 August 2001 on financial laws – which organizes our financial debates had not changed anything.
ParlaMint-FR_2019-11-13-O1066.u4	You're not talking about credit cancellations!
ParlaMint-FR_2019-11-13-O1066.u5	Mrs Rabault, let us be glad that there have been no decrees in advance! This is the result of extensive work done by all members of the Government and reflects respect for Parliament's budgetary authority. We are presenting a draft amending finance law that, in his mind, is a true PLFR, a management end-of-management text that is important – it foresees 1 billion euros of savings – but does not contain tax measures. We are not here to draft a new volume of the Finance Bill for 2020 or to look at some kind of catch-up text. Accordingly, the Government will, as a matter of principle, refuse any amendment to take tax measures. They may be able to thrive in the finance bill for 2020 – especially among its non-attached articles that need to be studied today, if I understand the agenda correctly, following the PLFR. In figures, the draft law foresees about €3 billion of additional expenditure, not included in the initial budget, which will have to be financed in the 2019 financial year. Among these additional expenses, we need to set up an additional EUR 800 million for the activity premium – I would point out that the overall amount of the activity premium now amounts to EUR 9 billion, whereas it was about EUR 3.5 billion when I became responsible for our country's public accounts. The additional €800 million show that aid for return to employment is working – thanks to the fall in unemployment, but also to the Government's policy to combat non-recourse. The additional expenditure also includes EUR 600 million linked to the lag on 1 January 2020 of the reform of personalized housing subsidies, and EUR 300 million linked to the dynamism of the conversion bonus and the ecological bonus, which allow the French to buy clean vehicles. Despite these additional expenditure, we will have a deficit of 2.2 or 2.3% – 3.1% if we take into account the one-time effect of the transformation of the tax credit for competitiveness and employment, the CICE, into a reduction in social contributions – and a European structural adjustment of 0.1 percentage points. Of course, this is not in line with France's commitments, but it corresponds to the budget we presented to you at the end of last year. In the course of the 2019 financial year, therefore, we have both brought the edredon into the suitcase – you will excuse me for speaking in this way about the additional expenditure due in particular to the yellow vest crisis and to the big debate – and kept the level of deficit on which France has committed itself to its European partners, which has allowed it to leave the excessive deficit procedure, this infamous indexing of which the presentation of its accounts was the subject. That should be stressed. This PLFR is also a text of commitments because it illustrates the efforts we have been making over the past two and a half years with regard to budgetary responsibility. In particular, I note that the balance of the government deficit is improving by EUR 10 billion compared to the forecast of the original finance law, from EUR 107.7 billion to EUR 97 billion. These 10 billion fewer deficits in one fiscal year show how sincere and prudent we have been, but also good managers of the appropriations that Parliament has authorized the Government to spend. This good news also has cyclical and exogenous explanations, linked, for example, to the downward revision of the debt burden for EUR 1.6 billion. Low interest rates also reflect the credibility of France in the eyes of its lenders and the financiers it uses. We'll probably have an opportunity to get back to it. Two elements of a political nature also play a role. The first is the Government's commitment to expenditure control: we cancel € 1 billion in appropriations, and maintain a 3 per cent freeze on appropriations – compared to 8 per cent in the previous legislature – by making the directors and ministers accountable. During the Spring of the Evaluation, this will allow even more serious consideration to be given to the work of the Government in managing expenditure. [[Smile]] A second element is the dynamism of our economy, which reflects the structural reforms initiated over the past two and a half years by the President of the Republic and the Prime Minister, which are reflected in the dynamics of our revenues. I would like to take this opportunity to thank the majority for supporting the Government's implementation of the source levy, a reform that I believe has gone well. Mr. Marc Le Fur, who will certainly return from his native Brittany to congratulate us and highlight the effect of this measure on tax returns. Thanks to the levy at source, in fact, the French, while paying the same tax,...
ParlaMint-FR_2019-11-13-O1066.u6	Two billion more!
ParlaMint-FR_2019-11-13-O1066.u7	... know that, from now on, those who cheated, were affected by administrative phobia or multiplied the return journeys between France and other countries without declaring their income. These are additional tax revenues in addition to the good results of the fight against tax fraud, the increase in non-tax revenues we will be talking about, and the 800 million euros in special account revenues. I would like to recall the very important effort made by the Government, by the Finance Committee of our Assembly, by the Senate, by the High Council for Public Finance, the HCFP, and by the European Commission. It is a guarantee of credibility in relation to Parliament – the majority as well as the opposition – in relation to the French, of course – they know that we do not cheat on the accounts – and in relation to our lenders. We will continue this work of simmering in future budgets. It takes time to apply the methods we have adopted in this area, whether they are the external operations of our army or some trust accounts or supplementary budgets. [[Applause on the benches of the LaREM group. – Mrs Lise Magnier and Mr Jean-Paul Mattei also applaud]] It is true – as we have acknowledged before the Finance Committee – that the examination of this PLFR is based on a very tight timetable and takes place in uncomfortable conditions. But for the second year, the Government is presenting a text with very few articles, the budgetary implications of which are small, which confirms the sincerity of the initial financial laws, does not contain any tax provisions and will not be amended by any such amendments – which makes some commentators say that, contrary to what was happening before, and as the French will be able to see themselves, this government has not created taxes to compensate for expenses that it had not planned or would have hidden. From this point of view, I believe that the rapporteur-general, the finance commissioners and the parliamentary majority can be satisfied with the democratic work that has been done.
ParlaMint-FR_2019-11-13-O1066.u8	Mr Joël Giraud, rapporteur-general of the Committee on Finance, the General Economy and Budgetary Control, has the floor.
ParlaMint-FR_2019-11-13-O1066.u9	This amending finance bill is doubly welcome. It is welcome because it provides an opportunity for parliamentarians to discuss the adjustment of the budgetary forecasts that the current year has made necessary. This allows Parliament to assess the effectiveness of the forecasts of the original finance law without waiting for the bill to regulate the budget and approve the accounts. It is also welcome because, for the second year in a row, it reveals a significant improvement in the quality of budget management and in the sincerity of financial laws. Progress in this area is only valid if it is constant over time.
ParlaMint-FR_2019-11-13-O1066.u10	That's right!
ParlaMint-FR_2019-11-13-O1066.u11	Mr. Minister, the problem is that you set the bar high. We would inevitably be disappointed to see the management problems we have seen in the past reappear in future exercises.
