ParlaMint-FR_2019-03-13-O1176.u1	The meeting was suspended.
ParlaMint-FR_2019-03-13-O1176.u2	The meeting was resumed.
ParlaMint-FR_2019-03-13-O1176.u3	The next item is the continuation of the debate on the draft law on business growth and transformation (No. 1673, 1761). The Conference of Presidents decided to apply the scheduled legislative time procedure to this discussion.
ParlaMint-FR_2019-03-13-O1176.u4	This afternoon, the Assembly began to hear the speakers in the general discussion. Mr Philippe Bolo has the floor.
ParlaMint-FR_2019-03-13-O1176.u5	For several months now, we have been working on the Business Growth and Transformation Bill – the PACTE – which focuses on all stages of business life and aims to remove barriers to business creation and growth. The Group of the Democratic and Related Movement subscribes to the main objectives of this bill, which, by reducing costs and by simplifying approaches that are now seen as dissuasive, facilitates the creation of enterprises, which provides for a period of five years before the additional rules relating to the crossing of staff thresholds apply, which recognises the right to failure, through measures to reduce delays, and the principle of a second chance, and finally allows employees to be better involved in the results of their company. This commitment to these broad objectives has enabled the members of the MODEM and related groups to defend amendments reflecting their willingness to include their values in the Government's bill. We live in a globalized world: if we hear these words every day, we tend to forget the true meaning of them. Some may regret this, but one thing remains certain: we will not succeed in empowering our companies to meet the challenges of this globalized world if we ignore diversification and increased financing. In this regard, the MODEM and related group is particularly proud to have contributed to the expansion of the inter-firm loan, which will allow the financing of commercial enterprises to be diversified and thus to establish a link of solidarity between those who use it. This diversification of business financing must be accompanied by security. Our group is thus at the origin of the incorporation into this bill of a collaborative reverse factoring system, which relies on the free choice of suppliers to enter and leave and which limits the negative impacts of excessively long payment deadlines by putting them on the payer rather than on companies. By removing an obstacle to the development of businesses and their regaining markets, this initiative is fully in line with the ambitious objectives set out in this bill. These various advances would be insufficient if we did not take a careful look at the sharing of value, which is necessary for the expression of the general interest and therefore for the interest of our fellow citizens. Thus, in the context of the re-establishment of Article 57a aimed at expanding the use of the funds of the savings plans undertaken, we have defended the possibility for an employee to mobilise these funds to acquire shares of his company. As we know for having debated it together, the search for the social dimension of business has never been foreign to this bill. True to its political line, the MODEM and related group has contributed, through Article 27e, to extending the benefit of crowdfunding to this major societal advance, which is the recognition of corporate social responsibility – CSR – in the company's raison d'être. For our group, this recognition of CSR is a marker of the modernization of the business concept. It raises the question of the role of companies, which must be recognised as stakeholders in societal developments, as well as their place in our society and in our territories. It gives those who wish to do so the ability to value their social interest, beyond capital alone, by taking into account the societal and environmental stakes of their activities. I have no doubt that, on all the benches of our assembly, our different visions will nourish and enrich the debates. We all aspire, I am sure, to support our businesses, their creation and their development, because we all measure how essential their contribution is to the dynamics, wealth and equity of our constituencies. I would like to take this general discussion to thank you, Mr Minister for Economic Affairs and Finance, the Chairman of the Special Committee, ladies and gentlemen, for listening to you and for your detailed arguments when it comes to giving your respective opinions, whether they were unfavourable or favourable, on the amendments that we have defended. [[Applause on the benches of the MODEM and LaREM groups]] I'm not going to be any longer, so I'm going to leave room for debate. I hope that it will conclude with the vote on this PACTE bill, which is important for France's economy.
ParlaMint-FR_2019-03-13-O1176.u6	Mr Dominique Potier has the floor.
ParlaMint-FR_2019-03-13-O1176.u7	What a story! For us, however, it did not begin when the President of the Republic announced the PACTE bill. I'll call you back a few dates. In 2009 a seminar was launched at the Collège des Bernardins, which will last several years and will bring together representatives of several disciplines, entrepreneurs and researchers from all walks of life, around the reinvention of the company in the 21st century. You have almost used the same words, minister, when you spoke of the reinvention of capitalism, but we will see that they do not quite designate the same thing and that they do not have the same scope. You are going to tell me that this is being discussed: this will in some way be the subject of our conversation, and the amendments that will be discussed during this new reading will be a test. For almost ten years, researchers, entrepreneurs and NGOs have worked to redefine the company as a political project for the 21st century. It is from this matrix that the principle of the duty of vigilance of multinationals will emerge, whose second anniversary of adoption, which today inspires many countries, the work of the United Nations and perhaps soon a European directive, will be celebrated in ten days' time – we are working on it. In this context the questions of co-determination and reform of the civil code were asked, in short, the essence of what drives us today. It is October 2017, before the announcement of the President of the Republic. A circle of reflection, around the Civic Spirit, decides that the left must speak about the company: not only about work, but about corporate governance. The Socialist Group is now working on a proposal for a law, the two pillars of which are the co-determination and reform of the civil code, in addition to which we propose a few variations to your deliberations. Tabled in December, it is discussed in January and at that time we have a rather extraordinary promise: these modern, fair, innovative ideas, we were all going to adopt them as part of the PACTE bill, converging together in a co-construction of the new company. To say the least, we are disenchanted. So it didn't start with this new world that is close to your heart: work, political philosophies, convergent or diverging, preexisted. I would like to point out a call made in May for a new European enterprise, which stands out from Asian state capitalism and from the deviant or excessive forms of Anglo-Saxon liberalism. This call, signed here by Boris Vallaud or Régis Juanico, brings together 430 personalities, like Enrico Letta and others, from all walks of life, from the centre, from the left, sometimes even from the right centre to the European scale, from thirty countries. It is a call to reinvent a European ethos, the principles of a new corporate governance that sets us apart in the world and makes Europe a compass in globalisation. [[Boris Vallaud applauds]] Even if it is not customary, because they have spent tens of hours in this assembly, whether they are trade unionists, entrepreneurs, activists or researchers, I would simply like to quote Christophe, Olivier, Aurélien, Michel, Guislain, Philippe, Francis, Florian and others who have come here to work, to seek out, to translate our ideas into amendments. You have repeatedly paid tribute to the precision of our amendments: we owe it to those volunteers who, from their experience in the world of work, have proposed solutions corresponding to the ideas we were defending so that we do not stay at the stage of evanescent declarations and move on to practical work. I wanted to pay tribute to them: it is this journey, Minister, that allows us to be at the meeting of a diagnosis with you. We share it: yes, the world has changed as a result of technological-scientific changes. Yes, there are scandalous inequalities to a point that is no longer bearable. On this we can agree with Roland Lescure. I would add the ecological crisis, which is not one more issue but one that underpins and over-determines all the others. You didn't say it, but you had to have it in mind. The world has indeed changed profoundly. I was talking about Europe earlier. Invited to the Assembly recently, Enrico Letta, again, reminded us that at the founding of Europe, at the time of Robert Schuman, Europeans represented one in five Earthlings. By 2050 we will be 5% of humanity. It's a radical upheaval. You also recalled that Asian production will have increased from 15 to 30 per cent in half a century. This is this new world in which we are and no one ignores it. We are in a world of technological-scientific change. The digital revolution, the robotic revolution, other scientific revolutions around nanotechnology lead us to think of it as an extraordinary challenge, beyond the despair and unemployment that leave people on the side today, a society of full activity. I say this without consultation with my political party, the Socialist Party: I believe that the question of sharing work will inevitably be asked again to our societies in the years to come. You mentioned inequalities. It would be too indigestible to quote here the Capital of Piketty but we can observe together the distortion in the distribution of value between capital and labour, especially for three decades, under the empire of neoliberal thought. We could talk about what Louis Maurin, director of the Observatoire des Inequalités, reminded us on Saturday at the meeting of the great national debate that took place in my constituency: the creation everywhere of a society of masters and servants, two social classes, one of which would be at the service of the other, in pockets of precariousness that we do not have to describe here. Mr Minister, Mr rapporteur-general, Madam President, we have had real controversies, which we have dealt with with with a certain degree of civility, height of view and precision. I would like to pay tribute to you for that. Our discussions have been well held. The Government has always sought to answer our questions. We had time to speak. We wanted to thank you for that, even if it should go without saying in this House. We have reached agreements on 5 to 10 per cent of the proposals, but for the most part we have had controversies that we have been able to handle and manage. Perhaps the essential question that I would like to dwell on is the question of words, outlined earlier by Boris Vallaud. I will do it in another way – each one's temperament. You evoke with a certain emphasis a reinvention of capitalism. What the hell! The seminar of the Bernardins had otherwise radical proposals and laid down principles that were not revolutionary than those we adopted. You do in some areas a little bit of everything, but too little to make a difference. For the rest, they are more ideological than pragmatic deregulations. To stay in measure and poetry, I would say that you are more in the display of a post-capitalist fanion than in the change of direction of the ship of our economy. In order to genuinely reinvent liberalism and capitalism as you claim, it seems to me that we must both have a purpose and set limits, in other words be able to take on three shares that we will propose through our amendments: the sharing of power, the sharing of added value and the sharing of knowledge. The sharing of power is co-determination. Thirteen European countries have already implemented it. We could talk about the terms, the statutes, etc. But thirteen European countries face the changes of the world with co-determination. Now was the time to follow them. We had outlined it during the previous term, and we could have said so today. If we are not in the "more than 1000" to 50% of paid administrators, with strata, progressivity, all possible options, we are not in the co-determination. However, the affirmation of democracy in the company, the participation of employees as the reformist unions demanded it: this was the real revolution, the matrix of all the other changes that we proposed to you and that we were ready to live. Here again, we have introduced a dose that is not significant. We will return to the sharing of added value. Between the limitation of dividends, the pay differentials as we propose them or international reporting, which would ensure true transparency in the taxation of multinationals, we failed to rethink the sharing of value, including in the formula of participation, which was yet within our legislative reach. Let me conclude on the question of the third sharing, which is fundamental to the transformation of our societies and our economy: that of knowledge. We have missed the essentials, in particular through advertising, the privatisation of standards by companies, and including extra-financial reporting, which has been diverted into forms of CSR that are no longer legible, that are confused, that are above all propaganda. To be a democracy, to be a public power capable of leading change in the 21st century, is to create public standards, to say again that what is good for business, what is good for man is a matter for Parliament, for public power, and not for private power. We could reorient our economy by putting our energy into this capacity of public authorities to set CSR standards. I think it would be a real revolution. It is a philosophical aim, deeply liberal in the sense that it creates a new capacity for citizens to discern among companies those in the red, those in orange, thus in progress, and those who have acquired a green business status because they have respected human rights, equality between men and women, because they will make efforts beyond the law for the environment – not to say it but to do so really, with a measure that has proved its worth in other fields, in the agri-food sector and in other certifications. It would be a small revolution, which would give our society the capacity to transform the economy. This costs nothing, or almost anything, less than private labels that create confusion for producers and consumers. If we are really liberal, if we are really democrats, if we are really socialists – I am – in the search for justice, then we have to build these public standards that allow society to take over the economy. We believe deeply in a regulatory public power, capable of giving a vision and setting limits, capable of humanizing the economy, of making this plea in France and Europe and of making it a compass in a globalization felt by peoples as without faith or law. [[Applause on the SOC benches and some MODEM benches]] Here's the sight that was ours. We're a long way from it. We may be on the same path, in a process that may seem equivalent, but the account is definitely not there. We still have a chance in those three days that bring us together.
ParlaMint-FR_2019-03-13-O1176.u8	Always so brilliant!
ParlaMint-FR_2019-03-13-O1176.u9	Mr André Chassaigne has the floor.
ParlaMint-FR_2019-03-13-O1176.u10	Some pieces of legislation are intended to be ideological standards: the PACTE bill is certainly one of those because it responds point by point to the ambitions expressed by the high priests of neoliberalism in the service of the temple merchants. This neoliberalism, you are, minister, obsessively, blindly a faithful, without any critical spirit. Here we are facing a tote bill, like the Macron Act enacted in 2015. Of course, this new salmigondis has the same aims: to deregulate, liberalize and privatize. The same aims, but in unprecedented proportions. In appearance, to take up a beautiful formula of Lautréamont in the Chants de Maldoror, one could say that it is the accidental encounter, on a dissection table, of a sewing machine and an umbrella. There is a multiplicity of subjects, but above all it is a table of dissection – surgical expression of the act of faith of the faithful servant of neoliberalism that you are, and besides you do not hide from it. Faithful, blindly faithful to the injunctions of employers' organizations, this majority – some out of resigned loyalty – and you yourself intend to deregulate in order to free us from the so-called barriers to activity. To do this, you are trying to remove social thresholds in companies, even though we know that it is dangerous and inefficient. This is dangerous because, in the wake of labour orders, it is a matter of reducing employers' social obligations according to their size. This relates primarily to obligations in terms of setting up staff representative institutions. Again, contempt for intermediate bodies is evident. This is ineffective, because the positive impact of smoothing social thresholds in terms of economic development and job creation has never been demonstrated. Everything shows the opposite. In a 2011 study, INSEE strongly related the impact of removing thresholds on company size. A survey carried out in Italy corroborates the finding and shows that a recast of thresholds does not create any employment. On the other hand, this old liberal lube will have a real effect: a new setback for social rights, once again sacrificed on the altar of supposed economic rationality. Faithful, obsessively faithful to the financialization of the economy, this majority – some out of resigned loyalty – and you yourself pursue the goal of achieving more introductions to the stock exchange by lowering regulatory constraints. Not only will these new provisions be dangerous for small and medium-sized enterprises, but they will also release a little more the banks which are destined to invest and finance the real economy. More than ten years after the financial crisis, it was regrettable that the Government was not learning from the past, at the dawn of a future financial crisis already announced by a large number of economists. Yet you must know – I have already used the image – that sniffer, I say sniffer financial benefits like white powder never brings anything good. Keynes wrote in the General Theory of Employment, Interest and Currency that "the situation becomes serious when the company is only a bubble of air in the speculative whirlwind. This is a warning that there is still time to follow, even if it is unlikely that you will do so. Without targeting anyone, I would point out that Keynes also wrote, which is very well suited to this bill: "Capitalism is the staggering belief that the worst men will do the worst things for the greatest good of all. To meditate. Faithful, obsessive and blindly faithful to the state's disengagement in economic matters, this majority – some of them by resigned fidelity – and you yourself are proceeding with the dismantling of the Caisse des dépôts et consignations – CDC –,...
ParlaMint-FR_2019-03-13-O1176.u11	Oh, no!
