Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2009-12-07-0	ParlaMint-BA_2009-12-07-0.u30974	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 65	2009-12-07	Unicameralism	5. mandat	-	Sjednica 65	2009-12-07	-	Reference	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	ŽivkovićMilorad	Živković, Milorad	M	1963	
ParlaMint-BA-en_2009-12-07-0	ParlaMint-BA_2009-12-07-0.u30977	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 65	2009-12-07	Unicameralism	5. mandat	-	Sjednica 65	2009-12-07	-	Reference	English	Regular	MP	notMinister	HDZ-HK-HNZ	Koalicija HDZ-HK-HNZ	Coalition	Centre-right	LozančićNiko	Lozančić, Niko	M	1957	
ParlaMint-BA-en_2009-12-07-0	ParlaMint-BA_2009-12-07-0.u30978	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 65	2009-12-07	Unicameralism	5. mandat	-	Sjednica 65	2009-12-07	-	Reference	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	ŽivkovićMilorad	Živković, Milorad	M	1963	
ParlaMint-BA-en_2009-12-07-0	ParlaMint-BA_2009-12-07-0.u30979	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 65	2009-12-07	Unicameralism	5. mandat	-	Sjednica 65	2009-12-07	-	Reference	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
ParlaMint-BA-en_2009-12-07-0	ParlaMint-BA_2009-12-07-0.u30980	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 65	2009-12-07	Unicameralism	5. mandat	-	Sjednica 65	2009-12-07	-	Reference	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	ŽivkovićMilorad	Živković, Milorad	M	1963	
ParlaMint-BA-en_2009-12-07-0	ParlaMint-BA_2009-12-07-0.u30981	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 65	2009-12-07	Unicameralism	5. mandat	-	Sjednica 65	2009-12-07	-	Reference	English	Regular	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	Opposition	Centre	KadrićRemzija	Kadrić, Remzija	M	1955	
ParlaMint-BA-en_2009-12-07-0	ParlaMint-BA_2009-12-07-0.u30982	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 65	2009-12-07	Unicameralism	5. mandat	-	Sjednica 65	2009-12-07	-	Reference	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	ŽivkovićMilorad	Živković, Milorad	M	1963	
ParlaMint-BA-en_2009-12-07-0	ParlaMint-BA_2009-12-07-0.u30983	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 65	2009-12-07	Unicameralism	5. mandat	-	Sjednica 65	2009-12-07	-	Reference	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
ParlaMint-BA-en_2009-12-07-0	ParlaMint-BA_2009-12-07-0.u30984	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 65	2009-12-07	Unicameralism	5. mandat	-	Sjednica 65	2009-12-07	-	Reference	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	ŽivkovićMilorad	Živković, Milorad	M	1963	
ParlaMint-BA-en_2009-12-07-0	ParlaMint-BA_2009-12-07-0.u30985	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 65	2009-12-07	Unicameralism	5. mandat	-	Sjednica 65	2009-12-07	-	Reference	English	Regular	MP	notMinister	HDZ_1990	Hrvatska demokratska zajednica 1991	-	Centre-right	RagužMartin	Raguž, Martin	M	1958	
ParlaMint-BA-en_2009-12-07-0	ParlaMint-BA_2009-12-07-0.u30986	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 65	2009-12-07	Unicameralism	5. mandat	-	Sjednica 65	2009-12-07	-	Reference	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	ŽivkovićMilorad	Živković, Milorad	M	1963	
