Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2009-03-05-0	ParlaMint-BA_2009-03-05-0.u3853	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 26	2009-03-05	Unicameralism	5. mandat	-	Sjednica 26	2009-03-05	-	Reference	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	MajkićDušanka	Majkić, Dušanka	F	1952	
ParlaMint-BA-en_2009-03-05-0	ParlaMint-BA_2009-03-05-0.u3855	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 26	2009-03-05	Unicameralism	5. mandat	-	Sjednica 26	2009-03-05	-	Reference	English	Regular	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	LjubičićDrago	Ljubičić, Drago	M	1949	
ParlaMint-BA-en_2009-03-05-0	ParlaMint-BA_2009-03-05-0.u3856	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 26	2009-03-05	Unicameralism	5. mandat	-	Sjednica 26	2009-03-05	-	Reference	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	MajkićDušanka	Majkić, Dušanka	F	1952	
ParlaMint-BA-en_2009-03-05-0	ParlaMint-BA_2009-03-05-0.u3857	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 26	2009-03-05	Unicameralism	5. mandat	-	Sjednica 26	2009-03-05	-	Reference	English	Regular	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	JovićIvoMiro	Jović, Ivo Miro	M	1950	
ParlaMint-BA-en_2009-03-05-0	ParlaMint-BA_2009-03-05-0.u3858	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 26	2009-03-05	Unicameralism	5. mandat	-	Sjednica 26	2009-03-05	-	Reference	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	MajkićDušanka	Majkić, Dušanka	F	1952	
ParlaMint-BA-en_2009-03-05-0	ParlaMint-BA_2009-03-05-0.u3859	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 26	2009-03-05	Unicameralism	5. mandat	-	Sjednica 26	2009-03-05	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	RančićHazim	Rančić, Hazim	M	1961	
ParlaMint-BA-en_2009-03-05-0	ParlaMint-BA_2009-03-05-0.u3860	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 26	2009-03-05	Unicameralism	5. mandat	-	Sjednica 26	2009-03-05	-	Reference	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	MajkićDušanka	Majkić, Dušanka	F	1952	
ParlaMint-BA-en_2009-03-05-0	ParlaMint-BA_2009-03-05-0.u3861	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 26	2009-03-05	Unicameralism	5. mandat	-	Sjednica 26	2009-03-05	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	VidovićRudo	Vidović, Rudo	U	-	
ParlaMint-BA-en_2009-03-05-0	ParlaMint-BA_2009-03-05-0.u3862	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 26	2009-03-05	Unicameralism	5. mandat	-	Sjednica 26	2009-03-05	-	Reference	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	MajkićDušanka	Majkić, Dušanka	F	1952	
ParlaMint-BA-en_2009-03-05-0	ParlaMint-BA_2009-03-05-0.u3863	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 26	2009-03-05	Unicameralism	5. mandat	-	Sjednica 26	2009-03-05	-	Reference	English	Regular	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	ZrnoBranko	Zrno, Branko	M	1948	
ParlaMint-BA-en_2009-03-05-0	ParlaMint-BA_2009-03-05-0.u3864	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 26	2009-03-05	Unicameralism	5. mandat	-	Sjednica 26	2009-03-05	-	Reference	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	MajkićDušanka	Majkić, Dušanka	F	1952	
