Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT-en_2019-06-04-LEG18-Senato-sed-117	ParlaMint-IT_2019-06-04-LEG18-Senato-sed-117.ana.u1	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 117, Day (2019-06-04)	2019-06-04	Upper house	18 Legislatura	-	-	117 Seduta	-	Reference	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	Opposition	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
ParlaMint-IT-en_2019-06-04-LEG18-Senato-sed-117	ParlaMint-IT_2019-06-04-LEG18-Senato-sed-117.ana.u2	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 117, Day (2019-06-04)	2019-06-04	Upper house	18 Legislatura	-	-	117 Seduta	-	Reference	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	Opposition	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
ParlaMint-IT-en_2019-06-04-LEG18-Senato-sed-117	ParlaMint-IT_2019-06-04-LEG18-Senato-sed-117.ana.u3	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 117, Day (2019-06-04)	2019-06-04	Upper house	18 Legislatura	-	-	117 Seduta	-	Reference	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	Opposition	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
ParlaMint-IT-en_2019-06-04-LEG18-Senato-sed-117	ParlaMint-IT_2019-06-04-LEG18-Senato-sed-117.ana.u4	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 117, Day (2019-06-04)	2019-06-04	Upper house	18 Legislatura	-	-	117 Seduta	-	Reference	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	Opposition	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
ParlaMint-IT-en_2019-06-04-LEG18-Senato-sed-117	ParlaMint-IT_2019-06-04-LEG18-Senato-sed-117.ana.u5	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 117, Day (2019-06-04)	2019-06-04	Upper house	18 Legislatura	-	-	117 Seduta	-	Reference	English	Regular	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	PatuanelliStefano	Patuanelli, Stefano	M	1974	
ParlaMint-IT-en_2019-06-04-LEG18-Senato-sed-117	ParlaMint-IT_2019-06-04-LEG18-Senato-sed-117.ana.u6	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 117, Day (2019-06-04)	2019-06-04	Upper house	18 Legislatura	-	-	117 Seduta	-	Reference	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	Opposition	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
ParlaMint-IT-en_2019-06-04-LEG18-Senato-sed-117	ParlaMint-IT_2019-06-04-LEG18-Senato-sed-117.ana.u7	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 117, Day (2019-06-04)	2019-06-04	Upper house	18 Legislatura	-	-	117 Seduta	-	Reference	English	Regular	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	PatuanelliStefano	Patuanelli, Stefano	M	1974	
ParlaMint-IT-en_2019-06-04-LEG18-Senato-sed-117	ParlaMint-IT_2019-06-04-LEG18-Senato-sed-117.ana.u8	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 117, Day (2019-06-04)	2019-06-04	Upper house	18 Legislatura	-	-	117 Seduta	-	Reference	English	Regular	MP	notMinister	PD	Partito Democratico	Opposition	Centre-left	MarcucciAndrea	Marcucci, Andrea	M	1965	
ParlaMint-IT-en_2019-06-04-LEG18-Senato-sed-117	ParlaMint-IT_2019-06-04-LEG18-Senato-sed-117.ana.u9	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 117, Day (2019-06-04)	2019-06-04	Upper house	18 Legislatura	-	-	117 Seduta	-	Reference	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	Opposition	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
ParlaMint-IT-en_2019-06-04-LEG18-Senato-sed-117	ParlaMint-IT_2019-06-04-LEG18-Senato-sed-117.ana.u10	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 117, Day (2019-06-04)	2019-06-04	Upper house	18 Legislatura	-	-	117 Seduta	-	Reference	English	Regular	MP	notMinister	PD	Partito Democratico	Opposition	Centre-left	MarcucciAndrea	Marcucci, Andrea	M	1965	
ParlaMint-IT-en_2019-06-04-LEG18-Senato-sed-117	ParlaMint-IT_2019-06-04-LEG18-Senato-sed-117.ana.u11	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 117, Day (2019-06-04)	2019-06-04	Upper house	18 Legislatura	-	-	117 Seduta	-	Reference	English	Regular	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	Opposition	Centre-right	MalanLucio	Malan, Lucio	M	1960	
