ParlaMint-NO_2014-11-12.ana.ud646e26	The representative, Mr Vegar Solhjell, will present a proposal for a representative.
ParlaMint-NO_2014-11-12.ana.ud646e29	On behalf of the representative of Trygve Schlagsvold Vedum and myself, I would like to put forward a proposal for a representative for a ban on the placing on the market of genetically modified maize lines T25 and NK 603.
ParlaMint-NO_2014-11-12.ana.ud646e34	The representative, Mr Breivik, will present a proposal for a representative.
ParlaMint-NO_2014-11-12.ana.ud646e37	I am delighted on behalf of myself, Trine Skei Grande, Abid Q. Raja and Ola Elvestuen to put forward a proposal for a representative to make children's life a law of rights.
ParlaMint-NO_2014-11-12.ana.ud646e42	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2014-11-12.ana.ud646e54	On Monday the Stortingen received a message from the Prime Minister's office saying that Prime Minister Erna Solberg will meet for oral Question Time. The Prime Minister is present, and we are ready to start the oral questioning process. The first main question is from Jonas Gahr Støre.
ParlaMint-NO_2014-11-12.ana.ud646e59	The Labour Party is too state-owned, but has a pragmatic view of what the State is going to do, and how. The objective may be different: securing the income from our natural resources or caring for other important societal considerations, such as Norwegian Typing or Vinmonopolet. It can also be about purely commercial interests, and then we expect companies to operate according to commercial principles, preferably in partnership with private interests. State ownership is not a sleeping cushion for unprofitable businesses or has lost its position in the market. We also have a pragmatic view of the percentage of ownership, for example, as we saw when Hydro joined alliance with Brazilian Vale. Now the government has announced sales in government business. The criticism of the state that owns has come mainly from the Right and the Advance Party in this room, and now we see that the government has sold all the shares in Cermaq, they have quoted Entra and asked the Stortinget for permission to sell entirely out of a number of state-owned companies, including the Flytrain. The main reason is the spread of power and the strengthening of private ownership. But is what we see as a result of this policy, or is it a purely ideological approach? There are large billions of values here, and there is reason to believe that we will mainly see foreign buyers, among them large funds, and not mainly Norwegian private environments. If we compare the country that owns sub-privatised and listed companies with companies on the stock exchange, with widespread ownership, often with elements of institutional non-residents as large funds, it is in no way obvious that government ownership provides less power than if those funds buy out the country's holdings. Where the state has been the owner, the companies have gone well, given good margins and earnings to the community, so there is no money Norway needs in such a sale. I want to know what cover the Prime Minister has to claim that the government sale will lead to more proliferation of power, more private ownership and more Norwegian ownership of the Norwegian capital market.
ParlaMint-NO_2014-11-12.ana.ud646e72	I am pleased that the Labour Party parliamentary leader stresses that the Labour Party has a pragmatic relationship with state ownership. It doesn't always sound like this in the debate. It also doesn't always sound like you've remembered your own story. We also have a pragmatic relationship with this, but we have a systematized pragmatic relationship with it. That is why we have provided a big message that categorises what ownership should be like. There are some important, large enterprises in which the country should have a large ownership, because they pay in relation to infrastructure in Norway, because they pay in relation to research and have head offices here in order to further develop and ensure a national Norwegian ownership. Therefore, we have said that it is not relevant to go below approx. one-third ownership of these companies. Then there are some other big companies that we've said we want a higher ownership interest in. And then for some companies we say that in these areas, there's no special reason why we should have a state ownership, what we call the Category 1 companies in the paper. These are companies that we believe it may be natural to liquidate ownership for years to come. The main reasons for each company have been explained in the report. For some of the companies that we have now wound up, sales powers were obtained under the previous government. I assume that it was because they themselves had an assessment that it was wise that the state should no longer own. Both Cermaq and Entra were authorized sales under the previous government, because they were supposed to be limited or sold out of these companies. BaneTele was sold to the Broadband Alliance and Secora to Torghatten ASA under the red-green. I assume that there is evidence of the pragmatic attitude at the time, and that is in line with what we have: a pragmatic attitude, but with the certainty that important businesses are Norwegian-owned and Norwegian-controlled.
ParlaMint-NO_2014-11-12.ana.ud646e81	Thank you for a two-minute summary of the shopping message. I was not given an answer to the question of whether this sale would lead to a strengthening of private ownership and a proliferation of power. But let me take a concrete follow-up question. State forest manages more than one fifth of the land area in Norway, including large forest areas. This is an example of what has been common ownership in our country, which has worked well, and which has given the public good access to the many joys of the forest, including. hunting and fishing. Now the government is assessing different models of privatisation of Statskog's business. This has aroused great commitment. Norway's Hunters and Fishermen's Association, with thousands of members around the country, strongly warns against government privatisation plans. They say that hunting has become almost unattainable in parts of the country, with the exception of places where there is access to hunting and fishing on state land. This retail policy is a way of changing the way Norway looks and works. It is at least not to strengthen the access of the Nordics to what is common ownership, and therefore I ask the question: How does the government disagree with the Hunter and Fisher League in this matter?
ParlaMint-NO_2014-11-12.ana.ud646e92	We are committed to ensuring the rights of the general public, which State Forest also manages in the years to come. Among other things, there is a clear specification in the mission given to State Forest, to identify and illustrate the extent to which public access to hunting — and conditions for hunting, fishing, outdoors and other user interests — can be affected in terms of privatisation, and the way to ensure that it does not get worse. There's something we've taken into account when we've asked Statskog to consider different forms of sales of some forest areas or major areas of activity. The reason why we do that is the desire to strengthen the Norwegian forest industry. It's about making sure that in the years to come we can manage the forest in Norway in an even more active way, and make sure that what I feel is that a large and broad majority here on the Storting are concerned about: that the forest is a future resource that we're going to have good management of in our country. We believe that private ownership can help manage it better than State Forest does today, but we are absolutely concerned with the public interest in this, and it is specified in the mission given to State Forest.
ParlaMint-NO_2014-11-12.ana.ud646e99	It opens for follow-up questions – first Else-May Botten.
