ParlaMint-NO_2014-04-09.ana.ud2193e26	The representative of Pál Farstad will present a proposal for a representative.
ParlaMint-NO_2014-04-09.ana.ud2193e29	On behalf of the big business representative Terje Breivik and myself, I am promoting a proposal for a representative on a comprehensive review of the framework conditions for individual enterprises.
ParlaMint-NO_2014-04-09.ana.ud2193e34	The representative of Mr Trine Skei Grande will put forward a proposal for a representative.
ParlaMint-NO_2014-04-09.ana.ud2193e37	On behalf of Terje Breivik and myself, I would like to propose Norwegian accession to the Third Additional Protocol to the Children's Convention – again.
ParlaMint-NO_2014-04-09.ana.ud2193e42	The representative, Mr Ketil Kjeseth, will present a proposal for a representative.
ParlaMint-NO_2014-04-09.ana.ud2193e45	On behalf of the representative Sveinung Rotevatn and myself, I would like to put forward a proposal for a representative on better mental health services in the municipalities.
ParlaMint-NO_2014-04-09.ana.ud2193e50	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2014-04-09.ana.ud2193e62	On Monday the Stortingen received a message from the Prime Minister's office saying that Prime Minister Erna Solberg will meet for oral Question Time. The Prime Minister is present, and we are ready to start the oral questioning process. The first main question is from the representative Trond Giske.
ParlaMint-NO_2014-04-09.ana.ud2193e69	Norway is a society of great trust between people and strong communities. Across different divisions, we feel very secure between ourselves, and we take responsibility for each other. At the same time, we see Norway becoming a more diverse society with different cultures and different religions. Then we need good meeting places where we get to know each other. The main meeting place for children and young people is the common public school. There kids meet with a variety of backgrounds, ethnicity and religious stand. It's important. On Tuesday, however, we were told that it is now decided that State aid should be granted to a Muslim primary school in Oslo. I understand the logic that when you give support to private Christian schools, you also have to give it to private Muslim schools, and of course, it's not like one school turns up in the Norwegian school system. Nevertheless, the Labour Party is concerned about a development in which more children are sorted in schools by religious status. This occurs even before the Right Party and the Progress Party have implemented the legislative changes notified, which will make it even easier to start private schools with State aid, or – as it says – a right to state aid if certain minimum criteria are met. My question to the Prime Minister is: does she share the concern about a development in which more and more children are sorted by religion in different schools, and will the government use the discretion contained in the law to say no to schools that prevent integration and inclusion in Norwegian society?
ParlaMint-NO_2014-04-09.ana.ud2193e78	The Private School Act provides that schools meeting one of the grounds set out in the Act may be approved. Among the reasons for which there has been broad political agreement in Norway, which is derived from the rights of parents and children in human rights, is permission to attend school on a religious basis. Of course, this includes schools that want to establish themselves on religious grounds other than that they are Christians. Today, we have 71 approved schools that have a Christian basis, so we have now received an application and a decision on a Muslim school. I want to say that I don't think it's hard to see that it's challenging with schools based on a religious basis. I think it's challenging to have government in school, and the biggest government in school is going through the housing market in Norway, where people live, which means that schools look very different in some municipalities. The key then is to ensure that the content of these schools contributes to inclusion, participation, understanding. It is clear that even if schools are allowed on a religious basis, it is possible to make demands on content, to follow the curriculum, and to ensure that a fundamental view of women is in line with human rights, which is in line with the Norwegian view of women – all these requirements can be met. What is undoubtedly going to be problematic is that one religious basis is the basis for excluding authorisation, whereas for others it is not. This would be contrary to human rights and anti-discrimination.
ParlaMint-NO_2014-04-09.ana.ud2193e85	I thank you for the answer, although there was no answer to the question. The point is that the Right Party and the Progressive Party are planning to liberalise the private school law, replacing today's discretionary system with a right to state aid for all those who meet a certain minimum requirement. Now we know that, in addition to different religious schools, there are plans for schools based on country origin. A Turkish school is planned, and we've seen examples of people sending their children back to their parents' homeland to go to school. It must be deeply worrying if we get a situation where Muslim children go to Muslim schools, Christian children go to Christian schools, and Jewish children go to Jewish schools. We get a sorting of the kids. We get a lot when the kids get together, when the watchman's daughter joins the play son, and people with different religious positions get together at school. That's Norway! My question is: does the Prime Minister see that when someone replaces a law that has a right of discretion with a right to state aid, this development can accelerate, and will she, if this happens, reverse and stop the planned legislative change?
