ParlaMint-NO_2014-03-26.ana.ud2183e26	The called alternate of the Vestfold County, Steinar Gullvåg, has taken the seat.
ParlaMint-NO_2014-03-26.ana.ud2183e41	On Monday, the Stortinge received a message from the Prime Minister's office that the Councils of State will meet Siv Jensen, Vidar Helgesen and Monica Mæland for oral Question Time. The advertised members of the government are present, and we are ready to start the oral question procedure. We start with the first main questions, from the representative Lisbeth Berg-Hansen.
ParlaMint-NO_2014-03-26.ana.ud2183e48	I have a question for the Minister of Finance. On 13 March, the government issued a press release on a new employer’s tax regime that sent shock waves through large parts of Nordic business. Hundreds of companies are told that the employer’s fee goes – for someone from 0 – up to 14.1 pst. from 1 July. North Norway has a bill of between 1 and 1.5 billion. kr. 42 000 jobs are affected in the three northernmost counties. Only within transport, there are no more than 14 000 employees, which corresponds to approx. 6 pst. of total employment in the national part of the country. The transport industry in northern Norway — like the rest of the country — has consistently low profitability. In northern Norway, 294 enterprises had negative operating performance in 2012. Thus, with the introduction of a full employer’s fee, two thirds of the operating profit will disappear. Businesses will go bankrupt! With this serious rug many ask if all the stones have turned. On 21 January, the Prime Minister told Nordlys that the whole of North Norway would have a low employer’s fee, and as late as 5 February, the Minister of Finance replied to Stortinget that: ‘The scope of the new conditions is somewhat uncertain and the government is actively working towards rapid clarification within the EU Commission and ESA.’ There is no doubt that the government has worked quickly, for, as you know, the resolution came on 13 March. But what happened between 5 February and 13 March, which made the government sure that transport and the other sectors must be fully paid for by employers?
ParlaMint-NO_2014-03-26.ana.ud2183e62	Let me first say that I am pleased that the differentiated employer's fee scheme is now being continued until 2020. There has been broad political agreement that there is one important instrument in both industrial policy and economic policy. Then I am also pleased with the work that the previous government put down to ESA, to ensure the best possible system. What now seems to be happening is that we can get 31 new municipalities into the scheme, and that's good. At the same time, last June – that is, before this government joined – the EU decided that certain sectors would be excluded from the scheme. It has been unclear and remains unclear how this envelope will happen. For this reason, the government has worked – and we continue to do so – to be in dialogue with ESA in order to achieve the best possible demarcation of the sector exemptions. That being said, it is now even more important for this government to work towards the revised budget, where this will be put before the Stortinget, with appropriate and best-possible compensatory measures. There, of course, we also have the challenge that State aid legislation can get in the way. Therefore, the government is now actively working to find the best possible means of compensating for this. But we are still in ongoing dialogue with ESA to get the narrowest possible definition of the sector exceptions.
ParlaMint-NO_2014-03-26.ana.ud2183e71	We are all very pleased with what has been passed on, and what has come into place related to a regionally differentiated employer's fee. Of course, we are also very pleased with the new municipalities involved and the new areas. But I still do not feel that we have received an answer to what happened from the moment when it was unclear – even for today's finance minister and today's government – until it suddenly became so clear in so few days that it is impossible to continue working on this. I am pleased with the signals that it is actually working further, but I have a feeling, which I hope the Minister of Finance can demand, that one has given up working in a way to include all these sectors in a differentiated employer's fee. Therefore, compensation schemes are particularly important. I would also ask the Minister of Finance to confirm what has been said in the past to compensate for crowns. But the most important thing is actually to work for integrating these sectors.
ParlaMint-NO_2014-03-26.ana.ud2183e80	As I said in my previous reply, we are still working towards ESA to make the sector exemptions as narrow as possible, and we are working to get to Stortinget with the best possible compensatory measures that do not conflict with State aid legislation. The answer to the question of what has happened is that what has happened is that time is running out. 1 July is the time for the implementation of a new scheme. It was a time limit to which the previous government dealt; it is a time limit to which this government relates. This means that we must have clarified this also to Stortinget, so that we can notify a system that ensures that we can continue the very basis of a differentiated employer’s fee, which is important for all the municipalities affected by it. Then, of course, this government also disagrees with all the exemptions that are adopted and imposed on it by the European Union. That said, it is also good that shipbuilding is now part of the scheme.
ParlaMint-NO_2014-03-26.ana.ud2183e89	Four follow-up questions will be raised – first by the representative Else-May Botten.
ParlaMint-NO_2014-03-26.ana.ud2183e92	There is no doubt that this affects business, not least in the districts. Last week, the State Council told Sanner to compensate for crowns. Erna Solberg said in the Questionnaire that you should have general measures, for which you are working, and Siv Jensen now says that you should have appropriate measures to do this. My follow-up question goes to the Minister of Industry: How does the Minister of Industry intend to work to find the best possible solution for the economic actors affected, to compensate, and what kind of action does the Minister of Industry think is best based on the situation we are in? Would she like to work for it to be a crown for crown compensation, or would you like general measures?
ParlaMint-NO_2014-03-26.ana.ud2183e99	First of all, we need to know which exceptions apply, as the Minister of Finance explained. Then we have to work on which arrangements to compensate this. So there is a work going on, and the government must be allowed to do so before it comes to the Grand Duchy with a solution to this in the revised budget.
ParlaMint-NO_2014-03-26.ana.ud2183e104	Hans Olav Syversen – for follow-up questions.
ParlaMint-NO_2014-03-26.ana.ud2183e107	My follow-up question is to the Minister of Finance. The Minister of Finance said that he would come back to the matter in the revised budget. On the part of the Christian People's Party, I would like to make it clear that this is also absolutely necessary. For, as mentioned, something happens on 1 July. What happens to the sole proprietors is that they get a huge increase in their expenses, and we know that the margins are small for many of the companies involved. The government has in several ways said that we should compensate heads for heads. My question then is, at what level are you talking about heads for heads? Is it at farm level, or is it at sector level?
ParlaMint-NO_2014-03-26.ana.ud2183e117	I think what's important now is that the government doesn't work in a vacuum when we're trying to define what kind of instruments we're going to get to the Stortinget. That is why we are now in dialogue with both Nordic politicians and relevant business organisations to be able to identify what will be perceived as good and effective instruments, which, at the same time, do not conflict with State aid legislation. I am of the opinion that we have to work far to assess what kind of action we can take – perhaps a little untraditional too, if necessary.
ParlaMint-NO_2014-03-26.ana.ud2183e124	Janne Sjelmo Nordås – for follow-up questions.
ParlaMint-NO_2014-03-26.ana.ud2183e127	State councils say that they want to work for two tracks: both compensatory measures and against ESA. I think it's important that we now make sure that all the rocks are actually turned around in terms of ESA. In recent days, there have been media redundancies in which various experts and others who have a bearing on EU and EU legislation have called for the new rounds to go with the EU because there may be other types of legislation that can help us in the sector exemptions, both in terms of narrowing them down and perhaps simply to change the scheme, so that the major problems referred to here do not arise from business both in the north and in other parts of the country. My question to the Council of State is: are all the stones turned around, and will you take the initiative to go the rounds that are recommended from more, to see if you can get out of a situation that is difficult as it looks today?
ParlaMint-NO_2014-03-26.ana.ud2183e134	As I have said several times, we have been and are still in dialogue with ESA to find out how we can make the exceptions as narrow as possible. It's important. It is reasonably clear that the EU itself does not have clear definitions of what these sector exemptions should cover, and those definitions are essential to get in place so that the government can make the best possible efforts to compensate for this. The EU decision was taken correctly last June, and in all subsequent processes, dialogue with ESA has been established to try to narrow it down and find the clearest possible definitions of what the sector exemptions will cover. The work is still in progress.
