ParlaMint-NO_2014-03-19.ana.ud835e26	The representative, Mr Ketil Kjeseth, will present a proposal for a representative.
ParlaMint-NO_2014-03-19.ana.ud835e29	I am delighted to present a proposal for a representative on behalf of Terje Breivik, Pál Farstad, Trine Skei Grande and myself on the establishment of a health smuggling system.
ParlaMint-NO_2014-03-19.ana.ud835e34	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2014-03-19.ana.ud835e46	On Monday the Stortingen received a message from the Prime Minister's office saying that Prime Minister Erna Solberg will meet for oral Question Time. The Prime Minister is present, and we are ready to start the oral questioning process. The first main question is from the representative Jens Stoltenberg.
ParlaMint-NO_2014-03-19.ana.ud835e53	There is a strength in Norway that we are better at creating values and better at distributing values fairly than most other countries. It's not obvious that it's like this. In particular, high-income countries very often experience large income differences. One reason why there is a more even distribution of income in Norway than in many other countries is that we have strong trade unions and a system of wage fixing that ensures a fair distribution of income between owners of enterprises and employees in enterprises. In recent years, the income of both employees and owners has increased well. It is an expression that Norwegian companies are consistently doing well – of course not in everyone, some are going badly, some are going well, but the main picture is that it is good earnings. That is why it has been possible to increase both employee income and ownership income at the same time. The income of the owners and employees has grown steadily – cakes have grown, and cakes have been distributed in the same way as we have over many decades here in the country. This has been a big problem for the Prime Minister. She believes that wages are too high in relation to value creation in relation to productivity, and she has chosen to call this one of the most dangerous gaps a nation can face. She and the Minister of Finance have with great experience presented graphs to show how dangerous this gap is. There is only one way to reduce this gap, and it is to reduce the salary share in value creation, i.e. increased wages and salaries of owners at the expense of employees' wages and salaries. This will lead to increased disparities, it will break down the Norwegian wage formation system, and this will result in a more unfair distribution. My question to the Prime Minister is: Does she still believe that the wage earners' share of the value creation is an expression of one of the most dangerous gaps a nation can face?
ParlaMint-NO_2014-03-19.ana.ud835e64	I would think that the representative Stoltenberg would be happy when other politicians, too – with experience – showed up graphs. When I think this is one of the most dangerous gaps we're facing, it's because the graph is the symbol of the oil addiction to Norway. The background that we have been able to have an increased wage growth in relation to productivity developments for some years is high prices for some of the goods we sell. These are mainly oil-related products. That means that we've tied our salary levels up to the fact that we're still going to get extraordinarily more paid than what we've gotten for our goods in the past. It's not because we've produced more. That's also what the Governor said in his speech in 2013, that the majority of the growth we see is because of higher prices. Therefore, the graph also shows the vulnerability of Norwegian society. Because at the moment we can risk falling prices, the foundation of wage growth, welfare development and the security of Norwegian workers in recent years has been weakened. In some areas, we can see that, for example. in parts of the metal industry, there was a high price increase between 2005 and 2007. It paid more, we increased capacity worldwide, we got good prices, and the wage trend was, of course, in line with that. What has happened afterwards is that the prices of the goods have flattened out. What I think is quite important is that we now have a discussion about how we make sure that our society is robust in the years to come. Then we can't have a wage development and productivity development that is no longer linked. In the long term, we actually have to make sure that it is linked.
ParlaMint-NO_2014-03-19.ana.ud835e75	First of all, I am very pleased that other politicians are also using graphs. I would have been even more happy if it had been my graphs they used, and I would have been even more happy if the graphs that were used actually took up real problems. As you talk over and over again after talks from both the Minister of Finance and the Prime Minister, you present a graph showing that wages are too high in terms of value creation in the country, and say that it is one of the most dangerous gaps a nation can face, the truth is that wages' share in total value creation is about exactly the same today as it was five, ten, twenty, thirty and forty years ago. We're baking a larger pie and dividing it the same way as before. The fact that the distribution we have in Norway today is an expression of a dangerous gap is an expression of wanting a different distribution – more to the owners and less to the employees. I'm a strong opponent of that. So, of course, I'm a member of more productivity and increased value creation, but baking a cake is something else than distributing it fairly, and we want both: big cake and fair distribution.
ParlaMint-NO_2014-03-19.ana.ud835e82	If Stoltenberg had listened to what I said, perhaps his picture of us baking a larger cake would not have been correct. We get a better price for the pie, but we haven't necessarily backed it up. That's what's happening when we don't have enough productivity development in a country. Then we may not get the same price for the cake in the years to come, and then we've made our society more vulnerable. This recognition had the Minister of Finance of Stoltenberg when we discussed the question of a productivity commission following a proposal I made here in 2013. Then Sigbjørn Johnsen said, ‘It is important that, in order to carry a high level of pay over time, we also have an productivity that allows us to carry a higher level of pay than others.’ That's what we're saying: if we're going to save the safety of the jobs, and if we're going to save the high pay level, we're going to have to raise productivity even in the years when we actually might even have lower prices for some of the goods. Then we must have baked the cake bigger, not just get paid better for it, because we are not guaranteed to get that.
ParlaMint-NO_2014-03-19.ana.ud835e94	There will be follow-up questions – first Marianne Marthinsen.
ParlaMint-NO_2014-03-19.ana.ud835e97	The good profitability of Norwegian enterprises shows several things – we are productive, but there has also been a formidable development in the exchange relationship with the rest of the world. And once we've got a better price of cake, as the Prime Minister puts it, of course, it's quite right. But the payroll's share is the same, it's been constant for decades. What the Prime Minister has done is to invite himself to a discussion about the distribution of cake. What she's really saying is that employees get too much of the profit because there's a lot of profitability in Norwegian companies. This so-called productivity gap is not reduced by the increase in the price of cake or the increase in the price of cake. Then you actually have to change the distribution of the pie pieces, so that the owners of the companies get more and the employees get less. Once the Prime Minister has characterized this gap as one of the most dangerous gaps a nation can face, I guess that's because she's going to do something about it. Can the Prime Minister confirm that this means that the employee's share of the values created has to decrease?
ParlaMint-NO_2014-03-19.ana.ud835e106	I am a little surprised that you do not seem to listen to the answer. So it's the price that has essentially made it possible for us today to live with a gap that's bigger, that's the vulnerability of the Norwegian economy in the future. We have a job to do to close this gap – not by cutting wages, but by raising productivity growth in the years to come, because we don't think we're going to be as lucky as we've been, with high prices. I believe that jobs in Norway must be safe, by knowing that they are productive, and that we can compete with others – not that we have a laissez-faire attitude, which I am a little surprised that the Workers' Party is the representative of and believes that we should be happy every year, with high oil prices and high payments for our goods. We believe that politics works. That is why we have a policy at the heart of what we call competitiveness for Norway, the core of research and development, of modernising Norway, of building better roads, of ensuring that our tax system is growth-enhancing, of ensuring both wages and growth capacity in Norway. We are thus raising productivity, and that is important, because in the long term, as Mr Johnsen said, these things are linked.
ParlaMint-NO_2014-03-19.ana.ud835e113	Hans Olav Syversen – for follow-up questions.
ParlaMint-NO_2014-03-19.ana.ud835e116	There was a lot of talk about graphs. I will not ask the Prime Minister to present a graph of the likelihood that Jens Stoltenberg will become NATO's next Secretary-General, but I feel that this is primarily a struggle for the imitation of the previous Prime Minister – and as much as really correcting the mistakes of the new one. But one question related to productivity. The government has set down its own commission on productivity. It concerns how to harmonize well with an inclusive working life. We have just adopted a new IA agreement, which shows that the number of people with disabilities in work under the previous government has fallen, and that the goal now is to get more people to work. My question is, how will the Prime Minister ensure that not only one-sided thinking of productivity, but also thinks that we should include everyone, and that productivity does not go beyond that goal?
ParlaMint-NO_2014-03-19.ana.ud835e124	I believe that the representative Syversen is quite right that it is important to say that it is not just productivity that is important. One of the things that the SSB's economic outlook determines is that it is equally important to look after the socio-economic profitability. In some areas, productivity in our society could be lower because we have had a more inclusive society, but the socio-economic profitability will be better because of it. But what we do has to be conscious. That's why we've reduced a productivity commission, so we have a conscious relationship with it. In the last period, the period we have behind us, we had not achieved our goals of including more disabled people in the labour market, while at the same time we had lower productivity. So it's important that we have a conscious relationship to it, and we have to be aware of having questions and discussions about how to raise productivity. Some relationships may be about things we cannot change, others are about stimulating policies, for example. to the competence and to ensure that we promise research and development and other measures that contribute to this.
ParlaMint-NO_2014-03-19.ana.ud835e129	Social violence Vedum – for follow-up questions.
ParlaMint-NO_2014-03-19.ana.ud835e132	One of the successes of Norwegian society is that we have had small economic differences, and once we have had economic growth, many have had economic growth, and that means that there has been value creation around the country. But after reading the articles that have been written about the famous gap, as Erna Solberg has called it, one gets the impression that the Prime Minister sees it as a problem that the employee's share of the value creation is too high. My simple question to the Prime Minister is: does the Prime Minister see it as a problem that many people have been involved in this value creation, which has been high in Norway in recent years?
ParlaMint-NO_2014-03-19.ana.ud835e139	I don't see it as a problem that people have good pay. I like people to have a good salary, and I love them in the long run to have a good salary and also a safe job, and that's what this discussion is about. We're going to make sure that we also have a safe foundation for the jobs ahead, so that people can be sure to have good pay in the future. The most important thing we've achieved in recent years – if we take the last 40 years – I think we've had a good growth. Our economy has increased significantly, for example. since 1971, with 2.5 pst. annual average. 0.5 pst. of it has been because more people have been working, and it has been several hours. 2 pst. of which productivity development is attributed. That shows the nucleus of it. The perspective message presented by the previous government requires an increase in productivity on a line that is above what they delivered themselves during the eight years they set. If we don't actually have the welfare development of the previous government added up. We are committed to raising productivity developments.
ParlaMint-NO_2014-03-19.ana.ud835e148	Terje Breivik – for follow-up questions.
ParlaMint-NO_2014-03-19.ana.ud835e151	The graphs and the debate illustrate very well two of the main challenges we face: the level of costs and the division of the economy. The main answer to this is that Norway should take care of value creation and lay the basis for future well-being, we have no choice but to have world-class knowledge and technology development at all times. So far more interesting to debate than how dangerous the graph is, is what we in this room can do to make Norway have the innovation capacity that is proportionate to the level of wages and costs we have in the country.
ParlaMint-NO_2014-03-19.ana.ud835e158	I fully agree that this graph shows some of the challenges that are also reflected in the two-part division. So I want to say that I don't believe in today's situation that a two-part economy is such a good picture anymore, because what we're seeing now is that the oil industry and the supplier industry are also shutting down. They indicate downgrading and outsourcing of a number of functions. This means that we have a cost problem, which concerns both non-oil-related industries and oil-related industries in Norway. The answer to that is just to make sure that we don't get cheaper, but smarter, that we make sure that we spend more money on research and development, and that we ensure that the areas that are close to business, in terms of research and development. We did so in the budget that we presented in the autumn, where we, among other things, increased the research and development resources that were closest to business, e.g. BU funds and TAX FINN.
ParlaMint-NO_2014-03-19.ana.ud835e165	Snorre Serigstad Valen – for follow-up questions.
ParlaMint-NO_2014-03-19.ana.ud835e168	We are productive, and we get good prices for the goods we sell. What the Prime Minister has really said today is that Norwegian workers will get less for their work in case the price goes down once, while the owners, who happen to vote Right, will be left with more. Let's assume that the reasoning holds -- it doesn't, but let's take that into account. My question to the Prime Minister is then: How much less will Norwegian workers earn their work? What is a suitable level and a suitable share of the cake, in the view of the Prime Minister? And not least, how has the Prime Minister intended to go into an area that is the responsibility of the parties?
ParlaMint-NO_2014-03-19.ana.ud835e175	What I've said in this room, and what I've said out there, is that we're going to work to raise productivity in Norway. It's an important goal for this government that we get more productivity and make sure that we can get new companies with higher returns to make society more robust. Higher productivity can also lead to higher wages. That's actually the cause of well-being in the last 40 years, as I said instead. The reason for the high wage level in the future has actually been that we have had productivity. And as Sigbjørn Johnsen said, it's important in the long term that there's no difference in pay levels and productivity trends, because it'll be too vulnerable. Even if you try to make this a question of dividing the cake, my answer to this is that we have to make sure that our cake grows, so that we have better well-being in relation to both people's security for jobs and pay levels. This is not a policy for wages to fall; it is a policy for wages to be secure in the future.
ParlaMint-NO_2014-03-19.ana.ud835e184	Let's go to the next main question.
ParlaMint-NO_2014-03-19.ana.ud835e188	School and education opportunities are still an important issue in many countries and societies in the world. One of those who have contributed to raising this issue on the international agenda is the 17-year-old blogger Malala. It's probably more than me who's been caught both by her courage and by her clear and clear messages about what school and education can mean. In Norway, we have the right to free schooling, both primary and secondary. In a welfare society like ours, it might be a little fast to take these rights for granted. Absence in secondary education is a major and complex problem. Over the last few weeks, several newspapers have also written that absenteeism in high school is an increasing problem. The A magazine wrote on Friday that it is not uncommon in Oslo schools that more than half the class is missing when the education starts. The average absence per student is now up to 10 pst. It equals four whole weeks per student per year. Teachers have no sanctioning powers, and students have a statutory right to both assessment and grades in the different subjects no matter how far they are away from teaching. My question to the Prime Minister is whether she has made some thoughts about what can be done to reduce the absence of high school, whether it should perhaps be so that when we give young people a statutory right to secondary education, it should also be accompanied by a certain commitment to meet up when the education takes place.
