ParlaMint-NO_2014-12-02.ana.ud559e88	The representative, Karin Andersen, will present a proposal for a representative.
ParlaMint-NO_2014-12-02.ana.ud559e91	On behalf of the representatives of Bård Vegar Solhjell, Trine Skei Grande, André N. Skkelstad, Rasmus Hansson, Liv Signe Navarsete, Heidi Greni, Geir S. Tuskedal and myself, I would like to put forward proposals to protect combat interpreters from Afghanistan.
ParlaMint-NO_2014-12-02.ana.ud559e96	The representative, Rasmus Hansson, will present a proposal for a representative.
ParlaMint-NO_2014-12-02.ana.ud559e99	On behalf of myself, I would like to put forward a proposal for a minimum of three years of cessation of growth in the farming industry – until environmental problems have been brought under control.
ParlaMint-NO_2014-12-02.ana.ud559e104	The proposals will be dealt with in a regulatory manner. Before the matters on today's map are dealt with, the President will inform you that the meeting will continue beyond 1 p.m. 16th@item: inlistbox
ParlaMint-NO_2014-12-02.ana.ud559e120	The aim of the Riksrevision study has been to assess the extent to which the introduction of new follow-up methodology in the Working and Welfare Seat has helped to improve the follow-up of people with disabilities and thereby speed up their work. The aim of new methodology has been to have a more targeted and individualised follow-up and use of labour-oriented measures. Instead of focusing on the individual’s limitations, a focus shall be on his/her resources and opportunities. The survey covers the period 2008 to 2013. The background to the Riksrevision survey is that the Employment and Welfare Act has a clear objective of getting more people with disabilities into work. But the figures have shown that the transition to work has not led to an increase. Despite a substantial part of the staff resources of the establishment for guidance and follow-up services for people with disabilities, and annual appropriations of approximately EUR 15 million are made available. 40 B.C.E. The Committee notes that the establishment is not successful enough in getting more people with disabilities to work. The objectives of the Stortinget have therefore not been met for the work of the establishment with this group of people. The Committee has noted that questions can be asked about the real significance of the introduction of new methodologies for more people to work. The same applies to the extent to which work performance assessments contain relevant information to assess the working capacity and needs of users. Another important question is whether the follow-up of the individual user is sufficiently labour-oriented. The Committee took note of the main findings of the National Audit Office, namely that the objective of employing more people with disabilities in work has not been achieved. Secondly, it will take a long time to clarify people with disabilities. Thirdly, attention to users’ job opportunities has been too low. And fourthly, poor management of the quality of the follow-up work itself at the Nav offices has been clear. For the populations surveyed in 2008 and 2010, there were in both selected groups at the lower edge of 25 pst. of the persons with reduced working capacity who came to work. The time to clarify people with disabilities is often so long that it helps to weaken the motivation of the individual and not least to believe that it is possible to get into work. When almost half of the users from the 2010 population went over half a year before an activity plan was drawn up at all, it is not difficult to understand that the relationship with the labour force is deteriorating, and the way back to work is even longer and more difficult. The Committee therefore notes with great concern that, in its follow-up to each user, Nav is too low for work. When about half of the work capacity assessments from the 2010 population were not even assessed, it tells of a focus that is too little on people’s ability to get into work. The activity plans are mainly now described instead of being concerned about the opportunities and resources each person has to be able to participate in the world of work. At all, a large part of the activity plans are perceived as very small obligating and to a small extent individualised. This impression is further enhanced when comparing the activity plans from 2010 to 2012. For even in the 2012 population, there were more than 60 pst. of the activity plans that did not focus fully on progress towards clarification of job opportunities. Another factor, linked to the follow-up of the individual user, which is of great concern, is the lack of user involvement. When the connection between the hub and the user is characterised by low continuity, less user involvement is involved, and opportunities for users to become more active in actions rather than entering the job are increased. This will be a further contribution to weakening the possibilities for users to return to work. Lack of concrete objectives to get into work combined with weak follow-up from the supervisor reinforces the impression that the means and methods of follow-up are available, to a lesser extent, in relation to the objective of employing more people with reduced working capacity. This is not only about the lack of follow-up by Nav, but also about the use of public funds that have to be questioned. Whether the new follow-up methodology itself is a better tool than previous methods for this type of follow-up, it is difficult to conclude from the assessment carried out by the Riksrevision. As the Committee sees it, the main problem is that Nav's practice does not take the new methodology seriously. In this respect, we are talking about very key issues such as the lack of follow-up of the target audience and, not least, as the Riksrevision points out, lack of knowledge about the labour market for users, and thirdly, lack of guidance skills and knowledge base for the follow-up of people with disabilities. In the light of the findings of the Riksrevision, that three years after the introduction of new methodology has not achieved the objective of better user follow-up, the Committee agrees with the Riksrevision that the Ministry of Labour and Social Affairs needs to obtain better knowledge and information on the causes: Why has there been a decrease in early clarifications? What measures are needed to reduce the time these persons are following the Nav? For the Committee it is discouraging to record that, although policy decisions have been in place for a number of years, as well as measures and instruments that can contribute to the implementation of the measures, this has not in any way provided the desired results. It is serious that so very central parts of Nav's work towards particularly vulnerable groups are not followed up better than the Riksrevision study notes. We record that the Council of State is not satisfied with the results that one today achieves, and sees it as a priority task to find solutions that make work out as much as possible with reduced working capacity. It is important for the Committee to stress that a strengthening of the follow-up to the work-related situation in the establishment must be followed up by concrete measures. To this end, the Committee endorses the measures proposed by the Riksrevision: enhancing the skills of supervisors in improving knowledge of the labour market and working conditions, emphasising quality development in its entirety in relation to the guidance service in a completely different way from the case currently more knowledge-based follow-up of people with disabilities; It is therefore crucial to improve the follow-up that the first line be strengthened with more relevant labour market and labour market competences. For the Committee, it is necessary to stress that the seriousness of the Riksrevision’s findings is particularly high when it can reveal that developments from 2010 to 2012 show a negative trend in relation to key indicators such as time of resolution and the number of people in work. The members of the Committee from the Right, the Advance Party, the Christian People's Party and the Central Party refer to the work of the Council of State in developing a simpler, more knowledge-based and effective response system as well as a strengthening of professional governance. The members of the Workers' Party, the Centre Party and the SV are, in addition to professional strengthening, concerned that the announced work must not lead to commercialisation where profit motives will reduce the quality and long-termity of the work. For the Committee as a whole, it is about changing a trend in a high priority area, where we expect the policy objectives to be pursued in a targeted work that can give people with disabilities new opportunities in the labour market. I therefore recommend the Committee's recommendation.
ParlaMint-NO_2014-12-02.ana.ud559e184	‘My disability is that I don’t have a job to go to’ – posters with this embassy come in to look at trams, buses and tracks both here in Oslo and in Trondheim this week. The point is to show that there is a large group of young people with disabilities who want to work. Today, only four out of ten young people with disabilities are at work. But fortunately, the attitudes in the workplace have been better lately, but still only one in ten employers will choose to assign one person with disabilities. Secretary-General Lars Rottem Krangnes calls on both government and working life to discuss what is going on to create part-time jobs, so that more people can use their jobs. We've got another report on Nav, which shows that Nav isn't working well enough. I think Nav should be there for periods of your life where you might be most vulnerable. The hub should be there when you are going out and trying to get a new job. They're the ones who're going to help you. Then I think, what do people experience when they go to Nav? Do they get the help they need? Are they assessed based on actual working capacity? Today, there is a specific study by the National Audit Office of Nav's labour law on the follow-up of people with reduced working capacity to debate. I want to say first that the committee is in agreement, but there is a small difference of opinion at the very end – otherwise we are some in total – so I follow up what the case-speaker said, and I agree with him. Nevertheless: On Friday we had a hearing about Nav. It was found that Nav's measurements had not been reached. Getting people with impaired working skills was also up there. There were also conditions around ICT in Nav, which I know we're going to come back to, where Nav has had a loss of several hundred million dollars on an ICT system that should be streamlined, so that adding in Nav could take time for individuals. That's what it's all about, that we need time to help those who need it. The case spokesperson has now referred to the report, but I think the most important thing is that the goal of getting more people with reduced working capacity is not achieved. It says the report, and he reasons it with many different arguments, which I will mention some of: weak management, too little attention to users' possibilities for work, and that it takes a long time to clarify whether people with reduced working skills can work. In addition, performance assessments — that is a long word — should provide a basis for assessing whether users are fulfilling the conditions of redundancy money, which may deter users from pointing out what masters they are and what types of occupation they are likely to be. At the same time, medical statements provide little evidence of function and workability. As also mentioned by the case-speaker, there is a lack of user involvement. The Committee has said that if we do not set specific targets for the individual user, we will not be able to provide targeted help. I think that even with tools and policy decisions and actions for a long time, the implementation by Nav and the use of the follow-up methodology have not led to desired results. We are now expecting the Nav Department to ensure that meeting places are created where the first line and system developers work together to find good solutions. We join the National Audit Office's recommendations on strengthening labour law follow-up in the Working and Welfare Session. We are also concerned that the follow-up to such a vulnerable group is so lacking that the investigation by the Riksrevision has revealed, and that developments from 2010 to 2012 are negative. There have been longer clearance times and fewer people with reduced working skills who have come into work. I just want to comment that it is very good that the Council of State agrees with us so far. Now he will have to speak for himself afterwards, but the committee has also mentioned it in the comments. So I'll just mention the comment where we, along with the Center Party and SV, write that ‘it is essential that the notified work on bundling measures should not lead to the commercialisation of a sector in which profit motives will reduce quality’. With that, we think the main focus now must be on helping those who need it to get into work. I know that we have a lot of good labour market enterprises that are built up with this focus. I want them to keep it as the main focus and be the people who do the work, instead of being profit-based. As I said, Nav should be for individuals when they need help. Therefore, we suggested that this report be followed up so as to improve the possibilities for more people to get into work.
ParlaMint-NO_2014-12-02.ana.ud559e219	I want to attach a few words to the matter that is being dealt with. Let me start by saying that I am far from satisfied with the implementation of measures that have been and that an overall committee has pointed out in this respect. There has been a decrease from 2010 to 2012. It is not satisfactory when we see that the transition to work is weaker now than it was at the time the Nav reform was introduced. It tells me that we have to take new hold. It tells me that you also have to do other things to succeed much more in realising the dream of people to be allowed to participate in the world of work. It's a task that the government takes in the deepest seriousness, and that's why the government also wants to work on a broad front to ensure that we can include more people in the world of work. Let me point to some of the things that we've already done. First of all, I think it was wise, right and important that we have now set up an expert committee to carry out a comprehensive review of Nav, where one of the most important things in the mandate is to look at how we can better manage the transition to work, help people with disabilities and people who are out of work, also in the ordinary working life. There is a good work going on, and the sample, as the Storting knows, will deliver its final report during March 2015. I would also like to point out that an attenuated partial objective 2 and clearer parties to the new IA agreement mean that there are greater ambitions to succeed in bringing more people with reduced working capacity into working life. That means that we also need to make some changes to ensure better follow-up. Therefore, in a short time, the government will present a proposition with a message part, where we come up with a series of measures to strengthen the follow-up in Nav, how we can improve the competence of Nav in order to get a closer follow-up of the individual towards the world of work. For me it is then important to do three important main steps: Firstly, I think we need to simplify the response system, make it more effective and ensure that we get more targeted response systems that make people get the right help faster than they do today. Secondly, it is important to strengthen counselling skills and, in particular, to have more obligatory activity plans that accompany and follow the individual into the labour market. This is why the government has already announced that a new system will be introduced, which will be simplified, but will replace some of today's measures with a job training measure. It also involves Nav being involved in the business and following up on the individual. I think that's important in order to achieve the goal of getting more people into the world of work. Thirdly, I register that the representative Eldegard says that we must not facilitate a system that opens up for profit. For me, it's important that we reach the big social outcome, the big social mission, and help people get back to work. For me, it is important to take care of and further develop the skills we have today, but also to attract new skills. All good forces must be used to help people return to work. Then I have great faith that there are small, good social entrepreneurs out there in the Norwegian community who are good at helping people get back to work – I can mention the Pub project – and I believe that we need to use them and non-profit organisations to a greater extent than we have done before. That is why it would also make sense, I believe, what the government has already done in bringing together the two clarification and follow-up measures, just to ensure that we don't have any more good forces. And then it's important that we at the same time be able to balance this in such a good way that we retain the competence that is already built up in this area. At the end of the day, I just want to say that I get a little tired when I hear that many people with disabilities stay out of work, that many people with reduced working capacity stay out of work and neither come to an interview, are followed up or are given the opportunity to participate. I also want to say that we all have a responsibility to figure out how we can succeed better. Specter, which I would like to give as an example, has published 130 jobs in their businesses for people with disabilities. I think that's great. This shows that the inclusion work is being taken seriously. What's a shame, and that makes it a little sad, is that there were only four applicants for the 130 posts. So here we also have a significant responsibility all of us to come up with good ideas about how we can get access to the right people who are out of work, unload them into the jobs that are actually available, and make them available to the employers who want to accept them.
ParlaMint-NO_2014-12-02.ana.ud559e238	It's going to be line change.
ParlaMint-NO_2014-12-02.ana.ud559e241	First, I need to comment on the comments made by the Council of State Eriksson to my post. I can be open that there may be more people who can come in and join and help get people into work. That's what I thought was just positive. I think that when the Council of State mentions, among other things, The mob project, it's fine. I want to identify the labour market enterprises, which are very good. But I think there are some other companies that want to get into that market again to get a suction pipe down into the treasury, which may have profited more than helping people out in work. That's what I think you have to be very, very conscious of. So tell the Council of State that he is very satisfied with the new changes he has made, where he has put together different measures, such as: clarification measures for people with moderate needs for assistance and for people with reduced working capacity and a high level of assistance needs. Almost all the hearing authorities were against this and thought that this was not good – that would not lead to better provision for the others. Then I'm only fooling at why the council doesn't listen to the hearing authorities, when he's had this out on the phone.
ParlaMint-NO_2014-12-02.ana.ud559e248	We can answer that quite simply, because it is not right to open up tenders now. Today it is that you have had tenders for many, many years. There have been two follow-up actions, two clarification actions, one of which has offered both clarification and follow-up actions. In fact, the transition to work for those who have been offered is as good – if not better – as for those who have not been. At the same time, based on the experience, users who are far away from the labour market are also taken into account and helped them back. My point is that we have good experience running two parallel systems over time. This question has perhaps been one of the most investigated questions. I can refer you to the Brofoss committee, which presented its position a few years ago. It was also the basis for the previous government’s big message – which this government withdrew – which was presented in August 2013. So we feel that we're on a safe footing when it comes to making these changes as well, just to make the transition to work even better than it is today.
