ParlaMint-NO_2014-12-01.ana.ud1735e28	The representative Tom E. B. Holthe, who has been licensed, has once again taken the seat.
ParlaMint-NO_2014-12-01.ana.ud1735e39	The representative, Mr Ketil Kjeseth, will present a proposal for a representative.
ParlaMint-NO_2014-12-01.ana.ud1735e42	On behalf of the representatives of Terje Breivik, Pál Farstad and myself, I would like to make a proposal for a limited right of withdrawal for the sole proprietor when selling advertising services and the like.
ParlaMint-NO_2014-12-01.ana.ud1735e47	The representative Per Rune Henriksen will present a proposal for a representative.
ParlaMint-NO_2014-12-01.ana.ud1735e50	On behalf of Terje Aasland, Truls Wickholm and myself, I have the honour to present a proposal for a representative on a better organised power grid.
ParlaMint-NO_2014-12-01.ana.ud1735e55	The proposals will be dealt with in a regulatory manner. Before the matters on today's map are dealt with, the President will state that today's meeting will continue beyond 1 p.m. 16th@item: inlistbox At the request of the Financial Committee, the President will propose that cases be brought before the Court of Justice of the European Communities. 1 and 2 are treated as a whole. – It shall be deemed to have been adopted.
ParlaMint-NO_2014-12-01.ana.ud1735e82	At the request of the Financial Committee, the President will propose that the debate be conducted over one day with a total speaking time of 6 hours, excluding lines and 3-minute speeches. The number time is divided into groups as follows: Working Party 115 minutes, Right 100 minutes, Progress Party 60 minutes, Christian People's Party 20 minutes, Centre Party 20 minutes, Left 20 minutes, Socialist Left Party 15 minutes and Environment Party Green 5 minutes. The replacement of the Rules of Procedure is proposed as follows: six lines of reply will be provided after the speeches of the main speakers of the political groups, parliamentary leaders, the Prime Minister and the Minister of Finance, and four lines of reply will be given after each of the other members of the Government, as well as speakers with 10 minutes of speaking time or more – within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – This is deemed to be adopted.
ParlaMint-NO_2014-12-01.ana.ud1735e93	For many, this has been a great weekend, whether you're engaged in the finals of the Farm, the King of Chess or Salmesan. I'm going to confess that some of the preparations I made for this debate happened at the same time as I heard some hymns – there's a lot of inspiration to pick up. I also posted some of this on Facebook, and then I got a response from someone I don't know, who wondered if this weekend was part of the budget agreement. It is not, but I would say to the honour of the NRK and to the honor of voluntary Norway that such a part of a budgetary settlement will be an ornament in any case. After two and a half weeks of negotiations, the government parties, the Left and the Christian People's Party, agreed on the state budget for 2015. The agreement involves a budget that provides a reinforced social profile and prioritises important measures to equip Norway for the future, not least in the knowledge sector and in business and employment. We also adopt the most offensive climate and environmental budget ever. Family policy is once again on the agenda, and it is a budget that also takes on board the fact that it is a long-term and diverse country in which we live. Freedom is lifted not only by project resources but also by tax deductions that allow the voluntary to give priority to it. The initial budget's commitment to transport, justice and health is also being continued and strengthened in several areas. In my opinion, the conciliation represents a political course which is closer both to the political majority in this Chamber and to what a majority of the population wants. As you can see, democracy has really been in operation since the budget was presented on 8 October. This budget has been fuelled by numerous consultations and assessments — from the largest nationwide organisations to a wide range of individuals. The size of the budget is again very important. I would also like to thank the Right, the Progress Party and the Left for many and long rounds on the budget. Some rounds have been simpler than others – it is to be said, but from the Christian People's Party it is very much to rejoice when we are making decisions later today. The backbone of this budget is still a solid Norwegian economy, but just as full with more unrest than in a while. Continued weak economic growth in the euro area, but with more optimism in the United Kingdom and the United States, while China is downgrading its forecasts – all this adds up to a quite complex picture. Since the summer, the oil price has fallen by over 30 p.p., and after record oil-related investments in Norway, we now see a clear reduction, causing ring-effects in parts of the supply industry. However, unemployment rates for November show a decline from October, and there is a lot of evidence that many professionals go to other industries that have been struggling to get people for a long time. In this way, some cooling in the oil sector may allow for a conversion which in any case will have to come in the years to come. For the export industry, a marked weaker krone also contributes to an improved market situation. Norwegian goods simply get cheaper abroad. However, the current concern about oil prices and markets shows that the way in which we phase oil money into the budget helps to avoid the major fluctuations and is therefore a very important contribution to a sensible budgetary policy. I am also pleased that the budgetary agreement does not involve increased use of oil money in the budget. It's also a signal that this slightly undefined market knows to notice. In the state budget, it's moving in about 13 billion. kr when you include all changes and re-priorities. When you know how much is bound in a budget, it actually means that there have been many changes, both large and small. Then there's also a truth that for those that actually apply, any change is great even though the sum in itself may seem small. What are we going to live on after the oil? There has been a frequently asked question. What we know is that most jobs 20-30 years ahead of time are not yet created, but that the basis is now laid. For this reason, all four parties agree on a comprehensive commitment to the knowledge sector. The State budget provided a good starting point for further education, higher education and research. This is further underlined by the agreement. In the Christian People's Party, we are also very pleased with a breakthrough to increase the teacher's density at the beginning of the school cycle. This will enable us to provide better adapted education for all children, to facilitate the follow-up of those students who especially need it, to reduce the need for special education later and to prevent drop-outs in high school. As far as the last point is concerned, the consensus we have on a significant increase in the apprenticeship grant is also an answer that many have been waiting for in terms of the most effective medicine against high school drop-outs. In total, this is a significant bet that the four batches add up to. The results won't come tomorrow, but they'll come. On the part of the Christian People's Party, I am also pleased that the public schools, tuition fees for foreign students, the outreach grant and capital grants to incubators are areas we have now found common agreement on. A solid business environment ensures jobs and value creation. The government’s proposal for relief from taxes on wealth is, of course, justified by not taxing Norwegian owners more than non-residents – a penal tax on Norwegian ownership that many believe should be avoided. We are very much in agreement with this, but we must look at these kinds of reliefs and bear in mind that they are assessed against the whole budget and also against possible changes in company taxes that are expected to occur. Therefore, in the Christian People's Party, we have had a somewhat different approach to these issues than the government has had. Now we have agreed on a certain reduction, while adjusting the tax on property in addition to the primary dwelling, and we have also agreed to consider a measure of property tax that distinguishes between working capital – whether it be operating buildings, machinery or tractors – and what is actually taken out on private hands. Then we'll be waiting for the Scheel Committee tomorrow. The first leak has already arrived, but I repeat here and now the Christian People's Party's wish and invitation to a broad political settlement when we receive the Scheel Committee's report on our table. In the cooperation agreement, the four parties have agreed on a family policy to ensure flexibility and freedom of choice. We follow this up together. Cash support was increased for 1 year olds in the year’s budget and continued for 2015. The number of kindergartens can be increased for the next year and provide more flexible admissions. I am pleased that many municipalities have already notified that this will happen. Those with the lowest income will be reduced, regardless of the municipality in which they live, and very many four- and five-year-olds in low-income families will have free core time. The social profile of the budget has also been strengthened. The infant supplement for the infant is maintained as a tested performance with a high-level ceiling. I believe that this will ensure the children's supplement in the long term, while at the same time giving legitimacy to a social security benefit. It's also important. The one-off grant at birth is given a real boost, and family protection is given a solid boost in this agreement. Tax class 2 is maintained. I see that the effort we have agreed on says a lot about family policy and about the common position of the four parties on the importance of the family for the growth and formation of children. Unfortunately, it is time for many children to go too lye and cold water. This is why there is also a focus on child protection and on centres that accept children and parents in crisis. The climate agreement shall be reinforced. That's what the four parties have promised in the cooperation agreement. This budgetary agreement delivers. Railways receive additional money for operation and maintenance, the reward scheme for public transport as well, and new cities can now be included. A marked investment in walking and cycling routes, a forest package that has reaped broad recognition, the extension of Enova’s framework for an increment in the home and more money to the energy fund, a strong commitment to biofuels and tax relief for hybrid cars is a taste of what is to be done in the revised budget. Internationally, 200 million are being added. kr to the UN Green Climate Fund. Moreover, so important: the four parties agree that the environmental mandate of the oil fund should be extended and also open up to unlisted investments in renewable energy. That we have a commitment in the world of which we are part – not least a country like ours, which is so rich – there is a broad consensus. By comparison, the default is 1 pst. of gross national income for development aid secured, and it now has a broad political upturn. The four parties also agree on increasing the focus on education and health in development policy. A concentration on the number of countries for state-to-state cooperation is something we agree with, but we also get a separate case on this presented to the Stortinget. What we already agree on, and which I believe is important, is that this concentration should not concern humanitarian aid or the work of non-governmental organisations. As we all know, there are now more serious humanitarian crises in so-called Category 3 than in a very long time. This poses enormous challenges for neighbouring countries, the UN and other international organisations that otherwise contribute. Norway should, of course, also contribute, and the conciliation means that next year we will increase the number of quota refugees. The enormous suffering we see in other parts of the world is almost impossible for us to grasp. But at least that gives us reason to say that our domestic debate on plastic bags, on which a number of slit meters are now used, has a slightly different dimension. Finally, I would like to thank our cooperation parties, but I would also like to thank the opposition parties, in addition to the constructive opposition, for their good cooperation in the Committee and for their goodwill. There are deadlines that have been extended, but I would nevertheless say that when a minority government presents a budget and you get agreement after two and a half weeks, it is not very dramatic. I also think you have to remember that after eight years of majority rule you may not be used to working with the budget in a slightly different way than before. Thanks to all the parties. Thank you to our own secretariat and to the department that has jointly got numbers, posts and chapters in place. I would also like to thank the President himself for good cooperation in getting this done in the best possible way for the Storting. With that, I address the proposals of the Christian People's Party for an alternative budget, and not least I would recommend the additional position that the majority is behind.
ParlaMint-NO_2014-12-01.ana.ud1735e139	The representative Hans Olav Syversen has taken up the proposal to which he referred. It's going to be line change.
ParlaMint-NO_2014-12-01.ana.ud1735e144	The Christian People's Party has had to conduct hard marathon negotiations in order for the windiest budget proposals of the time to become less unsocial, and the two parties have had more improvements in place that correspond well to the policies of the Workers' Party, which we have in our alternative budget. But the main procedures in the budget are firm, said the Right parliamentary leader, Trond Helleland, clearly and clearly when the budgetary conciliation was presented. The biggest single thing is cut in the wealth tax of the country's richest. It was and is still the largest single effort in the budget. Does the representative of Syversen agree with Greece that the blue-blue main grips are still stuck? All over Norway, municipalities are now preparing for major cuts in the provision of services at school, in care and in many other areas, which means too many. Wouldn't it be better to use the economic space that we now have, as the Workers' Party does, on welfare services, rather than tossing billions after the country's most prosperous? Why did the Christian People's Party want to support and take responsibility for a policy that goes in such a wrong direction?
ParlaMint-NO_2014-12-01.ana.ud1735e153	To take the property tax: Tore Hagebakken knows as well as I do that many people are far into both his own party and the trade movement point out that there are significant challenges with the property tax. If the representative Hagebakken is in doubt, no one needs to throw money at anyone. What we agree on in this case is to ensure that we preserve Norwegian business and Norwegian jobs. I hope that is still a goal for the Workers' Party. With regard to what the Right parliamentary leader says about his own budget, and how the conciliation should be understood, I think he would have actually said exactly what the Labour Party parliamentary leader would say if it had been a different situation. I guess that's the policy of this house that we want to highlight what we want. I have shown in this post, without attacking any parties, that the Christian People's Party has had a solid impact on our priorities.
