ParlaMint-NO_2014-10-22.ana.ud143e26	The representative, Dag Terje Andersen, will put forward a proposal for a representative.
ParlaMint-NO_2014-10-22.ana.ud143e29	On behalf of the representatives of Anette Trettebergstuen, Lise Christoffersen, Fredric Holen Bjørdal, Helga Pedersen, Kari Henriksen, Arild Grande and myself, I would like to present – we think it is necessary – a proposal for the development of an action plan on social dumping and crime at work in Norway.
ParlaMint-NO_2014-10-22.ana.ud143e34	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2014-10-22.ana.ud143e46	On Monday the Stortingen received a message from the Prime Minister's office saying that Prime Minister Erna Solberg will meet for oral Question Time. The Prime Minister is present, and we are ready to start the oral questioning process. We start with the first main questions, from the representative Jonas Gahr Støre.
ParlaMint-NO_2014-10-22.ana.ud143e53	Norway has an economy that gives us great opportunities. When we deal with the state budget, we can think of the contrast with other countries that do not have budgets that are growing and giving freedom of action but that rather have to implement deep cuts. The Labour Party will present its proposal for a budget in which we will prioritise investment for the benefit of the community: more teachers, treatment more in hospitals and more in public transport. In the 2015 draft budget, we recognise the characteristics of the budget we are in, for 2014: government elections, which have priority No. 1 to use the freedom of action for tax cuts. For the 2014 budget, it was that of the extra money found by the government in the oil fund and through some priorities, ten times more went to tax cuts than to the police, hospitals and teachers. In this budget, the richest five percent get half of the tax cuts. The one percent richest gets more in tax cuts than the whole increase in hospitals. This, I think, is an unhealthy and immature way of solving the problems of society, and it also contrasts with some of the cuts that are necessary to make this account go up. Now the government has turned the sick pay bill around, but still much remains, for example, cut off the unemployed and cut the transitional benefit for lone dependants. Nor is there any proposal to change the law of the permit in a situation where we see more lay-offs and redundancies, especially in the West. By getting less money and poorer arrangements, the unemployed must be more motivated to get work, according to the government. How can it be that those who have much are motivated by more, while those who have little are motivated by less?
ParlaMint-NO_2014-10-22.ana.ud143e64	This government has put forward a proposal for a government budget that is both adapted to the economic situation in Norway and that equips us, not least, for the future we are to enter into. One of the most important things we have to do in the years to come is to assume that we are faced with two important changes that are related. One is the shift from an oil economy where oil activity has helped to increase growth earlier every year, that in the future it will be a contributor, but not so much to growth, and the other is that it will do so in a green way and thus contribute to new economic growth. That is why this budget is marked by a commitment in the areas that ensure that we have more jobs in the future. We're getting jobs in new areas. We contribute with innovation, innovation, more infrastructure investment and better economic framework conditions for business, which means that the willingness to invest to realise new business in the years to come will be increased. It has been an important priority for us, while at the same time solving important problems today. Some of the important tasks that the draft budget we have presented solves are that it contributes to more patient treatment in health care, it contributes to a greater focus on drugs and mental health. And it helps in several areas to make things better for those who fall through the safety net, for example. that those who have read and write problems and are being deprived of their home PC will get the PC back. Many children and young people will then have better follow-up and better access to mastering school in the future. I believe that one of the most important things we do is to rust Norway for the future. Because we obviously do not – when we hear the intervention of the representative Gahr Støre – take into account in the political debate the great changes that this country is facing.
ParlaMint-NO_2014-10-22.ana.ud143e75	I did not feel that I received an answer to the question, but let me go further. The Prime Minister has written a book once that was about people and not billions. Now billions are going out of this budget, and it's being financed through the sum of millions. Today we could read about what I recognized from a budget I was responsible for earlier, namely that the small fissure layer between the Ministry of Culture and the Ministry of Health of the Cultural Spa, which has given much joy around the country, is being cut. It is reacted to by many municipalities because the municipalities have statutory duties, and when such cuts come, the money that the municipalities automatically have is not. The head of the Health Committee says that this must be directed against the municipalities. You can discuss whether the municipalities are the right address for the harm when the cuts come from the government. The different government cuts have been so far justified that they can lead to people working more, tax cuts being more important, or cuts helping to work more effectively. What reasons has the Prime Minister stressed in this case, which means a lot to older people?
ParlaMint-NO_2014-10-22.ana.ud143e86	We have stressed that we should raise the quality – and we do so in this budget – in particular. dementia care and other parts of care. It's about raising the quality through those who are there every day. It's about looking at the good examples, like we do. have looked at the Red Cross Hospital in Bergen, where those who work there use music every day – not those who come to visit once a month to show something, but those who are there every day to stimulate. It's through them we really have to raise the quality of care. It is those who work in the sector, who should have the means to stimulate the senses of those who are demented and who fall outside. It is a much more important measure of quality. Therefore, this government is placing more emphasis on quality measures in dementia care and other care for the elderly by investing in the sector’s employees.
ParlaMint-NO_2014-10-22.ana.ud143e91	Follow-up questions are given – first from Marianne Marthinsen.
ParlaMint-NO_2014-10-22.ana.ud143e94	As the representative Gahr Støre was concerned with his main question, this government's clear budget profile is: more to those who have the most. Growth-promoting tax relief is the rhetoric of the Right when it comes to the most redistributive tax we have. But the government's own national budget says: ‘There is no basis for budgeting with dynamic effects in 2015 of the proposals for tax changes.’ The national budget further states: «Since the overall functioning of the capital markets in Norway, the tax on wealth is likely to affect savings in the first place.» If we go to the country's leading researchers in the field, they say: ‘Most economists do not believe that the relief of property taxes gives rise to any particular growth. It is very difficult to quantify the effects of cutting taxes on wealth, and then there are some theoretical reasoning left.’ This is what Jarle Møen says at the Norwegian School of Commerce, NHH. Why does the Prime Minister think that a cut in the wealth tax is so important that it should be the government's sun-clearest single effort in the budget?
ParlaMint-NO_2014-10-22.ana.ud143e114	I believe that introducing and increasing a criminal tax on Norwegian ownership, as the previous government did, helps to curb the development of long-term investment in Norwegian enterprises. I record that in other countries that have removed the property tax, for example. in our neighbouring country Sweden, social democrats believe that there is an important reason why they have got better and more investment. I record that social democrats in Norway do not think it is. But I want to stress: the fact that we can't always figure out the same year that the budget comes – because dynamic effects don't mean that it doesn't have any effects – just means that we can't figure out less of the proceeds this year, while we might get long-term effects of it. I mean that when we, for example, reading the article that was written by a founder in the evening post a few days ago about why he believes Facebook could never be created in Norway, because of the wealth tax, it should be a crossroads for a country that is going into a major transformation process: we are going to create the new jobs, we are going to have a greener economy, we are going to help someone do it, and if start-ups get bigger problems, it is a problem for Future Norway.
