ParlaMint-NO_2014-02-13.ana.ud1374e65	The representative, Kjersti Toppe, will present a proposal for a representative.
ParlaMint-NO_2014-02-13.ana.ud1374e68	On behalf of Per Olaf Lundteigen, Ivar Odnes, Geir Pollestad and myself, I would like to make a representative proposal that the hospital structure and change of essential tasks in hospitals should be decided by the Stortinget in a national health and hospital plan.
ParlaMint-NO_2014-02-13.ana.ud1374e73	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2014-02-13.ana.ud1374e87	No one has asked for the floor.
ParlaMint-NO_2014-02-13.ana.ud1374e101	No one has asked for the floor.
ParlaMint-NO_2014-02-13.ana.ud1374e115	In parallel with the development of the provision of health to the population, we have a responsibility to ensure that the law is consistent with developments. There is a need to harmonise the new law on municipal health and care services, which has worked since 2012, and the Patient Injury Act. With previous changes to the law, it was agreed that the Patient Damage Act extended the scope to include damage caused to municipal health and care services, while in the past it applied only to specialist health services. It has been unclear whether it should also apply to institutions previously regulated by the Social Services Act, i.e.: homes for children, drug establishments and old-age homes. During the consultation, it became clear that the provision of services in institutions previously regulated by the Social Services Act has now had a greater impact on health services than in the past, and that it is therefore important that children’s homes, drug institutions and old-age homes are also covered by the Patient Injury Act in order to provide greater protection in the event of injury to patients. The Committee recommends that the Patient Injury Act provide for the King to decide in regulation which institutions under the municipal health and care services are to be covered by the Patient Injury Act. The Committee has also taken note of the consultation input from the Norwegian Association for the Development of Disabled, which indicates that the needs of children’s and relief homes are often complex and demanding, and that it is therefore difficult to distinguish between those who have provided health care with regard to the substitution rules. The Committee considers that the existing legislation on the inclusion of injury to patients caused by healthcare professionals or others acting on behalf of healthcare professionals should be maintained. However, the Committee will follow developments to see if there is a need for change. We recognise that it may be challenging to distinguish between health care and other help for residents living in these institutions, but it is a major step to extend responsibility to non-health professionals. We therefore need more experience to see if today’s legislation prevents us from following the intent of the Patient Damage Act. The Committee is also concerned that the regulations become as user-friendly as possible, with a clear language, and that the institutions covered by the Patient Injury Act are explicitly mentioned in the regulation. It makes it easier for the patient, relatives and everyone, and the Committee believes that it will strengthen legal certainty. A unanimous committee is behind the vote.
ParlaMint-NO_2014-02-13.ana.ud1374e134	Several have not asked for the floor on case No. 3rd@item: inlistbox
ParlaMint-NO_2014-02-13.ana.ud1374e148	At the request of the Health and Welfare Committee, the President will propose that speaking time be limited to 5 minutes to each group and 5 minutes to the Council of State. In addition, the President will propose that there be no repetitions after the individual speeches, and that those who have to sign up on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2014-02-13.ana.ud1374e155	In 2010, 450-billion-billion-dollar medicines were sold. kr over the Internet. Studies show that around 60 pst. Of these were false. According to the WHO, several international criminal gangs are betting on copied drugs rather than drugs. A lot of people go to medicine instead of going to the doctor. The manufacturer of Viagra states that there are more than 350,000 websites selling fake copies of this drug alone. It is an impossible task to check all mail items coming to Norway, but a conservative estimate says that more than ten million tablets are imported annually in private. Many thousands of such shipments cross the border every day, and those who are stopped are largely returned without notification. Returned goods are usually sent back to Norway again and again, until the goods cross the border. Now we're opening for the destruction of these drugs without a report. It facilitates the workload of both police and customs and allows more of the customs resources to be used for control over paperwork. No hearing body has delivered an opinion against the proposal. In recent years, such private imports of medicinal products have increased to such an extent that it is considered a threat to public health. To date, there have been no effective sources of seizure and destruction. The Ministry of Health and Welfare has finally promoted the bill we are now dealing with. The proposal is based on new knowledge on the import of medicinal products by people. A unanimous committee endorses the proposal for an amendment to this Act. Some patients do not accept a no from the doctor and even buy the medicines they think they need on the Internet. In the case of online purchases of medicinal products, the user risks that the product does not work, that it is unclean, that it causes undesirable side effects, and in addition, product insurance does not apply to that type of medicinal product. This amendment will result in more effective customs control and less bureaucracy, and in addition, it will be easier to prevent illegal pharmaceutical copies from being imported and also entering the legal supply chain. This case shows us that many Nordics want to trade medicines on the Internet. In addition, we see that foreign food supplements classified as medicines in Norway are purchased directly from countries where they are freely traded. The majority of the Committee therefore called for an assessment of the practice of which food supplements are classified as medicinal products. It is a point to reconcile today's practices, but there is not necessarily a liberalisation in this. That being said, there are examples of Norwegian practice being significantly stricter than in comparable countries, as at least a citizen for a new assessment. The majority of the Committee has found that the Internet has come to be, and, at the same time, that Internet commerce is growing. Persons wishing to purchase medicines via the Internet are referred to foreign websites of varying quality. In many cases, they commit a criminal act on the private imports of prescription drugs. We realize that Internet pharmacy will come anyway, also in Norway. The time is ripe for this now. The majority of the Committee therefore calls on the government to facilitate the establishment of net pharmacy in Norway, with, of course, the same requirements for the activities as other Norwegian pharmacies. If we don't open up for this now, I'm afraid we're being imposed this from the outside anyway. The timing is good, all the time eRecept is now introduced and we are in full swing with other good eHealth projects. Norwegian nettapothek becomes a modernisation that makes everyday life easier for many. We assume that users are given the same access to information as in today's pharmacy. Good patient information, safe delivery and high-level suppliers are a prerequisite for the operation of Norwegian nettapothek. It is then that through a case involving measures against counterfeit medicines, we give the government notice to open up the network and to assess the classification of food supplements. We have had confidence in Norwegian consumers, but with regard to the purchase of medicines online, we would like to facilitate their purchase via Norwegian and approved online pharmacy within the same secure framework as we have in Norwegian pharmacy.
ParlaMint-NO_2014-02-13.ana.ud1374e185	In many cases, the proper use of medicinal products, whether headaches or serious illness, can help us to make life easier. The citizens of Norway shall have access to safe and effective medicinal products at the lowest possible price and irrespective of their ability to pay. In this context, proper drug use can be a demanding concept, precisely because different actors have their own subjective understanding of what it means. Health professionals may have one opinion, the authorities another and the pharmaceutical industry a third. So in the middle of this jungle of advice and advertising and guidance is the recipient of the medicine – with its very own perception of what is right medicine for me. The import of proprietary medicinal products by individuals is strongly increasing. This mainly applies to slimming, potency, depression and cancer. At the same time, it is known that many of the medicines purchased on the Internet are not authorised and/or falsified, with the consequence that they either do not work or can cause serious damage. The Agency estimates that approx. 200,000 Norwegians have purchased one or more medicines on the Internet, and that 62 pst. of the medicinal products sold on the Internet are fake. Some of these medicines and medicines have found ingredients such as glue, wax, lead and boric acid. Therefore, private imports of medicinal products pose a significant risk to the health of individuals and to public health. Until now, the authorities have lacked effective legal frameworks for the seizure and destruction of illegal or falsified medicinal products, with the result that the package is often returned to consignors, precisely because one relies on a bureaucratic police report to seize and destroy. In many cases, therefore, the medicinal product will be attempted to be sent to the same recipient once again, or to a new recipient, due to the guarantee of delivery of the consignor. So you have the fake medicine in circulation until it finds a recipient who injects or swallows the medicine. There is no doubt that the proposed suspension, of which the Workers' Party is a part, from the Health and Care Committee to the Stortingen on measures and legal measures to protect the population against counterfeit medicines is both long-term and necessary in order to ensure the health of patients and users and public health. While we know that the trade of medicinal products over the Internet is strongly increasing, and not least extensive, Norwegian pharmacies are currently in practice not able to engage in online trafficking in prescription drugs. The Workers' Party, SV and the Centre therefore ask the Government to carefully address the consequences of the establishment of nettapothek in Norway, with the intention of addressing the problem of counterfeit medicines. Access to retinal pharmacies must take place under reassuring conditions, such as: safe shipping and patient information and safety are ensured. Online pharmacy must have the same authority requirements for its activities as other pharmacies. Furthermore, it is necessary for the government to assess the practice of which food supplements are classified as medicinal products, as some people, due to disease, depend on different food supplements that may not be classified as medicinal products. The Workers' Party supports the Committee's recommendation on the matter.
ParlaMint-NO_2014-02-13.ana.ud1374e206	First of all, I am very pleased that it is a unanimous recommendation from the committee. This makes this setting stronger when you want to enforce what results from the law. This is also a simplification, a simplification in keeping away from having to return to consignors of illegal medicines imported into Norway without any risk. This is very important. The government has absolutely shown its power of action in this matter. It took 120 days in government to get this decision in place, a decision that is absolutely necessary and that has been urgent. I think most of us in this room have been aware of the business that is going on, but there have been no tools to make an effective counter-attack to it. We know that many patients who are affected by disease, like serious illness, sit and Google online to find out active forms of treatment, but also to find out how to obtain medicines at a reduced price. It's usually also, on various websites, carefully described what the different drugs are for, without it at all being rooted in reality. These are people who are basically in a difficult situation, who want to try everything. They are then seduced and fooled — excuse me for saying, President, but it comes from the heart — simply pure cellar lines, exploiters who are out there, who earn money on people's health. We must put an end to these things, and therefore I am pleased with the proposal that is now being unanimously adopted in the Grand Duchy. In the case of food supplements, a majority is asked to consider which food supplements are classified as medicinal products. We know that there is an ongoing debate particularly related to stronger doses of vitamin D, etc., where Norway – perhaps – has a strict legal framework in relation to some other countries with which we tend to compare. Then it might be good to look at the possibility of harmonising legislation, so that we may at least be in line with the countries we normally compare with. It would also help to be reassuring for both patients and others who use food supplements in different contexts. In conclusion, I must say that I am extremely pleased that a majority in the Committee is now actually asking for it to be facilitated for the establishment of nettapotek in Norway. Relatively many years ago, at the turn of the millennium, the signed file rapporteur was the pharmacist. At that time, the Progress Party proposed that it should be opened up to nettapothek in Norway, precisely in the light of the developments we saw around us, that a regulatory framework should be established so that a nettapothek should have the same requirements as that of the regular pharmacy in Norway. This was then not adopted, this was dismayed, and very many were very skeptical. Online pharmacy exists in many countries, and we also see Norwegian citizens using these services. It is important to ensure that we can get a really good code of online pharmacy in Norway, so that we can get a security for what you can sell, and also make it easier for patients, but not least that we can also have increased competition, within safe and secure frameworks. So I'm very happy that the majority is now finally voting for such a proposal.
