ParlaMint-NO_2014-12-03.ana.ud105e26	The representative, Mr Andersen Eide, will put forward a proposal for a representative.
ParlaMint-NO_2014-12-03.ana.ud105e29	On behalf of the representatives Line Henriette Hemdal, Rasmus Hansson and myself, I am promoting a Document 8 proposal to ensure that illegally obtained products from sharks are not imported into Norway.
ParlaMint-NO_2014-12-03.ana.ud105e34	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2014-12-03.ana.ud105e46	On Monday the Stortingen received a message from the Prime Minister's office saying that Prime Minister Erna Solberg will meet for oral Question Time. The Prime Minister is present, and we are ready to begin the oral questioning process. We then start with the first main questions, from the representative Jonas Gahr Støre.
ParlaMint-NO_2014-12-03.ana.ud105e53	There is a need for new health services in the coming years, including: as regards the quality, quantity and upgrade of medical/technical equipment and ICT in hospitals. Before the election, the Workers' Party promised an investment pledge of 12 billion. DKK over four years – for the current ageing period – for hospitals. Right answered an hour, criticised our plan for being too ambitious and promised concretely greater billions growth to the hospitals with the Right than to the Workers' Party. Now we have the fasit. In several areas the government breaks clear promises they gave the voters a few weeks before the election. The hospital budget was initially weak, 1 billion. kr lower than promised, in order to be on track to achieve this investment objective. The government also proposes to include new tasks in the hospital framework, without financial compensation to hospitals. The so-called free choice of treatment, for example, which was promised to be added to the framework, is now to be taken within the framework. That makes the budget even tighter. The budget agreement involves additional efficiency cuts in hospitals of up to 100 million. kr. Now hospitals are making their budgets for 2015, based on these frameworks. I read online. Health South-East refers to the state budget as its growth rate is lower than that of government budgets in recent years, and as ‘less’ than is foreseen for 2015. At UN, they're planning to cut the activity by 170 million. kr in 2015. From other health regions, too, we hear that the budget line actually leads to cuts. The Prime Minister said before and after the elections that tax cuts do not take precedence over government budgets, but that is exactly what it has. How does the Prime Minister feel that hospitals should be able to live up to the expectations that the Right itself has created when they lack so much funding? Is the Prime Minister standing by the promise of at least 12 billion. Does the government intend to follow up these commitments in the future budgets to achieve this objective?
ParlaMint-NO_2014-12-03.ana.ud105e66	The budget that has now been adopted implies a growth of about 2 billion. in hospitals. Getting a growth of 2 billion. In the hospitals to become a budget cut, it is well done. This is one of the deciduous highest growth rates we've had. That means over 2 pst. treatment activity next year. Although hospitals will always have to change, change, work more effectively — do it — this will be a budget that will provide considerable room for increased patient treatment next year. We've had higher growth in patient treatment in the two years this government has been sitting, than it had in the last eight, red-green, years. So it's true that we haven't quite reached the goal we set from the right-hand side of the election. Whether we reach that goal, we'll first be able to evaluate at the end of this period. We want a boost both for better quality and for more patient care. A description from the Workers' Party that a budget that gives higher growth in patient treatment than what happened under the Red-Green Government is a cut budget, gets a little far away from reality.
ParlaMint-NO_2014-12-03.ana.ud105e79	I didn't call it a cut budget. It's going to be 2 billion. kr more, but the government promised 3 billion. kr. The result in hospitals is cut, including: in investment, ICT and after-sales. So it's like you put into the hospital framework a series of tasks that shouldn't be within the framework, but in addition. I'm talking about 150 million. SEK for free treatment choice, 110 million. kr for pelvic flakes treatment, 20 mill. kr to compensate for the removal of aid for Revmatology medicines and 30 million. kr to the ME centre and the cross-section of boys. In addition, the purchase of 60 million laboratory services is cut in funds. kr and the 100 million additional efficiency cut in the budget agreement. kr. Therefore, I would like to ask the Prime Minister in the follow-up to it: if these activities are maintained, the total increase of 2 billion would have to be taken off. kr in the budget, without financial compensation? Is it not something that is at the expense of the patient treatment we are looking for, and all the other investments the hospitals are facing?
ParlaMint-NO_2014-12-03.ana.ud105e84	People with femoral cords are patients. People with ME are absolutely patients, and we're prioritizing them. It's not that because we're organisationally pointing out some groups that are going to have a better system, there are patients that you're not going to treat, I assume that the Workers' Party within its budgets is going to treat exactly the same groups. I think that the question becomes a little special, when you later think that some groups are not part of the health care system and are going to be treated. When we say there's a growth of over 2 pst. In the treatment of patients, of course, it means that some of the groups who have received too little treatment have not received a good enough focus within the 2 pst. which is to be dealt with by this budget. That we then, organisationally, clearly, say that we should give priority to some groups, I think, is right, because politicians have to take responsibility for the fact that some of the weakest groups in health care are being given priority.
ParlaMint-NO_2014-12-03.ana.ud105e89	There will be follow-up questions – first Torgeir Micaelsen.
ParlaMint-NO_2014-12-03.ana.ud105e92	The point, of course, is not that patients are not patients. The point is that the femoral rights patients we're talking about here had a separate post separately funded on the outside of the state budget. Now Erna Solberg, Bent Höie and the rest of the government have put it into the state budget of the hospitals, and then she calls it "growth" in patient treatment. This list of activity growth, that is, how many more patients we're going to treat next year, is clearly unrealistic. We have asked the Ministry of Finance, and if you take away some of the proposals that are obviously not new things, the patient growth is much lower. We now get reports of, as Jonas Gahr Støre was about, that a number of places are now planned for cuts, not increases, based on the weak hospital budget the Prime Minister has presented. I would like to ask – again: can the Prime Minister guarantee, not that it will not be more efficient, but that her budget will lead to better patient treatment in many places? Or are we facing a situation with new cuts and deficits in the hospitals with her budget?
ParlaMint-NO_2014-12-03.ana.ud105e99	Next year we will have better patient treatment for many important patient groups. Some of those who have not been properly prioritised are prioritised in this budget by making some of the weakest groups visible. This applies, for example: the needs for the treatment of ME patients. We're making package runs within cancer, which we suggested in the right-hand side of the opposition. We are now carrying out a lot of work internally in all health businesses during this year, which is realized next year, and which means that cancer patients will be better and more systematically treated in Norway. Yeah, it's a budget that means we're treating more patients next year, a budget that's at the top of what's been the increase in health budgets. If we see the two budgetary years together as this government has had, we have a growth in health budgets and treatment that is significant over the red-green period.
