ParlaMint-NO_2014-10-01.ana.ud1061e30	If no one has anything to object to, I will comply with the request.
ParlaMint-NO_2014-10-01.ana.ud1061e40	The President-in-Office of the Council will ask the secretary of the last big man, Jette F. Christensen, to act temporarily as a secretary. A roll call was then made. The following representatives had fallen due: Kjell Ingolf Ropstad, Anniken Huitfeldt, Anette Trettebergstien, Rigmor Aasrud, Marianne Marthinen, Hans Olav Syversen, Christian Tynning Bjørnø, Øyvind Korsberg, Trond Giske, Svend Roald Hansen and Ingerd Schou. The following representative was absent: Irene Johansen. From the other representatives present the application for leave [[see below]]
ParlaMint-NO_2014-10-01.ana.ud1061e54	The President-in-Office of the Council proposes that the last Rules of Procedure adopted on 12 November 2013 be put into effect. – It shall be deemed to have been adopted. A number of permit applications are available: – from the representative Jens Stoltenberg, who resigned from the Grand Duchy from the office of Secretary-General of the United Nations from 16 June to 30 September, applications for leave from 1 October to the end of the session to take up the post of representative of NATO – from representatives Frank Bakke-Jensen, Fredric Holen Bjørdal, Rigmor Andersen Eide, Ingrid Heggø, Bente Stein Mathisen and Ib Thomsen on leave from 1 October to 17 October, all to attend the 69th General Assembly of the United Nations in New York – from the representative Bengt Morten Wenstøb on leave from 1 October to 7 November to take part in the Chief Executive Course of the United Nations High School of Defence – from representatives Lise Christoffersen, Tore Hagebakken, Frank J. Jenssen and Kristin Örmen Johnsen on leave from 1 October to 7 October to 7 October in order to participate in the plenary session of the Parliament of the European Parliament from 1 October to 1 October to 7 October, and the plenary of the European Parliament from 1 October to 1 October, and the European Parliament from 1s from 1 October to 1s of the European Parliament from 1s from 1s from 1s from 1 October to the European Parliament from 1s from 1s from 1 October to the European Parliament from 1 October to 30 until 1 October to 30 until 1 October, and the European Parliament from 1 October to 30 until 30 until 30 until 30 until 30 until 30 September. Heavy on parental leave from 1 October to 21 December – by Jørund Rytman on care leave from 1 October to 14 October These applications are proposed for immediate consideration and approval. – It shall be deemed to have been adopted. From the first deputy representative of the Buskerud County, Laila Gustavsen, there is an application for a waiver to meet in Stortinget under the authority of the representative Lise Christoffersen, for reasons of well-being. On a proposal from the President, it was decided unanimously: 1st@item: inlistbox The application shall be examined immediately and accepted. 2nd@item: inlistbox The following alternates shall be convened to meet during the period of leave: for the Province of East-Agder: Lene Langemyr 1 October For the Province of Akershus: Are Health 1 and 2 October and Thore Vestby and Anette C. Elseth both 1–16. October For Buskerud County: Niclas Tokerud, Christopher Wand and Tone Heimdal Brataas, all 1st and 2nd October, and Lavrans Kierulf 1st October For Finnmark County: Laila Davidsen 1st–16th. October For More and Romesdal counties: Tove-Lise Torve and Steinar Reiten, both 1–16. October For Nordland County: Dagfinn Henrik Olsen 1st and 2nd October For Uppland County: Kjersti Stenseng 1st and 2nd October For Oslo: Truls Wickholm 1st October–30th. September 2015 For Sogn and Fjordane counties: Tor Bremer 1–16. October For Sør-Trøndelag County: Torhild Aarbergsbotten 1st and 2nd October and Audun Otterstad 1st October–18th. ==References====External links== November
ParlaMint-NO_2014-10-01.ana.ud1061e230	Lene Langemyr, Are Health, Thore Vestby, Anette C. Elseth, Niclas Tokerud, Christopher Wand, Tone Heimdal Brataas, Lavrans Kierulf, Laila Davidsen, Tove-Lise Torve, Steinar Reiten, Dagfinn Henrik Olsen, Kjersti Stenseng, Truls Wickholm, Tor Bremer, Torhild Aarbergsbotten, Audun Otterstad and Tone Damsleth are present and will take the seat.
ParlaMint-NO_2014-10-01.ana.ud1061e236	The Presidents and Secretaries shall then be elected. The elections will be held in line with the Rules of Procedure of the Grand Duchy of Luxembourg, Section 6, second and third paragraphs. The President-in-Office will then propose that we vote in the usual way, without the use of ballots. The President-in-Office of the Council is asking for proposals from the President of Stortinget.
ParlaMint-NO_2014-10-01.ana.ud1061e246	I'm proposing the Olemic Thommess.
ParlaMint-NO_2014-10-01.ana.ud1061e253	Olemic Thommessen has been proposed to the President of Stortinget. Other proposals are not available.
ParlaMint-NO_2014-10-01.ana.ud1061e261	The President then asks for proposals from the First Vice President of Storting.
ParlaMint-NO_2014-10-01.ana.ud1061e266	I have the honour to propose Marit Nybakk.
ParlaMint-NO_2014-10-01.ana.ud1061e273	Marit Nybakk has been proposed to the First Vice President of Storting. Other proposals are not available.
ParlaMint-NO_2014-10-01.ana.ud1061e284	The President then asks for proposals on the second vice-president of Stortinget.
ParlaMint-NO_2014-10-01.ana.ud1061e290	I have the pleasure of proposing Kenneth Svendsen.
ParlaMint-NO_2014-10-01.ana.ud1061e299	Kenneth Svendsen has been proposed to the second vice president of Stortinget. Other proposals are not available.
ParlaMint-NO_2014-10-01.ana.ud1061e307	The President then asks for proposals from the Third Vice-President of the United Kingdom.
ParlaMint-NO_2014-10-01.ana.ud1061e313	I have the honour of proposing Svein Roald Hansen.
ParlaMint-NO_2014-10-01.ana.ud1061e321	Mr. Svein Roald Hansen has been proposed to the Third Vice President of Storting. Other proposals are not available.
ParlaMint-NO_2014-10-01.ana.ud1061e329	The President then asks for proposals from the Fourth Vice-President of the United Kingdom.
ParlaMint-NO_2014-10-01.ana.ud1061e335	I have the pleasure of proposing Injerd Schou.
ParlaMint-NO_2014-10-01.ana.ud1061e343	The Ingerd Schou has been proposed to the Fourth Vice-President of the Storting. Other proposals are not available.
ParlaMint-NO_2014-10-01.ana.ud1061e352	The President then asks for proposals from the Fifth Vice-President of Stortinget.
ParlaMint-NO_2014-10-01.ana.ud1061e358	I am delighted to propose Line Henriette Heimdal.
ParlaMint-NO_2014-10-01.ana.ud1061e366	Line Henriette Hemdal has been proposed to the Fifth Vice President of the Storting. Other proposals are not available.
ParlaMint-NO_2014-10-01.ana.ud1061e374	The Secretary and the Secretary of State of the Grand Duchy shall then be chosen. The President is asking for a proposal from the Secretary.
ParlaMint-NO_2014-10-01.ana.ud1061e380	I have the honour to propose Jette F. Christensen.
ParlaMint-NO_2014-10-01.ana.ud1061e388	Jette F. Christensen has been proposed to the Secretary of the Storting. Other proposals are not available.
ParlaMint-NO_2014-10-01.ana.ud1061e397	The President then asks for a proposal from the Secretary of State.
ParlaMint-NO_2014-10-01.ana.ud1061e402	I'm glad to propose Sylvi Graham.
ParlaMint-NO_2014-10-01.ana.ud1061e410	Sylvi Graham has been proposed as Secretary of State. Other proposals are not available.
