Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-PL-en_2018-01-19-senat-54-3	ParlaMint-PL_2018-01-19-senat-54-3.u1	Report of the session of the Senat of the Republic of Poland, Term 9, Session 54, Day 3 (2018-01-19)	2018-01-19	Upper house	9. kadencja Senatu	54. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	StanisławKarczewski	Karczewski, Stanisław	M	1955	
ParlaMint-PL-en_2018-01-19-senat-54-3	ParlaMint-PL_2018-01-19-senat-54-3.u2	Report of the session of the Senat of the Republic of Poland, Term 9, Session 54, Day 3 (2018-01-19)	2018-01-19	Upper house	9. kadencja Senatu	54. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	TadeuszRomańczuk	Romańczuk, Tadeusz	M	1957	
ParlaMint-PL-en_2018-01-19-senat-54-3	ParlaMint-PL_2018-01-19-senat-54-3.u3	Report of the session of the Senat of the Republic of Poland, Term 9, Session 54, Day 3 (2018-01-19)	2018-01-19	Upper house	9. kadencja Senatu	54. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	StanisławKarczewski	Karczewski, Stanisław	M	1955	
ParlaMint-PL-en_2018-01-19-senat-54-3	ParlaMint-PL_2018-01-19-senat-54-3.u4	Report of the session of the Senat of the Republic of Poland, Term 9, Session 54, Day 3 (2018-01-19)	2018-01-19	Upper house	9. kadencja Senatu	54. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	GrzegorzPeczkis	Peczkis, Grzegorz	M	1976	
ParlaMint-PL-en_2018-01-19-senat-54-3	ParlaMint-PL_2018-01-19-senat-54-3.u5	Report of the session of the Senat of the Republic of Poland, Term 9, Session 54, Day 3 (2018-01-19)	2018-01-19	Upper house	9. kadencja Senatu	54. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	StanisławKarczewski	Karczewski, Stanisław	M	1955	
ParlaMint-PL-en_2018-01-19-senat-54-3	ParlaMint-PL_2018-01-19-senat-54-3.u6	Report of the session of the Senat of the Republic of Poland, Term 9, Session 54, Day 3 (2018-01-19)	2018-01-19	Upper house	9. kadencja Senatu	54. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	RafałAmbrozik	Ambrozik, Rafał	M	1979	
ParlaMint-PL-en_2018-01-19-senat-54-3	ParlaMint-PL_2018-01-19-senat-54-3.u7	Report of the session of the Senat of the Republic of Poland, Term 9, Session 54, Day 3 (2018-01-19)	2018-01-19	Upper house	9. kadencja Senatu	54. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	StanisławKarczewski	Karczewski, Stanisław	M	1955	
ParlaMint-PL-en_2018-01-19-senat-54-3	ParlaMint-PL_2018-01-19-senat-54-3.u8	Report of the session of the Senat of the Republic of Poland, Term 9, Session 54, Day 3 (2018-01-19)	2018-01-19	Upper house	9. kadencja Senatu	54. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	MarekPęk	Pęk, Marek	M	1975	
ParlaMint-PL-en_2018-01-19-senat-54-3	ParlaMint-PL_2018-01-19-senat-54-3.u9	Report of the session of the Senat of the Republic of Poland, Term 9, Session 54, Day 3 (2018-01-19)	2018-01-19	Upper house	9. kadencja Senatu	54. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	StanisławKarczewski	Karczewski, Stanisław	M	1955	
ParlaMint-PL-en_2018-01-19-senat-54-3	ParlaMint-PL_2018-01-19-senat-54-3.u10	Report of the session of the Senat of the Republic of Poland, Term 9, Session 54, Day 3 (2018-01-19)	2018-01-19	Upper house	9. kadencja Senatu	54. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	-	-	-	-	GrażynaSztark	Sztark, Grażyna	F	1954	
ParlaMint-PL-en_2018-01-19-senat-54-3	ParlaMint-PL_2018-01-19-senat-54-3.u11	Report of the session of the Senat of the Republic of Poland, Term 9, Session 54, Day 3 (2018-01-19)	2018-01-19	Upper house	9. kadencja Senatu	54. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	StanisławKarczewski	Karczewski, Stanisław	M	1955	
