ParlaMint-GB_2021-12-10-commons.u1	I beg to move, That the House sit in private Question put forthwith (Standing Order No. 163).
ParlaMint-GB_2021-12-10-commons.u2	I beg to move, That the Bill be now read a Second time Before I begin, I want to thank briefly a number of people who have advised me and helped bring this Bill forward today. Among others, particular thanks go to Professor Mike Barnes and Professor David Nutt; to Rudi Fortson; to the parents of children with treatment-resistant epilepsy who have talked to me—Hannah Deacon, Matt Hughes and Emma Appleby; to Peter Carroll and the great campaigners at End Our Pain; to the brilliant Adam in the Public Bill Office here in Parliament; and to Alex Worrell in my office in Parliament We have a problem that is acknowledged in this House—across this House, I think—and certainly outside this House, and I know that Ministers also appreciate the problem and want to try to find a way around it. That problem is that medical cannabis—cannabis-based medical products—is a very helpful and effective treatment for a number of medical conditions, but significant numbers of people who would benefit from being prescribed medical cannabis on the NHS are not able to get the prescriptions that they need When I was drawn in the private Members’ Bill ballot, I wanted to try to find a legislative way forward to address this problem. I had hoped to agree an approach with the Government. I had a number of conversations with Ministers. I do believe that Ministers want to find a way forward on this but, unfortunately, that has not been possible, which is why I have put forward the proposals that are before us today. As I say, I do not think there is a lack of will from the Government, but that reflects an inflexibility in the system, which is at the root of the problem. The Bill’s modest proposals try to find a way to help overcome the barriers. It is not a magic bullet and it will not resolve all the problems, but in due course it might help some patients to get the medicine that they need.
ParlaMint-GB_2021-12-10-commons.u3	I am very supportive of the hon. Gentleman’s Bill. My constituent Sophia Gibson—she is a young girl—and her mummy and daddy Danielle and Darren got medicinal cannabis. Some hon. Members will know the story and about how we went to the previous Minister. I can vouch for medicinal cannabis making the difference for that young girl by stopping her epilepsy. She is better today because of access to medicinal cannabis.
ParlaMint-GB_2021-12-10-commons.u4	I thank the hon. Gentleman for his intervention. That is one example of a significant number where lives have been transformed by this medicine. There is frustration that people cannot get it as they should When the Government passed the Misuse of Drugs (Amendments) (Cannabis and Licence Fees) (England, Wales and Scotland) Regulations 2018, which moved cannabis from schedule 1 to schedule 2, it became legal for clinicians on the specialist register to prescribe cannabis-based medical products. That legalisation came in the wake of a high-profile campaign by patients who were unable to get the medicine that they needed. The highest-profile cases—many will remember Alfie Dingley and Billy Caldwell—were of children with severe treatment-resistant epilepsy. Medical cannabis helped their conditions remarkably, as the hon. Gentleman just outlined, but generally they had to get it from abroad—usually from the Netherlands—or on the illegal market The 2018 regulations, which legalised cannabis-based medical products, offered a hopeful way forward for those children and others. Hon. Members and the public would be forgiven for thinking that the problem was resolved, but, three years later, only three prescriptions for medical cannabis have been obtained through the NHS—three prescriptions in three years. Cannabis-based medical products are an appropriate treatment for a larger number of people and they have been able to access private prescriptions, but often they pay a fortune. I am told that there are about 10,000 private prescriptions for cannabis-based medicines in the UK for various conditions, including chronic pain, Tourette’s, anxiety and epilepsy, but virtually no one can access them on our national health service.
ParlaMint-GB_2021-12-10-commons.u5	One public perception that is wrong is about how medicinal cannabis is produced. It is produced in secure conditions by highly trained people, creating good-quality jobs in secure premises. It is not done in a back bedroom somewhere. Should we not be bringing those industries forward to give relief to thousands of people across the UK through the NHS?
ParlaMint-GB_2021-12-10-commons.u6	My hon. Friend makes a really important point. It is about not just medicines and health, but a life sciences opportunity that we ought to take up. The problem is that, if people cannot get the product, which, as he says, is well manufactured and safe, easily on prescription, the risk is that they will go to the illicit market and get products that perhaps should not be trusted as much as a prescribed product Earlier this week, I spoke to a mother who has a daughter with treatment-resistant epilepsy and she pays £2,000 a month for her daughter’s medicine on a private prescription. One of my constituents pays nearly £700 a month for his grandson’s medicine. Epilepsy prescriptions can cost £1,000 to £1,500 a month—that is not unusual. Families of patients in the most urgent need often have to resort to support from crowdfunding or individual donors to keep their medicine going. It is just not right that patients have to resort to that for a prescribed medicine because they cannot get it on the NHS. As I mentioned, many others are forced to get their medicine through illicit means Much of the campaigning on this issue is still focused on children with treatment-resistant epilepsy; they have been the highest-profile cohort of patients and I suspect many of the contributions to the debate will focus on that cohort. However, I want to emphasise that they are not the only patients who would benefit from access to cannabis-based medicines. They are probably the cohort most acutely affected. For many of them, it is an urgent and high-stakes issue—sometimes, it can be literally the difference between life and death—so it is right that we focus some of our discussion on them. I will offer a couple of examples to illustrate the importance and the power of this medicine to that group and others. Those in that cohort are not the only ones who can benefit. In 2018, the then chief medical officer, Dame Sally Davies, said that there is “conclusive evidence of the therapeutic benefit of cannabis based medicinal products for certain medical conditions” That is why she recommended that they should be moved out of schedule 1.
ParlaMint-GB_2021-12-10-commons.u7	I congratulate the hon. Gentleman on bringing forward the Bill. Although it applies to England only, many of us would like to see access to medical cannabis more widely across the whole UK, especially when we have heard testimonies from constituents and their children who would benefit. As the campaign continues, does he agree that the devolved Administrations and the Westminster Government should work together on this wherever possible and, if appropriate, ensure that powers are devolved so that the devolved assemblies are able to go further and faster if they want to?
ParlaMint-GB_2021-12-10-commons.u8	The hon. Gentleman makes a really important point, and I agree. I do not agree with everything that the devolved Administration in Scotland do, but they do have an approach to these sorts of issues that is more focused on harm reduction and evidence than perhaps we have in England Cannabis-based medicines are already approved as a treatment for a small number of medical conditions. Currently, the National Institute for Health and Care Excellence guidelines recommend four licensed cannabis-based medical products that can be prescribed in the UK. I will talk about the terminology in a moment, but there are two THC-based medicines—dronabinol, which is licensed for appetite loss in AIDS patients and as an antiemetic in chemotherapy, and nabilone, which is a synthetic cannabinoid medicine licensed for nausea in individuals receiving chemotherapy. There is also Sativex, a combined THC and CBD medicine, which is licensed for muscle spasticity in multiple sclerosis patients, and Epidiolex, a CBD-based medicine—it is 99.8% CBD with less than 0.1% THC—for the two rare childhood epilepsies, Lennox-Gastaut syndrome and Dravet syndrome I am referring to THC and CBD; it might be helpful if I say a few words about terminology, and about the nature of cannabis, ahead of my next remarks about the proposals in the Bill. The cannabis plant is made up of something like 147 cannabinoids. They are the compounds that act on the cannabinoid system in the human body. There are also over 100 terpenes, which are aromatic compounds; flavonoids, which are pigments; and four other minor sets of compounds, so it is quite a complex botanical plant The complexity of the plant and its compounds is part of the issue that I will try to explain shortly, but the two main types of compounds that I am referring to are tetrahydrocannabinol, or THC, which is the psychoactive ingredient—very broadly and slightly simplistically, that is the ingredient that produces the high that recreational users experience, but it is also a painkiller—and cannabidiol, or CBD. Broadly, CBD has a more sedative effect—a kind of chill-out effect CBD on its own is legal in many countries, including this one; it is the THC content that makes cannabis illegal for recreational use in many countries. Different strains of cannabis plant have different balances of THC and CBD, and cannabis medicines do too. For example, Epidiolex, which is one of the most used medicines for severe epilepsy, is overwhelmingly CBD and has a very small amount of THC. Sativex has a higher proportion of THC. That is important because different treatments and balances work for different patients, and sometimes people have to adjust and tweak their treatment to find out what is right for them. If I refer to full-spectrum cannabis extract, that is a cannabis compound concentrate that preserves the full cannabinoid and terpene contents of the raw cannabis plant, including CBD, THC and other compounds. That is the plant, which is the basis of the medicine I want to provide three case studies of the real-life effect of cannabis-based medicines. Probably the most famous case is Alfie Dingley and his mum Hannah Deacon, whose campaign for access to medical cannabis helped to change the law in 2018. Alfie was perfectly healthy until he was four months old, when he became constantly sick and began having seizures. The seizures continued for months and he lost every skill he had developed. He was diagnosed with auto-immune epilepsy. The amount of time between Alfie’s clusters of seizures shortened as he got older. By the time he was five, they were happening every week. Each time, he needed up to five doses of intravenous steroids, which had a really negative effect on his personality and behaviour. Eventually, Alfie was diagnosed with a rare epilepsy syndrome which affects only nine known boys worldwide. There are slightly more girls with the syndrome, but only nine known boys in the world Hannah, Alfie’s mum, was desperate for a solution. She researched anything that might help and came across medical cannabis, so she learnt about the human cannabinoid system and cannabis medicines. At the time, Alfie’s doctors were telling her that regular steroids would eventually kill him, so to Hannah, cannabis medicines seemed like his only chance. She began the campaign for Alfie to have a prescription of cannabis medicines in the UK, where they were illegal at the time Once the family had raised enough money, they moved, in September 2017, to the Netherlands, where they could get medical cannabis legally. There they gave Alfie an oil prepared from Bedrolite, which is made by the Dutch company Bedrocan. That is a standardised strain of cannabis plant, with full extract CBD oil. Over the next three months, Alfie’s seizures became less frequent. They added THC oil called Bedica, also made by Bedrocan, under the guidance of their paediatric neurologist. Alfie went without seizures for 40 days. When he did have the clusters, they were less intense and were controlled much more easily. His cognitive development improved greatly Living abroad, however, was really hard for the family. After five months they ran out of money, so they had to come back home to the UK. In the UK, they had to fight for a prescription that contained both CBD and THC. Eventually, as a result of the campaign led by Hannah and other families, and under immense pressure from those desperate families, the Government agreed to change the law to make medical cannabis legal. Alfie finally received an NHS prescription for the products he had found so beneficial in the Netherlands in November 2018. It is still one of only three prescriptions in the UK, and his family had to go through an unusual process and special approvals to get that medicine. Three years later, Hannah has recently reported that Alfie has not had a seizure in over 500 days. Before his medical cannabis treatment, he was having 150 fits a week. Although cannabis medicines are not a silver bullet for everyone, they have been absolutely life-transforming for Alfie, Hannah and the rest of the family. Alfie’s is a particularly unusual syndrome, but the majority of children in similar situations have not been able to get access to medicines despite their now being legal.
ParlaMint-GB_2021-12-10-commons.u9	My hon. Friend is making a fabulous speech and I am sure people will study it after the event. He mentioned Mike Barnes. Does he agree with me and Mike Barnes that the children who are outside the syndromes he is so expertly describing have nothing to lose by trying to see if cannabis-based products work for them? Is it not a grave injustice that those children are denied that opportunity?
ParlaMint-GB_2021-12-10-commons.u10	My hon. Friend makes a really important point. They have nothing to lose. The problem is that we have to balance benefit and risk and, for this cohort of children and lots of medical cannabis patients across the country, the benefit is far greater than the risk. That is the frustration, and the problem with access to medicine is that lots of patients with different conditions would benefit massively and, if we are being honest, I think we all know that the risk is pretty low I want to contrast Alfie’s case with the story of another mum and her son who does not have a prescription for his epilepsy. This young man is now 18; he started having seizures in 2016 when he was 12—does that add up? I thought I had got my dates wrong, but that is correct. In 2017, after trying treatment on seven different anti-epileptic drugs and 16 different combinations, he was diagnosed with drug-resistant epilepsy. A cocktail of pharmaceuticals left him with impaired cognition, memory loss and an inability to process new information. He was still having regular seizures and was often in and out of hospital, requiring emergency treatment for status epilepticus: a seizure or a series of seizures that last for more than five minutes and can be fatal In 2018, desperately looking for anything that might help, the boy’s mum took him to the Netherlands, where a hospital agreed to treat him with Bedrolite. The doctors there eventually concluded that conventional anti-epileptic drugs were making his seizures worse and weaned him off them gradually, resulting in his cognition and memory improving. When they tried to wean him off the cannabis-based medicine, Bedrolite, his symptoms rapidly deteriorated and he almost died. He was put back on an increased amount of Bedrolite in combination with two newer anti-epileptics, and he has now been completely seizure-free for more than a year That young man’s health depends on Bedrolite, which is a fraction of the cost of the emergency hospital treatment that he used to require. His Dutch neurologist said that adults with uncontrolled epilepsy as severe as his would likely have to live in an institution for their whole lives. However, the young man writes: “I’m now able to think about my future for the first time in years and want to go to art school. We are desperate to come home but I’m really afraid of the seizures starting again if I’m not allowed a prescription for Bedrolite. My mum and I are so scared of more seizures again and that I won’t be allowed to carrying on living a healthy life like I can now. ” As a result of the barriers to access in the UK, the mother and son are effectively living in medical cannabis exile in the Netherlands. That is not right The third example is not a child with epilepsy. Lucy Stafford has a condition called Ehlers-Danlos syndrome. She had been almost permanently in hospital, having suffered from joint dislocations after her first surgery when she was 10 and another 19 operations throughout her teenage years. Her condition deteriorated. She became bed-bound at 17. She said: “I was kept alive by intravenous feeding tubes and taking fentanyl to ease the debilitating pain of dislocating multiple joints a day” As many people know, fentanyl is an opioid that has been responsible for a very large number of overdose deaths in the USA. We do not really want people to take it if there is an alternative. The alternative to lots of opioid treatments is, in my view, medical cannabis Lucy faced extreme pain from a permanently dislocated jaw, and when she was in hospital, she faced potential death from sepsis. Lucy’s pain specialist suggested medical cannabis as a last resort. The prescription was turned down for NHS funding, with a letter saying that cannabis was unlikely to work and that there was a one in four chance that she would end up with psychosis, so Lucy and her mother went to Amsterdam and sourced medical cannabis. Eventually, her jaw began to unlock. She was able to reduce her opiates and other pharmaceutical medications. She has since become able to walk unaided. She is now back in the UK and she started a degree in neuroscience at the University of Sussex this September Lucy’s private prescription for cannabis in the UK initially cost £1,450 a month. She is now enrolled in a medical cannabis trial called Project Twenty21 run by an organisation called Drug Science. I draw attention to my entry in the Register of Members’ Financial Interests: I am an unpaid trustee of Drug Science, which does fantastic work in its research into drugs. Project Twenty21 facilitates access to medical cannabis effectively at cost price, once patients have been seen and diagnosed by specialists, so Lucy’s medicine now costs her about £450 a month. As an example of the potential saving to the NHS, when Lucy was on a feeding tube her medication alone cost more than £250 a day, and the hospital room cost very much more. Overall, the estimated cost to the NHS is probably more than £100,000 a year. Despite the huge savings, her local hospital trust refuses to allow her physician to prescribe medical cannabis for her on the grounds of “lack of evidence of efficacy” That is the key problem in the UK: the difficulty of getting through the barriers in the system. Lucy’s life has clearly been absolutely transformed by medical cannabis, but because of the systemic barriers, she has not been able to access it through the NHS. That is not logical in any way. It would make much more sense for the hospital trust to support her We know that cannabis-based medical products work for many patients. We know that they are legal. We know that they are effective. They are being privately prescribed by some specialists in the UK, but patients cannot get them on the NHS, so ordinary families are sometimes paying a fortune for their treatment. Some are having to go to Holland to get their medication One thing really demonstrates the absurdity of the situation. Because of import-export problems since Brexit, it has now become even more difficult to import Bedrocan products, which are the medicines produced in Holland, so the Government have done a deal that has facilitated the imports and licensed production facilities in the UK. Virtually nobody can get medical cannabis on prescription on the NHS, but the Government accept its efficacy enough to have done a deal with the Dutch Government to ensure a supply of Bedrocan for UK families and have even gone to lengths to start having it produced in the UK. It does not make any sense at all—it cannot be right Why are we in a situation where patients cannot get these NHS prescriptions? The general consensus is that it stems from a nervousness regarding the evidence and the guidance about these medicines, and a consequent reluctance of many clinicians to prescribe on the NHS. There are a very limited number who will prescribe privately: in the case of childhood epilepsy, there have been only three specialists willing to prescribe. One is now retired, and the others are not able to take on any more patients, so there is another blockage. There is also a reluctance among clinical commissioning groups and trusts to fund prescriptions; Lucy’s hospital trust is a good example At the moment, only a small number of cannabis-based medicines are licensed by the Medicines and Healthcare Products Regulatory Agency for the small number of specific conditions that I outlined earlier, so the cannabis medicines that are generally prescribed in the UK are unlicensed and prescribed as “specials”. Clinicians, even specialists, are sometimes reluctant to prescribe those unlicensed products. In the narrow pool of those who can prescribe, there is often a reluctance to prescribe unlicensed cannabis-based medicines, owing to a lack of knowledge and training; confusion over conflicting guidance from Government bodies such as the National Institute for Health and Care Excellence, and from the NHS and professional bodies such as the British Paediatric Neurology Association; a lack of confidence in the evidence base because of a lack of randomised controlled data; and ultimately a fear of repercussions because of the personal liability when prescribing an unlicensed medicine Currently, only specialist doctors on the General Medical Council specialist register are allowed to initiate a prescription, although GPs can carry it on under the guidance of a specialist. The specialists who do want to prescribe usually face barriers from their NHS trust or CCG, which normally declines to fund the prescriptions. If an NHS prescription is to be made, it has to go for approval to what is called a higher authority, usually a CCG or trust, which is usually reluctant to fund because of the problem relating to evidence and contradictory guidance. I should add that that process applies to no medicines other than medical cannabis For some time, campaigners have pressed the NHS and the Department of Health and Social Care to explain the process and the pathway that can deliver an NHS prescription in cases in which an NHS specialist wants to prescribe cannabis-based medical products. Perhaps the Minister could enlighten us, because although the Government committed themselves to doing that in 2019, it has not happened. The only solution suggested so far is an individual funding request, but we know that families who have tried to take that route have been rejected and told that the patient has not demonstrated clinical exceptionality. It is very difficult to obtain funds in that way. If the impact that medical cannabis has on that cohort of epileptic children with extremely rare and severe diseases is not deemed clinically exceptional, I would ask what is There are two ways in which we need to make progress. First, we need clinicians to be confident in the specials that they are able to prescribe, and we need NHS bodies to be confident enough to fund them. Secondly, we need more safe, effective cannabis-based medicines to be licensed. That is a key issue, because although there is a wide body of evidence for the efficacy and safety of cannabis medicines, it is largely patient-reported or observational and evaluative. The UK’s medical regulatory bodies generally only license medicines on the basis of randomised control trial data. I do not think anyone would deny that double-blind placebo randomised control trial data are the gold standard for medical trials aiming to demonstrate the safety and efficacy of medicines, but they are not the only way of demonstrating those qualities, and they are very difficult to carry out on whole-extract plant cannabis products Cannabis-based medicines are not made up of a single compound, and patients often use bespoke mixtures to treat their conditions most effectively. Let me quote Professor Mike Barnes, as my hon. Friend the Member for Middlesbrough (Andy McDonald) did earlier. He has said: “While there are some RCTs” —randomised control trials— “for CBMPs” —cannabis-based medical products—they are generally for isolates of those products, and “the cannabis plant doesn’t lend itself to being studied this way as it’s a botanical product with several different components. ” Many experts, including Professor Barnes, would argue that we need to look at a different evidence base to demonstrate the safety and efficacy of whole-plant extract cannabis-based medicines Even Sir Michael Rawlins, the previous head of the MHRA and NICE, pointed out in 2008 that RCTs were not the only way of obtaining getting evidence. He said: “Randomised controlled trials… regarded at the ‘gold standard’ of evidence, have been put on an undeserved pedestal. Their appearance at the top of ‘hierarchies’ of evidence is inappropriate; and hierarchies, themselves, are illusory tools for assessing evidence. They should be replaced by a diversity of approaches that involve analysing the totality of the evidence-base. ” There are many other sources of evidence that could equally inform medical practice. They could include patient reported outcome measures—PROM—trials, real-world evidence effectiveness trials, pharmacoepidemiology —I can never get that word right—which means looking at real-world evidence among a large group of patients, observational research, and n=l trials.
ParlaMint-GB_2021-12-10-commons.u11	I have been working with a constituent whose son is in this position. Does my hon. Friend agree that the side-effects of the synthetic elements of the products being used are a serious issue? It is all very well to say that trials and evidence are needed, but people are using other products that they are getting privately, and my constituent is desperately worried that the side-effects could proliferate over time when a child has been pushed into taking them.
