ParlaMint-GB_2021-06-07-commons.u1	What steps she is taking to tackle large gatherings that breach covid-19 restrictions.
ParlaMint-GB_2021-06-07-commons.u2	We continue to work closely with the police to provide them with the powers, support and resources they need to ensure compliance with the coronavirus regulations. We have quadrupled the penalties for those attending illegal indoor gatherings of more than 15 people in England, and have created a fine regime to ensure that we can absolutely enforce the regulations and that people are following the rules.
ParlaMint-GB_2021-06-07-commons.u3	Despite clear guidance on large gatherings last month, hundreds of cars and spectators descended on my Southport constituency for an illegal car meet-up that involved cars travelling at excessive speeds. Will my right hon. Friend do everything she can to ensure that these events are stopped and that the organisers of such events receive the maximum penalty?
ParlaMint-GB_2021-06-07-commons.u4	My hon. Friend is absolutely right; these breaches are serious, as are some of the practices that we have seen with illegal car rallies. He will understand that the policing powers and the operational decisions on how these rallies are tackled are very much with the chief constable and the police and crime commissioner, but of course the police have the necessary powers. There are also road traffic offences that can and should be applied when they are committed. I am sorry to say that we have seen far too many of these rallies recently and they are in breach of the covid regulations.
ParlaMint-GB_2021-06-07-commons.u5	What progress her Department has made on disbursing payments through the Windrush compensation scheme.
ParlaMint-GB_2021-06-07-commons.u6	What progress her Department has made on disbursing payments through the Windrush compensation scheme.
ParlaMint-GB_2021-06-07-commons.u7	In December, I overhauled the Windrush compensation scheme to pay people more money more quickly; that has now taken place. We have now paid six times more than the total amount paid previously. That means that we have offered almost £30 million in compensation, of which £20.4 million has been paid to approximately 687 claimants.
ParlaMint-GB_2021-06-07-commons.u8	I heard what the Secretary of State said, but the recent National Audit Office report into the Windrush compensation scheme that was published on 21 May stated that just 4% of the 15,000 people who may be eligible for the scheme had received payments—way below the numbers forecast and a small fraction of the total expected payout. I have constituents in Warwick and Leamington who have been patiently awaiting compensation for almost 18 months. Given that the process takes an extraordinary 15 steps and an average of 154 staff hours, will the Secretary of State detail how many full-time time caseworkers are dealing with the compensation scheme, and how many caseworkers she estimates are required to expedite this scheme in the next two years?
ParlaMint-GB_2021-06-07-commons.u9	First, it is important to reflect on how the scheme has fundamentally changed since December. I have already highlighted the levels of payment and the speed at which the claims are being dealt with. It is important to recognise that the changes I put in place in December have had an immediate effect; within six weeks of making the changes we had offered more in terms of payout and compensation payments than were made in the first 19 months of the scheme. I say openly to the hon. Gentleman and all Members of the House who have constituents who are awaiting claims: provide me with the details and I will look into those cases The fact of the matter is that we have been reaching out to those who are entitled to compensation. We are working across the board. We have overhauled the team; we have more caseworkers than ever. Another £9 million has been offered to claimants, and we are awaiting responses from those individuals.
ParlaMint-GB_2021-06-07-commons.u10	“Sitting in Limbo”—a drama about my constituent Anthony Bryan, who had his life turned upside down by the Windrush scandal—won a BAFTA yesterday. At the time of its release, the Home Secretary rushed to meet Anthony and told him that he would be given a voice. Yet it was not until two days ago—18 months after he made his claim—that Anthony finally received an offer of compensation. Will the Home Secretary tell us how long the hundreds of others like Anthony will have to remain in limbo before the Home Office gets its act together?
ParlaMint-GB_2021-06-07-commons.u11	If the hon. Lady heard my earlier remarks, she will have heard that fundamental reform of the Windrush compensation scheme has taken place. She will also recognise that when the scheme first launched, it was put together very quickly, but in consultation with members of the Windrush generation and representatives from the community. She asked me how long it takes for people to be paid. Due to the changes that I have put in place, it now takes an average of three weeks from receipt of an acceptance to payment. Finally, I am delighted to hear that the hon. Lady’s constituent has finally received the payment that he deserves.
ParlaMint-GB_2021-06-07-commons.u12	What steps her Department is taking to protect police officers from harm in the line of duty.
ParlaMint-GB_2021-06-07-commons.u13	The Government are completely committed to ensuring that our brave police officers receive the support and protection they deserve. We have proposed legislation to enshrine in law a police covenant and to double the maximum sentence for assaults on emergency workers. We also continue to invest in direct support to the police through the National Police Wellbeing Service.
ParlaMint-GB_2021-06-07-commons.u14	I welcome the commitments this Government have made to cut crime and to get more police on to our streets. Does my hon. Friend agree that it is vital that our police have the tools to tackle violent crime and antisocial behaviour in Bury, Ramsbottom, Tottington, and throughout the country?
ParlaMint-GB_2021-06-07-commons.u15	I know from conversations with my hon. Friend that he is a powerful supporter of the police, particularly in his own constituency, and he wants more of his constituents to meet more of the police officers who are being recruited into his local force at some rate of knots. While it is true that having the police officers will make a huge difference, so will giving them exactly the kind of tools that he has talked to me about in the past to do their job, as will the support of Members of Parliament such as him. Police officers out on the frontline doing an incredibly difficult and challenging job need to know that we stand with them in defending them and promoting them.
ParlaMint-GB_2021-06-07-commons.u16	The latest figures from the National Police Chiefs Council show that on this Government’s watch, assaults on police officers have been rising since 2015 and there has been a 26% increase in assaults on emergency workers in the months leading to April 2021 compared with the same period in 2019. There have been 30,000 assaults on police officers in England and Wales in a year. I am glad that the Government have finally listened to calls from Labour to increase sentences for people who assault emergency workers, but why are they doing absolutely nothing to stop the assaults in the first place? If I was in government, I would commission Home Office research into exactly who is assaulting our officers and why, I would tackle single-crew patrols, and I would make sure that officers have the right kit to be protected. Will the Minister do the same?
ParlaMint-GB_2021-06-07-commons.u17	You will have to advise me, Mr Speaker, on whether it is in order for a Member to speak in support of something she voted against, but I welcome the hon. Lady’s belated support for the doubling of sentences for assaults on emergency workers, which was included in the Police, Crime, Sentencing and Courts Bill, against which the Opposition voted. She is right, though, to raise the issue, which has been of serious concern to us for some time, of the rise in assaults on emergency workers, and particularly on police officers. Sadly, during the pandemic we saw, in particular, the awful phenomenon of people coughing or spitting at police officers and claiming that they were infectious when they did so. Happily, we saw a number of significant sentences handed out for that particular offence and the courts dealt with them quickly. But there is always much more that we can do. Under the police covenant, which again the hon. Lady voted against, one of the key planks of the work that we will be doing is looking at safety, welfare and support for police officers.
ParlaMint-GB_2021-06-07-commons.u18	What steps her Department is taking to remove foreign national offenders from the UK.
ParlaMint-GB_2021-06-07-commons.u19	Foreign national offenders who abuse our hospitality by committing crime absolutely should be deported and removed from the United Kingdom, and our determination and resolve is to do exactly that. Since January 2019, we have removed nearly 8,000 foreign national offenders, and our new plan for immigration will make it easier for us to deport those who harm others and have no right to stay in the United Kingdom.
ParlaMint-GB_2021-06-07-commons.u20	I thank my right hon. Friend for her very firm position on removing people from the UK who have no legal status to be here and indeed abuse our hospitality. Can she confirm that the proposed one-stop-shop appeals process will reduce the number of baseless claims that continue to frustrate our courts—and indeed, I am sure, all those involved in the Home Office who wish to deport these foreign criminals who have no place here in our society?
ParlaMint-GB_2021-06-07-commons.u21	My hon. Friend is absolutely right. I have already referred to our new plan for immigration, which will reform the system to bring in a one-stop shop to tackle the endless appeals that come forward and also the various claims that prevent us from removing foreign national offenders. It is also worth reminding him, and the House, that Labour has consistently opposed every single attempt, such as when we had charter flights to remove foreign national offenders, to do the right thing by the victims of these awful individuals who have caused so much pain and harm.
ParlaMint-GB_2021-06-07-commons.u22	What guidance she plans to put in place for EEA nationals eligible for settled or pre-settled status whose applications for that status have not been approved by 30 June 2021.
ParlaMint-GB_2021-06-07-commons.u23	What guidance she plans to put in place for EEA nationals eligible for settled or pre-settled status whose applications for that status have not been approved by 30 June 2021.
ParlaMint-GB_2021-06-07-commons.u24	What guidance she plans to put in place for EEA nationals eligible for settled or pre-settled status whose applications for that status have not been approved by 30 June 2021.
ParlaMint-GB_2021-06-07-commons.u25	With permission, I will answer these questions on behalf of the Under-Secretary of State for the Home Department, my hon. Friend the Member for Torbay (Kevin Foster), who is dealing with a family bereavement today I am glad to say that the EU settlement scheme is going extremely well. So far, 4.9 million people have been granted status. Only 1% of applications have been refused. It is a true United Kingdom success story. Those who have applied prior to 30 June will keep their status until such time as their applications are decided, so I strongly encourage anybody who is eligible to apply for EUSS status before 30 June to make sure that their status is indeed protected.
ParlaMint-GB_2021-06-07-commons.u26	The reality is that the Minister will know that covid has impeded outreach work to EU nationals who are still to apply. Covid has also caused other issues, such as hampering my constituent’s efforts to travel to London to renew his passport at his embassy. That caused real anxiety. If the Minister will not heed our call to grant automatic status, will he at least look at extending the deadline for a year in order to avoid another Windrush scandal?
ParlaMint-GB_2021-06-07-commons.u27	Of course, the EUSS has been open since March 2019, so it has been over two years now and significantly predates covid. There are a number of documents people can use if for any reason they do not have their passport or European ID card, and we have given grant funding of £22 million to 72 organisations to help people who need assistance in making the application. I would just say to anyone in the United Kingdom who is entitled to EUSS status to please apply by that deadline. Even if their status is not decided by 30 June, providing they have applied by that deadline, their status will be protected until the decision is made.
ParlaMint-GB_2021-06-07-commons.u28	Many of the tens of thousands of essential NHS EU workers across the UK may not even be aware that there is a problem with their lack of settled or pre-settled status until their employer or landlord, or another agency, tells them. Does the Minister not agree that there should be an obligation or duty on organisations to signpost individuals to independent advice on the possibility of a late application whenever they encounter an EU national who may be eligible?
ParlaMint-GB_2021-06-07-commons.u29	I am not sure I entirely agree with the hon. Lady’s suggestion that somebody may not have noticed Brexit happening. But, quite seriously, we have grant-funded 72 organisations with a total of £22 million to do outreach and to make sure that people who are vulnerable or require assistance, including outreach, are helped to make the application, and 5.4 million people have applied already, which shows that the scheme has been an enormous United Kingdom success story. However, I repeat that anyone who is eligible should please apply by 30 June. It is about three weeks’ time. Now is the time to apply if they have not applied already.
ParlaMint-GB_2021-06-07-commons.u30	We have already heard about IT problems, meaning that EEA citizens have been unable to prove their settled status, which the Home Office only allows them to do by digital means. The UK Government are happy providing printed proof of vaccination for those who have no smartphone, or letting people print a PDF if they want back-up in case their phone dies at the airport, so why can something similar not be done for EU settled status?
ParlaMint-GB_2021-06-07-commons.u31	I thank the hon. Lady for her question. Fundamentally, this is a UK success story. This system is working, as evidenced by the 5.4 million applications and the 4.9 million grants. To be honest, given all the prognostications of gloom and doom that we heard a couple of years ago, this has been an astonishing success story. If any Member of Parliament has any particular case where a constituent has encountered difficulties, please send it in to my colleague, my hon. Friend the Member for Torbay, or to the Home Secretary, and we will make sure it gets dealt with quickly. We are completely committed to making sure that everybody who is entitled to EUSS status, which is many millions of people, gets that status, which they deserve.
ParlaMint-GB_2021-06-07-commons.u32	First, we pass on our condolences and best wishes to the hon. Member for Torbay (Kevin Foster) and his family Despite our fundamental disagreements about the design of the scheme, we do all want it to succeed, but we are concerned that a lot of questions still remain outstanding at this late stage. One of the most fundamental is what happens when tens—possibly hundreds—of thousands put in a late application and have to wait for a decision? Will an EU national still be able to keep working as a carer in our NHS in the meantime, for example, or to rent the flat that they are staying in while they are waiting weeks and possibly months for a decision? Surely the answer to that must be yes. But is it?
ParlaMint-GB_2021-06-07-commons.u33	The answer is yes. Providing the application is received by 30 June, while the application is being considered—and if it is made on 30 June, clearly it will be decided after 30 June—that particular person will be able to continue working and living as normal with status. So the critical point is to make sure that the application is made by 30 June.
ParlaMint-GB_2021-06-07-commons.u34	On 26 May, in response to a question from the hon. Member for North Down (Stephen Farry), the Prime Minister told the House that the law would be “merciful” to any EU citizens left in a “difficult position” after the EU settlement scheme deadline passes on 30 June. Further to that, I note that today the Home Office website says that late applications to the scheme will be accepted if there are “reasonable grounds” for missing the deadline. Can the Minister assure me that the mercy that the Prime Minister spoke about will guarantee that no one who is entitled to EU settled status but has missed the deadline will lose their rights or access to benefits, or be forcibly detained or removed? Can he tell me how long the late application provision to the scheme will remain open for?
ParlaMint-GB_2021-06-07-commons.u35	I reiterate the critical point that people should apply before the 30 June deadline, which is already six months after the end of the transition period. The shadow Minister is right and, indeed, the Prime Minister was right as well. If somebody does apply late and there are reasonable grounds for them to have done so—for example, they might have been ill—then latitude will be shown. There is no hard time deadline to that. A reasonable approach will be taken, but again, the best thing to do for any constituent who is entitled to EUSS is to apply for it before 30 June.
ParlaMint-GB_2021-06-07-commons.u36	What steps her Department is taking to tackle people smuggling.
