ParlaMint-GB_2021-11-04-commons.u1	1. What progress he has made on establishing a national headquarters for Great British Railways.
ParlaMint-GB_2021-11-04-commons.u2	4. What steps he is taking to identify the most suitable location for the headquarters of Great British Railways.
ParlaMint-GB_2021-11-04-commons.u3	May I start by saying that my thoughts are with those affected by the tragic incident in the river at Haverfordwest at the weekend, where three lives were lost? My thanks go to the emergency services. The Maritime Accident Investigation Branch is currently investigating. Similarly, my thoughts are with everyone affected by the rail incident that took place in Salisbury this weekend. I am grateful to the train crews and drivers, and the services that looked after those who were injured. Our thoughts go to the families of all those affected The Great British Railways transition team is designing a selection process for the headquarters and details will be announced shortly.
ParlaMint-GB_2021-11-04-commons.u4	Stockton-on-Tees was home to the world’s first passenger railway. The discussion about building that railway was held in Stockton town hall. The first track of that railway was laid in Stockton. The first ticket was sold in Stockton. Last week, Michael Portillo backed our bid. I understand that Thomas the Tank Engine and even the Fat Controller are on board. Can the Secretary of State think of anywhere better than Stockton to be the home of Great British Railways?
ParlaMint-GB_2021-11-04-commons.u5	My hon. Friend makes an excellent case. I was not aware of the Fat Controller’s involvement, but that could well nail it. When the competition launches, everywhere with a strong railway connection will be able to apply, so we can find a new HQ for Great British Railways.
ParlaMint-GB_2021-11-04-commons.u6	Putting Stockton to one side, not only does York have a unique railway heritage, but it is home to 10% of the national railway workforce. It is a beautiful and wonderful city. Does my right hon. Friend agree it would make the perfect home for the headquarters of Great British Railways?
ParlaMint-GB_2021-11-04-commons.u7	It is also the home of many beautiful trains of the past, including the Mallard, which I went to see very recently. My hon. Friend makes a very strong case. I can see that the whole House is looking forward to entering the competition to find the new HQ for Great British Railways.
ParlaMint-GB_2021-11-04-commons.u8	I am now tempted to call the hon. Member for York Central (Rachael Maskell), who will reinforce that point.
ParlaMint-GB_2021-11-04-commons.u9	But of course, Mr Speaker. York is not just about 200 years of the history of the railways; it is home to some of the leading rail engineers of the future and digital rail, as well as leadership from our operations and rail systems. This cannot just be about hotspots where people have their favoured city; it must also be about bringing the rail community together to ensure we make the most of the future for our rail systems. Will the Secretary of State look very closely at the bid from York?
ParlaMint-GB_2021-11-04-commons.u10	The hon. Lady is absolutely right. I should point out that the competition has not been launched yet, but I am very impressed by the extent to which the whole House is in favour of their areas. York, of course, will have a very good bid. There is a serious point to this, which is that it is important we have the right HQ for Great British Railways, as we bring the entire network together. I am sure that York, as well as many other towns and cities, will have an excellent case to make.
ParlaMint-GB_2021-11-04-commons.u11	2. What recent assessment he has made of the potential effect of his policies on rail investment in the north of England on the Government’s levelling up agenda.
ParlaMint-GB_2021-11-04-commons.u12	Investing £29 billion in transport across the north since 2010 has had a hugely positive impact on levelling up.
ParlaMint-GB_2021-11-04-commons.u13	Building Northern Powerhouse Rail in full with a stop in Bradford city centre will help to transform Bradford’s economy and draw much-needed jobs and investment into the district, yet the Government are now believed to be scrapping the plans for NPR. Will the Minister give me some certainty today and either commit to the plan, or admit that the reality is that the Government have no intention of delivering real, transformative change to the economy and lives of people in West Yorkshire?
ParlaMint-GB_2021-11-04-commons.u14	The hon. Gentleman will know that I know Bradford well, as I represent a constituency just down the road, on the sunny side of the hills. The Government are committed to supporting the aspirations of local leaders across West Yorkshire. We recognise that Bradford is an important economic centre in the north, with a growing and young population. We continue to look at the evidence for building a new station in Bradford, and decisions, as he knows, will be outlined in the integrated rail plan in due course.
ParlaMint-GB_2021-11-04-commons.u15	My thoughts and prayers are with all those affected by the Salisbury train collision and I wish those who have sadly been injured a speedy recovery. We must, in the near future, get to the bottom of how such an incident could ever have occurred After the Budget, northern leaders were left even more bemused than before about Government plans for the north. There was no mention of Northern Powerhouse Rail and nothing more on HS2’s eastern leg or the midlands rail hub. There is still no rolling programme of electrification and no sign of the mythical integrated rail plan, which Ministers have kept referring me to for over a year. What a complete lack of ambition for the north. How did this happen? Was it because the Secretary of State could not convince the Chancellor to invest in our country’s railways, or was it because the Chancellor thought that giving tax cuts to already wealthy bankers was far more important?
ParlaMint-GB_2021-11-04-commons.u16	Let us not pretend that we are not getting on with the job of investing in the north of England. We have invested £29 billion in northern transport since 2010, and in the Budget that the hon. Gentleman referred to, we announced over £1 billion for Greater Manchester, over £830 million for West Yorkshire and £570 million for South Yorkshire. I am delighted to say that the integrated rail plan is not just coming soon—it is now coming very soon.
ParlaMint-GB_2021-11-04-commons.u17	When it comes to investment in the north, I welcome the recent investments in the feasibility work for Ferryhill station and the Weardale line. Of course, I am disappointed with what happened regarding the knock-back for the Leamside line, but I ask the Minister to work with us and the hon. Member for Washington and Sunderland West (Mrs Hodgson) to look at funding streams and at potentially getting that into the integrated rail plan. Will he also assure the people of Ferryhill that knocking back the Leamside line does not in any way impact the Ferryhill project?
ParlaMint-GB_2021-11-04-commons.u18	My hon. Friend continues to make a powerful case for his constituency and investment in local transport schemes. As he knows, I have family ties with Ferryhill—my father was born there—and I am very keen to support local people’s aspirations. I know that he has been lobbying the Secretary of State, the Rail Minister—my hon. Friend the Member for Daventry (Chris Heaton-Harris)—and myself on this issue. We will continue to work with him to see what we can do to support local aspirations.
ParlaMint-GB_2021-11-04-commons.u19	3. What steps his Department is taking to help make international travel (a) easier and (b) less expensive during the covid-19 pandemic.
ParlaMint-GB_2021-11-04-commons.u20	Thanks to the successful vaccine roll-out, the Government have been able to open up international travel and help to make it cheaper to use, with 135 countries and territories now covered by our inbound vaccination policy.
ParlaMint-GB_2021-11-04-commons.u21	The aviation and travel sectors are pivotal for my constituents in Bracknell and right across the UK, sustaining many jobs and livelihoods. Will my right hon. Friend confirm what is being done to review testing requirements for passengers and travellers and to regulate the wildly varying and often exorbitant cost of testing?
ParlaMint-GB_2021-11-04-commons.u22	As the House will know, we have reduced the number of tests required to just one single lateral flow test on day two for everybody who is vaccinated, as well as for under-18-year-olds. My hon. Friend will be interested to hear that I spoke to the Health Secretary this morning about the site that it runs to ensure that the prices shown there are accurate for the traveller, so that people can travel as normally as possible as we come to this Christmas and new-year period.
ParlaMint-GB_2021-11-04-commons.u23	5. What steps his Department is taking to improve the condition of roads in England.
ParlaMint-GB_2021-11-04-commons.u24	As announced in the spending review on 28 October, the Government are investing more than £5 billion over this Parliament in highways maintenance, enabling local highway authorities to fill in millions of potholes a year, repair bridges and help to resurface roads up and down the country. The spending review has also fundamentally protected the Government’s plans for RIS2, the second road investment strategy, while adjusting for schemes that are now progressing to a different timetable.
ParlaMint-GB_2021-11-04-commons.u25	More than 300 of my constituents have already signed my petition backing plans to improve junction 28 of the M1. It has been a constant bottleneck; residents of Pinxton and South Normanton are so often stuck there for a very long time. Will the Minister commit to working with me to make sure that we can deliver plans to improve that junction?
ParlaMint-GB_2021-11-04-commons.u26	Yes, of course. I congratulate my hon. Friend on his petition. I can reassure him that National Highways has now submitted information on the scheme to the evidence base that will help to inform the next stage of road investments. Thanks to his effective lobbying for his constituents in Bolsover, I can confirm to the House that National Highways has commenced a further study to assess the long-term future of junction 28 of the M1 to consider how planned growth may affect current and proposed schemes.
ParlaMint-GB_2021-11-04-commons.u27	6. What steps he is taking to improve local bus services.
ParlaMint-GB_2021-11-04-commons.u28	The Government will invest more than £3 billion in buses during this Parliament, including a new dedicated £1.2 billion fund for London-style bus transformation deals to improve infrastructure, fares and services.
ParlaMint-GB_2021-11-04-commons.u29	Harrogate has electric buses already, and they are very popular for their ride quality and their environmental benefit. I am keen to see their benefits extended, particularly to Knaresborough, where we have two air quality management areas and the very high-volume No. 1 route. Will the Minister update the House on where we are with the ZEBRA—zero-emission bus regional areas—scheme?
ParlaMint-GB_2021-11-04-commons.u30	Absolutely. My hon. Friend is a superb champion for Harrogate and Knaresborough and has extensive experience of public transport. I am sure that he will appreciate the recent announcement of £355 million of new funding for zero-emission buses, which is in addition to the existing £120 million for the ZEBRA scheme. On ZEBRA, we also announced last week that almost £71 million of the funding has been awarded to Warrington, Leicester, Milton Keynes, Kent, Cambridge and Peterborough. We continue to work with a further 17 local transport authorities that will submit proposals. One of those areas is North Yorkshire; I understand that Harrogate and Knaresborough are part of the defined area. I look forward to working with my hon. Friend on the matter.
ParlaMint-GB_2021-11-04-commons.u31	I call the shadow Minister.
ParlaMint-GB_2021-11-04-commons.u32	I welcome the Minister to Transport orals for what I believe is her first set of questions In April, I raised the devastating impact of Government cuts on rural transport networks, which has led to what CPRE calls “transport deserts”. I asked for “assurances…that significant investment will be offered” to support rural bus networks and “ensure that our rural communities are genuinely connected” The Minister of State told me: “There can be no greater champion of buses than the Prime Minister”. —[Official Report, 29 April 2021; Vol. 693, c. 501. ] He then gave assurances that funding was on its way Six months on, rural communities are still bearing the brunt of the Government’s failure to act. Many of the funding announcements in the Budget were nothing more than rehashed and repackaged initiatives that will do nothing to tackle the transport deserts that blight the lives of ordinary people in so many rural communities, towns and villages. I ask again: will the Minister offer rural bus networks the tangible and significant investment that they so desperately need? Will she offer a firm deadline for when that will be done?
ParlaMint-GB_2021-11-04-commons.u33	As the hon. Member will know, in last week’s spending review, we set out an unprecedented level of support for buses, including zero-emission vehicles. This Government are supporting the bus network through manufacturing and through the infrastructure required as we decarbonise, as set out in our transport decarbon- isation plan.
ParlaMint-GB_2021-11-04-commons.u34	Back in 2017, the hon. Member for Harrogate and Knaresborough (Andrew Jones) was the buses Minister. As he will remember, we had many discussions about the Bus Services Act 2017 and audiovisual announcements. Incredibly, some four and a half years on, the proposals for audiovisual announcements have still not been implemented. When can I expect to see and hear them on buses in Cambridge?
ParlaMint-GB_2021-11-04-commons.u35	We are working apace on this, and will be able to update the House in due course.
ParlaMint-GB_2021-11-04-commons.u36	We have a slight problem, in that the hon. Member for Broxtowe (Darren Henry) is trapped outside because Insulate Britain have blocked access to the House. That is totally unacceptable: it is interfering with democracy, and it is not what should happen. It is a tragedy that his constituents will not be represented by the hon. Member for Broxtowe, but I ask the Minister to answer the hon. Gentleman’s question.
ParlaMint-GB_2021-11-04-commons.u37	7. What steps his Department is taking to encourage the uptake of cycling and walking.
ParlaMint-GB_2021-11-04-commons.u38	It is slightly ironic, is it not, that the question is about cycling and walking, and how we can decarbonise transport. While I am sure that those people outside have decent intentions, the way in which they are going about their business is completely unacceptable We need to continue our business here, so I can happily update the House with the information that my Department is investing an unprecedented £2 billion in active travel over the course of this Parliament, which is the biggest ever boost for walking and cycling My hon. Friend the Member for Broxtowe (Darren Henry) would have asked a supplementary question, and I know that he wanted to talk about areas in his constituency, because that is all he ever does. [Laughter. ] He wanted to talk about Mini-Hollands and how they can change people’s behaviour when it comes to cycling, and to mention the town of Stapleford. The Department’s publication “Gear Change”, which could be described as a manifesto for cycling, refers to Mini-Hollands. Expressions of interest have been received from more than 30 local authorities wishing to build them—including Nottinghamshire County Council—so they are clearly remarkably popular. We are working on a list in order to progress to the next stage, and will receive a feasibility study in the next financial year.
ParlaMint-GB_2021-11-04-commons.u39	I now call the Scottish National party spokesperson, Ronnie Cowan.
ParlaMint-GB_2021-11-04-commons.u40	Scotland’s active travel budget will soon amount to 10% of the transport budget, which means that at least £320 million a year—nearly £60 per person in Scotland—will be spent on walking and wheeling. The Department for Transport plans to spend less than £7 per head. When my hon. Friend the Member for Paisley and Renfrewshire North (Gavin Newlands) put that to the Secretary of State, he was disbelieving. Now that he has seen the proof, why is the Department short-changing active travel in England?
ParlaMint-GB_2021-11-04-commons.u41	I am sure that the hon. Gentleman is very pleased about the amount of money that the Scottish Government are receiving for cycling and walking in a devolved settlement via the Barnett formula, but the figures that he has given are not correct. Spending on cycling and walking in England has doubled from a paltry £3.50 per head in 2010 to about £10 per head now, and obviously, given the massive increase in spending on cycling and walking—the largest that we have ever had in this Parliament, as a result of the Prime Minister’s “Gear Change” plans—that will continue to increase.
ParlaMint-GB_2021-11-04-commons.u42	Does the Minister, who is also the Rail Minister, agree that a key element of any cycling and walking plan should be better parking provision for cycles at railway stations?
