ParlaMint-GB_2021-09-23-commons.u1	I congratulate the new Minister on his appointment, and call Alistair Carmichael.
ParlaMint-GB_2021-09-23-commons.u2	1. With reference to his Department's “COVID-19 Response: Autumn and Winter Plan 2021”, if his Department will publish scientific evidence in support of the efficacy of mandatory vaccine passports.
ParlaMint-GB_2021-09-23-commons.u3	And I congratulate you, Mr Speaker, on a magnificent display in Chorley over the last week. I think that if there were to be an election there, the majority would be in six figures following such a splendid occasion. Chorley turned out for it The Cabinet Office conducted a review of covid status certification, which found that its use would have a public health benefit, on the basis of evidence gathered from bodies such as the Scientific Advisory Group for Emergencies and from the events research programme. Analysis of the ERP conducted by Public Health England found that certification should reduce the likelihood of someone transmitting highly infectious amounts of virus to large numbers of attendees. The autumn and winter plan published this month set out the Government’s position, which is that we will keep mandatory certification in reserve in case it is required to help prevent unsustainable pressure on the NHS and to enable venues to remain open more safely.
ParlaMint-GB_2021-09-23-commons.u4	I welcome the Minister’s very full answer, and I welcome him to the Dispatch Box. It was always a pleasure to work with him in his previous role, and I hope it will be a pleasure to work with him in this one as well The Government have had no fewer than 13 different positions in relation to vaccine passports. They have said “yes” three times, “no” four times, and “maybe” or “we are having a review” six times. Rather than just asserting that the evidence is there, will the Minister commit himself to publishing it? If he is ever going to take his own Back Benchers with him, let alone the general public, the case will have to be made, and the Government have not made it yet—and, incidentally, are we going to get a vote before vaccine passports are introduced?
ParlaMint-GB_2021-09-23-commons.u5	We have published brief summaries of the evidence in the autumn and winter plan, which is publicly available on gov.uk. As I said earlier, we are keeping vaccine certification in reserve in case it is required to help prevent pressure on the NHS. We hope that it will be unnecessary, but the responsible thing to do is prepare for all eventualities.
ParlaMint-GB_2021-09-23-commons.u6	I welcome the new ministerial team, and look forward to working with them constructively in the Public Administration and Constitutional Affairs Committee. I am sure that they share that enthusiasm ahead of any forthcoming appearances May I reiterate to my right hon. Friend—whom I congratulate on his appointment—that vaccine certification is useless now and will no doubt be useless then? We have fresh pairs of eyes in the Department, and fresh perspectives. Can we please just bin it now?
ParlaMint-GB_2021-09-23-commons.u7	I thank my hon. Friend for his supportive tone! What I can say to him is that in the light of the growing voluntary uptake of certification and the latest data on the state of the epidemic, we do not expect mandatory certification to be needed from the end of September.
ParlaMint-GB_2021-09-23-commons.u8	In his evaluation, has the Minister looked at the experience of a number of European countries where this is happening and British holidaymakers and visitors are using the system without any detriment? Has he looked at the views of Scotland and Wales, which are introducing certificates? Can he assure the House of his view that in the event of its looking as though this may be necessary, it must be better to have vaccine passes than once again locking down the hospitality, entertainment and leisure industries, given the impact not only on customers but on hundreds of thousands of jobs?
ParlaMint-GB_2021-09-23-commons.u9	The right hon. Gentleman makes a fair point. I can tell him that we do look at how the system is operated elsewhere. We work closely with the devolved Administrations, because there must be a four-nations approach to this. Incidentally, residents of Scotland, Wales and Northern Ireland can demonstrate vaccination status via a letter that can be requested from the NHS.
ParlaMint-GB_2021-09-23-commons.u10	2. What steps the Government is taking to improve its use of data to inform policy decisions.
ParlaMint-GB_2021-09-23-commons.u11	7. What steps the Government is taking to improve its use of data to inform policy decisions.
ParlaMint-GB_2021-09-23-commons.u12	The national data strategy sets out a vision to transform the Government’s use of data. The declaration on government reform, published in June, further committed to data being central to decision making, and the new Central Digital and Data Office is implementing common data standards and data-sharing frameworks to underpin better use of data in policy making.
ParlaMint-GB_2021-09-23-commons.u13	The pandemic has demonstrated how comparable data in the NHS can help to improve policy decisions and, ultimately, patient outcomes. Does my right hon. Friend agree that the Health and Care Bill needs to help facilitate UK-wide comparable and interoperable data?
ParlaMint-GB_2021-09-23-commons.u14	My hon. Friend brings a welcome clinical focus, and he is absolutely right on the importance of data and interoperability. He will know that the data strategy for health and social care—Data Saves Lives—along with the Health and Care Bill, which he mentioned, seeks to improve data sharing across the health system for the reasons that he rightly highlights.
ParlaMint-GB_2021-09-23-commons.u15	I call Marco Longhi. Not here.
ParlaMint-GB_2021-09-23-commons.u16	We know that one policy decision that the UK Government have taken, albeit an unsustainable and undemocratic one, is that Scotland should not have a say in its constitutional future. We also know that, for example, the UK Government are spending huge amounts of taxpayers’ money on research into public attitudes towards the Union. If the UK Government have taken the decision not to have a referendum, we know that it is because the polling suggests that support for independence is up. Why will the Minister not publish that polling information and be honest with the public?
ParlaMint-GB_2021-09-23-commons.u17	I would have thought that, when talking about data, we would have been talking about the fiscal support that has been offered to Scotland, about the way in which the Scottish Government’s powers have not been used and about how we can get better delivery from the Scottish Government in areas such as education and drugs policy, where the data are absolutely chronic at the moment. I would hope that the Scottish Government will welcome the data strategy, as it will ensure that policy making is informed by good quality data and focused on good outcomes.
ParlaMint-GB_2021-09-23-commons.u18	3. What recent steps the Office for Veterans’ Affairs has taken to promote the interests of veterans.
ParlaMint-GB_2021-09-23-commons.u19	This Government have taken practical measures to support veterans, including veterans rail cards, guaranteed interviews in the civil service for veteran applicants and national insurance holidays for those employing veterans. This year we have put in a cash boost to the armed forces charitable sector and NHS Operation Courage, showing that we are determined that this country be the best in the world in which to be a veteran.
ParlaMint-GB_2021-09-23-commons.u20	Recent events in Afghanistan are yet another reminder of veterans’ dedication and sacrifice, and I think the whole House will recognise the support that they need after serving their country. Will the Minister set out the steps he is taking to help veterans, particularly those who suffer from substance and alcohol misuse?
ParlaMint-GB_2021-09-23-commons.u21	I agree entirely, and we must put on record our thanks to all those involved in the two decades of operational activity in Afghanistan. I thank my hon. Friend for the support she is giving to veterans in her constituency. We are putting an additional £5 million into armed forces charities, bringing that support to more than £25 million this year, and an additional £2.7 million into Operation Courage, bringing that total support to £20 million this year. [Official Report, 19 October 2021, Vol. 701, c. 3MC. ] But this is about more than just money; it is about ensuring that veterans themselves are at the heart of that care, and in Op Courage, as peer support workers, they certainly are.
ParlaMint-GB_2021-09-23-commons.u22	It is about more than just money, as the Minister has just said, and that support is absolutely crucial for veterans all the time, but particularly at this moment as we come out of the pandemic. Research by the charity SSAFA has found that 77% of the veterans it works with felt that they were not fully prepared for civilian life. This is clearly an area in which we need to do more work, so can he set out precisely what the Ministry of Defence is doing in working with charities such as SSAFA to prepare veterans for civilian life?
ParlaMint-GB_2021-09-23-commons.u23	The hon. Gentleman is absolutely right to say that the transition is critical, and we want to see a through-career preparation for leaving the armed forces. That is something that we are resolutely focused on in our veterans strategy, which I will be publishing later this year.
ParlaMint-GB_2021-09-23-commons.u24	Is the Minister aware that veterans are disproportionately likely to be homeless? Will he undertake to work with the new Secretary of State for Housing to ensure that veterans have every opportunity to get service plots of land to bring forward schemes of their own, as has already been successfully demonstrated in Plymouth?
ParlaMint-GB_2021-09-23-commons.u25	I agree entirely with my hon. Friend, and I am grateful to him for the work that he has done in this area. I think the notion of self-build will appeal to a great many veterans, and I hope that we can continue to work together to ensure that this is a central part of the veteran strategy later this year.
ParlaMint-GB_2021-09-23-commons.u26	I think the Veterans Minister for all that he does for our veterans. It is much appreciated. What steps have been taken to ensure that mental health support is available for veterans who have been further isolated during covid-19, who have suffered in silence, and who need available intervention and not just waiting lists?
ParlaMint-GB_2021-09-23-commons.u27	We have tried to innovate during the covid pandemic by engaging online, but the bottom line is that, given the uptick, we are having to re-energise our engagement with veterans. That is why we are putting in this cash boost so that more people at the coalface can do this kind of supportive work.
ParlaMint-GB_2021-09-23-commons.u28	The Minister is aware that the Defence Committee has recently undertaken an enquiry into women in the armed forces. What assurances can he give me that the Government are specifically looking at the issues of female veterans?
ParlaMint-GB_2021-09-23-commons.u29	I have been reading the Select Committee’s report with great interest. The MOD is compiling its formal response, and I give my hon. Friend my personal assurance that we take these issues seriously across a whole range of considerations, including uniform and sanitary product provision. We are determined to get this right. We have opened up every single role across the military to women, but that will not be sufficient unless there is a culture of support.
ParlaMint-GB_2021-09-23-commons.u30	Constituents have contacted me recently, and I wrote to the Office for Veterans’ Affairs about one of them on 3 August and am still awaiting a reply. What steps is the Office for Veterans’ Affairs specifically taking to make sure that veterans facing obstacles to accessing services are fully and appropriately supported?
ParlaMint-GB_2021-09-23-commons.u31	If the hon. Lady would like to raise that case with me personally after this session, I will pursue it with urgency.
ParlaMint-GB_2021-09-23-commons.u32	4. What steps he is taking to improve the quality of civil service apprenticeships.
ParlaMint-GB_2021-09-23-commons.u33	The civil service published its apprenticeship strategy on 29 April 2021, and in this strategy we focus not just on the numbers but on the quality of training on offer to ensure that Departments are better equipped to nurture talent in-house and to plug skill and capability gaps.
ParlaMint-GB_2021-09-23-commons.u34	I congratulate my right hon. Friend on his appointment. It is important to the Government that we build back better from the pandemic, which means opening up the civil service to fresh ideas, often through apprenticeships, and fresh skills. How will the new declaration on government reform achieve exactly that?
