ParlaMint-GB_2021-07-07-commons.u1	What steps the Government are taking to support victims of conversion therapy.
ParlaMint-GB_2021-07-07-commons.u2	Conversion therapy is an abhorrent practice that this Government will ban. We are launching a consultation in September to ensure the action we take is informed and effective.
ParlaMint-GB_2021-07-07-commons.u3	Will my right hon. Friend outline what she is doing to promote LGBT safety not just in the UK but abroad?
ParlaMint-GB_2021-07-07-commons.u4	I congratulate my hon. Friend on his campaigning work on this issue. I am proud that we have announced the UK’s first ever global LGBT conference, Safe To Be Me. It will take place in June next year, and it will bring the world together to end persecution, violence and discrimination against LGBT people everywhere.
ParlaMint-GB_2021-07-07-commons.u5	What steps she is taking with Cabinet colleagues to improve geographic equality of opportunity for children from disadvantaged backgrounds.
ParlaMint-GB_2021-07-07-commons.u6	What steps she is taking with Cabinet colleagues to improve geographic equality of opportunity for children from disadvantaged backgrounds.
ParlaMint-GB_2021-07-07-commons.u7	What steps she is taking with Cabinet colleagues to improve geographic equality of opportunity for children from disadvantaged backgrounds.
ParlaMint-GB_2021-07-07-commons.u8	Every child, no matter what their background, should have access to world-class education that opens up opportunities for their future. Our pupil premium is targeted at schools based on the number of pupils from disadvantaged backgrounds. It has helped to close the attainment gap over the past decade, and it is expected to increase to more than £2.5 billion this year.
ParlaMint-GB_2021-07-07-commons.u9	I am most grateful to the Minister for her reply. Early years education plays a key role in supporting children from disadvantaged backgrounds, but there is a concern that the current funding arrangements are skewed against providers operating in deprived areas such as parts of Lowestoft in my constituency. I have corresponded with her on this issue, and we will hopefully meet shortly, but does she agree it is vital that all children, whatever their background, have ready access to high-quality and properly funded early years education? Will the Government take steps to ensure this happens?
ParlaMint-GB_2021-07-07-commons.u10	My hon. Friend is absolutely right. High-quality early years education is important, which is why the Government have invested over £3.5 billion every year for the past three years in supporting education for two, three and four-year-olds. Our recent education recovery announcement included increased investment in early years teaching I urge my hon. Friend and, indeed, all hon. Members to encourage families from lower-income backgrounds to take up the Government’s generous offer of 15 hours of free childcare for their two-year-olds. Children who take it up do better at school, and it gives them the vital skills that set them up for life.
ParlaMint-GB_2021-07-07-commons.u11	In light of the recent Education Committee report, what is the Department doing to support disadvantaged white boys?
ParlaMint-GB_2021-07-07-commons.u12	We are considering the recommendations of the Select Committee on Education very carefully, and all the evidence shows that high-quality teaching is the single most effective way to improve education outcomes for disadvantaged pupils. That is why it is so important that the pupil premium is used to support continuing professional development, as well as academic programmes and pastoral support. It is also why so much of our recovery funding is tilted towards top-quality teaching and tutoring for disadvantaged pupils.
