Session,Date,Coalition,Opposition
ParlaMint-GR-en_2015-02-05-S1-commons-meta.tsv,2015-02-05,0,1
ParlaMint-GR-en_2015-02-06-S1-commons-meta.tsv,2015-02-06,1,1
ParlaMint-GR-en_2015-02-06-S2-commons-meta.tsv,2015-02-06,2,3
ParlaMint-GR-en_2015-02-08-S1-commons-meta.tsv,2015-02-08,3,1
ParlaMint-GR-en_2015-02-09-S1-commons-meta.tsv,2015-02-09,38,31
ParlaMint-GR-en_2015-02-10-S1-commons-meta.tsv,2015-02-10,35,38
ParlaMint-GR-en_2015-02-18-S1-commons-meta.tsv,2015-02-18,1,0
ParlaMint-GR-en_2015-02-24-S1-commons-meta.tsv,2015-02-24,9,19
ParlaMint-GR-en_2015-03-10-S1-commons-meta.tsv,2015-03-10,24,14
ParlaMint-GR-en_2015-03-13-S1-commons-meta.tsv,2015-03-13,1,0
ParlaMint-GR-en_2015-03-17-S1-commons-meta.tsv,2015-03-17,23,23
ParlaMint-GR-en_2015-03-18-S1-commons-meta.tsv,2015-03-18,23,22
ParlaMint-GR-en_2015-03-18-S2-commons-meta.tsv,2015-03-18,38,40
ParlaMint-GR-en_2015-03-19-S1-commons-meta.tsv,2015-03-19,11,12
ParlaMint-GR-en_2015-03-20-S1-commons-meta.tsv,2015-03-20,30,36
ParlaMint-GR-en_2015-03-26-S1-commons-meta.tsv,2015-03-26,6,5
ParlaMint-GR-en_2015-03-27-S1-commons-meta.tsv,2015-03-27,3,0
ParlaMint-GR-en_2015-03-30-S1-commons-meta.tsv,2015-03-30,14,24
ParlaMint-GR-en_2015-04-02-S1-commons-meta.tsv,2015-04-02,9,5
ParlaMint-GR-en_2015-04-03-S1-commons-meta.tsv,2015-04-03,3,5
ParlaMint-GR-en_2015-04-06-S1-commons-meta.tsv,2015-04-06,16,28
ParlaMint-GR-en_2015-04-16-S1-commons-meta.tsv,2015-04-16,12,23
ParlaMint-GR-en_2015-04-16-S2-commons-meta.tsv,2015-04-16,34,19
ParlaMint-GR-en_2015-04-17-S1-commons-meta.tsv,2015-04-17,35,29
ParlaMint-GR-en_2015-04-20-S1-commons-meta.tsv,2015-04-20,11,8
ParlaMint-GR-en_2015-04-23-S1-commons-meta.tsv,2015-04-23,3,3
ParlaMint-GR-en_2015-04-24-S1-commons-meta.tsv,2015-04-24,31,47
ParlaMint-GR-en_2015-04-27-S1-commons-meta.tsv,2015-04-27,26,27
ParlaMint-GR-en_2015-04-28-S1-commons-meta.tsv,2015-04-28,40,28
ParlaMint-GR-en_2015-04-28-S2-commons-meta.tsv,2015-04-28,35,21
ParlaMint-GR-en_2015-04-30-S1-commons-meta.tsv,2015-04-30,9,8
ParlaMint-GR-en_2015-05-04-S1-commons-meta.tsv,2015-05-04,15,20
ParlaMint-GR-en_2015-05-05-S1-commons-meta.tsv,2015-05-05,24,22
ParlaMint-GR-en_2015-05-05-S2-commons-meta.tsv,2015-05-05,44,21
ParlaMint-GR-en_2015-05-06-S1-commons-meta.tsv,2015-05-06,22,35
ParlaMint-GR-en_2015-05-06-S2-commons-meta.tsv,2015-05-06,13,19
ParlaMint-GR-en_2015-05-07-S1-commons-meta.tsv,2015-05-07,16,26
ParlaMint-GR-en_2015-05-08-S1-commons-meta.tsv,2015-05-08,18,24
ParlaMint-GR-en_2015-05-11-S1-commons-meta.tsv,2015-05-11,9,5
ParlaMint-GR-en_2015-05-12-S1-commons-meta.tsv,2015-05-12,27,43
ParlaMint-GR-en_2015-05-13-S1-commons-meta.tsv,2015-05-13,25,27
ParlaMint-GR-en_2015-05-14-S1-commons-meta.tsv,2015-05-14,13,11
ParlaMint-GR-en_2015-05-15-S1-commons-meta.tsv,2015-05-15,4,5
ParlaMint-GR-en_2015-05-18-S1-commons-meta.tsv,2015-05-18,4,2
ParlaMint-GR-en_2015-05-21-S1-commons-meta.tsv,2015-05-21,10,8
ParlaMint-GR-en_2015-05-22-S1-commons-meta.tsv,2015-05-22,2,10
ParlaMint-GR-en_2015-05-25-S1-commons-meta.tsv,2015-05-25,3,3
ParlaMint-GR-en_2015-05-27-S1-commons-meta.tsv,2015-05-27,13,17
ParlaMint-GR-en_2015-05-28-S1-commons-meta.tsv,2015-05-28,18,28
ParlaMint-GR-en_2015-05-29-S1-commons-meta.tsv,2015-05-29,5,15
ParlaMint-GR-en_2015-06-04-S1-commons-meta.tsv,2015-06-04,8,8
ParlaMint-GR-en_2015-06-05-S1-commons-meta.tsv,2015-06-05,4,11
ParlaMint-GR-en_2015-06-05-S2-commons-meta.tsv,2015-06-05,14,18
ParlaMint-GR-en_2015-06-08-S1-commons-meta.tsv,2015-06-08,9,14
ParlaMint-GR-en_2015-06-11-S1-commons-meta.tsv,2015-06-11,8,8
ParlaMint-GR-en_2015-06-12-S1-commons-meta.tsv,2015-06-12,5,11
ParlaMint-GR-en_2015-06-15-S1-commons-meta.tsv,2015-06-15,12,15
ParlaMint-GR-en_2015-06-16-S1-commons-meta.tsv,2015-06-16,16,17
ParlaMint-GR-en_2015-06-18-S1-commons-meta.tsv,2015-06-18,6,6
ParlaMint-GR-en_2015-06-19-S1-commons-meta.tsv,2015-06-19,8,21
ParlaMint-GR-en_2015-06-22-S1-commons-meta.tsv,2015-06-22,8,7
ParlaMint-GR-en_2015-06-24-S1-commons-meta.tsv,2015-06-24,24,25
