Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2000-11-14-lower	ParlaMint-NO_2000-11-14-lower.ana.ud574e45	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-14	2000-11-14	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-14	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.INGS	Sørfonn, Ingebrigt S.	M	1950	
ParlaMint-NO-en_2000-11-14-lower	ParlaMint-NO_2000-11-14-lower.ana.ud574e62	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-14	2000-11-14	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-14	-	Reference	English	Regular	MP	notMinister	TF	Tverrpolitisk Folkevalgte (Kystpartiet)	-	Centre-right	person.SEBA	Bastesen, Steinar	M	1945	
ParlaMint-NO-en_2000-11-14-lower	ParlaMint-NO_2000-11-14-lower.ana.ud574e73	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-14	2000-11-14	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-14	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-11-14-lower	ParlaMint-NO_2000-11-14-lower.ana.ud574e76	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-14	2000-11-14	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-14	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.KSP	Schjøtt-Pedersen, Karl Eirik	M	1959	
ParlaMint-NO-en_2000-11-14-lower	ParlaMint-NO_2000-11-14-lower.ana.ud574e95	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-14	2000-11-14	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-14	-	Reference	English	Regular	MP	notMinister	TF	Tverrpolitisk Folkevalgte (Kystpartiet)	-	Centre-right	person.SEBA	Bastesen, Steinar	M	1945	
ParlaMint-NO-en_2000-11-14-lower	ParlaMint-NO_2000-11-14-lower.ana.ud574e100	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-14	2000-11-14	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-14	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-11-14-lower	ParlaMint-NO_2000-11-14-lower.ana.ud574e103	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-14	2000-11-14	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-14	-	Reference	English	Regular	MP	notMinister	TF	Tverrpolitisk Folkevalgte (Kystpartiet)	-	Centre-right	person.SEBA	Bastesen, Steinar	M	1945	
ParlaMint-NO-en_2000-11-14-lower	ParlaMint-NO_2000-11-14-lower.ana.ud574e110	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-14	2000-11-14	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-14	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-11-14-lower	ParlaMint-NO_2000-11-14-lower.ana.ud574e126	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-14	2000-11-14	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-14	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-11-14-lower	ParlaMint-NO_2000-11-14-lower.ana.ud574e133	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-14	2000-11-14	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-14	-	Reference	English	Regular	MP	notMinister	TF	Tverrpolitisk Folkevalgte (Kystpartiet)	-	Centre-right	person.SEBA	Bastesen, Steinar	M	1945	
ParlaMint-NO-en_2000-11-14-lower	ParlaMint-NO_2000-11-14-lower.ana.ud574e142	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-14	2000-11-14	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-14	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.FKM	Marthinsen, Finn Kristian	M	1946	
