ParlaMint-NO_2000-11-23-upper.ana.ud447e69	There is no record.
ParlaMint-NO_2000-11-23-upper.ana.ud447e81	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2000-11-23-upper.ana.ud447e95	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2000-11-23-upper.ana.ud447e109	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2000-11-23-upper.ana.ud447e123	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2000-11-23-upper.ana.ud447e137	In dealing with this matter in Odelstinget, the Progress Party went against the amendment of the law. Our basis for doing so was that we thought that what caused the change in the law, which concerns child wars and conventions related to this, is most irrelevant to involve in the relationship with the youth service in the Home Security. In this context, we made a proposal to lay down the bill, because we thought that there was nothing to suggest that the limit that has been practised for all years was changed. But we realize that this was not the opinion of the majority, and on the basis of the debate and the comments and suggestions of the Progress Party in Odelstinget, we have not found it appropriate to present proposals here in Lagtinget. It will then be the last word from the Progress Party in this matter.
ParlaMint-NO_2000-11-23-upper.ana.ud447e146	Several have not asked for the floor on case No. 6th@item: inlistbox The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2000-11-23-upper.ana.ud447e160	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2000-11-23-upper.ana.ud447e174	I refer to the debate in Odelstinget and the Right's proposal, which was also justified there. Therefore, on behalf of the Right-wing Group, I address the following proposals: ‘The decision of the nodule is not accepted. Lactation Note: Paragraph 8a, first paragraph, is assumed to be replaced by the following: The age limit for gambling on vending machines is 16 years.’ Let me also, because I believe that the Progress Party will put forward a proposal, recommend our group, if our proposal falls, substantially to support that proposal.
ParlaMint-NO_2000-11-23-upper.ana.ud447e191	Siri Frost Sterri, on behalf of the Right, made the proposal she herself referred to.
ParlaMint-NO_2000-11-23-upper.ana.ud447e194	I also refer to the debate in Odelstinget and would like to draw particular attention to the fact that the Christian People's Party voted against Section 9, first paragraph, a new second sentence. But although we still believe that alcoholic beverages have nothing to do with lotteries, we will not make any suggestions here. I just want to refer to the debate.
ParlaMint-NO_2000-11-23-upper.ana.ud447e201	I refer to the debate in Odelstinget, and promote on behalf of the Progress Party and the Right the following proposals: ‘The decision of the nodule is not accepted. Lactation Note: Paragraph 8(a) is assumed to be deleted.»
ParlaMint-NO_2000-11-23-upper.ana.ud447e212	Several have not asked for the floor on case No. Eight. Two proposals have been made. It is Siri Frost Sterri's proposal on behalf of the Right and Per Erik Monsen's proposal on behalf of the Party of Progress and the Right. The President will first vote on the proposal from the Right and then on the proposal from the Party of Advancement and the Right.
ParlaMint-NO_2000-11-23-upper.ana.ud447e229	The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
