Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2000-11-23-upper	ParlaMint-NO_2000-11-23-upper.ana.ud447e69	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-23	2000-11-23	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-23	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_2000-11-23-upper	ParlaMint-NO_2000-11-23-upper.ana.ud447e81	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-23	2000-11-23	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-23	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_2000-11-23-upper	ParlaMint-NO_2000-11-23-upper.ana.ud447e95	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-23	2000-11-23	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-23	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_2000-11-23-upper	ParlaMint-NO_2000-11-23-upper.ana.ud447e109	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-23	2000-11-23	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-23	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_2000-11-23-upper	ParlaMint-NO_2000-11-23-upper.ana.ud447e123	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-23	2000-11-23	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-23	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_2000-11-23-upper	ParlaMint-NO_2000-11-23-upper.ana.ud447e137	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-23	2000-11-23	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-23	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_2000-11-23-upper	ParlaMint-NO_2000-11-23-upper.ana.ud447e146	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-23	2000-11-23	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-23	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_2000-11-23-upper	ParlaMint-NO_2000-11-23-upper.ana.ud447e160	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-23	2000-11-23	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-23	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_2000-11-23-upper	ParlaMint-NO_2000-11-23-upper.ana.ud447e174	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-23	2000-11-23	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-23	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.SFS	Sterri, Siri Frost	F	1944	
ParlaMint-NO-en_2000-11-23-upper	ParlaMint-NO_2000-11-23-upper.ana.ud447e191	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-23	2000-11-23	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-23	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_2000-11-23-upper	ParlaMint-NO_2000-11-23-upper.ana.ud447e194	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-23	2000-11-23	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-23	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.ELSK	Skarbøvik, Elsa	F	1948	
ParlaMint-NO-en_2000-11-23-upper	ParlaMint-NO_2000-11-23-upper.ana.ud447e201	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-23	2000-11-23	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-23	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PEM	Monsen, Per Erik	M	1946	
ParlaMint-NO-en_2000-11-23-upper	ParlaMint-NO_2000-11-23-upper.ana.ud447e212	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-23	2000-11-23	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-23	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_2000-11-23-upper	ParlaMint-NO_2000-11-23-upper.ana.ud447e229	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2000-11-23	2000-11-23	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2000-11-23	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
