Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2000-05-26-lower	ParlaMint-NO_2000-05-26-lower.ana.ud1596e34	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-26	2000-05-26	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-26	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-26-lower	ParlaMint-NO_2000-05-26-lower.ana.ud1596e43	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-26	2000-05-26	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-26	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.TROH	Helleland, Trond	M	1962	
ParlaMint-NO-en_2000-05-26-lower	ParlaMint-NO_2000-05-26-lower.ana.ud1596e75	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-26	2000-05-26	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-26	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JOA	Alstad, Jon Olav	M	1968	
ParlaMint-NO-en_2000-05-26-lower	ParlaMint-NO_2000-05-26-lower.ana.ud1596e90	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-26	2000-05-26	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-26	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PB	Bredvold, Per Roar	M	1957	
ParlaMint-NO-en_2000-05-26-lower	ParlaMint-NO_2000-05-26-lower.ana.ud1596e118	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-26	2000-05-26	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-26	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OTL	Lånke, Ola T.	M	1948	
ParlaMint-NO-en_2000-05-26-lower	ParlaMint-NO_2000-05-26-lower.ana.ud1596e137	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-26	2000-05-26	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-26	-	Reference	English	Regular	notMP	Minister	A	Arbeiderpartiet	-	Centre-left	person.EH	Horn, Ellen	F	1951	
ParlaMint-NO-en_2000-05-26-lower	ParlaMint-NO_2000-05-26-lower.ana.ud1596e163	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-26	2000-05-26	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-26	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-26-lower	ParlaMint-NO_2000-05-26-lower.ana.ud1596e166	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-26	2000-05-26	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-26	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PB	Bredvold, Per Roar	M	1957	
ParlaMint-NO-en_2000-05-26-lower	ParlaMint-NO_2000-05-26-lower.ana.ud1596e176	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-26	2000-05-26	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-26	-	Reference	English	Regular	notMP	Minister	A	Arbeiderpartiet	-	Centre-left	person.EH	Horn, Ellen	F	1951	
ParlaMint-NO-en_2000-05-26-lower	ParlaMint-NO_2000-05-26-lower.ana.ud1596e181	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-26	2000-05-26	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-26	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.TROH	Helleland, Trond	M	1962	
ParlaMint-NO-en_2000-05-26-lower	ParlaMint-NO_2000-05-26-lower.ana.ud1596e192	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-26	2000-05-26	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-26	-	Reference	English	Regular	notMP	Minister	A	Arbeiderpartiet	-	Centre-left	person.EH	Horn, Ellen	F	1951	
ParlaMint-NO-en_2000-05-26-lower	ParlaMint-NO_2000-05-26-lower.ana.ud1596e197	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-26	2000-05-26	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-26	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.AEL	Enger, Anne	F	1949	
ParlaMint-NO-en_2000-05-26-lower	ParlaMint-NO_2000-05-26-lower.ana.ud1596e206	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-26	2000-05-26	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-26	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-26-lower	ParlaMint-NO_2000-05-26-lower.ana.ud1596e211	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-26	2000-05-26	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-26	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PES	Sandberg, Per	M	1960	
ParlaMint-NO-en_2000-05-26-lower	ParlaMint-NO_2000-05-26-lower.ana.ud1596e220	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-26	2000-05-26	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-26	-	Reference	English	Regular	notMP	Minister	A	Arbeiderpartiet	-	Centre-left	person.EH	Horn, Ellen	F	1951	
ParlaMint-NO-en_2000-05-26-lower	ParlaMint-NO_2000-05-26-lower.ana.ud1596e229	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-26	2000-05-26	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-26	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-26-lower	ParlaMint-NO_2000-05-26-lower.ana.ud1596e237	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-26	2000-05-26	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-26	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-26-lower	ParlaMint-NO_2000-05-26-lower.ana.ud1596e330	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-26	2000-05-26	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-26	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-26-lower	ParlaMint-NO_2000-05-26-lower.ana.ud1596e338	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-26	2000-05-26	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-26	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-26-lower	ParlaMint-NO_2000-05-26-lower.ana.ud1596e347	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-26	2000-05-26	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-26	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
