Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2000-03-28-upper	ParlaMint-NO_2000-03-28-upper.ana.ud468e113	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-03-28	2000-03-28	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-03-28	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.ELSK	Skarbøvik, Elsa	F	1948	
ParlaMint-NO-en_2000-03-28-upper	ParlaMint-NO_2000-03-28-upper.ana.ud468e127	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-03-28	2000-03-28	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-03-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_2000-03-28-upper	ParlaMint-NO_2000-03-28-upper.ana.ud468e137	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-03-28	2000-03-28	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-03-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_2000-03-28-upper	ParlaMint-NO_2000-03-28-upper.ana.ud468e149	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-03-28	2000-03-28	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-03-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_2000-03-28-upper	ParlaMint-NO_2000-03-28-upper.ana.ud468e163	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-03-28	2000-03-28	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-03-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_2000-03-28-upper	ParlaMint-NO_2000-03-28-upper.ana.ud468e177	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-03-28	2000-03-28	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-03-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_2000-03-28-upper	ParlaMint-NO_2000-03-28-upper.ana.ud468e191	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-03-28	2000-03-28	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-03-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_2000-03-28-upper	ParlaMint-NO_2000-03-28-upper.ana.ud468e205	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-03-28	2000-03-28	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-03-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_2000-03-28-upper	ParlaMint-NO_2000-03-28-upper.ana.ud468e219	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-03-28	2000-03-28	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-03-28	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.VK	Kleppe, Vidar	M	1963	
ParlaMint-NO-en_2000-03-28-upper	ParlaMint-NO_2000-03-28-upper.ana.ud468e231	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-03-28	2000-03-28	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-03-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_2000-03-28-upper	ParlaMint-NO_2000-03-28-upper.ana.ud468e241	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-03-28	2000-03-28	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-03-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_2000-03-28-upper	ParlaMint-NO_2000-03-28-upper.ana.ud468e253	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-03-28	2000-03-28	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-03-28	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.VK	Kleppe, Vidar	M	1963	
ParlaMint-NO-en_2000-03-28-upper	ParlaMint-NO_2000-03-28-upper.ana.ud468e265	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-03-28	2000-03-28	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-03-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_2000-03-28-upper	ParlaMint-NO_2000-03-28-upper.ana.ud468e275	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-03-28	2000-03-28	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-03-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_2000-03-28-upper	ParlaMint-NO_2000-03-28-upper.ana.ud468e287	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-03-28	2000-03-28	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-03-28	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.VK	Kleppe, Vidar	M	1963	
ParlaMint-NO-en_2000-03-28-upper	ParlaMint-NO_2000-03-28-upper.ana.ud468e303	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-03-28	2000-03-28	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-03-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_2000-03-28-upper	ParlaMint-NO_2000-03-28-upper.ana.ud468e313	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-03-28	2000-03-28	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-03-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_2000-03-28-upper	ParlaMint-NO_2000-03-28-upper.ana.ud468e326	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-03-28	2000-03-28	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-03-28	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.VK	Kleppe, Vidar	M	1963	
ParlaMint-NO-en_2000-03-28-upper	ParlaMint-NO_2000-03-28-upper.ana.ud468e348	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-03-28	2000-03-28	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-03-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_2000-03-28-upper	ParlaMint-NO_2000-03-28-upper.ana.ud468e358	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-03-28	2000-03-28	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-03-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_2000-03-28-upper	ParlaMint-NO_2000-03-28-upper.ana.ud468e370	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-03-28	2000-03-28	Upper house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-03-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
