ParlaMint-NO_2000-09-28.ana.ud1766e36	The representative Rolf Rikvam will make a private proposal.
ParlaMint-NO_2000-09-28.ana.ud1766e39	On behalf of Kristin Halvorsen, Øystein Djupedal and myself, I would like to make a proposal to invest part of the revenue from the sale of Telenor shares in research and education.
ParlaMint-NO_2000-09-28.ana.ud1766e44	The representative, Hallgeir H. Langeland, will make a private proposal.
ParlaMint-NO_2000-09-28.ana.ud1766e47	On behalf of Karin Andersen and myself, I would like to put forward a proposal for an additional message to the oil notification, which should pay particular attention to the conditions of the oil workers and to the health, environment and safety aspects of work associated with the Norwegian base.
ParlaMint-NO_2000-09-28.ana.ud1766e52	The representative, Karin Andersen, will make a private proposal.
ParlaMint-NO_2000-09-28.ana.ud1766e55	On behalf of myself, I would like to make a proposal for additional appropriations in the budget for the year 2000 to provide housing for the homeless.
ParlaMint-NO_2000-09-28.ana.ud1766e60	The representative of Morten Lund will make a private proposal.
ParlaMint-NO_2000-09-28.ana.ud1766e64	John Dale and I are promoting a proposal to ask the Government to ensure that the management of the four large predators is in line with the Stortinge's intentions.
ParlaMint-NO_2000-09-28.ana.ud1766e69	The proposals will be dealt with in a regulatory manner. Before we move on to the agenda, the President will draw attention to the fact that the processing time is likely to be short, and that the voting will follow immediately, and when the Unit is finished, the meeting is not over.
ParlaMint-NO_2000-09-28.ana.ud1766e83	No one has asked for the floor. [[Votation, see below]]
ParlaMint-NO_2000-09-28.ana.ud1766e97	No one has asked for the floor. [[Votation, see below]]
ParlaMint-NO_2000-09-28.ana.ud1766e543	Ladies and gentlemen of the poachers! We are now at the end of the last meeting of the 144th big, the third big one in this parliamentary term. It implies that the time limit for the submission of draft constitutions has now expired. There are 21 constitutional proposals that deal with important aspects of our central government. Then it will be up to the next big deal to decide on the proposals. In the large-scale session that is now behind us, 98 meetings have been concluded in Stortinget in plenary, 39 meetings in Odelstinget and 17 meetings in Lagtinget. The Stortinget has had 25 evening meetings and Odelstinget 14. There are somewhat fewer meetings and evening meetings in Stortinget than in the previous year, while for Odelstinget it is pretty close. A total of 16 meetings were held in addition to the regulatory time, at 4 p.m. 22, only three of them after 2:00 p.m. 24th@item: inlistbox Although there have been a handful of more meetings after 8 p.m. 22 than the previous year, the President appears to be within the framework of the positive developments she has observed over some years in late evening meetings. The Committees of the Biggest have issued 361 posts this year: 259 to Stortinget and 102 to Odelstinget. In addition, there are budgetary positions. In addition to the languages of the throne, the financial language and the government statement by the government of Stoltenberg, Stortinget has received 13 statements from the two governments who have been responsible for the last year. On 9 March Prime Minister Bondevik asked questions about the pollution law. The result of the vote in Stortinget led to the government leaving Bondevik, and the government of Stoltenberg joined on 17 March. From the two governments there have been 88 staging propositions, 45 staging messages and 81 staging propositions. The representatives of Storting have produced 92 Documents. Eight proposals. This represents approx. 30 pst. of the total number of cases. Nearly 100 cases are exposed to the next accumulation. 37 of these are Document No. Eight proposals. A small selection of issues that have been addressed are: pediatric notification digital television State ownership of the credit fund acquisition of new frigates establishment of police directorate energy notification, including proposals for the construction of gas power plants research notification various basic legislative proposals rules on publicity for the Stortinget and Stortinget's bodies IT Fornebu Telenor and Telia conversion of Posten's despatch network Equalisation notice Svalbard notification new pharmacy law – and we have repealed the law on infectious diseases on bees. 36 interview debates have been closed, while 608 Question Time questions have been answered in the ordinary Question Time. The number of written questions continues to increase, and the number of respondents is now close to 460 – about 60 more than the previous year. In the oral question procedure, which has been held 24 times, 188 main questions are asked. 120 representatives have been involved. New of the year is the implementation of the new provision of the Rules of Procedure requiring the Government to give feedback on the follow-up to decisions taken by the Stortinget. These are the so-called government requests, which take the form of the ‘Size Asks the Government...’. In this context, a decision-making register has been established in the Stortinget, in which 127 decisions and 42 proposals have been registered for the current enlargement and so-called recommendations have been sent to the Government. Similar to the previous year, 161 decisions and 80 recommendations were taken. Otherwise, it should be mentioned that the Stortinget held a seminar on the need for constitutional reform. A concrete follow-up to the seminar is a sample to assess the monitoring activities of the Grand Duchy, including the experience of open hearings and the place of national law in our constitution. Another topical issue is whether parliamentaryism should be incorporated into the Constitution, including the discussion of rules that can contribute to a stronger parliamentary basis in the formation of governments. Whether this is followed up by the great crowd that opens in the coming week remains to be seen. Furthermore, a sample has been appointed to evaluate the budgetary reform so that during the spring of 2001 the Storting can decide whether the reform will be permanent and, if necessary, with desired changes. We have set behind us an active year of work in Stortinget. The majority has now concluded its negotiations. In these words, I declare the 144th anniversary of the end. The President will now invite representatives to sign the Protocols of the Storting and the Departments. The storage protocol is published in the laying room, while the Protocols for Stortinget and Odelstinget can be signed here.
